prospect_gncd,prospect_nmbrchldrn,prospect_nmbrcrs,prospect_ct,prospect_crdtrtng,prospect_ntwrth,prospect_gndr,prospect_wnrrntflg,prospect_nmbrcrdtcrds,prospect_pstlcd,prospect_frstnm,prospect_cntr,prospect_phn,prospect_ncm,prospect_mrtlstts,prospect_g,prospect_mplr
Iok7501,,3.0,Baltimore,580.0,321776.0,,U,,Guudshirvcu,wbwsqgtaa,United States of America,1-637-119-9996,94490.0,U,7.0,FM Global
tia7502,4.0,4.0,Kitchener,683.0,2292324.0,M,R,2.0,wyggjewbe,QGJWCPAPZMWHYHZTNOYSSOQBI,Canada,1-560-405-0048,7037.0,S,48.0,MGIC Investment
AOI7503,5.0,1.0,Saint John,411.0,969707.0,,O,2.0,YMZRQICUTHT,BHGXDDPUMBESLQMNEPREPTZNNKM,,1-261-306-5079,419269.0,M,14.0,Ross Stores
PJQ7504,5.0,4.0,Berkeley,818.0,3899461.0,m,U,9.0,Bcjuycmcen,Xgnvppcxgfnmawlupgfa,United States of America,1-642-299-6655,76681.0,W,29.0,
SDV7505,4.0,2.0,Missoula,370.0,3749223.0,,R,7.0,Nujxguyehf,Tfiozpstcftslqtwkgngiiwo,United States of America,,209116.0,U,69.0,Alliance One International
Hga7506,0.0,0.0,Salinas,833.0,3658531.0,F,O,6.0,Neigswk,fbcahlrhhjoslfzqvvwwvhk,,1-388-257-4273,212203.0,U,47.0,Sally Beauty Holdings
Beo7507,5.0,5.0,San Jose,536.0,1738460.0,M,U,2.0,WNCEOQPLW,Dcgkohfcwyoaxckalqnkrzwq,Canada,,42018.0,M,0.0,Wisconsin Energy
Qum7508,0.0,0.0,Cleveland,775.0,3307296.0,,R,0.0,Cskdwtkf,Vmnmcsinflxxmmifydckncc,United States of America,1-632-118-1891,90446.0,S,46.0,Carpenter Technology
Hud7509,1.0,1.0,Huntington,765.0,1816419.0,,R,3.0,tcxswloetdt,Vrkbkkxkddtximspigmlbwzt,United States of America,1-853-806-4986,16274.0,M,6.0,Liberty Mutual Insurance Group
jba7510,2.0,5.0,Paterson,555.0,2599250.0,m,O,6.0,Fkpemasoukih,RMWCTFTLSVTMCBI,Canada,1-220-687-2027,22215.0,M,22.0,Black & Decker
dgc7511,1.0,5.0,Greensboro,,490443.0,m,O,3.0,NCEVKLQEEWTA,Zaijioc,United States of America,,210038.0,M,72.0,Interstate Bakeries
lql7512,5.0,4.0,Concord,318.0,3348923.0,,O,9.0,DODDIDDHXS,Mdwdjpdfmbqjaygkfqzqx,Canada,1-268-630-3843,307402.0,M,40.0,eBay
Wsk7513,1.0,4.0,Colorado Springs,613.0,331799.0,m,R,4.0,Oqnzttrldq,Ccbccgvldfvoqtzestvkwunn,United States of America,1-915-548-9541,,D,8.0,Boise
Ffs7514,1.0,4.0,Mobile,786.0,1167013.0,,R,4.0,Lwbawk,nyakrhdyxravdnhgbtol,,1-536-880-0961,432425.0,U,10.0,MDU Resources Group
Kvv7515,3.0,0.0,Thousand Oaks,,3960216.0,,O,10.0,Ppsrzjdtg,NDNBTVCLKSC,United States of America,1-494-335-6022,122041.0,U,24.0,Freescale Semiconductor
mpz7516,4.0,1.0,Rochester,623.0,242246.0,f,O,5.0,,Zmstbluqkipzaojfsomtbdddguq,United States of America,1-814-158-3550,302205.0,M,18.0,Superior Energy Services
Jhc7517,1.0,1.0,Garden Grove,845.0,1217660.0,F,O,1.0,,dpqgvuaoijmkxsesvililpxcrwqe,United States of America,1-420-580-0795,367555.0,S,79.0,Monsanto
dbq7518,5.0,4.0,Tampa,645.0,1229655.0,M,U,7.0,Rxdsunq,IHUGYGSRDWILVOFBAKUR,United States of America,1-924-305-1666,106025.0,M,36.0,Newfield Exploration
Xch7519,2.0,2.0,Fullerton,495.0,1157831.0,m,O,1.0,JXHVEEOU,aefotdcronamhkzsfpvifmobgchmsp,Canada,1-450-082-2122,106690.0,W,21.0,Loews
oir7520,2.0,2.0,Washington,371.0,,m,O,8.0,XHJQCDPOO,jdeyqkerjerjpht,Canada,1-573-009-1404,29373.0,M,4.0,Apache
Fqb7521,3.0,2.0,Norfolk,462.0,,M,R,1.0,rapkjpmvp,Lwihnxoihqqrvjydsijd,United States of America,1-603-897-9894,168189.0,S,72.0,Robert Half International
qex7522,,,Sydney,375.0,3467922.0,,U,7.0,Slskxm,nmnervucuk,United States of America,1-947-161-6502,264756.0,S,1.0,Viacom
Hpi7523,2.0,1.0,Winnipeg,516.0,46859.0,,U,10.0,FXHXLG,hgjkxxbf,Canada,1-586-826-9847,44480.0,S,98.0,Robert Half International
Fjd7524,5.0,1.0,Wilmington,703.0,2937668.0,,R,,ovlziicdezok,Zangtryzlhmxo,Canada,1-217-243-2668,87207.0,,35.0,CSX
Cgt7525,2.0,4.0,El Monte,734.0,2388613.0,,O,7.0,jsxcpvao,FFJGEQD,United States of America,1-857-211-5728,238434.0,W,99.0,Country Financial Services
Lwx7526,2.0,0.0,Sterling Heights,469.0,3116283.0,M,U,4.0,Ykerbceq,Pdcxrihnl,United States of America,1-089-966-6281,,M,49.0,Procter & Gamble
epy7527,0.0,3.0,Pembroke Pines,595.0,2671950.0,,O,2.0,VVMSNWEBT,Zckhcacwaelzutaodqalxyjrkh,United States of America,,391354.0,S,72.0,Ingles Markets
Aff7528,0.0,3.0,Philadelphia,410.0,3899593.0,m,O,1.0,bibueqwbejem,sqrosgqnpifxjx,United States of America,1-231-342-6874,419165.0,U,41.0,Forest Laboratories
mfc7529,2.0,3.0,Glendale,475.0,2537332.0,,O,10.0,gehpynlk,Erqzkkllazeobgthnmgsbtj,Canada,,396509.0,W,54.0,Dentsply International
Slf7530,2.0,0.0,El Monte,,733236.0,,R,2.0,Piwlxtg,Lcziayaozecoqqluasolkmmcldm,United States of America,1-602-637-1838,145161.0,,11.0,RadioShack
Cxu7531,5.0,2.0,Warwick,519.0,,,O,3.0,Ujlshmosjkid,Gcnczmuxviqaxtsdzmzhtro,United States of America,1-003-982-8627,263206.0,W,0.0,Century Aluminum
GZO7532,3.0,3.0,Milwaukee,841.0,3397276.0,,U,5.0,cwburwnupuj,Rsoobsqytvjycob,United States of America,1-136-358-6852,190371.0,D,27.0,
DRW7533,1.0,3.0,Phoenix,540.0,2444257.0,,O,6.0,CNEZMHTKIAEV,Pjvadgt,United States of America,1-123-528-2965,203968.0,U,95.0,FPL Group
set7534,3.0,1.0,Anchorage,540.0,71520.0,f,R,10.0,kixvppuqtd,GUBKOKITTSKVYM,United States of America,1-136-565-2501,428323.0,U,35.0,Lockheed Martin
Pyo7535,1.0,4.0,Madison,,1911091.0,,O,6.0,jrhynxfi,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,United States of America,1-317-986-1984,159980.0,M,96.0,Sanmina-SCI
FSH7536,0.0,0.0,Fontana,424.0,988775.0,M,O,6.0,dnhtjyu,Kuteauo,Canada,1-265-603-1262,266852.0,W,96.0,Iron Mountain
Tdx7537,5.0,5.0,Charlotte,623.0,3919363.0,,R,2.0,YKOVOTYB,Hkfofpndygljbeo,United States of America,,206973.0,M,49.0,OfficeMax
Sbn7538,1.0,5.0,Richmond,792.0,428918.0,,O,4.0,WNNMWJ,Kengxgsu,Canada,1-156-668-6882,258221.0,S,,AMR
Piq7539,4.0,4.0,Santa Clarita,718.0,58134.0,f,O,6.0,Oktkljv,Plywuoa,United States of America,1-164-648-3203,428508.0,S,27.0,Kohl's
IXD7540,0.0,4.0,Yellow Knife,401.0,3703767.0,M,O,6.0,,zfcwsxpjzyqelkxg,,1-839-795-1027,,M,98.0,Cigna
wsn7541,5.0,4.0,Oxnard,557.0,433859.0,,R,2.0,GXFLSISZUY,Yxvczhqjwgnhowiu,United States of America,1-958-412-4252,58953.0,M,,West
