first_name,active,store_id,create_date,address_id,customer_id,email,last_name
MARY,1,1,2006-02-14 22:04:36,5,1,MARY.SMITH@sakilacustomer.org,SMITH
PATRICIA,1,1,2006-02-14 22:04:36,6,2,PATRICIA.JOHNSON@sakilacustomer.org,JOHNSON
LINDA,1,1,2006-02-14 22:04:36,7,3,LINDA.WILLIAMS@sakilacustomer.org,WILLIAMS
BARBARA,1,2,2006-02-14 22:04:36,8,4,BARBARA.JONES@sakilacustomer.org,JONES
ELIZABETH,1,1,2006-02-14 22:04:36,9,5,ELIZABETH.BROWN@sakilacustomer.org,BROWN
JENNIFER,1,2,2006-02-14 22:04:36,10,6,JENNIFER.DAVIS@sakilacustomer.org,DAVIS
MARIA,1,1,2006-02-14 22:04:36,11,7,MARIA.MILLER@sakilacustomer.org,MILLER
SUSAN,1,2,2006-02-14 22:04:36,12,8,SUSAN.WILSON@sakilacustomer.org,WILSON
MARGARET,1,2,2006-02-14 22:04:36,13,9,MARGARET.MOORE@sakilacustomer.org,MOORE
DOROTHY,1,1,2006-02-14 22:04:36,14,10,DOROTHY.TAYLOR@sakilacustomer.org,TAYLOR
LISA,1,2,2006-02-14 22:04:36,15,11,LISA.ANDERSON@sakilacustomer.org,ANDERSON
NANCY,1,1,2006-02-14 22:04:36,16,12,NANCY.THOMAS@sakilacustomer.org,THOMAS
KAREN,1,2,2006-02-14 22:04:36,17,13,KAREN.JACKSON@sakilacustomer.org,JACKSON
BETTY,1,2,2006-02-14 22:04:36,18,14,BETTY.WHITE@sakilacustomer.org,WHITE
HELEN,1,1,2006-02-14 22:04:36,19,15,HELEN.HARRIS@sakilacustomer.org,HARRIS
SANDRA,0,2,2006-02-14 22:04:36,20,16,SANDRA.MARTIN@sakilacustomer.org,MARTIN
DONNA,1,1,2006-02-14 22:04:36,21,17,DONNA.THOMPSON@sakilacustomer.org,THOMPSON
CAROL,1,2,2006-02-14 22:04:36,22,18,CAROL.GARCIA@sakilacustomer.org,GARCIA
RUTH,1,1,2006-02-14 22:04:36,23,19,RUTH.MARTINEZ@sakilacustomer.org,MARTINEZ
SHARON,1,2,2006-02-14 22:04:36,24,20,SHARON.ROBINSON@sakilacustomer.org,ROBINSON
MICHELLE,1,1,2006-02-14 22:04:36,25,21,MICHELLE.CLARK@sakilacustomer.org,CLARK
LAURA,1,1,2006-02-14 22:04:36,26,22,LAURA.RODRIGUEZ@sakilacustomer.org,RODRIGUEZ
SARAH,1,2,2006-02-14 22:04:36,27,23,SARAH.LEWIS@sakilacustomer.org,LEWIS
KIMBERLY,1,2,2006-02-14 22:04:36,28,24,KIMBERLY.LEE@sakilacustomer.org,LEE
DEBORAH,1,1,2006-02-14 22:04:36,29,25,DEBORAH.WALKER@sakilacustomer.org,WALKER
JESSICA,1,2,2006-02-14 22:04:36,30,26,JESSICA.HALL@sakilacustomer.org,HALL
SHIRLEY,1,2,2006-02-14 22:04:36,31,27,SHIRLEY.ALLEN@sakilacustomer.org,ALLEN
CYNTHIA,1,1,2006-02-14 22:04:36,32,28,CYNTHIA.YOUNG@sakilacustomer.org,YOUNG
ANGELA,1,2,2006-02-14 22:04:36,33,29,ANGELA.HERNANDEZ@sakilacustomer.org,HERNANDEZ
MELISSA,1,1,2006-02-14 22:04:36,34,30,MELISSA.KING@sakilacustomer.org,KING
BRENDA,1,2,2006-02-14 22:04:36,35,31,BRENDA.WRIGHT@sakilacustomer.org,WRIGHT
AMY,1,1,2006-02-14 22:04:36,36,32,AMY.LOPEZ@sakilacustomer.org,LOPEZ
ANNA,1,2,2006-02-14 22:04:36,37,33,ANNA.HILL@sakilacustomer.org,HILL
REBECCA,1,2,2006-02-14 22:04:36,38,34,REBECCA.SCOTT@sakilacustomer.org,SCOTT
VIRGINIA,1,2,2006-02-14 22:04:36,39,35,VIRGINIA.GREEN@sakilacustomer.org,GREEN
KATHLEEN,1,2,2006-02-14 22:04:36,40,36,KATHLEEN.ADAMS@sakilacustomer.org,ADAMS
PAMELA,1,1,2006-02-14 22:04:36,41,37,PAMELA.BAKER@sakilacustomer.org,BAKER
MARTHA,1,1,2006-02-14 22:04:36,42,38,MARTHA.GONZALEZ@sakilacustomer.org,GONZALEZ
DEBRA,1,1,2006-02-14 22:04:36,43,39,DEBRA.NELSON@sakilacustomer.org,NELSON
AMANDA,1,2,2006-02-14 22:04:36,44,40,AMANDA.CARTER@sakilacustomer.org,CARTER
STEPHANIE,1,1,2006-02-14 22:04:36,45,41,STEPHANIE.MITCHELL@sakilacustomer.org,MITCHELL
CAROLYN,1,2,2006-02-14 22:04:36,46,42,CAROLYN.PEREZ@sakilacustomer.org,PEREZ
CHRISTINE,1,2,2006-02-14 22:04:36,47,43,CHRISTINE.ROBERTS@sakilacustomer.org,ROBERTS
MARIE,1,1,2006-02-14 22:04:36,48,44,MARIE.TURNER@sakilacustomer.org,TURNER
JANET,1,1,2006-02-14 22:04:36,49,45,JANET.PHILLIPS@sakilacustomer.org,PHILLIPS
CATHERINE,1,2,2006-02-14 22:04:36,50,46,CATHERINE.CAMPBELL@sakilacustomer.org,CAMPBELL
FRANCES,1,1,2006-02-14 22:04:36,51,47,FRANCES.PARKER@sakilacustomer.org,PARKER
