prospect_gncd,prospect_nmbrcrs,prospect_ddrssln2,prospect_ncm,prospect_g,prospect_ct,prospect_cntr,prospect_nmbrcrdtcrds,prospect_crdtrtng,prospect_ntwrth,prospect_phn,prospect_pstlcd,prospect_stt,prospect_nmbrchldrn,prospect_mrtlstts,prospect_wnrrntflg,prospect_mplr
PEL0,,,368776.0,20.0,Fairbanks,United States of America,,760.0,1058868.0,1-712-522-6088,T6b 1i1,MA,3.0,W,O,Brink's
LED1,5.0,APT. 624,177967.0,3.0,Quebec,United States of America,6.0,555.0,1988185.0,1-626-426-4298,77281,PA,1.0,U,U,
lat2,2.0,,321772.0,,Henderson,United States of America,6.0,566.0,3673128.0,1-524-787-8784,91355,Alberta,1.0,S,O,
RUD3,2.0,,25449.0,77.0,Salem,Canada,3.0,,2005895.0,1-741-997-1688,36615,AR,1.0,W,O,Air Products & Chemicals
JAY4,0.0,Apt. 619,166567.0,21.0,Toledo,Canada,4.0,815.0,624736.0,1-002-194-1991,t6a 1i3,OR,3.0,M,O,Oshkosh
tod5,1.0,,43631.0,77.0,Corpus Christi,United States of America,10.0,333.0,3064615.0,1-441-371-7651,A2b 1v3,VA,4.0,M,R,
Kan6,4.0,,466230.0,23.0,Salt Lake City,Canada,1.0,528.0,3489129.0,1-957-940-5980,49513,OH,0.0,,O,VeraSun Energy
Din7,2.0,,420243.0,9.0,Brownsville,United States of America,7.0,680.0,3430744.0,1-768-633-4096,M5d 1v6,Prince Edward Island,2.0,M,U,IDT
Thi8,3.0,,141862.0,63.0,Escondido,United States of America,10.0,761.0,1743614.0,1-107-689-2155,V6c 1q1,NV,,U,O,Adams Resources & Energy
May9,0.0,,402011.0,32.0,Los Angeles,United States of America,,416.0,216299.0,1-173-594-6096,99716,Ontario,2.0,M,O,MGIC Investment
mah10,2.0,,79928.0,96.0,West Covina,Canada,9.0,493.0,1528641.0,1-561-520-0611,A2b 1w1,TX,2.0,M,O,Iasis Healthcare
Siz11,1.0,,109496.0,46.0,San Buenaventura,United States of America,0.0,564.0,3752907.0,1-730-406-9727,M5F 1W1,NE,0.0,M,R,AMR
cra12,1.0,,267901.0,6.0,Lexington,United States of America,0.0,817.0,582378.0,,95118,AR,4.0,U,U,Embarq
dac13,3.0,,487273.0,39.0,Hay River,United States of America,8.0,653.0,3458824.0,1-207-867-4589,H2f 1v7,MI,5.0,U,R,Advanced Micro Devices
HIV14,3.0,,34013.0,73.0,Toronto,United States of America,2.0,587.0,469408.0,1-478-629-9641,19217,MA,4.0,M,O,Cenveo
Pes15,0.0,Apt. 290,473462.0,26.0,Denver,United States of America,6.0,472.0,1504480.0,1-026-208-8595,21228,TN,2.0,S,O,Kelly Services
CHI16,5.0,,499493.0,54.0,St. Paul,Canada,4.0,817.0,2763009.0,1-432-681-4853,85097,TN,4.0,M,O,Viacom
Din17,5.0,,266928.0,87.0,Bellevue,United States of America,0.0,441.0,2787199.0,,V6j 1q8,OK,4.0,M,R,Macy's
De 18,2.0,,72444.0,85.0,Detroit,United States of America,6.0,848.0,2789368.0,1-357-207-6320,43207,Ontario,3.0,M,O,Gardner Denver
Mck19,3.0,,77290.0,86.0,Omaha,United States of America,8.0,843.0,2784776.0,1-462-774-1277,V6t 1q8,KY,3.0,U,R,Family Dollar Stores
WIN20,2.0,,395066.0,59.0,Costa Mesa,United States of America,,,288747.0,1-702-382-2898,94467,PA,0.0,U,R,
BIT21,5.0,,119283.0,94.0,Berkeley,United States of America,0.0,300.0,876575.0,1-909-554-7120,94321,MD,3.0,U,O,Sun Microsystems
luz22,1.0,,330991.0,,St. Louis,United States of America,8.0,795.0,2041224.0,1-752-296-7940,C2a 4w7,TX,1.0,U,O,Costco Wholesale
don23,4.0,,,5.0,Colorado Springs,United States of America,5.0,367.0,2231509.0,1-995-554-5056,35808,IN,0.0,,U,Illinois Tool Works
Gia24,1.0,,252031.0,23.0,Fontana,United States of America,1.0,507.0,3206409.0,1-090-303-3807,M5f 1v6,MD,5.0,M,O,Southern Union
SPR25,3.0,,101800.0,61.0,St. Catharines,United States of America,9.0,362.0,3850037.0,1-492-968-0932,99539,KY,1.0,M,O,Moog
SKA26,0.0,,436977.0,,Hayward,United States of America,7.0,527.0,528440.0,1-960-227-2020,95055,CA,1.0,D,O,Old Republic International
Gar27,0.0,,495334.0,51.0,Palmdale,United States of America,0.0,354.0,597140.0,1-431-122-8597,93686,FL,,S,O,
Dor28,1.0,,274685.0,97.0,Phoenix,United States of America,1.0,511.0,146931.0,1-822-836-7200,75218,Newfoundland,1.0,M,O,Great Plains Energy
DIO29,2.0,,320820.0,52.0,Gary,United States of America,7.0,412.0,353495.0,1-530-117-0497,91174,TX,2.0,,,Broadcom
Mer30,4.0,,195835.0,98.0,Beaumont,Canada,1.0,583.0,295647.0,1-051-257-2719,49515,WA,0.0,S,O,Discover Financial Services
Atc31,5.0,,108085.0,47.0,Nashua,United States of America,5.0,710.0,408941.0,1-171-989-1363,16506,MN,3.0,U,O,UAL
Pla32,2.0,,260185.0,47.0,San Jose,United States of America,9.0,380.0,362523.0,1-042-705-3246,94383,WY,1.0,M,O,Charles Schwab
SEL33,0.0,,258323.0,9.0,Nashua,United States of America,2.0,796.0,2102359.0,1-098-328-2026,T6d 1b3,NY,0.0,M,R,Coach
sha34,1.0,,79476.0,85.0,Fort Smith,United States of America,2.0,818.0,3480265.0,1-209-754-5635,25339,SC,3.0,M,U,DaVita
MER35,5.0,,102156.0,81.0,Lancaster,United States of America,3.0,766.0,3648900.0,1-498-781-3456,V6o 1v4,MS,3.0,M,U,Marshall & Ilsley Corp.
con36,2.0,,221481.0,0.0,Colorado Springs,United States of America,2.0,359.0,1161790.0,1-615-241-0440,01852,UT,3.0,M,O,Cablevision Systems
ons37,1.0,,41836.0,28.0,Washington,United States of America,2.0,401.0,2050587.0,1-995-449-5200,78230,PA,5.0,S,R,Barnes & Noble
Sum38,1.0,,72389.0,65.0,Lowell,Canada,0.0,609.0,3579198.0,1-295-673-4452,93770,OK,1.0,U,O,EMC
