AgencyID,OwnOrRentFlag,FirstName,MaritalStatus,PostalCode,NetWorth,LastName,MiddleInitial,Gender,AddressLine1,AddressLine2,City,State,Country
PEL0,O,Netti,W,T6b 1i1,1058868.0,PELLAND,,f,21847 olympia street,,Fairbanks,MA,United States of America
LED1,U,TRUDY,U,77281,1988185.0,LEDUC,,F,245 congress court,APT. 624,Quebec,PA,United States of America
lat2,O,ireland,S,91355,3673128.0,latif,,,6517 frailing west,,Henderson,Alberta,United States of America
RUD3,O,Misti,W,36615,2005895.0,RUDDICK,,,11449 blalock park,,Salem,AR,Canada
JAY4,O,sarena,M,t6a 1i3,624736.0,JAYAMANNE,M,f,18354 dodd court,Apt. 619,Toledo,OR,Canada
tod5,R,Paulette,M,A2b 1v3,3064615.0,todo,Z,M,14117 roxboro street,,Corpus Christi,VA,United States of America
Kan6,O,AMALITA,,49513,3489129.0,Kanno,R,m,24697 FLORENCE WEST,,Salt Lake City,OH,Canada
Din7,U,Ernesto,M,M5d 1v6,3430744.0,Dinkel,Z,,6488 applewood drive,,Brownsville,Prince Edward Island,United States of America
Thi8,O,Toby,U,V6c 1q1,1743614.0,Thibodeaux,,,17404 gale court,,Escondido,NV,United States of America
May9,O,evangelia,M,99716,216299.0,Mayo,,,15913 alexis street,,Los Angeles,Ontario,United States of America
mah10,O,umakanth,M,A2b 1w1,1528641.0,mahendra,U,,18313 5th lane,,West Covina,TX,Canada
Siz11,R,terrie,M,M5F 1W1,3752907.0,Sizto,,,13653 collier avenue,,San Buenaventura,NE,United States of America
cra12,U,Mary-pat,U,95118,582378.0,crawley,,,15306 pike park,,Lexington,AR,United States of America
dac13,R,Catherin,U,H2f 1v7,3458824.0,dacal,,m,1540 crestmere north,,Hay River,MI,United States of America
HIV14,O,annissa,M,19217,469408.0,HIVELY,W,,10790 bonita crescent,,Toronto,MA,United States of America
Pes15,O,Amour,S,21228,1504480.0,Peschke,,,24679 AIRPORT CRESCENT,Apt. 290,Denver,TN,United States of America
CHI16,O,jenica,M,85097,2763009.0,CHILDERHOSE,,,7627 douglas road,,St. Paul,TN,Canada
Din17,R,KATTIE,M,V6j 1q8,2787199.0,Dinnin,,,6106 ashland east,,Bellevue,OK,United States of America
De 18,O,Roselle,M,43207,2789368.0,De witte,M,,1111 norden street,,Detroit,Ontario,United States of America
Mck19,R,arlyne,U,V6t 1q8,2784776.0,Mckeegan,,m,2798 1st east,,Omaha,KY,United States of America
WIN20,R,Rong-chin,U,94467,288747.0,WINTERS,P,M,11358 elle lee street,,Costa Mesa,PA,United States of America
BIT21,O,Darlleen,U,94321,876575.0,BITTMAN,,,21074 MALLORY LOWER,,Berkeley,MD,United States of America
luz22,O,Radoslav,U,C2a 4w7,2041224.0,luzarraga,V,f,16124 weyland park,,St. Louis,TX,United States of America
don23,U,Aryn,,35808,2231509.0,donovan,S,,23822 marvin crescent,,Colorado Springs,IN,United States of America
Gia24,O,Allisan,M,M5f 1v6,3206409.0,Giallo,T,,2203 valita boulevard,,Fontana,MD,United States of America
SPR25,O,Ammamaria,M,99539,3850037.0,SPRUELL,,M,11538 COLLINWOOD AVENUE,,St. Catharines,KY,United States of America
SKA26,O,Mari,D,95055,528440.0,SKALSKI,,F,7818 EAST STREET,,Hayward,CA,United States of America
Gar27,O,Anica,S,93686,597140.0,Gargul,,m,10013 shaw road,,Palmdale,FL,United States of America
Dor28,O,Melba,M,75218,146931.0,Dore,,,6802 AMES STREET,,Phoenix,Newfoundland,United States of America
