AgeID,AddLi1,PoCo,Inc,FiN,Pho,CreRa,Em,MarSt,Ag,NumChil,St,Cou,NumC,OwORF,NuCrCar,NeWo
PEL0,21847 olympia street,T6b 1i1,368776.0,Netti,1-712-522-6088,760.0,Brink's,W,20.0,3.0,MA,United States of America,,O,,1058868.0
LED1,245 congress court,77281,177967.0,TRUDY,1-626-426-4298,555.0,,U,3.0,1.0,PA,United States of America,5.0,U,6.0,1988185.0
lat2,6517 frailing west,91355,321772.0,ireland,1-524-787-8784,566.0,,S,,1.0,Alberta,United States of America,2.0,O,6.0,3673128.0
RUD3,11449 blalock park,36615,25449.0,Misti,1-741-997-1688,,Air Products & Chemicals,W,77.0,1.0,AR,Canada,2.0,O,3.0,2005895.0
JAY4,18354 dodd court,t6a 1i3,166567.0,sarena,1-002-194-1991,815.0,Oshkosh,M,21.0,3.0,OR,Canada,0.0,O,4.0,624736.0
tod5,14117 roxboro street,A2b 1v3,43631.0,Paulette,1-441-371-7651,333.0,,M,77.0,4.0,VA,United States of America,1.0,R,10.0,3064615.0
Kan6,24697 FLORENCE WEST,49513,466230.0,AMALITA,1-957-940-5980,528.0,VeraSun Energy,,23.0,0.0,OH,Canada,4.0,O,1.0,3489129.0
Din7,6488 applewood drive,M5d 1v6,420243.0,Ernesto,1-768-633-4096,680.0,IDT,M,9.0,2.0,Prince Edward Island,United States of America,2.0,U,7.0,3430744.0
Thi8,17404 gale court,V6c 1q1,141862.0,Toby,1-107-689-2155,761.0,Adams Resources & Energy,U,63.0,,NV,United States of America,3.0,O,10.0,1743614.0
May9,15913 alexis street,99716,402011.0,evangelia,1-173-594-6096,416.0,MGIC Investment,M,32.0,2.0,Ontario,United States of America,0.0,O,,216299.0
mah10,18313 5th lane,A2b 1w1,79928.0,umakanth,1-561-520-0611,493.0,Iasis Healthcare,M,96.0,2.0,TX,Canada,2.0,O,9.0,1528641.0
Siz11,13653 collier avenue,M5F 1W1,109496.0,terrie,1-730-406-9727,564.0,AMR,M,46.0,0.0,NE,United States of America,1.0,R,0.0,3752907.0
cra12,15306 pike park,95118,267901.0,Mary-pat,,817.0,Embarq,U,6.0,4.0,AR,United States of America,1.0,U,0.0,582378.0
dac13,1540 crestmere north,H2f 1v7,487273.0,Catherin,1-207-867-4589,653.0,Advanced Micro Devices,U,39.0,5.0,MI,United States of America,3.0,R,8.0,3458824.0
HIV14,10790 bonita crescent,19217,34013.0,annissa,1-478-629-9641,587.0,Cenveo,M,73.0,4.0,MA,United States of America,3.0,O,2.0,469408.0
Pes15,24679 AIRPORT CRESCENT,21228,473462.0,Amour,1-026-208-8595,472.0,Kelly Services,S,26.0,2.0,TN,United States of America,0.0,O,6.0,1504480.0
CHI16,7627 douglas road,85097,499493.0,jenica,1-432-681-4853,817.0,Viacom,M,54.0,4.0,TN,Canada,5.0,O,4.0,2763009.0
Din17,6106 ashland east,V6j 1q8,266928.0,KATTIE,,441.0,Macy's,M,87.0,4.0,OK,United States of America,5.0,R,0.0,2787199.0
De 18,1111 norden street,43207,72444.0,Roselle,1-357-207-6320,848.0,Gardner Denver,M,85.0,3.0,Ontario,United States of America,2.0,O,6.0,2789368.0
Mck19,2798 1st east,V6t 1q8,77290.0,arlyne,1-462-774-1277,843.0,Family Dollar Stores,U,86.0,3.0,KY,United States of America,3.0,R,8.0,2784776.0
WIN20,11358 elle lee street,94467,395066.0,Rong-chin,1-702-382-2898,,,U,59.0,0.0,PA,United States of America,2.0,R,,288747.0
BIT21,21074 MALLORY LOWER,94321,119283.0,Darlleen,1-909-554-7120,300.0,Sun Microsystems,U,94.0,3.0,MD,United States of America,5.0,O,0.0,876575.0
luz22,16124 weyland park,C2a 4w7,330991.0,Radoslav,1-752-296-7940,795.0,Costco Wholesale,U,,1.0,TX,United States of America,1.0,O,8.0,2041224.0
don23,23822 marvin crescent,35808,,Aryn,1-995-554-5056,367.0,Illinois Tool Works,,5.0,0.0,IN,United States of America,4.0,U,5.0,2231509.0
Gia24,2203 valita boulevard,M5f 1v6,252031.0,Allisan,1-090-303-3807,507.0,Southern Union,M,23.0,5.0,MD,United States of America,1.0,O,1.0,3206409.0
SPR25,11538 COLLINWOOD AVENUE,99539,101800.0,Ammamaria,1-492-968-0932,362.0,Moog,M,61.0,1.0,KY,United States of America,3.0,O,9.0,3850037.0
SKA26,7818 EAST STREET,95055,436977.0,Mari,1-960-227-2020,527.0,Old Republic International,D,,1.0,CA,United States of America,0.0,O,7.0,528440.0
Gar27,10013 shaw road,93686,495334.0,Anica,1-431-122-8597,354.0,,S,51.0,,FL,United States of America,0.0,O,0.0,597140.0
Dor28,6802 AMES STREET,75218,274685.0,Melba,1-822-836-7200,511.0,Great Plains Energy,M,97.0,1.0,Newfoundland,United States of America,1.0,O,1.0,146931.0
DIO29,22501 SUMMIT RUE,91174,320820.0,Tracee,1-530-117-0497,412.0,Broadcom,,52.0,2.0,TX,United States of America,2.0,,7.0,353495.0
Mer30,291 frances rue,49515,195835.0,CANADIAN,1-051-257-2719,583.0,Discover Financial Services,S,98.0,0.0,WA,Canada,4.0,O,1.0,295647.0
Atc31,16264 sanders east,16506,108085.0,Oue,1-171-989-1363,710.0,UAL,U,47.0,3.0,MN,United States of America,5.0,O,5.0,408941.0
Pla32,16068 cantey way,94383,260185.0,wallie,1-042-705-3246,380.0,Charles Schwab,M,47.0,1.0,WY,United States of America,2.0,O,9.0,362523.0
SEL33,21170 EDLOE BOULEVARD,T6d 1b3,258323.0,Andromache,1-098-328-2026,796.0,Coach,M,9.0,0.0,NY,United States of America,0.0,R,2.0,2102359.0
sha34,885 CROSBY LANE,25339,79476.0,THOR,1-209-754-5635,818.0,DaVita,M,85.0,3.0,SC,United States of America,1.0,U,2.0,3480265.0
MER35,12235 jay street,V6o 1v4,102156.0,SALAH,1-498-781-3456,766.0,Marshall & Ilsley Corp.,M,81.0,3.0,MS,United States of America,5.0,U,3.0,3648900.0
con36,20340 LOMBARD CRESCENT,01852,221481.0,HOR-LAM,1-615-241-0440,359.0,Cablevision Systems,M,0.0,3.0,UT,United States of America,2.0,O,2.0,1161790.0
