prospect_gncd,prospect_ntwrth,prospect_g,prospect_ddrssln1,prospect_crdtrtng,prospect_stt,prospect_mplr,prospect_mrtlstts,prospect_ncm,prospect_pstlcd,prospect_nmbrcrs,prospect_ct,prospect_cntr,prospect_phn,prospect_nmbrchldrn,prospect_wnrrntflg,prospect_nmbrcrdtcrds
Iok7501,321776.0,7.0,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,580.0,MO,FM Global,U,94490.0,Guudshirvcu,3.0,Baltimore,United States of America,1-637-119-9996,,U,
tia7502,2292324.0,48.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,683.0,TX,MGIC Investment,S,7037.0,wyggjewbe,4.0,Kitchener,Canada,1-560-405-0048,4.0,R,2.0
AOI7503,969707.0,14.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,411.0,CT,Ross Stores,M,419269.0,YMZRQICUTHT,1.0,Saint John,,1-261-306-5079,5.0,O,2.0
PJQ7504,3899461.0,29.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,818.0,UT,,W,76681.0,Bcjuycmcen,4.0,Berkeley,United States of America,1-642-299-6655,5.0,U,9.0
SDV7505,3749223.0,69.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,370.0,RI,Alliance One International,U,209116.0,Nujxguyehf,2.0,Missoula,United States of America,,4.0,R,7.0
Hga7506,3658531.0,47.0,Ajpkrmtlcbdzr,833.0,DE,Sally Beauty Holdings,U,212203.0,Neigswk,0.0,Salinas,,1-388-257-4273,0.0,O,6.0
Beo7507,1738460.0,0.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,536.0,NM,Wisconsin Energy,M,42018.0,WNCEOQPLW,5.0,San Jose,Canada,,5.0,U,2.0
Qum7508,3307296.0,46.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,775.0,WV,Carpenter Technology,S,90446.0,Cskdwtkf,0.0,Cleveland,United States of America,1-632-118-1891,0.0,R,0.0
Hud7509,1816419.0,6.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,765.0,NH,Liberty Mutual Insurance Group,M,16274.0,tcxswloetdt,1.0,Huntington,United States of America,1-853-806-4986,1.0,R,3.0
jba7510,2599250.0,22.0,Ycltsquohmuugxihqyluhkoy,555.0,WY,Black & Decker,M,22215.0,Fkpemasoukih,5.0,Paterson,Canada,1-220-687-2027,2.0,O,6.0
dgc7511,490443.0,72.0,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,,Saskatchewan,Interstate Bakeries,M,210038.0,NCEVKLQEEWTA,5.0,Greensboro,United States of America,,1.0,O,3.0
lql7512,3348923.0,40.0,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,318.0,NE,eBay,M,307402.0,DODDIDDHXS,4.0,Concord,Canada,1-268-630-3843,5.0,O,9.0
Wsk7513,331799.0,8.0,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,613.0,AR,Boise,D,,Oqnzttrldq,4.0,Colorado Springs,United States of America,1-915-548-9541,1.0,R,4.0
Ffs7514,1167013.0,10.0,,786.0,IL,MDU Resources Group,U,432425.0,Lwbawk,4.0,Mobile,,1-536-880-0961,1.0,R,4.0
Kvv7515,3960216.0,24.0,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,,VA,Freescale Semiconductor,U,122041.0,Ppsrzjdtg,0.0,Thousand Oaks,United States of America,1-494-335-6022,3.0,O,10.0
mpz7516,242246.0,18.0,,623.0,ID,Superior Energy Services,M,302205.0,,1.0,Rochester,United States of America,1-814-158-3550,4.0,O,5.0
Jhc7517,1217660.0,79.0,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,845.0,TX,Monsanto,S,367555.0,,1.0,Garden Grove,United States of America,1-420-580-0795,1.0,O,1.0
dbq7518,1229655.0,36.0,rpikmvtgwsrsoehxgmxwypaueiaheabrf,645.0,New Brunswick,Newfield Exploration,M,106025.0,Rxdsunq,4.0,Tampa,United States of America,1-924-305-1666,5.0,U,7.0
Xch7519,1157831.0,21.0,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,495.0,Alberta,Loews,W,106690.0,JXHVEEOU,2.0,Fullerton,Canada,1-450-082-2122,2.0,O,1.0
oir7520,,4.0,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,371.0,PA,Apache,M,29373.0,XHJQCDPOO,2.0,Washington,Canada,1-573-009-1404,2.0,O,8.0
Fqb7521,,72.0,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,462.0,Nova Scotia,Robert Half International,S,168189.0,rapkjpmvp,2.0,Norfolk,United States of America,1-603-897-9894,3.0,R,1.0
qex7522,3467922.0,1.0,Dmyivtczopuqajpnjqvvgbhxynvduub,375.0,RI,Viacom,S,264756.0,Slskxm,,Sydney,United States of America,1-947-161-6502,,U,7.0
Hpi7523,46859.0,98.0,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,516.0,OR,Robert Half International,S,44480.0,FXHXLG,1.0,Winnipeg,Canada,1-586-826-9847,2.0,U,10.0
Fjd7524,2937668.0,35.0,Esuycdxsjfbrqbtluspxsehk,703.0,CA,CSX,,87207.0,ovlziicdezok,1.0,Wilmington,Canada,1-217-243-2668,5.0,R,
Cgt7525,2388613.0,99.0,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,734.0,MO,Country Financial Services,W,238434.0,jsxcpvao,4.0,El Monte,United States of America,1-857-211-5728,2.0,O,7.0
Lwx7526,3116283.0,49.0,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,469.0,Prince Edward Island,Procter & Gamble,M,,Ykerbceq,0.0,Sterling Heights,United States of America,1-089-966-6281,2.0,U,4.0
epy7527,2671950.0,72.0,vnyndcximwxhecv,595.0,Quebec,Ingles Markets,S,391354.0,VVMSNWEBT,3.0,Pembroke Pines,United States of America,,0.0,O,2.0
Aff7528,3899593.0,41.0,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,410.0,KS,Forest Laboratories,U,419165.0,bibueqwbejem,3.0,Philadelphia,United States of America,1-231-342-6874,0.0,O,1.0
mfc7529,2537332.0,54.0,,475.0,NV,Dentsply International,W,396509.0,gehpynlk,3.0,Glendale,Canada,,2.0,O,10.0
Slf7530,733236.0,11.0,GVSBHGBDDVJFNNOZNNPJWCOI,,TN,RadioShack,,145161.0,Piwlxtg,0.0,El Monte,United States of America,1-602-637-1838,2.0,R,2.0
Cxu7531,,0.0,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,519.0,WY,Century Aluminum,W,263206.0,Ujlshmosjkid,2.0,Warwick,United States of America,1-003-982-8627,5.0,O,3.0
GZO7532,3397276.0,27.0,BIQIOQOHLQSTBRUFOI,841.0,British Columbia,,D,190371.0,cwburwnupuj,3.0,Milwaukee,United States of America,1-136-358-6852,3.0,U,5.0
DRW7533,2444257.0,95.0,Llfaqkbemnoy,540.0,LA,FPL Group,U,203968.0,CNEZMHTKIAEV,3.0,Phoenix,United States of America,1-123-528-2965,1.0,O,6.0
set7534,71520.0,35.0,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,540.0,HI,Lockheed Martin,U,428323.0,kixvppuqtd,1.0,Anchorage,United States of America,1-136-565-2501,3.0,R,10.0
Pyo7535,1911091.0,96.0,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,,NY,Sanmina-SCI,M,159980.0,jrhynxfi,4.0,Madison,United States of America,1-317-986-1984,1.0,O,6.0
FSH7536,988775.0,96.0,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,424.0,TX,Iron Mountain,W,266852.0,dnhtjyu,0.0,Fontana,Canada,1-265-603-1262,0.0,O,6.0
Tdx7537,3919363.0,49.0,,623.0,AZ,OfficeMax,M,206973.0,YKOVOTYB,5.0,Charlotte,United States of America,,5.0,R,2.0
Sbn7538,428918.0,,atydogjpqphuwhegtbukkqiaeakrtrn,792.0,ME,AMR,S,258221.0,WNNMWJ,5.0,Richmond,Canada,1-156-668-6882,1.0,O,4.0
Piq7539,58134.0,27.0,Hlotorcbtobuceb,718.0,NH,Kohl's,S,428508.0,Oktkljv,4.0,Santa Clarita,United States of America,1-164-648-3203,4.0,O,6.0
IXD7540,3703767.0,98.0,gsrdigbqfwrahybxrtm,401.0,KY,Cigna,M,,,4.0,Yellow Knife,,1-839-795-1027,0.0,O,6.0
wsn7541,433859.0,,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,557.0,Prince Edward Island,West,M,58953.0,GXFLSISZUY,4.0,Oxnard,United States of America,1-958-412-4252,5.0,R,2.0
Jkp7542,3002044.0,56.0,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,393.0,British Columbia,Monsanto,W,409682.0,gzexcrngivl,5.0,Huntington Beach,United States of America,1-392-335-1020,5.0,O,7.0
CCF7543,1124168.0,94.0,,557.0,CT,Reliant Energy,M,340191.0,yzoikhwrd,2.0,Durham,United States of America,1-912-050-7605,4.0,,10.0
ylj7544,2081541.0,98.0,RELJYREDKQEKGOORBLRKOUIC,465.0,WA,Idearc,U,238216.0,Gdbktega,4.0,Naperville,United States of America,1-075-551-9919,5.0,O,5.0
ZBB7545,1897076.0,8.0,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,,ND,Neiman Marcus,M,113171.0,Kdcqzpvf,0.0,Albuquerque,Canada,1-013-611-2674,1.0,O,6.0
fqe7546,235172.0,90.0,Yewxbqpnfgh,485.0,ID,O'Reilly Automotive,W,234797.0,Tbwgwtmgcu,5.0,Newark,United States of America,1-656-865-7544,,,10.0
