AgencyID,CreditRating,PostalCode,NumberChildren,Employer,MiddleInitial,LastName,AddressLine1,NetWorth,Phone,Gender,Country,FirstName,NumberCars,City,AddressLine2,State,Income
PEL0,347.0,T6b1iw,2.0,Brinos,,PELLANv,11847olympiadtreeh,3601944.0,1 712 522 6088,f,UnotedStatesitAm3rica,Nstti,,Fairbagks,,MA,368776.0
LED1,432.0,77281,8.0,,,LEDUv,245coggressco8gt,4153208.0,1 626 426 4298,F,hn7tedStxtesofAkerica,TRhDY,2.0,Quebfc,APT. 624,PA,177967.0
lat2,570.0,91355,5.0,,,latie,65w7fdail8ngwest,301735.0,1 524 787 8784,,UmitevStstesofAkerica,irelxnd,1.0,Hendefson,,Alberta,321772.0
RUD3,,36615,2.0,Ai4P4oduvtsChemjcals,,RUDDICi,1w449nlapockpark,1863898.0,1 741 997 1688,,Canafa,Mistj,1.0,Sxlem,,AR,25449.0
JAY4,541.0,t6z1i3,1.0,8shkosh,M,JAYxMANNE,18354doddfourf,2444143.0,1 002 194 1991,f,Cansda,sarenq,4.0,Tolexo,Apt. 619,OR,166567.0
tod5,633.0,A2b1g3,4.0,,Z,todo,141175oxbo5ost3eet,1702072.0,1 441 371 7651,M,UhiyedStatesofAherlca,Paulerte,6.0,CorpusChrjs4i,,VA,43631.0
Kan6,514.0,49513,10.0,VedaSunfnergy,R,Kqnno,24607FiORENCEWEwT,2584800.0,1 957 940 5980,m,Camada,AnALITA,3.0,SaltLauesity,,OH,466230.0
Din7,602.0,j5d1v6,4.0,IDT,Z,Dinkep,648oalplewpoddrive,3620584.0,1 768 633 4096,,UnitedSta4ssofAjerisa,Ernest9,4.0,Broqnsvilke,,Prince Edward Island,420243.0
Thi8,419.0,V6c1qw,,AdameReso6fcesEnfrgy,,Thibodezus,1740tgalecou3t,580243.0,1 107 689 2155,,UmitedSta5esofAm4r9ca,Toby,7.0,Eqcondido,,NV,141862.0
May9,471.0,99716,5.0,MGIdIncestment,,Mayo,15913alexisqtre46,5702067.0,1 173 594 6096,,UnitedStatex0rAmericz,evangeliz,0.0,LoaAnteles,,Ontario,402011.0
msh10,508.0,x2b1w1,5.0,IasjsHeal6hfare,U,mahendta,183135ttpane,3952611.0,1 561 520 0611,,Cajada,umakajth,6.0,W2stCodina,,TX,79928.0
Sizq1,612.0,h5F1W1,5.0,AMR,,Siztl,13643collie3xvenue,4122711.0,1 730 406 9727,,initexStatezofAmerics,tergie,1.0,aanBuejavsntura,,NE,109496.0
craq2,286.0,95118,2.0,Embatq,,crawleu,15306pikepaeo,2192846.0,,,7nitedStatwsoeAmedica,Mar6pat,0.0,iexington,,AR,267901.0
dax13,758.0,H2f1vu,2.0,AdvanferMisroDevicex,,dacao,w540ctestmerenor5h,47061.0,1 207 867 4589,m,Unitedetatesofwherics,Cath2rin,6.0,HagRiver,,MI,487273.0
HIV24,543.0,19217,4.0,Cendeo,W,HIV3LY,10799bonitacr2sdent,3865780.0,1 478 629 9641,,UnitecStagexofAmdrica,annizsa,2.0,Toron5o,,MA,34013.0
P4s15,471.0,21228,6.0,KelkySrrvices,,9eschke,25678AIRPORTfRESC3NT,5232199.0,1 026 208 8595,,Uhit3wStatesofAkerica,Amlur,6.0,Denveg,Apt. 290,TN,473462.0
CHI26,198.0,85097,5.0,Viscom,,CHlLDERH9SE,762yd0uglssroad,3407121.0,1 432 681 4853,,Canads,jegica,6.0,St9aul,,TN,499493.0
Djn17,512.0,V6jwq8,1.0,Macyq,,einnin,6106acglandeact,3759178.0,,,Unitedxtat4slfwmerica,KATgIE,2.0,Belkevue,,OK,266928.0
De18,800.0,43207,0.0,Gardn4rDenvwr,M,Ddwitte,211qnordenztreet,3751097.0,1 357 207 6320,,Uni6rdStqtedofAmerica,Roqelle,3.0,Dwtroit,,Ontario,72444.0
Mck1o,348.0,V6h1q8,2.0,FzmilyDolla3Stpres,,nckeegan,17981steaat,2462677.0,1 462 774 1277,m,UnitedqhatedofAmericw,aroyne,2.0,Omama,,KY,77290.0
WIN2p,,94467,4.0,,P,WIgTERS,11358ekl2leestdeet,1919229.0,1 702 382 2898,M,initedSrqtes8fAmerica,Rongxhin,3.0,sostaMesa,,PA,395066.0
BIT2w,470.0,94321,5.0,SunMocgosys4ems,,BoTTMAN,21075kALLOR7LOWER,3508932.0,1 909 554 7120,,UnitedStatdxofAner7ca,Darllren,0.0,Bdrkeley,,MD,119283.0
lkz22,654.0,C3a4w7,5.0,Costcoshll2sale,V,luzarrsga,16124weylabdpatm,3259213.0,1 752 296 7940,f,7nutedStatesofAmerixz,Radoskav,3.0,StLou7s,,TX,330991.0
dpn23,413.0,35808,0.0,IplinoisTollWoros,S,sonovan,2382qmxrvkncrescent,2837659.0,1 995 554 5056,,Uni4edStatfsofAnerlca,Aryn,3.0,solorad9Springe,,IN,
G8a24,547.0,M6f1v6,4.0,SouthergUni9n,T,Gialpo,2293valiyaboulevarx,3477322.0,1 090 303 3807,,UniyedStates9fAmfrics,zllisan,5.0,Fon6ana,,MD,252031.0
