NumberCars,OwnOrRentFlag,CreditRating,NumberChildren,NumberCreditCards,MaritalStatus,Country,Gender,State,AddressLine1,Income,Phone,FirstName,City,NetWorth,AddressLine2,Employer,MiddleInitial,LastName,AgencyID,PostalCode,Age
,O,760.0,3.0,,W,United States of America,f,MA,21847 olympia street,368776.0,1-712-522-6088,Netti,Fairbanks,1058868.0,,Brink's,,PELLAND,PEL0,T6b 1i1,20.0
5.0,U,555.0,1.0,6.0,U,United States of America,F,PA,245 congress court,177967.0,1-626-426-4298,TRUDY,Quebec,1988185.0,APT. 624,,,LEDUC,LED1,77281,3.0
2.0,O,566.0,1.0,6.0,S,United States of America,,Alberta,6517 frailing west,321772.0,1-524-787-8784,ireland,Henderson,3673128.0,,,,latif,lat2,91355,
2.0,O,,1.0,3.0,W,Canada,,AR,11449 blalock park,25449.0,1-741-997-1688,Misti,Salem,2005895.0,,Air Products & Chemicals,,RUDDICK,RUD3,36615,77.0
0.0,O,815.0,3.0,4.0,M,Canada,f,OR,18354 dodd court,166567.0,1-002-194-1991,sarena,Toledo,624736.0,Apt. 619,Oshkosh,M,JAYAMANNE,JAY4,t6a 1i3,21.0
1.0,R,333.0,4.0,10.0,M,United States of America,M,VA,14117 roxboro street,43631.0,1-441-371-7651,Paulette,Corpus Christi,3064615.0,,,Z,todo,tod5,A2b 1v3,77.0
4.0,O,528.0,0.0,1.0,,Canada,m,OH,24697 FLORENCE WEST,466230.0,1-957-940-5980,AMALITA,Salt Lake City,3489129.0,,VeraSun Energy,R,Kanno,Kan6,49513,23.0
2.0,U,680.0,2.0,7.0,M,United States of America,,Prince Edward Island,6488 applewood drive,420243.0,1-768-633-4096,Ernesto,Brownsville,3430744.0,,IDT,Z,Dinkel,Din7,M5d 1v6,9.0
3.0,O,761.0,,10.0,U,United States of America,,NV,17404 gale court,141862.0,1-107-689-2155,Toby,Escondido,1743614.0,,Adams Resources & Energy,,Thibodeaux,Thi8,V6c 1q1,63.0
0.0,O,416.0,2.0,,M,United States of America,,Ontario,15913 alexis street,402011.0,1-173-594-6096,evangelia,Los Angeles,216299.0,,MGIC Investment,,Mayo,May9,99716,32.0
2.0,O,493.0,2.0,9.0,M,Canada,,TX,18313 5th lane,79928.0,1-561-520-0611,umakanth,West Covina,1528641.0,,Iasis Healthcare,U,mahendra,mah10,A2b 1w1,96.0
1.0,R,564.0,0.0,0.0,M,United States of America,,NE,13653 collier avenue,109496.0,1-730-406-9727,terrie,San Buenaventura,3752907.0,,AMR,,Sizto,Siz11,M5F 1W1,46.0
1.0,U,817.0,4.0,0.0,U,United States of America,,AR,15306 pike park,267901.0,,Mary-pat,Lexington,582378.0,,Embarq,,crawley,cra12,95118,6.0
3.0,R,653.0,5.0,8.0,U,United States of America,m,MI,1540 crestmere north,487273.0,1-207-867-4589,Catherin,Hay River,3458824.0,,Advanced Micro Devices,,dacal,dac13,H2f 1v7,39.0
3.0,O,587.0,4.0,2.0,M,United States of America,,MA,10790 bonita crescent,34013.0,1-478-629-9641,annissa,Toronto,469408.0,,Cenveo,W,HIVELY,HIV14,19217,73.0
0.0,O,472.0,2.0,6.0,S,United States of America,,TN,24679 AIRPORT CRESCENT,473462.0,1-026-208-8595,Amour,Denver,1504480.0,Apt. 290,Kelly Services,,Peschke,Pes15,21228,26.0
5.0,O,817.0,4.0,4.0,M,Canada,,TN,7627 douglas road,499493.0,1-432-681-4853,jenica,St. Paul,2763009.0,,Viacom,,CHILDERHOSE,CHI16,85097,54.0
5.0,R,441.0,4.0,0.0,M,United States of America,,OK,6106 ashland east,266928.0,,KATTIE,Bellevue,2787199.0,,Macy's,,Dinnin,Din17,V6j 1q8,87.0
2.0,O,848.0,3.0,6.0,M,United States of America,,Ontario,1111 norden street,72444.0,1-357-207-6320,Roselle,Detroit,2789368.0,,Gardner Denver,M,De witte,De 18,43207,85.0
3.0,R,843.0,3.0,8.0,U,United States of America,m,KY,2798 1st east,77290.0,1-462-774-1277,arlyne,Omaha,2784776.0,,Family Dollar Stores,,Mckeegan,Mck19,V6t 1q8,86.0
2.0,R,,0.0,,U,United States of America,M,PA,11358 elle lee street,395066.0,1-702-382-2898,Rong-chin,Costa Mesa,288747.0,,,P,WINTERS,WIN20,94467,59.0
5.0,O,300.0,3.0,0.0,U,United States of America,,MD,21074 MALLORY LOWER,119283.0,1-909-554-7120,Darlleen,Berkeley,876575.0,,Sun Microsystems,,BITTMAN,BIT21,94321,94.0
1.0,O,795.0,1.0,8.0,U,United States of America,f,TX,16124 weyland park,330991.0,1-752-296-7940,Radoslav,St. Louis,2041224.0,,Costco Wholesale,V,luzarraga,luz22,C2a 4w7,
4.0,U,367.0,0.0,5.0,,United States of America,,IN,23822 marvin crescent,,1-995-554-5056,Aryn,Colorado Springs,2231509.0,,Illinois Tool Works,S,donovan,don23,35808,5.0
1.0,O,507.0,5.0,1.0,M,United States of America,,MD,2203 valita boulevard,252031.0,1-090-303-3807,Allisan,Fontana,3206409.0,,Southern Union,T,Giallo,Gia24,M5f 1v6,23.0
