prospect_gncd,prospect_crdtrtng,prospect_nmbrcrs,prospect_ncm,prospect_ct,prospect_ddrssln2,prospect_phn,prospect_nmbrchldrn,prospect_mrtlstts,prospect_g,prospect_wnrrntflg,prospect_mplr,prospect_nmbrcrdtcrds,prospect_ntwrth
PEL0,760.0,,368776.0,Fairbanks,,1-712-522-6088,3.0,W,20.0,O,Brink's,,1058868.0
LED1,555.0,5.0,177967.0,Quebec,APT. 624,1-626-426-4298,1.0,U,3.0,U,,6.0,1988185.0
lat2,566.0,2.0,321772.0,Henderson,,1-524-787-8784,1.0,S,,O,,6.0,3673128.0
RUD3,,2.0,25449.0,Salem,,1-741-997-1688,1.0,W,77.0,O,Air Products & Chemicals,3.0,2005895.0
JAY4,815.0,0.0,166567.0,Toledo,Apt. 619,1-002-194-1991,3.0,M,21.0,O,Oshkosh,4.0,624736.0
tod5,333.0,1.0,43631.0,Corpus Christi,,1-441-371-7651,4.0,M,77.0,R,,10.0,3064615.0
Kan6,528.0,4.0,466230.0,Salt Lake City,,1-957-940-5980,0.0,,23.0,O,VeraSun Energy,1.0,3489129.0
Din7,680.0,2.0,420243.0,Brownsville,,1-768-633-4096,2.0,M,9.0,U,IDT,7.0,3430744.0
Thi8,761.0,3.0,141862.0,Escondido,,1-107-689-2155,,U,63.0,O,Adams Resources & Energy,10.0,1743614.0
May9,416.0,0.0,402011.0,Los Angeles,,1-173-594-6096,2.0,M,32.0,O,MGIC Investment,,216299.0
mah10,493.0,2.0,79928.0,West Covina,,1-561-520-0611,2.0,M,96.0,O,Iasis Healthcare,9.0,1528641.0
Siz11,564.0,1.0,109496.0,San Buenaventura,,1-730-406-9727,0.0,M,46.0,R,AMR,0.0,3752907.0
cra12,817.0,1.0,267901.0,Lexington,,,4.0,U,6.0,U,Embarq,0.0,582378.0
dac13,653.0,3.0,487273.0,Hay River,,1-207-867-4589,5.0,U,39.0,R,Advanced Micro Devices,8.0,3458824.0
HIV14,587.0,3.0,34013.0,Toronto,,1-478-629-9641,4.0,M,73.0,O,Cenveo,2.0,469408.0
Pes15,472.0,0.0,473462.0,Denver,Apt. 290,1-026-208-8595,2.0,S,26.0,O,Kelly Services,6.0,1504480.0
CHI16,817.0,5.0,499493.0,St. Paul,,1-432-681-4853,4.0,M,54.0,O,Viacom,4.0,2763009.0
Din17,441.0,5.0,266928.0,Bellevue,,,4.0,M,87.0,R,Macy's,0.0,2787199.0
De 18,848.0,2.0,72444.0,Detroit,,1-357-207-6320,3.0,M,85.0,O,Gardner Denver,6.0,2789368.0
Mck19,843.0,3.0,77290.0,Omaha,,1-462-774-1277,3.0,U,86.0,R,Family Dollar Stores,8.0,2784776.0
WIN20,,2.0,395066.0,Costa Mesa,,1-702-382-2898,0.0,U,59.0,R,,,288747.0
BIT21,300.0,5.0,119283.0,Berkeley,,1-909-554-7120,3.0,U,94.0,O,Sun Microsystems,0.0,876575.0
luz22,795.0,1.0,330991.0,St. Louis,,1-752-296-7940,1.0,U,,O,Costco Wholesale,8.0,2041224.0
