address_id,address,address2,district,postal_code,phone,city_id,city,country_id,country
62,1114 Liepaja Street,,Sarawak,69226,212869228936,282,Kuching,59,Malaysia
254,786 Stara Zagora Way,,Oyo & Osun,98332,716256596301,390,Oyo,69,Nigeria
476,270 Tambaram Parkway,,Gauteng,9668,248446668735,244,Johannesburg,85,South Africa
446,1924 Shimonoseki Drive,,Batna,52625,406784385440,59,Batna,2,Algeria
364,1623 Kingstown Drive,,Buenos Aires,91299,296394569728,20,Almirante Brown,6,Argentina
176,29 Pyongyang Loop,,Batman,47753,734780743462,58,Batman,97,Turkey
580,923 Tangail Boulevard,,Tokyo-to,33384,315528269898,10,Akishima,50,Japan
486,64 Korla Street,,Mwanza,25145,510383179153,347,Mwanza,93,Tanzania
321,651 Pathankot Loop,,Maharashtra,59811,139378397418,336,Miraj,44,India
426,1661 Abha Drive,,Tamil Nadu,14400,270456873752,416,Pudukkottai,44,India
347,1293 Nam Dinh Way,,Roraima,71583,697656479977,84,Boa Vista,15,Brazil
297,1192 Tongliao Street,,Sharja,19065,350970907017,470,Sharja,101,United Arab Emirates
411,264 Bhimavaram Manor,,St Thomas,54749,302526949177,111,Charlotte Amalie,106,"Virgin Islands, U.S."
156,1963 Moscow Place,,Assam,64863,761379480249,354,Nagaon,44,India
108,1386 Yangor Avenue,,Provence-Alpes-Cte,80720,449216226468,543,Toulon,34,France
595,1074 Sanaa Parkway,,Loja,22474,154124128457,311,Loja,28,Ecuador
131,801 Hagonoy Drive,,Smolensk,8439,237426099212,484,Smolensk,80,Russian Federation
507,1197 Sokoto Boulevard,,West Bengali,87687,868602816371,478,Siliguri (Shiliguri),44,India
209,1679 Antofagasta Street,,Alto Paran,86599,905903574913,122,Ciudad del Este,73,Paraguay
123,1987 Coacalco de Berriozábal Loop,,al-Qalyubiya,96065,787654415858,476,Shubra al-Khayma,29,Egypt
439,1351 Aparecida de Goiânia Parkway,,Northern Mindanao,41775,959834530529,391,Ozamis,75,Philippines
340,507 Smolensk Loop,,Sousse,22971,80303246192,492,Sousse,96,Tunisia
308,687 Alessandria Parkway,,Sanaa,57587,407218522294,455,Sanaa,107,Yemen
354,953 Hodeida Street,,Southern Tagalog,18841,53912826864,221,Imus,75,Philippines
514,1747 Rustenburg Place,,Bihar,51369,442673923363,110,Chapra,44,India
294,1912 Allende Manor,,Kowloon and New Kowl,58124,172262454487,279,Kowloon and New Kowloon,42,Hong Kong
18,770 Bydgoszcz Avenue,,California,16266,517338314235,120,Citrus Heights,103,United States
282,556 Baybay Manor,,Oyo & Osun,55802,363982224739,374,Ogbomosho,69,Nigeria
90,870 Ashqelon Loop,,Songkhla,84931,135117278909,489,Songkhla,94,Thailand
420,992 Klerksdorp Loop,,Utrecht,33711,855290087237,23,Amersfoort,67,Netherlands
489,1297 Alvorada Parkway,,Ningxia,11839,508348602835,587,Yinchuan,23,China
153,782 Mosul Street,,Massachusetts,25545,885899703621,94,Brockton,103,United States
372,230 Urawa Drive,,Andhra Pradesh,2738,166898395731,8,Adoni,44,India
146,483 Ljubertsy Parkway,,Scotland,60562,581174211853,149,Dundee,102,United Kingdom
204,387 Mwene-Ditu Drive,,Ahal,8073,764477681869,35,Ashgabat,98,Turkmenistan
589,1584 Ljubertsy Lane,,England,22954,285710089439,494,Southampton,102,United Kingdom
304,1635 Kuwana Boulevard,,Hiroshima,52137,710603868323,205,Hiroshima,50,Japan
263,532 Toulon Street,,Santiago,69517,46871694740,460,Santiago de los Caballeros,27,Dominican Republic
244,1148 Saarbrücken Parkway,,Fukushima,1921,137773001988,226,Iwaki,50,Japan
378,1191 Tandil Drive,,Southern Tagalog,6362,45554316010,523,Tanauan,75,Philippines
397,614 Pak Kret Street,,Addis Abeba,27796,47808359842,6,Addis Abeba,31,Ethiopia
70,1150 Kimchon Manor,,Skne ln,96109,663449333709,321,Malmö,90,Sweden
129,569 Baicheng Lane,,Gauteng,60304,490211944645,85,Boksburg,85,South Africa
576,1351 Sousse Lane,,Coahuila de Zaragoza,37815,203804046132,341,Monclova,60,Mexico
175,316 Uruapan Street,,Perak,58194,275788967899,223,Ipoh,59,Malaysia
14,1531 Salé Drive,,Esfahan,53628,648856936185,162,Esfahan,46,Iran
534,486 Ondo Parkway,,Benguela,35202,105882218332,67,Benguela,4,Angola
64,81 Hodeida Way,,Rajasthan,55561,250767749542,231,Jaipur,44,India
178,1848 Salala Boulevard,,Miranda,25220,48265851133,373,Ocumare del Tuy,104,Venezuela
250,829 Grand Prairie Way,,Paraná,6461,741070712873,328,Maringá,15,Brazil
224,1842 Luziânia Boulevard,,Zanzibar West,94420,706878974831,593,Zanzibar,93,Tanzania
315,543 Bergamo Avenue,,Minas Gerais,59686,103602195112,215,Ibirité,15,Brazil
6,1121 Loja Avenue,,California,17886,838635286649,449,San Bernardino,103,United States
485,984 Novotšerkassk Loop,,Gaziantep,28165,435118527255,180,Gaziantep,97,Turkey
183,1089 Iwatsuki Avenue,,Kirov,35109,866092335135,270,Kirovo-Tšepetsk,80,Russian Federation
288,226 Halifax Street,,Xinxiang,58492,790651020929,277,Korla,23,China
58,1964 Allappuzha (Alleppey) Street,,Yamaguchi,48980,920811325222,227,Iwakuni,50,Japan
574,502 Mandi Bahauddin Parkway,,Anzotegui,15992,618156722572,55,Barcelona,104,Venezuela
170,710 San Felipe del Progreso Avenue,,Lilongwe,76901,843801144113,304,Lilongwe,58,Malawi
523,608 Birgunj Parkway,,Taipei,400,627425618482,116,Chungho,92,Taiwan
419,397 Sunnyvale Avenue,,Guanajuato,55566,680851640676,19,Allende,60,Mexico
338,431 Székesfehérvár Avenue,,Baki,57828,119501405123,48,Baku,10,Azerbaijan
520,1778 Gijón Manor,,Hubei,35156,288910576761,594,Zaoyang,23,China
194,605 Rio Claro Parkway,,Tabora,49348,352469351088,513,Tabora,93,Tanzania
85,320 Baiyin Parkway,,Mahajanga,37307,223664661973,319,Mahajanga,57,Madagascar
522,1768 Udine Loop,,Battambang,32347,448876499197,60,Battambang,18,Cambodia
134,758 Junan Lane,,Gois,82639,935448624185,190,Águas Lindas de Goiás,15,Brazil
361,45 Aparecida de Goiânia Place,,Madhya Pradesh,7431,650496654258,464,Satna,44,India
260,127 Iwakuni Boulevard,,Central Luzon,20777,987442542471,192,Hagonoy,75,Philippines
384,97 Mogiljov Lane,,Gujarat,89294,924815207181,73,Bhavnagar,44,India
382,220 Hidalgo Drive,,Kermanshah,45298,342720754566,265,Kermanshah,46,Iran
535,635 Brest Manor,,Andhra Pradesh,40899,80593242951,75,Bhimavaram,44,India
404,734 Béchar Place,,Punjab,30586,280578750435,375,Okara,72,Pakistan
199,1792 Valle de la Pascua Place,,Nordrhein-Westfalen,15540,419419591240,477,Siegen,38,Germany
322,1359 Zhoushan Parkway,,Streymoyar,29763,46568045367,545,Tórshavn,32,Faroe Islands
311,715 São Bernardo do Campo Lane,,Kedah,84804,181179321332,507,Sungai Petani,59,Malaysia
472,1447 Chatsworth Place,,Chihuahua,41545,769370126331,129,Cuauhtémoc,60,Mexico
448,614 Denizli Parkway,,Rio Grande do Sul,29444,876491807547,486,São Leopoldo,15,Brazil
579,521 San Juan Bautista Tuxtepec Place,,Qaraghandy,95093,844018348565,598,Zhezqazghan,51,Kazakstan
201,817 Bradford Loop,,Ji´angsu,89459,264286442804,109,Changzhou,23,China
403,1190 0 Place,,Rio Grande do Sul,10417,841876514789,44,Bagé,15,Brazil
197,447 Surakarta Loop,,Nyanza,10428,940830176580,271,Kisumu,52,Kenya
271,1587 Loja Manor,,Salzburg,5410,621625204422,447,Salzburg,9,Austria
481,1153 Allende Way,,Québec,20336,856872225376,179,Gatineau,20,Canada
215,1333 Haldia Street,,Jilin,82161,408304391718,174,Fuyu,23,China
2,28 MySQL Boulevard,,QLD,,,576,Woodridge,8,Australia
570,415 Pune Avenue,,Shandong,44274,203202500108,580,Xintai,23,China
418,126 Acuña Parkway,,West Bengali,58888,480039662421,71,Berhampore (Baharampur),44,India
46,1632 Bislig Avenue,,Nonthaburi,61117,471675840679,394,Pak Kret,94,Thailand
227,1820 Maringá Parkway,,Punjab,88307,99760893676,324,Mandi Bahauddin,72,Pakistan
99,1697 Tanauan Lane,,Punjab,22870,4764773857,399,Pathankot,44,India
290,1336 Benin City Drive,,Shiga,46044,341242939532,386,Otsu,50,Japan
375,1049 Matamoros Parkway,,Karnataka,69640,960505250340,191,Gulbarga,44,India
139,943 Johannesburg Avenue,,Maharashtra,5892,90921003005,417,Pune,44,India
216,660 Jedda Boulevard,,Washington,25053,168758068397,65,Bellevue,103,United States
106,659 Vaduz Drive,,Ha Darom,49708,709935135487,34,Ashdod,48,Israel
582,1568 Celaya Parkway,,Kaohsiung,34750,278669994384,168,Fengshan,92,Taiwan
475,434 Ourense (Orense) Manor,,Hodeida,14122,562370137426,206,Hodeida,107,Yemen
549,454 Qinhuangdao Drive,,Tadla-Azilal,25866,786270036240,68,Beni-Mellal,62,Morocco
158,798 Cianjur Avenue,,Shanxi,76990,499408708580,590,Yuncheng,23,China
65,915 Ponce Place,,Basel-Stadt,83980,1395251317,56,Basel,91,Switzerland
246,1246 Boksburg Parkway,,Hebei,28349,890283544295,422,Qinhuangdao,23,China
451,1704 Tambaram Manor,,West Bengali,2834,39463554936,554,Uluberia,44,India
524,680 A Coruña (La Coruña) Manor,,Sivas,49806,158326114853,482,Sivas,97,Turkey
166,1740 Le Mans Loop,,Pays de la Loire,22853,168476538960,297,Le Mans,34,France
293,86 Higashiosaka Lane,,Guanajuato,33768,957128697225,563,Valle de Santiago,60,Mexico
160,1367 Yantai Manor,,Ondo & Ekiti,21294,889538496300,381,Ondo,69,Nigeria
