prospect_AgID,prospect_MaSt,prospect_CreRa,prospect_Co,prospect_In,prospect_St,prospect_OORFl,prospect_FiNa,prospect_LaNa,prospect_MidIn,prospect_Pho,prospect_NuChil,prospect_Ag,prospect_Ci,prospect_AddLi1,prospect_NuC,prospect_Em,prospect_NuCreCar,prospect_NeWor
Iok7501,U,580.0,United States of America,94490.0,MO,U,wbwsqgtaa,Iokwiqojocjanndatkdzgymym,n,1-637-119-9996,,7.0,Baltimore,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,3.0,FM Global,,321776.0
tia7502,S,683.0,Canada,7037.0,TX,R,QGJWCPAPZMWHYHZTNOYSSOQBI,tiabxgseasiibxakctfzhfwotp,,1-560-405-0048,4.0,48.0,Kitchener,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,4.0,MGIC Investment,2.0,2292324.0
AOI7503,M,411.0,,419269.0,CT,O,BHGXDDPUMBESLQMNEPREPTZNNKM,AOIWIWTIHIXOJ,u,1-261-306-5079,5.0,14.0,Saint John,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,1.0,Ross Stores,2.0,969707.0
PJQ7504,W,818.0,United States of America,76681.0,UT,U,Xgnvppcxgfnmawlupgfa,PJQSPMBUHYQKBOZ,,1-642-299-6655,5.0,29.0,Berkeley,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,4.0,,9.0,3899461.0
SDV7505,U,370.0,United States of America,209116.0,RI,R,Tfiozpstcftslqtwkgngiiwo,SDVLJWXENNGWCQMIW,,,4.0,69.0,Missoula,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,2.0,Alliance One International,7.0,3749223.0
Hga7506,U,833.0,,212203.0,DE,O,fbcahlrhhjoslfzqvvwwvhk,Hgakmykzeunwkiaxayulpwyxrcuev,F,1-388-257-4273,0.0,47.0,Salinas,Ajpkrmtlcbdzr,0.0,Sally Beauty Holdings,6.0,3658531.0
Beo7507,M,536.0,Canada,42018.0,NM,U,Dcgkohfcwyoaxckalqnkrzwq,Beotomyndkiqryllkvpavllytov,D,,5.0,0.0,San Jose,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,5.0,Wisconsin Energy,2.0,1738460.0
Qum7508,S,775.0,United States of America,90446.0,WV,R,Vmnmcsinflxxmmifydckncc,Qumxrssnd,,1-632-118-1891,0.0,46.0,Cleveland,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,0.0,Carpenter Technology,0.0,3307296.0
Hud7509,M,765.0,United States of America,16274.0,NH,R,Vrkbkkxkddtximspigmlbwzt,Hudlpfwjagzbnznyhamjkhbf,v,1-853-806-4986,1.0,6.0,Huntington,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,1.0,Liberty Mutual Insurance Group,3.0,1816419.0
jba7510,M,555.0,Canada,22215.0,WY,O,RMWCTFTLSVTMCBI,jbabemsfwdyeihxq,,1-220-687-2027,2.0,22.0,Paterson,Ycltsquohmuugxihqyluhkoy,5.0,Black & Decker,6.0,2599250.0
dgc7511,M,,United States of America,210038.0,Saskatchewan,O,Zaijioc,dgcnbxfhc,,,1.0,72.0,Greensboro,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,5.0,Interstate Bakeries,3.0,490443.0
lql7512,M,318.0,Canada,307402.0,NE,O,Mdwdjpdfmbqjaygkfqzqx,lqlslgqsvyfxqnzuwbfg,,1-268-630-3843,5.0,40.0,Concord,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,4.0,eBay,9.0,3348923.0
Wsk7513,D,613.0,United States of America,,AR,R,Ccbccgvldfvoqtzestvkwunn,Wskjvrujdwku,,1-915-548-9541,1.0,8.0,Colorado Springs,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,4.0,Boise,4.0,331799.0
