AgencyID,Age,NumberCreditCards,MiddleInitial,State,MaritalStatus,NumberCars,FirstName,Gender,City,NetWorth,AddressLine1,NumberChildren,OwnOrRentFlag,Phone,LastName,AddressLine2,PostalCode
PEL0,82.0,,,MA,W,,Negti,f,Fairbahks,3401500.0,21847llympuaztreet,3.0,O,1 712 522 6088,PELLAND,,T6b 1i1
LED1,71.0,6.0,,PA,U,1.0,TRUDh,F,auebec,4962855.0,245congrssscou5y,2.0,U,1 626 426 4298,LEDUC,APT. 624,77281
lat2,,2.0,,Alverta,S,3.0,irepand,,Hend3rson,2020913.0,6r1ufrailingqest,4.0,O,1 524 787 8784,latif,,91355
RUD3,62.0,2.0,,AR,W,1.0,Mksti,,Salej,925302.0,q1449hlalockpa5k,3.0,O,1 741 997 1688,RUDDICK,,36615
JAY4,163.0,8.0,M,OR,M,6.0,sxrena,f,T8ledo,1720983.0,18r54doddcourf,3.0,O,1 002 194 1991,JAYAMANNE,Apt. 619,t6a 1i3
tod5,33.0,9.0,Z,VA,M,3.0,Paulet4e,M,sorpusCnristi,450692.0,14117roxboriatreft,4.0,R,1 441 371 7651,todo,,A2b 1v3
Kan6,149.0,4.0,R,OH,,1.0,AMApITA,m,SqltLajeCity,1541317.0,24698FoOREgCEWEST,6.0,O,1 957 940 5980,Kanno,,49513
Din7,105.0,3.0,Z,PrinceEewzrdIslqnd,M,4.0,Ernest9,,frownsviloe,4393174.0,6488wpple1oiddrive,0.0,U,1 768 633 4096,Dinkel,,M5d 1v6
Thi8,92.0,7.0,,NV,U,2.0,Toby,,Escondivo,2293043.0,17t04talecourt,,O,1 107 689 2155,Thibodeaux,,V6c 1q1
May9,46.0,,,kntario,M,4.0,ebangelia,,LosAhgelex,1564777.0,159q2alexisztreet,2.0,O,1 173 594 6096,Mayo,,99716
mag10,35.0,3.0,U,TX,M,4.0,umaksnth,,WesfCovija,962476.0,183135tuiane,1.0,O,1 561 520 0611,mahendra,,A2b 1w1
ziz11,85.0,12.0,,NE,M,1.0,tetrie,,SabBuenaventufq,3013271.0,23653coolierav2nue,3.0,R,1 730 406 9727,Sizto,,M5F 1W1
cfa12,4.0,5.0,,AR,U,4.0,Mafypat,,Ledington,4147332.0,15305pikepari,3.0,U,,crawley,,95118
dzc13,18.0,7.0,,MI,U,4.0,Cathegin,m,mayRiver,461131.0,1540creqtmetemorth,3.0,R,1 207 867 4589,dacal,,H2f 1v7
HIV24,30.0,9.0,W,MA,M,6.0,anhissa,,Torknto,856030.0,10790gonitacresfenr,2.0,O,1 478 629 9641,HIVELY,,19217
Pes1t,19.0,6.0,,TN,S,2.0,zmour,,Denvwr,1250826.0,23679sIRPORTCRrSCEhT,7.0,O,1 026 208 8595,Peschke,Apt. 290,21228
vHI16,126.0,3.0,,TN,M,3.0,jenisa,,qtPaul,1873112.0,8627douglwqroad,2.0,O,1 432 681 4853,CHILDERHOSE,,85097
Din1y,84.0,3.0,,OK,M,2.0,KATT7E,,Bellevud,3493791.0,7196ashland2ast,1.0,R,,Dinnin,,V6j 1q8
De18,18.0,6.0,M,Ontar9o,M,5.0,Rosell2,,Detrkit,3227105.0,1w11n9rdenstrdet,7.0,O,1 357 207 6320,De witte,,43207
Mvk19,77.0,4.0,,KY,U,3.0,arlyn2,m,Omxha,2767621.0,27982strast,4.0,R,1 462 774 1277,Mckeegan,,V6t 1q8
WIN10,4.0,,P,PA,U,5.0,Rojgchin,M,CostaM2sa,1561610.0,113584lleldestreeh,1.0,R,1 702 382 2898,WINTERS,,94467
BITw1,79.0,3.0,,MD,U,2.0,Darlleeh,,gerkeley,2449335.0,2w084MAoLORYLOWER,1.0,O,1 909 554 7120,BITTMAN,,94321
l8z22,,7.0,V,TX,U,0.0,Rasoslav,f,StLouiz,682055.0,16124wehpamdpark,2.0,O,1 752 296 7940,luzarraga,,C2a 4w7
don22,75.0,5.0,S,IN,,2.0,Aryn,,Coloradpwpribgs,1344861.0,q3822mardincredcent,5.0,U,1 995 554 5056,donovan,,35808
Gia25,67.0,2.0,T,MD,M,3.0,Alliswn,,Fonyana,1915448.0,2103valktabouoevard,5.0,O,1 090 303 3807,Giallo,,M5f 1v6
SPR2r,82.0,9.0,,KY,M,2.0,Ammama3ia,M,ShCxtharines,3396965.0,115r8COLLIN3OODAV4hUE,3.0,O,1 492 968 0932,SPRUELL,,99539
SmA26,,11.0,,CA,D,6.0,Mari,F,Hayware,749683.0,7818fASTqTREET,2.0,O,1 960 227 2020,SKALSKI,,95055
Ga527,43.0,16.0,,FL,S,2.0,Amica,m,Palmxale,643716.0,w0013shaaroad,,O,1 431 122 8597,Gargul,,93686
D8r28,64.0,9.0,,Ne1fohndland,M,2.0,Melva,,Phienix,365773.0,6801wMESSTREET,4.0,O,1 822 836 7200,Dore,,75218
DIp29,62.0,2.0,X,TX,,3.0,5racee,,Gary,3346700.0,22591SUjMITRUE,3.0,,1 530 117 0497,DIOGO,,91174
Mef30,67.0,1.0,,WA,S,4.0,CANArIAN,m,Beaymont,209393.0,291frzmcesrue,0.0,O,1 051 257 2719,Merrick,,49515
Atd31,37.0,3.0,R,MN,U,2.0,Oue,,Naahua,958667.0,w62ytsanderseast,6.0,O,1 171 989 1363,Atchison,,16506
Plz32,70.0,7.0,X,WY,M,2.0,wall9e,m,SsnJose,2209526.0,16978canteyway,3.0,O,1 042 705 3246,Plamondon,,94383
dEL33,82.0,10.0,E,NY,M,3.0,Andromaxge,F,Nasgua,329300.0,21160EDLOwBOULEVxRD,3.0,R,1 098 328 2026,SELCHOW,,T6d 1b3
aha34,79.0,9.0,Z,SC,M,3.0,THOR,f,F8rtSmith,1918124.0,u85CROSBYpANE,7.0,U,1 209 754 5635,shane,,25339
kER35,54.0,13.0,,MS,M,2.0,zALAH,,Lancast2r,2379387.0,12235jwystrwet,5.0,U,1 498 781 3456,MERWIN,,V6o 1v4
con3y,65.0,10.0,,UT,M,1.0,HORLAh,,Colo3acoSpr8ngs,1665785.0,2034pLkMBA4DCRESCEmT,1.0,O,1 615 241 0440,conrad,,01852
onsr7,164.0,7.0,,PA,S,2.0,Vahia,M,3ashintton,1029377.0,22974rexterup9er,5.0,R,1 995 449 5200,onsiteteam,,78230
Sumr8,108.0,6.0,,OK,U,3.0,Niel,M,Loqell,451950.0,1540nUR9ERUE,3.0,O,1 295 673 4452,Summerlin,,93770
gto39,40.0,10.0,F,WY,S,0.0,ziad,,Fredrrick,2034432.0,7o75glenoochdriv3,0.0,O,1 914 675 2986,grooms,,m4l 1n4
dol40,131.0,6.0,I,RI,M,3.0,Claufe,,Mesa,1699886.0,112w7balmofaoway,3.0,O,,dilkie,Apt. 382,22335
DOL4w,85.0,2.0,,HI,U,1.0,AdTAR,,Lakewlod,3343034.0,9316rARD2NBROOKmORTH,6.0,O,1 825 739 0336,DOLSON,,V6C 1T4
oos42,31.0,3.0,,VA,M,4.0,Donnj,,Clevelanw,1443280.0,2240clittonllwef,1.0,O,1 956 713 3802,Posthumus,,M6t 1h3
hac43,49.0,5.0,,OK,M,5.0,Cocoq,,GranwRapiss,3089631.0,209p7NOTINGHAMiiWER,2.0,O,1 814 932 1579,Machika,,95263
