gncd,wnrrntflg,frstnm,mrtlstts,pstlcd,ntwrth,phn,ncm,nmbrcrs,nmbrchldrn,g,crdtrtng,mplr,nmbrcrdtcrds
Iok7501,U,wbwsqgtaa,U,Guudshirvcu,321776.0,1-637-119-9996,94490.0,3.0,,7.0,580.0,FM Global,
tia7502,R,QGJWCPAPZMWHYHZTNOYSSOQBI,S,wyggjewbe,2292324.0,1-560-405-0048,7037.0,4.0,4.0,48.0,683.0,MGIC Investment,2.0
AOI7503,O,BHGXDDPUMBESLQMNEPREPTZNNKM,M,YMZRQICUTHT,969707.0,1-261-306-5079,419269.0,1.0,5.0,14.0,411.0,Ross Stores,2.0
PJQ7504,U,Xgnvppcxgfnmawlupgfa,W,Bcjuycmcen,3899461.0,1-642-299-6655,76681.0,4.0,5.0,29.0,818.0,,9.0
SDV7505,R,Tfiozpstcftslqtwkgngiiwo,U,Nujxguyehf,3749223.0,,209116.0,2.0,4.0,69.0,370.0,Alliance One International,7.0
Hga7506,O,fbcahlrhhjoslfzqvvwwvhk,U,Neigswk,3658531.0,1-388-257-4273,212203.0,0.0,0.0,47.0,833.0,Sally Beauty Holdings,6.0
Beo7507,U,Dcgkohfcwyoaxckalqnkrzwq,M,WNCEOQPLW,1738460.0,,42018.0,5.0,5.0,0.0,536.0,Wisconsin Energy,2.0
Qum7508,R,Vmnmcsinflxxmmifydckncc,S,Cskdwtkf,3307296.0,1-632-118-1891,90446.0,0.0,0.0,46.0,775.0,Carpenter Technology,0.0
Hud7509,R,Vrkbkkxkddtximspigmlbwzt,M,tcxswloetdt,1816419.0,1-853-806-4986,16274.0,1.0,1.0,6.0,765.0,Liberty Mutual Insurance Group,3.0
jba7510,O,RMWCTFTLSVTMCBI,M,Fkpemasoukih,2599250.0,1-220-687-2027,22215.0,5.0,2.0,22.0,555.0,Black & Decker,6.0
dgc7511,O,Zaijioc,M,NCEVKLQEEWTA,490443.0,,210038.0,5.0,1.0,72.0,,Interstate Bakeries,3.0
lql7512,O,Mdwdjpdfmbqjaygkfqzqx,M,DODDIDDHXS,3348923.0,1-268-630-3843,307402.0,4.0,5.0,40.0,318.0,eBay,9.0
Wsk7513,R,Ccbccgvldfvoqtzestvkwunn,D,Oqnzttrldq,331799.0,1-915-548-9541,,4.0,1.0,8.0,613.0,Boise,4.0
Ffs7514,R,nyakrhdyxravdnhgbtol,U,Lwbawk,1167013.0,1-536-880-0961,432425.0,4.0,1.0,10.0,786.0,MDU Resources Group,4.0
Kvv7515,O,NDNBTVCLKSC,U,Ppsrzjdtg,3960216.0,1-494-335-6022,122041.0,0.0,3.0,24.0,,Freescale Semiconductor,10.0
mpz7516,O,Zmstbluqkipzaojfsomtbdddguq,M,,242246.0,1-814-158-3550,302205.0,1.0,4.0,18.0,623.0,Superior Energy Services,5.0
Jhc7517,O,dpqgvuaoijmkxsesvililpxcrwqe,S,,1217660.0,1-420-580-0795,367555.0,1.0,1.0,79.0,845.0,Monsanto,1.0
dbq7518,U,IHUGYGSRDWILVOFBAKUR,M,Rxdsunq,1229655.0,1-924-305-1666,106025.0,4.0,5.0,36.0,645.0,Newfield Exploration,7.0
Xch7519,O,aefotdcronamhkzsfpvifmobgchmsp,W,JXHVEEOU,1157831.0,1-450-082-2122,106690.0,2.0,2.0,21.0,495.0,Loews,1.0
oir7520,O,jdeyqkerjerjpht,M,XHJQCDPOO,,1-573-009-1404,29373.0,2.0,2.0,4.0,371.0,Apache,8.0
Fqb7521,R,Lwihnxoihqqrvjydsijd,S,rapkjpmvp,,1-603-897-9894,168189.0,2.0,3.0,72.0,462.0,Robert Half International,1.0
qex7522,U,nmnervucuk,S,Slskxm,3467922.0,1-947-161-6502,264756.0,,,1.0,375.0,Viacom,7.0
