CreditRating,NumberCars,MiddleInitial,AgencyID,AddressLine1,Income,Phone,MaritalStatus,Employer,Age,OwnOrRentFlag,NumberCreditCards,LastName,Gender,Country,FirstName,PostalCode,NumberChildren,AddressLine2,NetWorth,State,City
760.0,,,PEL0,21847 olympia street,368776.0,1-712-522-6088,W,Brink's,20.0,O,,PELLAND,f,United States of America,Netti,T6b 1i1,3.0,,1058868.0,MA,Fairbanks
555.0,5.0,,LED1,245 congress court,177967.0,1-626-426-4298,U,,3.0,U,6.0,LEDUC,F,United States of America,TRUDY,77281,1.0,APT. 624,1988185.0,PA,Quebec
566.0,2.0,,lat2,6517 frailing west,321772.0,1-524-787-8784,S,,,O,6.0,latif,,United States of America,ireland,91355,1.0,,3673128.0,Alberta,Henderson
,2.0,,RUD3,11449 blalock park,25449.0,1-741-997-1688,W,Air Products & Chemicals,77.0,O,3.0,RUDDICK,,Canada,Misti,36615,1.0,,2005895.0,AR,Salem
815.0,0.0,M,JAY4,18354 dodd court,166567.0,1-002-194-1991,M,Oshkosh,21.0,O,4.0,JAYAMANNE,f,Canada,sarena,t6a 1i3,3.0,Apt. 619,624736.0,OR,Toledo
333.0,1.0,Z,tod5,14117 roxboro street,43631.0,1-441-371-7651,M,,77.0,R,10.0,todo,M,United States of America,Paulette,A2b 1v3,4.0,,3064615.0,VA,Corpus Christi
528.0,4.0,R,Kan6,24697 FLORENCE WEST,466230.0,1-957-940-5980,,VeraSun Energy,23.0,O,1.0,Kanno,m,Canada,AMALITA,49513,0.0,,3489129.0,OH,Salt Lake City
680.0,2.0,Z,Din7,6488 applewood drive,420243.0,1-768-633-4096,M,IDT,9.0,U,7.0,Dinkel,,United States of America,Ernesto,M5d 1v6,2.0,,3430744.0,Prince Edward Island,Brownsville
761.0,3.0,,Thi8,17404 gale court,141862.0,1-107-689-2155,U,Adams Resources & Energy,63.0,O,10.0,Thibodeaux,,United States of America,Toby,V6c 1q1,,,1743614.0,NV,Escondido
416.0,0.0,,May9,15913 alexis street,402011.0,1-173-594-6096,M,MGIC Investment,32.0,O,,Mayo,,United States of America,evangelia,99716,2.0,,216299.0,Ontario,Los Angeles
493.0,2.0,U,mah10,18313 5th lane,79928.0,1-561-520-0611,M,Iasis Healthcare,96.0,O,9.0,mahendra,,Canada,umakanth,A2b 1w1,2.0,,1528641.0,TX,West Covina
564.0,1.0,,Siz11,13653 collier avenue,109496.0,1-730-406-9727,M,AMR,46.0,R,0.0,Sizto,,United States of America,terrie,M5F 1W1,0.0,,3752907.0,NE,San Buenaventura
817.0,1.0,,cra12,15306 pike park,267901.0,,U,Embarq,6.0,U,0.0,crawley,,United States of America,Mary-pat,95118,4.0,,582378.0,AR,Lexington
653.0,3.0,,dac13,1540 crestmere north,487273.0,1-207-867-4589,U,Advanced Micro Devices,39.0,R,8.0,dacal,m,United States of America,Catherin,H2f 1v7,5.0,,3458824.0,MI,Hay River
587.0,3.0,W,HIV14,10790 bonita crescent,34013.0,1-478-629-9641,M,Cenveo,73.0,O,2.0,HIVELY,,United States of America,annissa,19217,4.0,,469408.0,MA,Toronto
472.0,0.0,,Pes15,24679 AIRPORT CRESCENT,473462.0,1-026-208-8595,S,Kelly Services,26.0,O,6.0,Peschke,,United States of America,Amour,21228,2.0,Apt. 290,1504480.0,TN,Denver
817.0,5.0,,CHI16,7627 douglas road,499493.0,1-432-681-4853,M,Viacom,54.0,O,4.0,CHILDERHOSE,,Canada,jenica,85097,4.0,,2763009.0,TN,St. Paul
