AgeID,Coun,NumC,LN,NumCreCa,AddLi1,FirN,Ge,CreRa,OwORFl,Inc,Ph,NumChil,MarSt,A,Em,NeWo
Iok7501,United States of America,3.0,Iokwiqojocjanndatkdzgymym,,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,wbwsqgtaa,,580.0,U,94490.0,1-637-119-9996,,U,7.0,FM Global,321776.0
tia7502,Canada,4.0,tiabxgseasiibxakctfzhfwotp,2.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,QGJWCPAPZMWHYHZTNOYSSOQBI,M,683.0,R,7037.0,1-560-405-0048,4.0,S,48.0,MGIC Investment,2292324.0
AOI7503,,1.0,AOIWIWTIHIXOJ,2.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,BHGXDDPUMBESLQMNEPREPTZNNKM,,411.0,O,419269.0,1-261-306-5079,5.0,M,14.0,Ross Stores,969707.0
PJQ7504,United States of America,4.0,PJQSPMBUHYQKBOZ,9.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,Xgnvppcxgfnmawlupgfa,m,818.0,U,76681.0,1-642-299-6655,5.0,W,29.0,,3899461.0
SDV7505,United States of America,2.0,SDVLJWXENNGWCQMIW,7.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,Tfiozpstcftslqtwkgngiiwo,,370.0,R,209116.0,,4.0,U,69.0,Alliance One International,3749223.0
Hga7506,,0.0,Hgakmykzeunwkiaxayulpwyxrcuev,6.0,Ajpkrmtlcbdzr,fbcahlrhhjoslfzqvvwwvhk,F,833.0,O,212203.0,1-388-257-4273,0.0,U,47.0,Sally Beauty Holdings,3658531.0
Beo7507,Canada,5.0,Beotomyndkiqryllkvpavllytov,2.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,Dcgkohfcwyoaxckalqnkrzwq,M,536.0,U,42018.0,,5.0,M,0.0,Wisconsin Energy,1738460.0
Qum7508,United States of America,0.0,Qumxrssnd,0.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,Vmnmcsinflxxmmifydckncc,,775.0,R,90446.0,1-632-118-1891,0.0,S,46.0,Carpenter Technology,3307296.0
Hud7509,United States of America,1.0,Hudlpfwjagzbnznyhamjkhbf,3.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,Vrkbkkxkddtximspigmlbwzt,,765.0,R,16274.0,1-853-806-4986,1.0,M,6.0,Liberty Mutual Insurance Group,1816419.0
jba7510,Canada,5.0,jbabemsfwdyeihxq,6.0,Ycltsquohmuugxihqyluhkoy,RMWCTFTLSVTMCBI,m,555.0,O,22215.0,1-220-687-2027,2.0,M,22.0,Black & Decker,2599250.0
dgc7511,United States of America,5.0,dgcnbxfhc,3.0,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,Zaijioc,m,,O,210038.0,,1.0,M,72.0,Interstate Bakeries,490443.0
lql7512,Canada,4.0,lqlslgqsvyfxqnzuwbfg,9.0,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,Mdwdjpdfmbqjaygkfqzqx,,318.0,O,307402.0,1-268-630-3843,5.0,M,40.0,eBay,3348923.0
