NumberCreditCards,LastName,MaritalStatus,NetWorth,Age,FirstName,NumberCars,NumberChildren,State,Country,CreditRating,Income,AddressLine2,Phone,Employer,City,Gender,MiddleInitial,PostalCode,AddressLine1,OwnOrRentFlag,AgencyID
,PELLAND,W,1058868.0,20.0,Netti,,3.0,MA,United States of America,760.0,368776.0,,1-712-522-6088,Brink's,Fairbanks,f,,T6b 1i1,21847 olympia street,O,PEL0
6.0,LEDUC,U,1988185.0,3.0,TRUDY,5.0,1.0,PA,United States of America,555.0,177967.0,APT. 624,1-626-426-4298,,Quebec,F,,77281,245 congress court,U,LED1
6.0,latif,S,3673128.0,,ireland,2.0,1.0,Alberta,United States of America,566.0,321772.0,,1-524-787-8784,,Henderson,,,91355,6517 frailing west,O,lat2
3.0,RUDDICK,W,2005895.0,77.0,Misti,2.0,1.0,AR,Canada,,25449.0,,1-741-997-1688,Air Products & Chemicals,Salem,,,36615,11449 blalock park,O,RUD3
4.0,JAYAMANNE,M,624736.0,21.0,sarena,0.0,3.0,OR,Canada,815.0,166567.0,Apt. 619,1-002-194-1991,Oshkosh,Toledo,f,M,t6a 1i3,18354 dodd court,O,JAY4
10.0,todo,M,3064615.0,77.0,Paulette,1.0,4.0,VA,United States of America,333.0,43631.0,,1-441-371-7651,,Corpus Christi,M,Z,A2b 1v3,14117 roxboro street,R,tod5
1.0,Kanno,,3489129.0,23.0,AMALITA,4.0,0.0,OH,Canada,528.0,466230.0,,1-957-940-5980,VeraSun Energy,Salt Lake City,m,R,49513,24697 FLORENCE WEST,O,Kan6
7.0,Dinkel,M,3430744.0,9.0,Ernesto,2.0,2.0,Prince Edward Island,United States of America,680.0,420243.0,,1-768-633-4096,IDT,Brownsville,,Z,M5d 1v6,6488 applewood drive,U,Din7
10.0,Thibodeaux,U,1743614.0,63.0,Toby,3.0,,NV,United States of America,761.0,141862.0,,1-107-689-2155,Adams Resources & Energy,Escondido,,,V6c 1q1,17404 gale court,O,Thi8
,Mayo,M,216299.0,32.0,evangelia,0.0,2.0,Ontario,United States of America,416.0,402011.0,,1-173-594-6096,MGIC Investment,Los Angeles,,,99716,15913 alexis street,O,May9
9.0,mahendra,M,1528641.0,96.0,umakanth,2.0,2.0,TX,Canada,493.0,79928.0,,1-561-520-0611,Iasis Healthcare,West Covina,,U,A2b 1w1,18313 5th lane,O,mah10
0.0,Sizto,M,3752907.0,46.0,terrie,1.0,0.0,NE,United States of America,564.0,109496.0,,1-730-406-9727,AMR,San Buenaventura,,,M5F 1W1,13653 collier avenue,R,Siz11
0.0,crawley,U,582378.0,6.0,Mary-pat,1.0,4.0,AR,United States of America,817.0,267901.0,,,Embarq,Lexington,,,95118,15306 pike park,U,cra12
8.0,dacal,U,3458824.0,39.0,Catherin,3.0,5.0,MI,United States of America,653.0,487273.0,,1-207-867-4589,Advanced Micro Devices,Hay River,m,,H2f 1v7,1540 crestmere north,R,dac13
2.0,HIVELY,M,469408.0,73.0,annissa,3.0,4.0,MA,United States of America,587.0,34013.0,,1-478-629-9641,Cenveo,Toronto,,W,19217,10790 bonita crescent,O,HIV14
6.0,Peschke,S,1504480.0,26.0,Amour,0.0,2.0,TN,United States of America,472.0,473462.0,Apt. 290,1-026-208-8595,Kelly Services,Denver,,,21228,24679 AIRPORT CRESCENT,O,Pes15
4.0,CHILDERHOSE,M,2763009.0,54.0,jenica,5.0,4.0,TN,Canada,817.0,499493.0,,1-432-681-4853,Viacom,St. Paul,,,85097,7627 douglas road,O,CHI16
0.0,Dinnin,M,2787199.0,87.0,KATTIE,5.0,4.0,OK,United States of America,441.0,266928.0,,,Macy's,Bellevue,,,V6j 1q8,6106 ashland east,R,Din17
6.0,De witte,M,2789368.0,85.0,Roselle,2.0,3.0,Ontario,United States of America,848.0,72444.0,,1-357-207-6320,Gardner Denver,Detroit,,M,43207,1111 norden street,O,De 18
8.0,Mckeegan,U,2784776.0,86.0,arlyne,3.0,3.0,KY,United States of America,843.0,77290.0,,1-462-774-1277,Family Dollar Stores,Omaha,m,,V6t 1q8,2798 1st east,R,Mck19
,WINTERS,U,288747.0,59.0,Rong-chin,2.0,0.0,PA,United States of America,,395066.0,,1-702-382-2898,,Costa Mesa,M,P,94467,11358 elle lee street,R,WIN20
0.0,BITTMAN,U,876575.0,94.0,Darlleen,5.0,3.0,MD,United States of America,300.0,119283.0,,1-909-554-7120,Sun Microsystems,Berkeley,,,94321,21074 MALLORY LOWER,O,BIT21
8.0,luzarraga,U,2041224.0,,Radoslav,1.0,1.0,TX,United States of America,795.0,330991.0,,1-752-296-7940,Costco Wholesale,St. Louis,f,V,C2a 4w7,16124 weyland park,O,luz22
5.0,donovan,,2231509.0,5.0,Aryn,4.0,0.0,IN,United States of America,367.0,,,1-995-554-5056,Illinois Tool Works,Colorado Springs,,S,35808,23822 marvin crescent,U,don23
1.0,Giallo,M,3206409.0,23.0,Allisan,1.0,5.0,MD,United States of America,507.0,252031.0,,1-090-303-3807,Southern Union,Fontana,,T,M5f 1v6,2203 valita boulevard,O,Gia24
9.0,SPRUELL,M,3850037.0,61.0,Ammamaria,3.0,1.0,KY,United States of America,362.0,101800.0,,1-492-968-0932,Moog,St. Catharines,M,,99539,11538 COLLINWOOD AVENUE,O,SPR25
