pagamento_id,cliente_id,ppersonale_id,ammontare,data_pagamento,noleggio_id,data_noleggio,inventario_id,data_restituzione,npersonale_id,cliente_negozio_id,cliente_nome,cliente_cognome,cliente_email,cliente_indirizzo_id,cliente_attivo,cliente_data_creazione,cliente_indirizzo,cliente_indirizzo2,cliente_distretto,cliente_codice_postale,cliente_telefono,cliente_città_id,cliente_città,cliente_stato_id,cliente_stato,personale_nome,personale_cognome,personale_indirizzo_id,personale_email,personale_negozio_id,personale_attivo,personale_nomeutente,personale_password,personale_indirizzo,personale_indirizzo2,personale_distretto,personale_codice_postale,personale_telefono,personale_città_id,personale_città,personale_stato_id,personale_stato,personale_negozio_capo_personale_id,personale_negozio_indirizzo_id,personale_negozio_indirizzo,personale_negozio_indirizzo2,personale_negozio_distretto,personale_negozio_codice_postale,personale_negozio_telefono,personale_negozio_città_id,personale_negozio_città,personale_negozio_stato_id,personale_negozio_stato,personale_negozio_capo_nome,personale_negozio_capo_cognome,personale_negozio_capo_indirizzo_id,personale_negozio_capo_email,personale_negozio_capo_negozio_id,personale_negozio_capo_attivo,personale_negozio_capo_nomeutente,personale_negozio_capo_password,personale_negozio_capo_indirizzo,personale_negozio_capo_indirizzo2,personale_negozio_capo_distretto,personale_negozio_capo_codice_postale,personale_negozio_capo_telefono,personale_negozio_capo_città_id,personale_negozio_capo_città,personale_negozio_capo_stato_id,personale_negozio_capo_stato,cliente_negozio_capo_personale_id,cliente_negozio_indirizzo_id,cliente_negozio_indirizzo,cliente_negozio_indirizzo2,cliente_negozio_distretto,cliente_negozio_codice_postale,cliente_negozio_telefono,cliente_negozio_città_id,cliente_negozio_città,cliente_negozio_stato_id,cliente_negozio_stato,cliente_negozio_capo_nome,cliente_negozio_capo_cognome,cliente_negozio_capo_indirizzo_id,cliente_negozio_capo_email,cliente_negozio_capo_negozio_id,cliente_negozio_capo_attivo,cliente_negozio_capo_nomeutente,cliente_negozio_capo_password,cliente_negozio_capo_indirizzo,cliente_negozio_capo_indirizzo2,cliente_negozio_capo_distretto,cliente_negozio_capo_codice_postale,cliente_negozio_capo_telefono,cliente_negozio_capo_città_id,cliente_negozio_capo_città,cliente_negozio_capo_stato_id,cliente_negozio_capo_stato,film_id,negozio_id,film_titolo,film_descrizione,film_data_rilascio,film_lingua_id,film_lingua_originale_id,film_durata_noleggio,film_tariffa_noleggio,film_durata,film_costo_sostituzione,film_voto,film_lingua
2,1,1,0.99,2005-05-28 10:35:23,573,2005-05-28 10:35:23,4020,2005-06-03 06:32:23,1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,1,2006-02-14 22:04:36,1913 Hanoi Way,,Nagasaki,35200.0,28303384290.0,463,Sasebo,50,Japan,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,1,1,47 MySakila Drive,,Alberta,,,300,Lethbridge,20,Canada,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,1,1,47 MySakila Drive,,Alberta,,,300,Lethbridge,20,Canada,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,875,2,TALENTED HOMICIDE,A Lacklusture Panorama of a Dentist And a Forensic Psychologist who must Outrace a Pioneer in A U-Boat,2006,1,,6,0.99,173,9.99,PG,English
9,1,1,3.99,2005-06-21 06:24:45,3284,2005-06-21 06:24:45,4566,2005-06-28 03:28:45,1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,1,2006-02-14 22:04:36,1913 Hanoi Way,,Nagasaki,35200.0,28303384290.0,463,Sasebo,50,Japan,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,1,1,47 MySakila Drive,,Alberta,,,300,Lethbridge,20,Canada,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,1,1,47 MySakila Drive,,Alberta,,,300,Lethbridge,20,Canada,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,997,1,YOUTH KICK,A Touching Drama of a Teacher And a Cat who must Challenge a Technical Writer in A U-Boat,2006,1,,4,0.99,179,14.99,NC-17,English
11855,439,1,2.99,2005-08-18 17:31:36,12621,2005-08-18 17:31:36,4566,2005-08-24 16:43:36,2,2,ALEXANDER,FENNELL,ALEXANDER.FENNELL@sakilacustomer.org,444,1,2006-02-14 22:04:37,231 Kaliningrad Place,,Lombardia,57833.0,575081026569.0,70,Bergamo,49,Italy,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,1,1,47 MySakila Drive,,Alberta,,,300,Lethbridge,20,Canada,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,2,2,28 MySQL Boulevard,,QLD,,,576,Woodridge,8,Australia,Jon,Stephens,4,Jon.Stephens@sakilastaff.com,2,1,Jon,,1411 Lillydale Drive,,QLD,,6172235589.0,576,Woodridge,8,Australia,997,1,YOUTH KICK,A Touching Drama of a Teacher And a Cat who must Challenge a Technical Writer in A U-Boat,2006,1,,4,0.99,179,14.99,NC-17,English
14048,522,1,0.99,2005-07-06 04:42:47,3594,2005-07-06 04:42:47,4566,2005-07-10 00:49:47,1,2,ARNOLD,HAVENS,ARNOLD.HAVENS@sakilacustomer.org,528,1,2006-02-14 22:04:37,1176 Southend-on-Sea Manor,,Southern Tagalog,81651.0,236679267178.0,458,Santa Rosa,75,Philippines,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,1,1,47 MySakila Drive,,Alberta,,,300,Lethbridge,20,Canada,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,2,2,28 MySQL Boulevard,,QLD,,,576,Woodridge,8,Australia,Jon,Stephens,4,Jon.Stephens@sakilastaff.com,2,1,Jon,,1411 Lillydale Drive,,QLD,,6172235589.0,576,Woodridge,8,Australia,997,1,YOUTH KICK,A Touching Drama of a Teacher And a Cat who must Challenge a Technical Writer in A U-Boat,2006,1,,4,0.99,179,14.99,NC-17,English
12,1,1,4.99,2005-07-09 13:24:07,5244,2005-07-09 13:24:07,3726,2005-07-14 14:01:07,2,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,1,2006-02-14 22:04:36,1913 Hanoi Way,,Nagasaki,35200.0,28303384290.0,463,Sasebo,50,Japan,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,1,1,47 MySakila Drive,,Alberta,,,300,Lethbridge,20,Canada,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,1,1,47 MySakila Drive,,Alberta,,,300,Lethbridge,20,Canada,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,814,2,SNATCH SLIPPER,A Insightful Panorama of a Woman And a Feminist who must Defeat a Forensic Psychologist in Berlin,2006,1,,6,4.99,110,15.99,PG,English
16,1,1,4.99,2005-07-28 09:04:45,7841,2005-07-28 09:04:45,1092,2005-07-30 12:37:45,2,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,1,2006-02-14 22:04:36,1913 Hanoi Way,,Nagasaki,35200.0,28303384290.0,463,Sasebo,50,Japan,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,1,1,47 MySakila Drive,,Alberta,,,300,Lethbridge,20,Canada,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,1,1,47 MySakila Drive,,Alberta,,,300,Lethbridge,20,Canada,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,243,2,DOORS PRESIDENT,A Awe-Inspiring Display of a Squirrel And a Woman who must Overcome a Boy in The Gulf of Mexico,2006,1,,3,4.99,49,22.99,NC-17,English
6481,240,2,4.99,2005-07-09 14:08:01,5262,2005-07-09 14:08:01,1092,2005-07-12 16:48:01,1,1,MARLENE,WELCH,MARLENE.WELCH@sakilacustomer.org,244,1,2006-02-14 22:04:36,1148 Saarbrücken Parkway,,Fukushima,1921.0,137773001988.0,226,Iwaki,50,Japan,Jon,Stephens,4,Jon.Stephens@sakilastaff.com,2,1,Jon,,1411 Lillydale Drive,,QLD,,6172235589.0,576,Woodridge,8,Australia,2,2,28 MySQL Boulevard,,QLD,,,576,Woodridge,8,Australia,Jon,Stephens,4,Jon.Stephens@sakilastaff.com,2,1,Jon,,1411 Lillydale Drive,,QLD,,6172235589.0,576,Woodridge,8,Australia,1,1,47 MySakila Drive,,Alberta,,,300,Lethbridge,20,Canada,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,243,2,DOORS PRESIDENT,A Awe-Inspiring Display of a Squirrel And a Woman who must Overcome a Boy in The Gulf of Mexico,2006,1,,3,4.99,49,22.99,NC-17,English
1766,64,2,4.99,2006-02-14 15:16:03,13333,2006-02-14 15:16:03,1092,,2,2,JUDITH,COX,JUDITH.COX@sakilacustomer.org,68,0,2006-02-14 22:04:36,1966 Amroha Avenue,,Sichuan,70385.0,333489324603.0,139,Daxian,23,China,Jon,Stephens,4,Jon.Stephens@sakilastaff.com,2,1,Jon,,1411 Lillydale Drive,,QLD,,6172235589.0,576,Woodridge,8,Australia,2,2,28 MySQL Boulevard,,QLD,,,576,Woodridge,8,Australia,Jon,Stephens,4,Jon.Stephens@sakilastaff.com,2,1,Jon,,1411 Lillydale Drive,,QLD,,6172235589.0,576,Woodridge,8,Australia,2,2,28 MySQL Boulevard,,QLD,,,576,Woodridge,8,Australia,Jon,Stephens,4,Jon.Stephens@sakilastaff.com,2,1,Jon,,1411 Lillydale Drive,,QLD,,6172235589.0,576,Woodridge,8,Australia,243,2,DOORS PRESIDENT,A Awe-Inspiring Display of a Squirrel And a Woman who must Overcome a Boy in The Gulf of Mexico,2006,1,,3,4.99,49,22.99,NC-17,English
24,1,1,0.99,2005-08-02 18:01:38,11367,2005-08-02 18:01:38,1440,2005-08-04 13:19:38,1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,1,2006-02-14 22:04:36,1913 Hanoi Way,,Nagasaki,35200.0,28303384290.0,463,Sasebo,50,Japan,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,1,1,47 MySakila Drive,,Alberta,,,300,Lethbridge,20,Canada,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,1,1,47 MySakila Drive,,Alberta,,,300,Lethbridge,20,Canada,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,315,2,FINDING ANACONDA,A Fateful Tale of a Database Administrator And a Girl who must Battle a Squirrel in New Orleans,2006,1,,4,0.99,156,10.99,R,English
32,1,1,5.99,2005-08-22 20:03:46,15315,2005-08-22 20:03:46,312,2005-08-30 01:51:46,2,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,1,2006-02-14 22:04:36,1913 Hanoi Way,,Nagasaki,35200.0,28303384290.0,463,Sasebo,50,Japan,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,1,1,47 MySakila Drive,,Alberta,,,300,Lethbridge,20,Canada,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,1,1,47 MySakila Drive,,Alberta,,,300,Lethbridge,20,Canada,Mike,Hillyer,3,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,23 Workhaven Lane,,Alberta,,14033335568.0,300,Lethbridge,20,Canada,70,1,BIKINI BORROWERS,A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station,2006,1,,7,4.99,142,26.99,NC-17,English
