AddressLine2,MaritalStatus,AddressLine1,OwnOrRentFlag,AgencyID,Age,Phone,LastName,State,City,Gender,CreditRating,NumberChildren,NumberCreditCards,MiddleInitial,FirstName,Income,NumberCars,Employer,PostalCode,Country,NetWorth
,W,21847 olympia street,O,PEL0,20.0,1-712-522-6088,PELLAND,MA,Fairbanks,f,760.0,3.0,,,Netti,368776.0,,Brink's,T6b 1i1,United States of America,1058868.0
APT. 624,U,245 congress court,U,LED1,3.0,1-626-426-4298,LEDUC,PA,Quebec,F,555.0,1.0,6.0,,TRUDY,177967.0,5.0,,77281,United States of America,1988185.0
,S,6517 frailing west,O,lat2,,1-524-787-8784,latif,Alberta,Henderson,,566.0,1.0,6.0,,ireland,321772.0,2.0,,91355,United States of America,3673128.0
,W,11449 blalock park,O,RUD3,77.0,1-741-997-1688,RUDDICK,AR,Salem,,,1.0,3.0,,Misti,25449.0,2.0,Air Products & Chemicals,36615,Canada,2005895.0
Apt. 619,M,18354 dodd court,O,JAY4,21.0,1-002-194-1991,JAYAMANNE,OR,Toledo,f,815.0,3.0,4.0,M,sarena,166567.0,0.0,Oshkosh,t6a 1i3,Canada,624736.0
,M,14117 roxboro street,R,tod5,77.0,1-441-371-7651,todo,VA,Corpus Christi,M,333.0,4.0,10.0,Z,Paulette,43631.0,1.0,,A2b 1v3,United States of America,3064615.0
,,24697 FLORENCE WEST,O,Kan6,23.0,1-957-940-5980,Kanno,OH,Salt Lake City,m,528.0,0.0,1.0,R,AMALITA,466230.0,4.0,VeraSun Energy,49513,Canada,3489129.0
,M,6488 applewood drive,U,Din7,9.0,1-768-633-4096,Dinkel,Prince Edward Island,Brownsville,,680.0,2.0,7.0,Z,Ernesto,420243.0,2.0,IDT,M5d 1v6,United States of America,3430744.0
,U,17404 gale court,O,Thi8,63.0,1-107-689-2155,Thibodeaux,NV,Escondido,,761.0,,10.0,,Toby,141862.0,3.0,Adams Resources & Energy,V6c 1q1,United States of America,1743614.0
,M,15913 alexis street,O,May9,32.0,1-173-594-6096,Mayo,Ontario,Los Angeles,,416.0,2.0,,,evangelia,402011.0,0.0,MGIC Investment,99716,United States of America,216299.0
,M,18313 5th lane,O,mah10,96.0,1-561-520-0611,mahendra,TX,West Covina,,493.0,2.0,9.0,U,umakanth,79928.0,2.0,Iasis Healthcare,A2b 1w1,Canada,1528641.0
,M,13653 collier avenue,R,Siz11,46.0,1-730-406-9727,Sizto,NE,San Buenaventura,,564.0,0.0,0.0,,terrie,109496.0,1.0,AMR,M5F 1W1,United States of America,3752907.0
,U,15306 pike park,U,cra12,6.0,,crawley,AR,Lexington,,817.0,4.0,0.0,,Mary-pat,267901.0,1.0,Embarq,95118,United States of America,582378.0
,U,1540 crestmere north,R,dac13,39.0,1-207-867-4589,dacal,MI,Hay River,m,653.0,5.0,8.0,,Catherin,487273.0,3.0,Advanced Micro Devices,H2f 1v7,United States of America,3458824.0
,M,10790 bonita crescent,O,HIV14,73.0,1-478-629-9641,HIVELY,MA,Toronto,,587.0,4.0,2.0,W,annissa,34013.0,3.0,Cenveo,19217,United States of America,469408.0
Apt. 290,S,24679 AIRPORT CRESCENT,O,Pes15,26.0,1-026-208-8595,Peschke,TN,Denver,,472.0,2.0,6.0,,Amour,473462.0,0.0,Kelly Services,21228,United States of America,1504480.0
,M,7627 douglas road,O,CHI16,54.0,1-432-681-4853,CHILDERHOSE,TN,St. Paul,,817.0,4.0,4.0,,jenica,499493.0,5.0,Viacom,85097,Canada,2763009.0
,M,6106 ashland east,R,Din17,87.0,,Dinnin,OK,Bellevue,,441.0,4.0,0.0,,KATTIE,266928.0,5.0,Macy's,V6j 1q8,United States of America,2787199.0
,M,1111 norden street,O,De 18,85.0,1-357-207-6320,De witte,Ontario,Detroit,,848.0,3.0,6.0,M,Roselle,72444.0,2.0,Gardner Denver,43207,United States of America,2789368.0
,U,2798 1st east,R,Mck19,86.0,1-462-774-1277,Mckeegan,KY,Omaha,m,843.0,3.0,8.0,,arlyne,77290.0,3.0,Family Dollar Stores,V6t 1q8,United States of America,2784776.0
,U,11358 elle lee street,R,WIN20,59.0,1-702-382-2898,WINTERS,PA,Costa Mesa,M,,0.0,,P,Rong-chin,395066.0,2.0,,94467,United States of America,288747.0
,U,21074 MALLORY LOWER,O,BIT21,94.0,1-909-554-7120,BITTMAN,MD,Berkeley,,300.0,3.0,0.0,,Darlleen,119283.0,5.0,Sun Microsystems,94321,United States of America,876575.0
,U,16124 weyland park,O,luz22,,1-752-296-7940,luzarraga,TX,St. Louis,f,795.0,1.0,8.0,V,Radoslav,330991.0,1.0,Costco Wholesale,C2a 4w7,United States of America,2041224.0
,,23822 marvin crescent,U,don23,5.0,1-995-554-5056,donovan,IN,Colorado Springs,,367.0,0.0,5.0,S,Aryn,,4.0,Illinois Tool Works,35808,United States of America,2231509.0
,M,2203 valita boulevard,O,Gia24,23.0,1-090-303-3807,Giallo,MD,Fontana,,507.0,5.0,1.0,T,Allisan,252031.0,1.0,Southern Union,M5f 1v6,United States of America,3206409.0
,M,11538 COLLINWOOD AVENUE,O,SPR25,61.0,1-492-968-0932,SPRUELL,KY,St. Catharines,M,362.0,1.0,9.0,,Ammamaria,101800.0,3.0,Moog,99539,United States of America,3850037.0
,D,7818 EAST STREET,O,SKA26,,1-960-227-2020,SKALSKI,CA,Hayward,F,527.0,1.0,7.0,,Mari,436977.0,0.0,Old Republic International,95055,United States of America,528440.0
