Employer,Age,NumberChildren,NumberCars,MaritalStatus,NetWorth,State,AddressLine1,Gender,FirstName,LastName,PostalCode,AgencyID,Income,MiddleInitial,Country,AddressLine2,OwnOrRentFlag,CreditRating,NumberCreditCards,City,Phone
Brink's,20.0,3.0,,W,1058868.0,MA,21847 olympia street,f,Netti,PELLAND,T6b 1i1,PEL0,368776.0,,United States of America,,O,760.0,,Fairbanks,1-712-522-6088
,3.0,1.0,5.0,U,1988185.0,PA,245 congress court,F,TRUDY,LEDUC,77281,LED1,177967.0,,United States of America,APT. 624,U,555.0,6.0,Quebec,1-626-426-4298
,,1.0,2.0,S,3673128.0,Alberta,6517 frailing west,,ireland,latif,91355,lat2,321772.0,,United States of America,,O,566.0,6.0,Henderson,1-524-787-8784
Air Products & Chemicals,77.0,1.0,2.0,W,2005895.0,AR,11449 blalock park,,Misti,RUDDICK,36615,RUD3,25449.0,,Canada,,O,,3.0,Salem,1-741-997-1688
Oshkosh,21.0,3.0,0.0,M,624736.0,OR,18354 dodd court,f,sarena,JAYAMANNE,t6a 1i3,JAY4,166567.0,M,Canada,Apt. 619,O,815.0,4.0,Toledo,1-002-194-1991
,77.0,4.0,1.0,M,3064615.0,VA,14117 roxboro street,M,Paulette,todo,A2b 1v3,tod5,43631.0,Z,United States of America,,R,333.0,10.0,Corpus Christi,1-441-371-7651
VeraSun Energy,23.0,0.0,4.0,,3489129.0,OH,24697 FLORENCE WEST,m,AMALITA,Kanno,49513,Kan6,466230.0,R,Canada,,O,528.0,1.0,Salt Lake City,1-957-940-5980
IDT,9.0,2.0,2.0,M,3430744.0,Prince Edward Island,6488 applewood drive,,Ernesto,Dinkel,M5d 1v6,Din7,420243.0,Z,United States of America,,U,680.0,7.0,Brownsville,1-768-633-4096
Adams Resources & Energy,63.0,,3.0,U,1743614.0,NV,17404 gale court,,Toby,Thibodeaux,V6c 1q1,Thi8,141862.0,,United States of America,,O,761.0,10.0,Escondido,1-107-689-2155
MGIC Investment,32.0,2.0,0.0,M,216299.0,Ontario,15913 alexis street,,evangelia,Mayo,99716,May9,402011.0,,United States of America,,O,416.0,,Los Angeles,1-173-594-6096
Iasis Healthcare,96.0,2.0,2.0,M,1528641.0,TX,18313 5th lane,,umakanth,mahendra,A2b 1w1,mah10,79928.0,U,Canada,,O,493.0,9.0,West Covina,1-561-520-0611
AMR,46.0,0.0,1.0,M,3752907.0,NE,13653 collier avenue,,terrie,Sizto,M5F 1W1,Siz11,109496.0,,United States of America,,R,564.0,0.0,San Buenaventura,1-730-406-9727
Embarq,6.0,4.0,1.0,U,582378.0,AR,15306 pike park,,Mary-pat,crawley,95118,cra12,267901.0,,United States of America,,U,817.0,0.0,Lexington,
Advanced Micro Devices,39.0,5.0,3.0,U,3458824.0,MI,1540 crestmere north,m,Catherin,dacal,H2f 1v7,dac13,487273.0,,United States of America,,R,653.0,8.0,Hay River,1-207-867-4589
Cenveo,73.0,4.0,3.0,M,469408.0,MA,10790 bonita crescent,,annissa,HIVELY,19217,HIV14,34013.0,W,United States of America,,O,587.0,2.0,Toronto,1-478-629-9641
Kelly Services,26.0,2.0,0.0,S,1504480.0,TN,24679 AIRPORT CRESCENT,,Amour,Peschke,21228,Pes15,473462.0,,United States of America,Apt. 290,O,472.0,6.0,Denver,1-026-208-8595
Viacom,54.0,4.0,5.0,M,2763009.0,TN,7627 douglas road,,jenica,CHILDERHOSE,85097,CHI16,499493.0,,Canada,,O,817.0,4.0,St. Paul,1-432-681-4853
Macy's,87.0,4.0,5.0,M,2787199.0,OK,6106 ashland east,,KATTIE,Dinnin,V6j 1q8,Din17,266928.0,,United States of America,,R,441.0,0.0,Bellevue,
Gardner Denver,85.0,3.0,2.0,M,2789368.0,Ontario,1111 norden street,,Roselle,De witte,43207,De 18,72444.0,M,United States of America,,O,848.0,6.0,Detroit,1-357-207-6320
Family Dollar Stores,86.0,3.0,3.0,U,2784776.0,KY,2798 1st east,m,arlyne,Mckeegan,V6t 1q8,Mck19,77290.0,,United States of America,,R,843.0,8.0,Omaha,1-462-774-1277
,59.0,0.0,2.0,U,288747.0,PA,11358 elle lee street,M,Rong-chin,WINTERS,94467,WIN20,395066.0,P,United States of America,,R,,,Costa Mesa,1-702-382-2898
Sun Microsystems,94.0,3.0,5.0,U,876575.0,MD,21074 MALLORY LOWER,,Darlleen,BITTMAN,94321,BIT21,119283.0,,United States of America,,O,300.0,0.0,Berkeley,1-909-554-7120
Costco Wholesale,,1.0,1.0,U,2041224.0,TX,16124 weyland park,f,Radoslav,luzarraga,C2a 4w7,luz22,330991.0,V,United States of America,,O,795.0,8.0,St. Louis,1-752-296-7940
Illinois Tool Works,5.0,0.0,4.0,,2231509.0,IN,23822 marvin crescent,,Aryn,donovan,35808,don23,,S,United States of America,,U,367.0,5.0,Colorado Springs,1-995-554-5056
Southern Union,23.0,5.0,1.0,M,3206409.0,MD,2203 valita boulevard,,Allisan,Giallo,M5f 1v6,Gia24,252031.0,T,United States of America,,O,507.0,1.0,Fontana,1-090-303-3807
Moog,61.0,1.0,3.0,M,3850037.0,KY,11538 COLLINWOOD AVENUE,M,Ammamaria,SPRUELL,99539,SPR25,101800.0,,United States of America,,O,362.0,9.0,St. Catharines,1-492-968-0932
Old Republic International,,1.0,0.0,D,528440.0,CA,7818 EAST STREET,F,Mari,SKALSKI,95055,SKA26,436977.0,,United States of America,,O,527.0,7.0,Hayward,1-960-227-2020
,51.0,,0.0,S,597140.0,FL,10013 shaw road,m,Anica,Gargul,93686,Gar27,495334.0,,United States of America,,O,354.0,0.0,Palmdale,1-431-122-8597
Great Plains Energy,97.0,1.0,1.0,M,146931.0,Newfoundland,6802 AMES STREET,,Melba,Dore,75218,Dor28,274685.0,,United States of America,,O,511.0,1.0,Phoenix,1-822-836-7200
Broadcom,52.0,2.0,2.0,,353495.0,TX,22501 SUMMIT RUE,,Tracee,DIOGO,91174,DIO29,320820.0,X,United States of America,,,412.0,7.0,Gary,1-530-117-0497
Discover Financial Services,98.0,0.0,4.0,S,295647.0,WA,291 frances rue,m,CANADIAN,Merrick,49515,Mer30,195835.0,,Canada,,O,583.0,1.0,Beaumont,1-051-257-2719
UAL,47.0,3.0,5.0,U,408941.0,MN,16264 sanders east,,Oue,Atchison,16506,Atc31,108085.0,R,United States of America,,O,710.0,5.0,Nashua,1-171-989-1363
Charles Schwab,47.0,1.0,2.0,M,362523.0,WY,16068 cantey way,m,wallie,Plamondon,94383,Pla32,260185.0,X,United States of America,,O,380.0,9.0,San Jose,1-042-705-3246
Coach,9.0,0.0,0.0,M,2102359.0,NY,21170 EDLOE BOULEVARD,F,Andromache,SELCHOW,T6d 1b3,SEL33,258323.0,E,United States of America,,R,796.0,2.0,Nashua,1-098-328-2026
DaVita,85.0,3.0,1.0,M,3480265.0,SC,885 CROSBY LANE,f,THOR,shane,25339,sha34,79476.0,Z,United States of America,,U,818.0,2.0,Fort Smith,1-209-754-5635
Marshall & Ilsley Corp.,81.0,3.0,5.0,M,3648900.0,MS,12235 jay street,,SALAH,MERWIN,V6o 1v4,MER35,102156.0,,United States of America,,U,766.0,3.0,Lancaster,1-498-781-3456
Cablevision Systems,0.0,3.0,2.0,M,1161790.0,UT,20340 LOMBARD CRESCENT,,HOR-LAM,conrad,01852,con36,221481.0,,United States of America,,O,359.0,2.0,Colorado Springs,1-615-241-0440
Barnes & Noble,28.0,5.0,1.0,S,2050587.0,PA,22074 dexter upper,M,Vania,onsiteteam,78230,ons37,41836.0,,United States of America,,R,401.0,2.0,Washington,1-995-449-5200
EMC,65.0,1.0,1.0,U,3579198.0,OK,1540 MURIE RUE,M,Niel,Summerlin,93770,Sum38,72389.0,,Canada,,O,609.0,0.0,Lowell,1-295-673-4452
Fluor,20.0,0.0,3.0,S,889494.0,WY,7075 glen loch drive,,ziad,grooms,m4l 1n4,gro39,66486.0,F,United States of America,,O,630.0,2.0,Frederick,1-914-675-2986
Dollar General,55.0,1.0,3.0,M,2205682.0,RI,11237 balmoral way,,Claude,dilkie,22335,dil40,200185.0,I,United States of America,Apt. 382,O,671.0,9.0,Mesa,
Lear,76.0,2.0,0.0,U,1140117.0,HI,8316 GARDEN BROOK NORTH,,AVTAR,DOLSON,V6C 1T4,DOL41,289215.0,,United States of America,,O,715.0,10.0,Lakewood,1-825-739-0336
J.P. Morgan Chase & Co.,1.0,1.0,4.0,M,1421319.0,VA,2240 clifton lower,,Donny,Posthumus,M6t 1h3,Pos42,322484.0,,United States of America,,O,707.0,9.0,Cleveland,1-956-713-3802
Affinia Group Intermediate,3.0,2.0,4.0,M,3525204.0,OK,20907 NOTINGHAM LOWER,,Cocos,Machika,95263,Mac43,83458.0,,United States of America,,O,329.0,0.0,Grand Rapids,1-814-932-1579
,100.0,3.0,0.0,D,468976.0,Prince Edward Island,601 carroll lower,,ruud,chenoweth,v5b 1p5,che44,,,United States of America,,R,601.0,8.0,Peoria,1-135-443-7282
