prospect_AgeID,prospect_AddrL1,prospect_MiIni,prospect_NumCreCa,prospect_LN,prospect_Ph,prospect_NumC,prospect_NuCh,prospect_MaSta,prospect_Ag,prospect_CrRa,prospect_OORF,prospect_Em,prospect_NWo
PEL0,21847 olympia street,,,PELLAND,1-712-522-6088,,3.0,W,20.0,760.0,O,Brink's,1058868.0
LED1,245 congress court,,6.0,LEDUC,1-626-426-4298,5.0,1.0,U,3.0,555.0,U,,1988185.0
lat2,6517 frailing west,,6.0,latif,1-524-787-8784,2.0,1.0,S,,566.0,O,,3673128.0
RUD3,11449 blalock park,,3.0,RUDDICK,1-741-997-1688,2.0,1.0,W,77.0,,O,Air Products & Chemicals,2005895.0
JAY4,18354 dodd court,M,4.0,JAYAMANNE,1-002-194-1991,0.0,3.0,M,21.0,815.0,O,Oshkosh,624736.0
tod5,14117 roxboro street,Z,10.0,todo,1-441-371-7651,1.0,4.0,M,77.0,333.0,R,,3064615.0
Kan6,24697 FLORENCE WEST,R,1.0,Kanno,1-957-940-5980,4.0,0.0,,23.0,528.0,O,VeraSun Energy,3489129.0
Din7,6488 applewood drive,Z,7.0,Dinkel,1-768-633-4096,2.0,2.0,M,9.0,680.0,U,IDT,3430744.0
Thi8,17404 gale court,,10.0,Thibodeaux,1-107-689-2155,3.0,,U,63.0,761.0,O,Adams Resources & Energy,1743614.0
May9,15913 alexis street,,,Mayo,1-173-594-6096,0.0,2.0,M,32.0,416.0,O,MGIC Investment,216299.0
mah10,18313 5th lane,U,9.0,mahendra,1-561-520-0611,2.0,2.0,M,96.0,493.0,O,Iasis Healthcare,1528641.0
Siz11,13653 collier avenue,,0.0,Sizto,1-730-406-9727,1.0,0.0,M,46.0,564.0,R,AMR,3752907.0
cra12,15306 pike park,,0.0,crawley,,1.0,4.0,U,6.0,817.0,U,Embarq,582378.0
dac13,1540 crestmere north,,8.0,dacal,1-207-867-4589,3.0,5.0,U,39.0,653.0,R,Advanced Micro Devices,3458824.0
HIV14,10790 bonita crescent,W,2.0,HIVELY,1-478-629-9641,3.0,4.0,M,73.0,587.0,O,Cenveo,469408.0
Pes15,24679 AIRPORT CRESCENT,,6.0,Peschke,1-026-208-8595,0.0,2.0,S,26.0,472.0,O,Kelly Services,1504480.0
CHI16,7627 douglas road,,4.0,CHILDERHOSE,1-432-681-4853,5.0,4.0,M,54.0,817.0,O,Viacom,2763009.0
Din17,6106 ashland east,,0.0,Dinnin,,5.0,4.0,M,87.0,441.0,R,Macy's,2787199.0
De 18,1111 norden street,M,6.0,De witte,1-357-207-6320,2.0,3.0,M,85.0,848.0,O,Gardner Denver,2789368.0
Mck19,2798 1st east,,8.0,Mckeegan,1-462-774-1277,3.0,3.0,U,86.0,843.0,R,Family Dollar Stores,2784776.0
WIN20,11358 elle lee street,P,,WINTERS,1-702-382-2898,2.0,0.0,U,59.0,,R,,288747.0
BIT21,21074 MALLORY LOWER,,0.0,BITTMAN,1-909-554-7120,5.0,3.0,U,94.0,300.0,O,Sun Microsystems,876575.0
