prospect_nmbrcrdtcrds,prospect_ncm,prospect_wnrrntflg,prospect_ntwrth,prospect_gndr,prospect_ddrssln1,prospect_nmbrchldrn,prospect_gncd,prospect_frstnm,prospect_nmbrcrs,prospect_g,prospect_mrtlstts,prospect_cntr,prospect_pstlcd,prospect_lstnm,prospect_ddrssln2,prospect_ct,prospect_mddlntl,prospect_mplr,prospect_crdtrtng,prospect_stt,prospect_phn
,94490.0,U,321776.0,,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,,Iok7501,wbwsqgtaa,3.0,7.0,U,United States of America,Guudshirvcu,Iokwiqojocjanndatkdzgymym,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,Baltimore,n,FM Global,580.0,MO,1-637-119-9996
2.0,7037.0,R,2292324.0,M,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,4.0,tia7502,QGJWCPAPZMWHYHZTNOYSSOQBI,4.0,48.0,S,Canada,wyggjewbe,tiabxgseasiibxakctfzhfwotp,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,Kitchener,,MGIC Investment,683.0,TX,1-560-405-0048
2.0,419269.0,O,969707.0,,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,5.0,AOI7503,BHGXDDPUMBESLQMNEPREPTZNNKM,1.0,14.0,M,,YMZRQICUTHT,AOIWIWTIHIXOJ,Cdrxeolwrrxmwmhgexvcstvzz,Saint John,u,Ross Stores,411.0,CT,1-261-306-5079
9.0,76681.0,U,3899461.0,m,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,5.0,PJQ7504,Xgnvppcxgfnmawlupgfa,4.0,29.0,W,United States of America,Bcjuycmcen,PJQSPMBUHYQKBOZ,WKSBVOFGJHQGAEKUYRZHHPH,Berkeley,,,818.0,UT,1-642-299-6655
7.0,209116.0,R,3749223.0,,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,4.0,SDV7505,Tfiozpstcftslqtwkgngiiwo,2.0,69.0,U,United States of America,Nujxguyehf,SDVLJWXENNGWCQMIW,skxijfqpzshmts,Missoula,,Alliance One International,370.0,RI,
6.0,212203.0,O,3658531.0,F,Ajpkrmtlcbdzr,0.0,Hga7506,fbcahlrhhjoslfzqvvwwvhk,0.0,47.0,U,,Neigswk,Hgakmykzeunwkiaxayulpwyxrcuev,ZETOHHRKIBHCQCKZODIXJJSXCFY,Salinas,F,Sally Beauty Holdings,833.0,DE,1-388-257-4273
2.0,42018.0,U,1738460.0,M,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,5.0,Beo7507,Dcgkohfcwyoaxckalqnkrzwq,5.0,0.0,M,Canada,WNCEOQPLW,Beotomyndkiqryllkvpavllytov,LJXAXKUJXQBGWBHJJAAM,San Jose,D,Wisconsin Energy,536.0,NM,
0.0,90446.0,R,3307296.0,,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,0.0,Qum7508,Vmnmcsinflxxmmifydckncc,0.0,46.0,S,United States of America,Cskdwtkf,Qumxrssnd,Jmlgjkjbqhrudrkqrm,Cleveland,,Carpenter Technology,775.0,WV,1-632-118-1891
3.0,16274.0,R,1816419.0,,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,1.0,Hud7509,Vrkbkkxkddtximspigmlbwzt,1.0,6.0,M,United States of America,tcxswloetdt,Hudlpfwjagzbnznyhamjkhbf,Qqcilgblxyikgr,Huntington,v,Liberty Mutual Insurance Group,765.0,NH,1-853-806-4986
6.0,22215.0,O,2599250.0,m,Ycltsquohmuugxihqyluhkoy,2.0,jba7510,RMWCTFTLSVTMCBI,5.0,22.0,M,Canada,Fkpemasoukih,jbabemsfwdyeihxq,Ahtohqjfzfarn,Paterson,,Black & Decker,555.0,WY,1-220-687-2027
3.0,210038.0,O,490443.0,m,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,1.0,dgc7511,Zaijioc,5.0,72.0,M,United States of America,NCEVKLQEEWTA,dgcnbxfhc,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,Greensboro,,Interstate Bakeries,,Saskatchewan,
9.0,307402.0,O,3348923.0,,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,5.0,lql7512,Mdwdjpdfmbqjaygkfqzqx,4.0,40.0,M,Canada,DODDIDDHXS,lqlslgqsvyfxqnzuwbfg,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,Concord,,eBay,318.0,NE,1-268-630-3843
