AgencyID,Gender,MiddleInitial,Employer,State,Age,AddressLine2,OwnOrRentFlag,Income,City,NumberCars,NumberCreditCards,NetWorth,MaritalStatus,FirstName,LastName,AddressLine1,PostalCode
PEL0,f,,Brink's,MA,20.0,,O,368776.0,Fairbanks,,,1058868.0,W,Netti,PELLAND,21847 olympia street,T6b 1i1
LED1,F,,,PA,3.0,APT. 624,U,177967.0,Quebec,5.0,6.0,1988185.0,U,TRUDY,LEDUC,245 congress court,77281
lat2,,,,Alberta,,,O,321772.0,Henderson,2.0,6.0,3673128.0,S,ireland,latif,6517 frailing west,91355
RUD3,,,Air Products & Chemicals,AR,77.0,,O,25449.0,Salem,2.0,3.0,2005895.0,W,Misti,RUDDICK,11449 blalock park,36615
JAY4,f,M,Oshkosh,OR,21.0,Apt. 619,O,166567.0,Toledo,0.0,4.0,624736.0,M,sarena,JAYAMANNE,18354 dodd court,t6a 1i3
tod5,M,Z,,VA,77.0,,R,43631.0,Corpus Christi,1.0,10.0,3064615.0,M,Paulette,todo,14117 roxboro street,A2b 1v3
Kan6,m,R,VeraSun Energy,OH,23.0,,O,466230.0,Salt Lake City,4.0,1.0,3489129.0,,AMALITA,Kanno,24697 FLORENCE WEST,49513
Din7,,Z,IDT,Prince Edward Island,9.0,,U,420243.0,Brownsville,2.0,7.0,3430744.0,M,Ernesto,Dinkel,6488 applewood drive,M5d 1v6
Thi8,,,Adams Resources & Energy,NV,63.0,,O,141862.0,Escondido,3.0,10.0,1743614.0,U,Toby,Thibodeaux,17404 gale court,V6c 1q1
May9,,,MGIC Investment,Ontario,32.0,,O,402011.0,Los Angeles,0.0,,216299.0,M,evangelia,Mayo,15913 alexis street,99716
mah10,,U,Iasis Healthcare,TX,96.0,,O,79928.0,West Covina,2.0,9.0,1528641.0,M,umakanth,mahendra,18313 5th lane,A2b 1w1
Siz11,,,AMR,NE,46.0,,R,109496.0,San Buenaventura,1.0,0.0,3752907.0,M,terrie,Sizto,13653 collier avenue,M5F 1W1
cra12,,,Embarq,AR,6.0,,U,267901.0,Lexington,1.0,0.0,582378.0,U,Mary-pat,crawley,15306 pike park,95118
dac13,m,,Advanced Micro Devices,MI,39.0,,R,487273.0,Hay River,3.0,8.0,3458824.0,U,Catherin,dacal,1540 crestmere north,H2f 1v7
HIV14,,W,Cenveo,MA,73.0,,O,34013.0,Toronto,3.0,2.0,469408.0,M,annissa,HIVELY,10790 bonita crescent,19217
Pes15,,,Kelly Services,TN,26.0,Apt. 290,O,473462.0,Denver,0.0,6.0,1504480.0,S,Amour,Peschke,24679 AIRPORT CRESCENT,21228
CHI16,,,Viacom,TN,54.0,,O,499493.0,St. Paul,5.0,4.0,2763009.0,M,jenica,CHILDERHOSE,7627 douglas road,85097
Din17,,,Macy's,OK,87.0,,R,266928.0,Bellevue,5.0,0.0,2787199.0,M,KATTIE,Dinnin,6106 ashland east,V6j 1q8
De 18,,M,Gardner Denver,Ontario,85.0,,O,72444.0,Detroit,2.0,6.0,2789368.0,M,Roselle,De witte,1111 norden street,43207
Mck19,m,,Family Dollar Stores,KY,86.0,,R,77290.0,Omaha,3.0,8.0,2784776.0,U,arlyne,Mckeegan,2798 1st east,V6t 1q8
WIN20,M,P,,PA,59.0,,R,395066.0,Costa Mesa,2.0,,288747.0,U,Rong-chin,WINTERS,11358 elle lee street,94467
BIT21,,,Sun Microsystems,MD,94.0,,O,119283.0,Berkeley,5.0,0.0,876575.0,U,Darlleen,BITTMAN,21074 MALLORY LOWER,94321
luz22,f,V,Costco Wholesale,TX,,,O,330991.0,St. Louis,1.0,8.0,2041224.0,U,Radoslav,luzarraga,16124 weyland park,C2a 4w7
don23,,S,Illinois Tool Works,IN,5.0,,U,,Colorado Springs,4.0,5.0,2231509.0,,Aryn,donovan,23822 marvin crescent,35808
Gia24,,T,Southern Union,MD,23.0,,O,252031.0,Fontana,1.0,1.0,3206409.0,M,Allisan,Giallo,2203 valita boulevard,M5f 1v6
SPR25,M,,Moog,KY,61.0,,O,101800.0,St. Catharines,3.0,9.0,3850037.0,M,Ammamaria,SPRUELL,11538 COLLINWOOD AVENUE,99539
SKA26,F,,Old Republic International,CA,,,O,436977.0,Hayward,0.0,7.0,528440.0,D,Mari,SKALSKI,7818 EAST STREET,95055
Gar27,m,,,FL,51.0,,O,495334.0,Palmdale,0.0,0.0,597140.0,S,Anica,Gargul,10013 shaw road,93686
Dor28,,,Great Plains Energy,Newfoundland,97.0,,O,274685.0,Phoenix,1.0,1.0,146931.0,M,Melba,Dore,6802 AMES STREET,75218
DIO29,,X,Broadcom,TX,52.0,,,320820.0,Gary,2.0,7.0,353495.0,,Tracee,DIOGO,22501 SUMMIT RUE,91174
Mer30,m,,Discover Financial Services,WA,98.0,,O,195835.0,Beaumont,4.0,1.0,295647.0,S,CANADIAN,Merrick,291 frances rue,49515
Atc31,,R,UAL,MN,47.0,,O,108085.0,Nashua,5.0,5.0,408941.0,U,Oue,Atchison,16264 sanders east,16506
Pla32,m,X,Charles Schwab,WY,47.0,,O,260185.0,San Jose,2.0,9.0,362523.0,M,wallie,Plamondon,16068 cantey way,94383
SEL33,F,E,Coach,NY,9.0,,R,258323.0,Nashua,0.0,2.0,2102359.0,M,Andromache,SELCHOW,21170 EDLOE BOULEVARD,T6d 1b3
sha34,f,Z,DaVita,SC,85.0,,U,79476.0,Fort Smith,1.0,2.0,3480265.0,M,THOR,shane,885 CROSBY LANE,25339
MER35,,,Marshall & Ilsley Corp.,MS,81.0,,U,102156.0,Lancaster,5.0,3.0,3648900.0,M,SALAH,MERWIN,12235 jay street,V6o 1v4
con36,,,Cablevision Systems,UT,0.0,,O,221481.0,Colorado Springs,2.0,2.0,1161790.0,M,HOR-LAM,conrad,20340 LOMBARD CRESCENT,01852
ons37,M,,Barnes & Noble,PA,28.0,,R,41836.0,Washington,1.0,2.0,2050587.0,S,Vania,onsiteteam,22074 dexter upper,78230
Sum38,M,,EMC,OK,65.0,,O,72389.0,Lowell,1.0,0.0,3579198.0,U,Niel,Summerlin,1540 MURIE RUE,93770
gro39,,F,Fluor,WY,20.0,,O,66486.0,Frederick,3.0,2.0,889494.0,S,ziad,grooms,7075 glen loch drive,m4l 1n4
dil40,,I,Dollar General,RI,55.0,Apt. 382,O,200185.0,Mesa,3.0,9.0,2205682.0,M,Claude,dilkie,11237 balmoral way,22335
DOL41,,,Lear,HI,76.0,,O,289215.0,Lakewood,0.0,10.0,1140117.0,U,AVTAR,DOLSON,8316 GARDEN BROOK NORTH,V6C 1T4
Pos42,,,J.P. Morgan Chase & Co.,VA,1.0,,O,322484.0,Cleveland,4.0,9.0,1421319.0,M,Donny,Posthumus,2240 clifton lower,M6t 1h3
