NeWo,FiN,Ci,Ag,AgeID,AdLi2,CrRat,MidInit,Ph,NuCreCa,Coun,PosC,NumC,Inc,NuCh,Ge,Em,Sta,LaN,MariSta,OOReFl,AdL1
321776.0,wbwsqgtaa,Baltimore,7.0,Iok7501,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,580.0,n,1-637-119-9996,,United States of America,Guudshirvcu,3.0,94490.0,,,FM Global,MO,Iokwiqojocjanndatkdzgymym,U,U,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl
2292324.0,QGJWCPAPZMWHYHZTNOYSSOQBI,Kitchener,48.0,tia7502,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,683.0,,1-560-405-0048,2.0,Canada,wyggjewbe,4.0,7037.0,4.0,M,MGIC Investment,TX,tiabxgseasiibxakctfzhfwotp,S,R,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa
969707.0,BHGXDDPUMBESLQMNEPREPTZNNKM,Saint John,14.0,AOI7503,Cdrxeolwrrxmwmhgexvcstvzz,411.0,u,1-261-306-5079,2.0,,YMZRQICUTHT,1.0,419269.0,5.0,,Ross Stores,CT,AOIWIWTIHIXOJ,M,O,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy
3899461.0,Xgnvppcxgfnmawlupgfa,Berkeley,29.0,PJQ7504,WKSBVOFGJHQGAEKUYRZHHPH,818.0,,1-642-299-6655,9.0,United States of America,Bcjuycmcen,4.0,76681.0,5.0,m,,UT,PJQSPMBUHYQKBOZ,W,U,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy
3749223.0,Tfiozpstcftslqtwkgngiiwo,Missoula,69.0,SDV7505,skxijfqpzshmts,370.0,,,7.0,United States of America,Nujxguyehf,2.0,209116.0,4.0,,Alliance One International,RI,SDVLJWXENNGWCQMIW,U,R,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop
3658531.0,fbcahlrhhjoslfzqvvwwvhk,Salinas,47.0,Hga7506,ZETOHHRKIBHCQCKZODIXJJSXCFY,833.0,F,1-388-257-4273,6.0,,Neigswk,0.0,212203.0,0.0,F,Sally Beauty Holdings,DE,Hgakmykzeunwkiaxayulpwyxrcuev,U,O,Ajpkrmtlcbdzr
1738460.0,Dcgkohfcwyoaxckalqnkrzwq,San Jose,0.0,Beo7507,LJXAXKUJXQBGWBHJJAAM,536.0,D,,2.0,Canada,WNCEOQPLW,5.0,42018.0,5.0,M,Wisconsin Energy,NM,Beotomyndkiqryllkvpavllytov,M,U,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE
3307296.0,Vmnmcsinflxxmmifydckncc,Cleveland,46.0,Qum7508,Jmlgjkjbqhrudrkqrm,775.0,,1-632-118-1891,0.0,United States of America,Cskdwtkf,0.0,90446.0,0.0,,Carpenter Technology,WV,Qumxrssnd,S,R,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd
1816419.0,Vrkbkkxkddtximspigmlbwzt,Huntington,6.0,Hud7509,Qqcilgblxyikgr,765.0,v,1-853-806-4986,3.0,United States of America,tcxswloetdt,1.0,16274.0,1.0,,Liberty Mutual Insurance Group,NH,Hudlpfwjagzbnznyhamjkhbf,M,R,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH
2599250.0,RMWCTFTLSVTMCBI,Paterson,22.0,jba7510,Ahtohqjfzfarn,555.0,,1-220-687-2027,6.0,Canada,Fkpemasoukih,5.0,22215.0,2.0,m,Black & Decker,WY,jbabemsfwdyeihxq,M,O,Ycltsquohmuugxihqyluhkoy
490443.0,Zaijioc,Greensboro,72.0,dgc7511,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,,,,3.0,United States of America,NCEVKLQEEWTA,5.0,210038.0,1.0,m,Interstate Bakeries,Saskatchewan,dgcnbxfhc,M,O,Yrqckbldfgvltnlgolmyhnzpnfmxikgw
3348923.0,Mdwdjpdfmbqjaygkfqzqx,Concord,40.0,lql7512,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,318.0,,1-268-630-3843,9.0,Canada,DODDIDDHXS,4.0,307402.0,5.0,,eBay,NE,lqlslgqsvyfxqnzuwbfg,M,O,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl
331799.0,Ccbccgvldfvoqtzestvkwunn,Colorado Springs,8.0,Wsk7513,ucxdpiwilpxxhv,613.0,,1-915-548-9541,4.0,United States of America,Oqnzttrldq,4.0,,1.0,m,Boise,AR,Wskjvrujdwku,D,R,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh
1167013.0,nyakrhdyxravdnhgbtol,Mobile,10.0,Ffs7514,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,786.0,v,1-536-880-0961,4.0,,Lwbawk,4.0,432425.0,1.0,,MDU Resources Group,IL,Ffshsiomkzjonhxjhunfsao,U,R,
3960216.0,NDNBTVCLKSC,Thousand Oaks,24.0,Kvv7515,,,F,1-494-335-6022,10.0,United States of America,Ppsrzjdtg,0.0,122041.0,3.0,,Freescale Semiconductor,VA,Kvvverfkpazpzzkrqniixrhnw,U,O,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle
242246.0,Zmstbluqkipzaojfsomtbdddguq,Rochester,18.0,mpz7516,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,623.0,G,1-814-158-3550,5.0,United States of America,,1.0,302205.0,4.0,f,Superior Energy Services,ID,mpzqnwnrmaozfsstcqtrc,M,O,
1217660.0,dpqgvuaoijmkxsesvililpxcrwqe,Garden Grove,79.0,Jhc7517,Havgczldcpfmwfzj,845.0,s,1-420-580-0795,1.0,United States of America,,1.0,367555.0,1.0,F,Monsanto,TX,Jhcbaxyzijphmmvpampdgvgisnab,S,O,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH
1229655.0,IHUGYGSRDWILVOFBAKUR,Tampa,36.0,dbq7518,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,645.0,l,1-924-305-1666,7.0,United States of America,Rxdsunq,4.0,106025.0,5.0,M,Newfield Exploration,New Brunswick,dbqcukoddoiwg,M,U,rpikmvtgwsrsoehxgmxwypaueiaheabrf
1157831.0,aefotdcronamhkzsfpvifmobgchmsp,Fullerton,21.0,Xch7519,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,495.0,,1-450-082-2122,1.0,Canada,JXHVEEOU,2.0,106690.0,2.0,m,Loews,Alberta,Xchoxlbkffuvox,W,O,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu
,jdeyqkerjerjpht,Washington,4.0,oir7520,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,371.0,Z,1-573-009-1404,8.0,Canada,XHJQCDPOO,2.0,29373.0,2.0,m,Apache,PA,oirfujtvl,M,O,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce
,Lwihnxoihqqrvjydsijd,Norfolk,72.0,Fqb7521,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,462.0,O,1-603-897-9894,1.0,United States of America,rapkjpmvp,2.0,168189.0,3.0,M,Robert Half International,Nova Scotia,Fqbovz,S,R,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd
3467922.0,nmnervucuk,Sydney,1.0,qex7522,Rirmrpvlknyho,375.0,,1-947-161-6502,7.0,United States of America,Slskxm,,264756.0,,,Viacom,RI,qextfjyytqwbmdrlykbfnhvqrmota,S,U,Dmyivtczopuqajpnjqvvgbhxynvduub
