AgencyID,NetWorth,LastName,AddressLine1,NumberCars,OwnOrRentFlag,FirstName,MiddleInitial,Gender,AddressLine2,PostalCode,City,State,Country
PEL0,1058868.0,PELLAND,21847 olympia street,,O,Netti,,f,,T6b 1i1,Fairbanks,MA,United States of America
LED1,1988185.0,LEDUC,245 congress court,5.0,U,TRUDY,,F,APT. 624,77281,Quebec,PA,United States of America
lat2,3673128.0,latif,6517 frailing west,2.0,O,ireland,,,,91355,Henderson,Alberta,United States of America
RUD3,2005895.0,RUDDICK,11449 blalock park,2.0,O,Misti,,,,36615,Salem,AR,Canada
JAY4,624736.0,JAYAMANNE,18354 dodd court,0.0,O,sarena,M,f,Apt. 619,t6a 1i3,Toledo,OR,Canada
tod5,3064615.0,todo,14117 roxboro street,1.0,R,Paulette,Z,M,,A2b 1v3,Corpus Christi,VA,United States of America
Kan6,3489129.0,Kanno,24697 FLORENCE WEST,4.0,O,AMALITA,R,m,,49513,Salt Lake City,OH,Canada
Din7,3430744.0,Dinkel,6488 applewood drive,2.0,U,Ernesto,Z,,,M5d 1v6,Brownsville,Prince Edward Island,United States of America
Thi8,1743614.0,Thibodeaux,17404 gale court,3.0,O,Toby,,,,V6c 1q1,Escondido,NV,United States of America
May9,216299.0,Mayo,15913 alexis street,0.0,O,evangelia,,,,99716,Los Angeles,Ontario,United States of America
mah10,1528641.0,mahendra,18313 5th lane,2.0,O,umakanth,U,,,A2b 1w1,West Covina,TX,Canada
Siz11,3752907.0,Sizto,13653 collier avenue,1.0,R,terrie,,,,M5F 1W1,San Buenaventura,NE,United States of America
cra12,582378.0,crawley,15306 pike park,1.0,U,Mary-pat,,,,95118,Lexington,AR,United States of America
dac13,3458824.0,dacal,1540 crestmere north,3.0,R,Catherin,,m,,H2f 1v7,Hay River,MI,United States of America
HIV14,469408.0,HIVELY,10790 bonita crescent,3.0,O,annissa,W,,,19217,Toronto,MA,United States of America
Pes15,1504480.0,Peschke,24679 AIRPORT CRESCENT,0.0,O,Amour,,,Apt. 290,21228,Denver,TN,United States of America
CHI16,2763009.0,CHILDERHOSE,7627 douglas road,5.0,O,jenica,,,,85097,St. Paul,TN,Canada
Din17,2787199.0,Dinnin,6106 ashland east,5.0,R,KATTIE,,,,V6j 1q8,Bellevue,OK,United States of America
De 18,2789368.0,De witte,1111 norden street,2.0,O,Roselle,M,,,43207,Detroit,Ontario,United States of America
Mck19,2784776.0,Mckeegan,2798 1st east,3.0,R,arlyne,,m,,V6t 1q8,Omaha,KY,United States of America
WIN20,288747.0,WINTERS,11358 elle lee street,2.0,R,Rong-chin,P,M,,94467,Costa Mesa,PA,United States of America
BIT21,876575.0,BITTMAN,21074 MALLORY LOWER,5.0,O,Darlleen,,,,94321,Berkeley,MD,United States of America
luz22,2041224.0,luzarraga,16124 weyland park,1.0,O,Radoslav,V,f,,C2a 4w7,St. Louis,TX,United States of America
don23,2231509.0,donovan,23822 marvin crescent,4.0,U,Aryn,S,,,35808,Colorado Springs,IN,United States of America
Gia24,3206409.0,Giallo,2203 valita boulevard,1.0,O,Allisan,T,,,M5f 1v6,Fontana,MD,United States of America
SPR25,3850037.0,SPRUELL,11538 COLLINWOOD AVENUE,3.0,O,Ammamaria,,M,,99539,St. Catharines,KY,United States of America
SKA26,528440.0,SKALSKI,7818 EAST STREET,0.0,O,Mari,,F,,95055,Hayward,CA,United States of America
Gar27,597140.0,Gargul,10013 shaw road,0.0,O,Anica,,m,,93686,Palmdale,FL,United States of America
Dor28,146931.0,Dore,6802 AMES STREET,1.0,O,Melba,,,,75218,Phoenix,Newfoundland,United States of America
DIO29,353495.0,DIOGO,22501 SUMMIT RUE,2.0,,Tracee,X,,,91174,Gary,TX,United States of America
Mer30,295647.0,Merrick,291 frances rue,4.0,O,CANADIAN,,m,,49515,Beaumont,WA,Canada
Atc31,408941.0,Atchison,16264 sanders east,5.0,O,Oue,R,,,16506,Nashua,MN,United States of America
Pla32,362523.0,Plamondon,16068 cantey way,2.0,O,wallie,X,m,,94383,San Jose,WY,United States of America
SEL33,2102359.0,SELCHOW,21170 EDLOE BOULEVARD,0.0,R,Andromache,E,F,,T6d 1b3,Nashua,NY,United States of America
sha34,3480265.0,shane,885 CROSBY LANE,1.0,U,THOR,Z,f,,25339,Fort Smith,SC,United States of America
MER35,3648900.0,MERWIN,12235 jay street,5.0,U,SALAH,,,,V6o 1v4,Lancaster,MS,United States of America
con36,1161790.0,conrad,20340 LOMBARD CRESCENT,2.0,O,HOR-LAM,,,,01852,Colorado Springs,UT,United States of America
ons37,2050587.0,onsiteteam,22074 dexter upper,1.0,R,Vania,,M,,78230,Washington,PA,United States of America
Sum38,3579198.0,Summerlin,1540 MURIE RUE,1.0,O,Niel,,M,,93770,Lowell,OK,Canada
gro39,889494.0,grooms,7075 glen loch drive,3.0,O,ziad,F,,,m4l 1n4,Frederick,WY,United States of America
dil40,2205682.0,dilkie,11237 balmoral way,3.0,O,Claude,I,,Apt. 382,22335,Mesa,RI,United States of America
DOL41,1140117.0,DOLSON,8316 GARDEN BROOK NORTH,0.0,O,AVTAR,,,,V6C 1T4,Lakewood,HI,United States of America
Pos42,1421319.0,Posthumus,2240 clifton lower,4.0,O,Donny,,,,M6t 1h3,Cleveland,VA,United States of America
Mac43,3525204.0,Machika,20907 NOTINGHAM LOWER,4.0,O,Cocos,,,,95263,Grand Rapids,OK,United States of America
che44,468976.0,chenoweth,601 carroll lower,0.0,R,ruud,,,,v5b 1p5,Peoria,Prince Edward Island,United States of America
hol45,1685443.0,holbrooks,18267 state drive,5.0,O,Belvia,,,,32318,Inglewood,SD,United States of America
pfi46,337564.0,pfieffer,9270 LEAF SOUTH,4.0,O,ATHAR,,f,,93872,Akron,OH,United States of America
elk47,84777.0,elkington,18582 PERIMETER BOULEVARD,1.0,O,Cherey,Y,,,92824,Charlottetown,MA,Canada
Lab48,3146477.0,Labenek,9612 park stream upper,1.0,O,RAZ,,F,,e4a 1r2,Bellevue,MD,United States of America
laf49,495277.0,laferriere,2803 clearwater north,1.0,U,kishore,Y,,,H7G 1V4,Dover,Saskatchewan,United States of America
Nor50,746904.0,Norment,11103 BISSONNET WEST,0.0,O,Nelleke,I,,,85039,Fullerton,WA,United States of America
hag51,1219620.0,hagar,4652 outervale lane,2.0,R,sibby,,,,v6m 1q3,Denver,OH,Canada
Bet52,1718910.0,Betcher,341 dunbar west,2.0,O,ericha,,m,,X7j 1r1,Dallas,WY,United States of America
Van53,,Van der,16176 vernon drive,4.0,O,Janson,,m,,B8b 1z5,San Jose,NJ,United States of America
O'L54,2636424.0,O'LEARY,23131 clint way,0.0,U,Dorotea,,F,,t5d 1v4,Bellevue,ND,United States of America
and55,1326305.0,anderson,11640 baltic upper,5.0,O,Denice,,m,,V6t 1r2,San Buenaventura,NC,United States of America
sta56,2241997.0,starks,20796 dolores drive,4.0,O,Myron,,,,91177,St. Louis,WV,Canada
CHA57,1542891.0,CHASSE,14359 COMMERCE WEST,5.0,R,Barby,,,Apt. 275,T5c 1t1,Pueblo,GA,United States of America
ASI58,797918.0,ASING,21448 hampton boulevard,,O,Ariella,,R,,35862,Regina,Ontario,Canada
ask59,347654.0,askins,7637 pershing way,0.0,U,ADEY,,f,,96820,Saskatoon,MA,United States of America
Kik60,2456397.0,Kikuta,11529 arcana boulevard,4.0,O,GAYEL,K,,,75238,Jackson,CA,United States of America
Cha61,1284229.0,Chane,2700 windwood north,3.0,O,Man,,F,,85769,St. Petersburg,SD,United States of America
KIL62,618787.0,KILLEN,22279 gramercy road,2.0,O,Klara,U,m,,H5i 1o9,Scottsdale,Saskatchewan,United States of America
kin63,1171606.0,kinley,9828 west east,4.0,O,Abdalla,,f,,90849,Charlotte,RI,United States of America
MAL64,3983261.0,MALAHER,5935 mcafee park,4.0,O,bal,,,,43644,Waterbury,NC,United States of America
Odu65,2328568.0,Odum,12460 CLAYTON STREET,3.0,O,Romy,J,,,99213,Chesapeake,SD,United States of America
DI 66,2078600.0,DI NINNO,275 3rd drive,1.0,O,KORAL,,,,72226,Hialeah,IL,United States of America
STU67,2986155.0,STUBBLEFIELD,6907 FERNCLIFF CRESCENT,2.0,O,YUKIHIKO,K,,,V6Z 1Q9,Charleston,OR,United States of America
HAM68,1864039.0,HAMBALI,885 crosby lane,4.0,O,Khanh,,,,20082,Salem,Ontario,United States of America
LIB69,1293721.0,LIBRARIAN,2344 kalani west,,O,Darnell,,m,,35827,Sacramento,FL,Canada
ohs70,3850114.0,ohsone,22870 LA CIENEGA STREET,4.0,R,feridoun,,M,,99692,Santa Clarita,NM,United States of America
HUM71,1618743.0,HUMMEL,8478 green avenue,0.0,O,Magdy,O,,APT. 143,V6c 1q5,Sherbrooke,NE,United States of America
BRA72,3383487.0,BRADD,23639 purdue rue,5.0,O,jiri,,,,80158,Colorado Springs,MI,United States of America
Boa73,2981876.0,Boarder,19202 ansley park,5.0,O,AILA,X,,,t6d 1b6,Berkeley,New Brunswick,United States of America
Mcn74,2109339.0,Mcnally,11319 devonshire rue,3.0,O,Vincenzo,,,,33120,San Buenaventura,NJ,United States of America
MAR75,791803.0,MARKOVICH,23665 deerwood park,4.0,O,Minnnie,,F,,99742,New Haven,ND,United States of America
Wil76,3523678.0,Willekes,4855 union north,0.0,O,alfonzo,,f,,V6N 1T1,Shreveport,Saskatchewan,United States of America
Dea77,1681902.0,Deacetis,9466 SHADOWBRIAR WEST,4.0,,Swandi,S,m,,44104,Lansing,KS,United States of America
Hou78,3851455.0,Houk,3504 regency avenue,5.0,O,Anya,,,,14605,Pembroke Pines,SD,United States of America
Goy79,2339382.0,Goyette,7281 northland lower,0.0,R,Enrika,,,,80076,Palmdale,FL,Canada
Mok80,,Mok-fung,12481 hayden lower,2.0,O,SONJA,Z,f,,V6I 1V6,Savannah,Saskatchewan,United States of America
