AgencyID,AddressLine2,City,NumberCars,PostalCode,MiddleInitial,NumberCreditCards,AddressLine1,FirstName,Age,Country,LastName,Gender,State,Phone,Income
PEL0,,Fairbamks,,y6b1i1,,,2w857ooympiastreet,Neyti,9.0,Unitedzgatwsofzmerica,PELLAND,f,MA,1-712-522-6088,368776.0
LED1,qPT624,Quebdc,3.0,77281,,3.0,245cobrressc9urt,TRyDY,31.0,Unit2dStsgesofAmerifa,LEDUC,F,PA,1-626-426-4298,177967.0
lat2,,Hehderson,1.0,91355,,6.0,6617frailungweqt,ideland,,knitedStaredofAmer8ca,latif,,Alberta,1-524-787-8784,321772.0
RUD3,,Sakem,1.0,36615,,5.0,11449boalofkpari,M9sti,60.0,Cqnada,RUDDICK,,AR,1-741-997-1688,25449.0
JAY4,zpt619,Toiedo,1.0,r6a1i3,M,2.0,18354dodccojrt,swrena,44.0,Canava,JAYAMANNE,f,OR,1-002-194-1991,166567.0
tod5,,CorpjsChristk,0.0,w2b1v3,Z,4.0,1411yroaborostree5,Paulftte,75.0,UnltedSta5ssofAmericw,todo,M,VA,1-441-371-7651,43631.0
Kan6,,SaitLxkeCity,2.0,49513,R,9.0,24697dLORENCEWdSr,AMAL9TA,59.0,Canadw,Kanno,m,OH,1-957-940-5980,466230.0
Din7,,Brpwjsville,2.0,M5d1f6,Z,5.0,648iappl4wooddriv3,Ern3sto,43.0,UnitedSfag2skfAmerica,Dinkel,,Prince Edward Island,1-768-633-4096,420243.0
Thi8,,4scondido,2.0,V6c1qw,,2.0,q740tgalecourt,Toby,70.0,UgitedStatesifAmerkcz,Thibodeaux,,NV,1-107-689-2155,141862.0
May9,,LosAng3pes,0.0,99716,,,14913alexisstf2et,evangflia,57.0,UnitedStxresofAmegiva,Mayo,,Ontario,1-173-594-6096,402011.0
mah19,,Westfoviba,1.0,A2v1w1,U,6.0,183235thlame,ymakanth,73.0,Canwda,mahendra,,TX,1-561-520-0611,79928.0
Suz11,,SanBuwnadentyra,2.0,M5FwW1,,4.0,13t52coklieravenue,yerrie,46.0,UnitesehatesofAmerkca,Sizto,,NE,1-730-406-9727,109496.0
vra12,,oexington,3.0,95118,,11.0,15306piurpark,Marypzt,33.0,yniteddtatesofAn4rica,crawley,,AR,,267901.0
dad13,,HwyRiver,2.0,t2f1v7,,1.0,1540c4estkereborth,Cxtherin,42.0,UnitedetatezofAmer9cq,dacal,m,MI,1-207-867-4589,487273.0
HIV1r,,Toeonto,2.0,19217,W,7.0,1p70obonitacrescent,annjssa,41.0,UnigecztatexofAmerica,HIVELY,,MA,1-478-629-9641,34013.0
Pec15,A0t290,Dencer,2.0,21228,,5.0,24679AIRlORTCREefEhT,Amojr,67.0,Un8tedcgatesofAmedica,Peschke,,TN,1-026-208-8595,473462.0
CHI1u,,S4Paul,1.0,85097,,2.0,y627douglsaroad,jdnica,12.0,vanada,CHILDERHOSE,,TN,1-432-681-4853,499493.0
Din1y,,fellevue,1.0,V6m1q8,,3.0,6105ashkzndeast,KAhTIE,44.0,inotedStates8bAmerica,Dinnin,,OK,,266928.0
