address_id,address,address2,district,city_id,postal_code,phone
64,81 Hodeida Way,,Rajasthan,231,55561,250767749542
256,1497 Yuzhou Drive,,England,312,3433,246810237916
478,1078 Stara Zagora Drive,,Aceh,301,69221,932992626595
448,614 Denizli Parkway,,Rio Grande do Sul,486,29444,876491807547
366,114 Jalib al-Shuyukh Manor,,Centre,585,60440,845378657301
178,1848 Salala Boulevard,,Miranda,373,25220,48265851133
582,1568 Celaya Parkway,,Kaohsiung,168,34750,278669994384
488,698 Jelets Boulevard,,Denizli,142,2596,975185523021
323,1769 Iwaki Lane,,Kujawsko-Pomorskie,97,25787,556100547674
428,1727 Matamoros Place,,Sawhaj,465,78813,129673677866
349,1516 Escobar Drive,,Tongatapu,370,46069,64536069371
299,32 Pudukkottai Lane,,Ohio,140,38834,967274728547
413,692 Amroha Drive,,Northern,230,35575,359478883004
158,798 Cianjur Avenue,,Shanxi,590,76990,499408708580
110,1867 San Juan Bautista Tuxtepec Avenue,,Ivanovo,225,78311,547003310357
597,32 Liaocheng Way,,Minas Gerais,248,1944,410877354933
133,1854 Tieli Street,,Shandong,302,15819,509492324775
509,786 Matsue Way,,Illinois,245,37469,111177206479
211,850 Salala Loop,,Kitaa,371,10800,403404780639
125,211 Chiayi Drive,,Uttar Pradesh,164,58186,665993880048
441,983 Santa Fé Way,,British Colombia,565,47472,145720452260
342,124 al-Manama Way,,Hiroshima,382,52368,647899404952
310,913 Coacalco de Berriozábal Loop,,Texas,33,42141,262088367001
356,1378 Beira Loop,,Krasnojarsk,597,40792,840957664136
516,1574 Goiânia Boulevard,,Heilongjiang,502,39529,59634255214
296,1936 Cumaná Avenue,,Virginia,433,61195,976798660411
20,360 Toulouse Parkway,,England,495,54308,949312333307
284,600 Bradford Street,,East Azerbaidzan,514,96204,117592274996
92,1942 Ciparay Parkway,,Cheju,113,82624,978987363654
422,289 Santo André Manor,,al-Sharqiya,16,72410,214976066017
491,1789 Saint-Denis Parkway,,Coahuila de Zaragoza,4,8268,936806643983
155,1560 Jelets Boulevard,,Shandong,291,77777,189446090264
374,433 Florencia Street,,Chihuahua,250,91330,561729882725
148,1027 Songkhla Manor,,Minsk,340,30861,563660187896
