prospect_OwORF,prospect_NuCh,prospect_MarSta,prospect_AgID,prospect_Empl,prospect_Ge,prospect_NumCreCa,prospect_CrRat,prospect_FiN,prospect_Cou,prospect_AdL2,prospect_A,prospect_NuC,prospect_Ph,prospect_Ci,prospect_MidIni,prospect_PosC,prospect_AddrL1,prospect_LNa,prospect_St,prospect_NWor,prospect_Inc
U,,U,Iok7501,FM Global,,,580.0,wbwsqgtaa,United States of America,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,7.0,3.0,1-637-119-9996,Baltimore,n,Guudshirvcu,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,Iokwiqojocjanndatkdzgymym,MO,321776.0,94490.0
R,4.0,S,tia7502,MGIC Investment,M,2.0,683.0,QGJWCPAPZMWHYHZTNOYSSOQBI,Canada,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,48.0,4.0,1-560-405-0048,Kitchener,,wyggjewbe,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,tiabxgseasiibxakctfzhfwotp,TX,2292324.0,7037.0
O,5.0,M,AOI7503,Ross Stores,,2.0,411.0,BHGXDDPUMBESLQMNEPREPTZNNKM,,Cdrxeolwrrxmwmhgexvcstvzz,14.0,1.0,1-261-306-5079,Saint John,u,YMZRQICUTHT,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,AOIWIWTIHIXOJ,CT,969707.0,419269.0
U,5.0,W,PJQ7504,,m,9.0,818.0,Xgnvppcxgfnmawlupgfa,United States of America,WKSBVOFGJHQGAEKUYRZHHPH,29.0,4.0,1-642-299-6655,Berkeley,,Bcjuycmcen,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,PJQSPMBUHYQKBOZ,UT,3899461.0,76681.0
R,4.0,U,SDV7505,Alliance One International,,7.0,370.0,Tfiozpstcftslqtwkgngiiwo,United States of America,skxijfqpzshmts,69.0,2.0,,Missoula,,Nujxguyehf,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,SDVLJWXENNGWCQMIW,RI,3749223.0,209116.0
O,0.0,U,Hga7506,Sally Beauty Holdings,F,6.0,833.0,fbcahlrhhjoslfzqvvwwvhk,,ZETOHHRKIBHCQCKZODIXJJSXCFY,47.0,0.0,1-388-257-4273,Salinas,F,Neigswk,Ajpkrmtlcbdzr,Hgakmykzeunwkiaxayulpwyxrcuev,DE,3658531.0,212203.0
U,5.0,M,Beo7507,Wisconsin Energy,M,2.0,536.0,Dcgkohfcwyoaxckalqnkrzwq,Canada,LJXAXKUJXQBGWBHJJAAM,0.0,5.0,,San Jose,D,WNCEOQPLW,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,Beotomyndkiqryllkvpavllytov,NM,1738460.0,42018.0
R,0.0,S,Qum7508,Carpenter Technology,,0.0,775.0,Vmnmcsinflxxmmifydckncc,United States of America,Jmlgjkjbqhrudrkqrm,46.0,0.0,1-632-118-1891,Cleveland,,Cskdwtkf,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,Qumxrssnd,WV,3307296.0,90446.0
R,1.0,M,Hud7509,Liberty Mutual Insurance Group,,3.0,765.0,Vrkbkkxkddtximspigmlbwzt,United States of America,Qqcilgblxyikgr,6.0,1.0,1-853-806-4986,Huntington,v,tcxswloetdt,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,Hudlpfwjagzbnznyhamjkhbf,NH,1816419.0,16274.0
O,2.0,M,jba7510,Black & Decker,m,6.0,555.0,RMWCTFTLSVTMCBI,Canada,Ahtohqjfzfarn,22.0,5.0,1-220-687-2027,Paterson,,Fkpemasoukih,Ycltsquohmuugxihqyluhkoy,jbabemsfwdyeihxq,WY,2599250.0,22215.0
O,1.0,M,dgc7511,Interstate Bakeries,m,3.0,,Zaijioc,United States of America,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,72.0,5.0,,Greensboro,,NCEVKLQEEWTA,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,dgcnbxfhc,Saskatchewan,490443.0,210038.0
