AgencyID,Phone,NetWorth,AddressLine1,NumberCreditCards,MaritalStatus,NumberChildren,City,FirstName,PostalCode,Gender,Income,State,Age,Country,LastName,MiddleInitial,AddressLine2
PEL0,1-712-522-6088,1058868.0,21847 olympia street,,W,3.0,Fairbanks,Netti,T6b 1i1,f,368776.0,MA,20.0,United States of America,PELLAND,,
LED1,1-626-426-4298,1988185.0,245 congress court,6.0,U,1.0,Quebec,TRUDY,77281,F,177967.0,PA,3.0,United States of America,LEDUC,,APT. 624
lat2,1-524-787-8784,3673128.0,6517 frailing west,6.0,S,1.0,Henderson,ireland,91355,,321772.0,Alberta,,United States of America,latif,,
RUD3,1-741-997-1688,2005895.0,11449 blalock park,3.0,W,1.0,Salem,Misti,36615,,25449.0,AR,77.0,Canada,RUDDICK,,
JAY4,1-002-194-1991,624736.0,18354 dodd court,4.0,M,3.0,Toledo,sarena,t6a 1i3,f,166567.0,OR,21.0,Canada,JAYAMANNE,M,Apt. 619
tod5,1-441-371-7651,3064615.0,14117 roxboro street,10.0,M,4.0,Corpus Christi,Paulette,A2b 1v3,M,43631.0,VA,77.0,United States of America,todo,Z,
Kan6,1-957-940-5980,3489129.0,24697 FLORENCE WEST,1.0,,0.0,Salt Lake City,AMALITA,49513,m,466230.0,OH,23.0,Canada,Kanno,R,
Din7,1-768-633-4096,3430744.0,6488 applewood drive,7.0,M,2.0,Brownsville,Ernesto,M5d 1v6,,420243.0,Prince Edward Island,9.0,United States of America,Dinkel,Z,
Thi8,1-107-689-2155,1743614.0,17404 gale court,10.0,U,,Escondido,Toby,V6c 1q1,,141862.0,NV,63.0,United States of America,Thibodeaux,,
May9,1-173-594-6096,216299.0,15913 alexis street,,M,2.0,Los Angeles,evangelia,99716,,402011.0,Ontario,32.0,United States of America,Mayo,,
mah10,1-561-520-0611,1528641.0,18313 5th lane,9.0,M,2.0,West Covina,umakanth,A2b 1w1,,79928.0,TX,96.0,Canada,mahendra,U,
Siz11,1-730-406-9727,3752907.0,13653 collier avenue,0.0,M,0.0,San Buenaventura,terrie,M5F 1W1,,109496.0,NE,46.0,United States of America,Sizto,,
cra12,,582378.0,15306 pike park,0.0,U,4.0,Lexington,Mary-pat,95118,,267901.0,AR,6.0,United States of America,crawley,,
dac13,1-207-867-4589,3458824.0,1540 crestmere north,8.0,U,5.0,Hay River,Catherin,H2f 1v7,m,487273.0,MI,39.0,United States of America,dacal,,
HIV14,1-478-629-9641,469408.0,10790 bonita crescent,2.0,M,4.0,Toronto,annissa,19217,,34013.0,MA,73.0,United States of America,HIVELY,W,
Pes15,1-026-208-8595,1504480.0,24679 AIRPORT CRESCENT,6.0,S,2.0,Denver,Amour,21228,,473462.0,TN,26.0,United States of America,Peschke,,Apt. 290
CHI16,1-432-681-4853,2763009.0,7627 douglas road,4.0,M,4.0,St. Paul,jenica,85097,,499493.0,TN,54.0,Canada,CHILDERHOSE,,
Din17,,2787199.0,6106 ashland east,0.0,M,4.0,Bellevue,KATTIE,V6j 1q8,,266928.0,OK,87.0,United States of America,Dinnin,,
De 18,1-357-207-6320,2789368.0,1111 norden street,6.0,M,3.0,Detroit,Roselle,43207,,72444.0,Ontario,85.0,United States of America,De witte,M,
Mck19,1-462-774-1277,2784776.0,2798 1st east,8.0,U,3.0,Omaha,arlyne,V6t 1q8,m,77290.0,KY,86.0,United States of America,Mckeegan,,
