prospect_AddrL1,prospect_MaSt,prospect_Co,prospect_MidIn,prospect_OwOReF,prospect_Em,prospect_NumC,prospect_PoCo,prospect_NumChi,prospect_In,prospect_LaNa,prospect_A,prospect_AgeID,prospect_AdLi2,prospect_C,prospect_St,prospect_FiN,prospect_NeWo,prospect_CreRat,prospect_NuCreCar,prospect_Gen,prospect_Ph
jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,U,United States of America,n,U,FM Global,3.0,Guudshirvcu,,94490.0,Iokwiqojocjanndatkdzgymym,7.0,Iok7501,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,Baltimore,MO,wbwsqgtaa,321776.0,580.0,,,1-637-119-9996
Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,S,Canada,,R,MGIC Investment,4.0,wyggjewbe,4.0,7037.0,tiabxgseasiibxakctfzhfwotp,48.0,tia7502,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,Kitchener,TX,QGJWCPAPZMWHYHZTNOYSSOQBI,2292324.0,683.0,2.0,M,1-560-405-0048
Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,M,,u,O,Ross Stores,1.0,YMZRQICUTHT,5.0,419269.0,AOIWIWTIHIXOJ,14.0,AOI7503,Cdrxeolwrrxmwmhgexvcstvzz,Saint John,CT,BHGXDDPUMBESLQMNEPREPTZNNKM,969707.0,411.0,2.0,,1-261-306-5079
Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,W,United States of America,,U,,4.0,Bcjuycmcen,5.0,76681.0,PJQSPMBUHYQKBOZ,29.0,PJQ7504,WKSBVOFGJHQGAEKUYRZHHPH,Berkeley,UT,Xgnvppcxgfnmawlupgfa,3899461.0,818.0,9.0,m,1-642-299-6655
Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,U,United States of America,,R,Alliance One International,2.0,Nujxguyehf,4.0,209116.0,SDVLJWXENNGWCQMIW,69.0,SDV7505,skxijfqpzshmts,Missoula,RI,Tfiozpstcftslqtwkgngiiwo,3749223.0,370.0,7.0,,
Ajpkrmtlcbdzr,U,,F,O,Sally Beauty Holdings,0.0,Neigswk,0.0,212203.0,Hgakmykzeunwkiaxayulpwyxrcuev,47.0,Hga7506,ZETOHHRKIBHCQCKZODIXJJSXCFY,Salinas,DE,fbcahlrhhjoslfzqvvwwvhk,3658531.0,833.0,6.0,F,1-388-257-4273
PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,M,Canada,D,U,Wisconsin Energy,5.0,WNCEOQPLW,5.0,42018.0,Beotomyndkiqryllkvpavllytov,0.0,Beo7507,LJXAXKUJXQBGWBHJJAAM,San Jose,NM,Dcgkohfcwyoaxckalqnkrzwq,1738460.0,536.0,2.0,M,
gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,S,United States of America,,R,Carpenter Technology,0.0,Cskdwtkf,0.0,90446.0,Qumxrssnd,46.0,Qum7508,Jmlgjkjbqhrudrkqrm,Cleveland,WV,Vmnmcsinflxxmmifydckncc,3307296.0,775.0,0.0,,1-632-118-1891
GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,M,United States of America,v,R,Liberty Mutual Insurance Group,1.0,tcxswloetdt,1.0,16274.0,Hudlpfwjagzbnznyhamjkhbf,6.0,Hud7509,Qqcilgblxyikgr,Huntington,NH,Vrkbkkxkddtximspigmlbwzt,1816419.0,765.0,3.0,,1-853-806-4986
Ycltsquohmuugxihqyluhkoy,M,Canada,,O,Black & Decker,5.0,Fkpemasoukih,2.0,22215.0,jbabemsfwdyeihxq,22.0,jba7510,Ahtohqjfzfarn,Paterson,WY,RMWCTFTLSVTMCBI,2599250.0,555.0,6.0,m,1-220-687-2027
