Age,NumberCreditCards,AgencyID,MaritalStatus,LastName,Country,CreditRating,Phone,Income,State,AddressLine1,OwnOrRentFlag,Gender,City,FirstName,NetWorth,Employer,NumberChildren,AddressLine2,MiddleInitial,PostalCode,NumberCars
20.0,,PEL0,W,PELLAND,United States of America,760.0,1-712-522-6088,368776.0,MA,21847 olympia street,O,f,Fairbanks,Netti,1058868.0,Brink's,3.0,,,T6b 1i1,
3.0,6.0,LED1,U,LEDUC,United States of America,555.0,1-626-426-4298,177967.0,PA,245 congress court,U,F,Quebec,TRUDY,1988185.0,,1.0,APT. 624,,77281,5.0
,6.0,lat2,S,latif,United States of America,566.0,1-524-787-8784,321772.0,Alberta,6517 frailing west,O,,Henderson,ireland,3673128.0,,1.0,,,91355,2.0
77.0,3.0,RUD3,W,RUDDICK,Canada,,1-741-997-1688,25449.0,AR,11449 blalock park,O,,Salem,Misti,2005895.0,Air Products & Chemicals,1.0,,,36615,2.0
21.0,4.0,JAY4,M,JAYAMANNE,Canada,815.0,1-002-194-1991,166567.0,OR,18354 dodd court,O,f,Toledo,sarena,624736.0,Oshkosh,3.0,Apt. 619,M,t6a 1i3,0.0
77.0,10.0,tod5,M,todo,United States of America,333.0,1-441-371-7651,43631.0,VA,14117 roxboro street,R,M,Corpus Christi,Paulette,3064615.0,,4.0,,Z,A2b 1v3,1.0
23.0,1.0,Kan6,,Kanno,Canada,528.0,1-957-940-5980,466230.0,OH,24697 FLORENCE WEST,O,m,Salt Lake City,AMALITA,3489129.0,VeraSun Energy,0.0,,R,49513,4.0
9.0,7.0,Din7,M,Dinkel,United States of America,680.0,1-768-633-4096,420243.0,Prince Edward Island,6488 applewood drive,U,,Brownsville,Ernesto,3430744.0,IDT,2.0,,Z,M5d 1v6,2.0
63.0,10.0,Thi8,U,Thibodeaux,United States of America,761.0,1-107-689-2155,141862.0,NV,17404 gale court,O,,Escondido,Toby,1743614.0,Adams Resources & Energy,,,,V6c 1q1,3.0
32.0,,May9,M,Mayo,United States of America,416.0,1-173-594-6096,402011.0,Ontario,15913 alexis street,O,,Los Angeles,evangelia,216299.0,MGIC Investment,2.0,,,99716,0.0
