prospect_AgeID,prospect_NuCrCa,prospect_AddrL2,prospect_CreRat,prospect_Pho,prospect_A,prospect_MidIni,prospect_AddrL1,prospect_St,prospect_NuChi,prospect_PosCo,prospect_In,prospect_NumC,prospect_MariSta,prospect_OwORF,prospect_Em,prospect_NeWor
Iok7501,,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,580.0,1-637-119-9996,7.0,n,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,MO,,Guudshirvcu,94490.0,3.0,U,U,FM Global,321776.0
tia7502,2.0,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,683.0,1-560-405-0048,48.0,,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,TX,4.0,wyggjewbe,7037.0,4.0,S,R,MGIC Investment,2292324.0
AOI7503,2.0,Cdrxeolwrrxmwmhgexvcstvzz,411.0,1-261-306-5079,14.0,u,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,CT,5.0,YMZRQICUTHT,419269.0,1.0,M,O,Ross Stores,969707.0
PJQ7504,9.0,WKSBVOFGJHQGAEKUYRZHHPH,818.0,1-642-299-6655,29.0,,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,UT,5.0,Bcjuycmcen,76681.0,4.0,W,U,,3899461.0
SDV7505,7.0,skxijfqpzshmts,370.0,,69.0,,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,RI,4.0,Nujxguyehf,209116.0,2.0,U,R,Alliance One International,3749223.0
Hga7506,6.0,ZETOHHRKIBHCQCKZODIXJJSXCFY,833.0,1-388-257-4273,47.0,F,Ajpkrmtlcbdzr,DE,0.0,Neigswk,212203.0,0.0,U,O,Sally Beauty Holdings,3658531.0
Beo7507,2.0,LJXAXKUJXQBGWBHJJAAM,536.0,,0.0,D,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,NM,5.0,WNCEOQPLW,42018.0,5.0,M,U,Wisconsin Energy,1738460.0
Qum7508,0.0,Jmlgjkjbqhrudrkqrm,775.0,1-632-118-1891,46.0,,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,WV,0.0,Cskdwtkf,90446.0,0.0,S,R,Carpenter Technology,3307296.0
Hud7509,3.0,Qqcilgblxyikgr,765.0,1-853-806-4986,6.0,v,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,NH,1.0,tcxswloetdt,16274.0,1.0,M,R,Liberty Mutual Insurance Group,1816419.0
jba7510,6.0,Ahtohqjfzfarn,555.0,1-220-687-2027,22.0,,Ycltsquohmuugxihqyluhkoy,WY,2.0,Fkpemasoukih,22215.0,5.0,M,O,Black & Decker,2599250.0
dgc7511,3.0,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,,,72.0,,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,Saskatchewan,1.0,NCEVKLQEEWTA,210038.0,5.0,M,O,Interstate Bakeries,490443.0
lql7512,9.0,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,318.0,1-268-630-3843,40.0,,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,NE,5.0,DODDIDDHXS,307402.0,4.0,M,O,eBay,3348923.0
Wsk7513,4.0,ucxdpiwilpxxhv,613.0,1-915-548-9541,8.0,,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,AR,1.0,Oqnzttrldq,,4.0,D,R,Boise,331799.0
Ffs7514,4.0,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,786.0,1-536-880-0961,10.0,v,,IL,1.0,Lwbawk,432425.0,4.0,U,R,MDU Resources Group,1167013.0
Kvv7515,10.0,,,1-494-335-6022,24.0,F,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,VA,3.0,Ppsrzjdtg,122041.0,0.0,U,O,Freescale Semiconductor,3960216.0
mpz7516,5.0,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,623.0,1-814-158-3550,18.0,G,,ID,4.0,,302205.0,1.0,M,O,Superior Energy Services,242246.0
Jhc7517,1.0,Havgczldcpfmwfzj,845.0,1-420-580-0795,79.0,s,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,TX,1.0,,367555.0,1.0,S,O,Monsanto,1217660.0
dbq7518,7.0,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,645.0,1-924-305-1666,36.0,l,rpikmvtgwsrsoehxgmxwypaueiaheabrf,New Brunswick,5.0,Rxdsunq,106025.0,4.0,M,U,Newfield Exploration,1229655.0
Xch7519,1.0,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,495.0,1-450-082-2122,21.0,,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,Alberta,2.0,JXHVEEOU,106690.0,2.0,W,O,Loews,1157831.0
oir7520,8.0,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,371.0,1-573-009-1404,4.0,Z,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,PA,2.0,XHJQCDPOO,29373.0,2.0,M,O,Apache,
Fqb7521,1.0,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,462.0,1-603-897-9894,72.0,O,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,Nova Scotia,3.0,rapkjpmvp,168189.0,2.0,S,R,Robert Half International,
qex7522,7.0,Rirmrpvlknyho,375.0,1-947-161-6502,1.0,,Dmyivtczopuqajpnjqvvgbhxynvduub,RI,,Slskxm,264756.0,,S,U,Viacom,3467922.0
Hpi7523,10.0,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,516.0,1-586-826-9847,98.0,,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,OR,2.0,FXHXLG,44480.0,1.0,S,U,Robert Half International,46859.0
Fjd7524,,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,703.0,1-217-243-2668,35.0,,Esuycdxsjfbrqbtluspxsehk,CA,5.0,ovlziicdezok,87207.0,1.0,,R,CSX,2937668.0
Cgt7525,7.0,Rpzwirgfyiw,734.0,1-857-211-5728,99.0,,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,MO,2.0,jsxcpvao,238434.0,4.0,W,O,Country Financial Services,2388613.0
Lwx7526,4.0,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,469.0,1-089-966-6281,49.0,,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,Prince Edward Island,2.0,Ykerbceq,,0.0,M,U,Procter & Gamble,3116283.0
epy7527,2.0,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,595.0,,72.0,,vnyndcximwxhecv,Quebec,0.0,VVMSNWEBT,391354.0,3.0,S,O,Ingles Markets,2671950.0
Aff7528,1.0,Acdrcqabtcdgmgl,410.0,1-231-342-6874,41.0,M,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,KS,0.0,bibueqwbejem,419165.0,3.0,U,O,Forest Laboratories,3899593.0
mfc7529,10.0,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,475.0,,54.0,S,,NV,2.0,gehpynlk,396509.0,3.0,W,O,Dentsply International,2537332.0
Slf7530,2.0,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,,1-602-637-1838,11.0,S,GVSBHGBDDVJFNNOZNNPJWCOI,TN,2.0,Piwlxtg,145161.0,0.0,,R,RadioShack,733236.0
Cxu7531,3.0,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,519.0,1-003-982-8627,0.0,,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,WY,5.0,Ujlshmosjkid,263206.0,2.0,W,O,Century Aluminum,
GZO7532,5.0,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,841.0,1-136-358-6852,27.0,F,BIQIOQOHLQSTBRUFOI,British Columbia,3.0,cwburwnupuj,190371.0,3.0,D,U,,3397276.0
DRW7533,6.0,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,540.0,1-123-528-2965,95.0,A,Llfaqkbemnoy,LA,1.0,CNEZMHTKIAEV,203968.0,3.0,U,O,FPL Group,2444257.0
set7534,10.0,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,540.0,1-136-565-2501,35.0,N,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,HI,3.0,kixvppuqtd,428323.0,1.0,U,R,Lockheed Martin,71520.0
Pyo7535,6.0,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,,1-317-986-1984,96.0,,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,NY,1.0,jrhynxfi,159980.0,4.0,M,O,Sanmina-SCI,1911091.0
FSH7536,6.0,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,424.0,1-265-603-1262,96.0,,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,TX,0.0,dnhtjyu,266852.0,0.0,W,O,Iron Mountain,988775.0
Tdx7537,2.0,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,623.0,,49.0,,,AZ,5.0,YKOVOTYB,206973.0,5.0,M,R,OfficeMax,3919363.0
Sbn7538,4.0,XHQNMCEJKXOQYVSZVESLKC,792.0,1-156-668-6882,,O,atydogjpqphuwhegtbukkqiaeakrtrn,ME,1.0,WNNMWJ,258221.0,5.0,S,O,AMR,428918.0
Piq7539,6.0,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,718.0,1-164-648-3203,27.0,C,Hlotorcbtobuceb,NH,4.0,Oktkljv,428508.0,4.0,S,O,Kohl's,58134.0
IXD7540,6.0,Toumjfbsumpgfuskpydjeibaxi,401.0,1-839-795-1027,98.0,,gsrdigbqfwrahybxrtm,KY,0.0,,,4.0,M,O,Cigna,3703767.0
wsn7541,2.0,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,557.0,1-958-412-4252,,,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,Prince Edward Island,5.0,GXFLSISZUY,58953.0,4.0,M,R,West,433859.0
Jkp7542,7.0,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,393.0,1-392-335-1020,56.0,A,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,British Columbia,5.0,gzexcrngivl,409682.0,5.0,W,O,Monsanto,3002044.0
CCF7543,10.0,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,557.0,1-912-050-7605,94.0,,,CT,4.0,yzoikhwrd,340191.0,2.0,M,,Reliant Energy,1124168.0
