AgencyID,FirstName,Age,MiddleInitial,MaritalStatus,NumberCreditCards,NumberChildren,OwnOrRentFlag,LastName,CreditRating,NumberCars,Gender,AddressLine1,AddressLine2,PostalCode,City
PEL0,Netti,20.0,,W,,3.0,O,PELLAND,760.0,,f,21847 olympia street,,T6b 1i1,Fairbanks
LED1,TRUDY,3.0,,U,6.0,1.0,U,LEDUC,555.0,5.0,F,245 congress court,APT. 624,77281,Quebec
lat2,ireland,,,S,6.0,1.0,O,latif,566.0,2.0,,6517 frailing west,,91355,Henderson
RUD3,Misti,77.0,,W,3.0,1.0,O,RUDDICK,,2.0,,11449 blalock park,,36615,Salem
JAY4,sarena,21.0,M,M,4.0,3.0,O,JAYAMANNE,815.0,0.0,f,18354 dodd court,Apt. 619,t6a 1i3,Toledo
tod5,Paulette,77.0,Z,M,10.0,4.0,R,todo,333.0,1.0,M,14117 roxboro street,,A2b 1v3,Corpus Christi
Kan6,AMALITA,23.0,R,,1.0,0.0,O,Kanno,528.0,4.0,m,24697 FLORENCE WEST,,49513,Salt Lake City
Din7,Ernesto,9.0,Z,M,7.0,2.0,U,Dinkel,680.0,2.0,,6488 applewood drive,,M5d 1v6,Brownsville
Thi8,Toby,63.0,,U,10.0,,O,Thibodeaux,761.0,3.0,,17404 gale court,,V6c 1q1,Escondido
May9,evangelia,32.0,,M,,2.0,O,Mayo,416.0,0.0,,15913 alexis street,,99716,Los Angeles
mah10,umakanth,96.0,U,M,9.0,2.0,O,mahendra,493.0,2.0,,18313 5th lane,,A2b 1w1,West Covina
Siz11,terrie,46.0,,M,0.0,0.0,R,Sizto,564.0,1.0,,13653 collier avenue,,M5F 1W1,San Buenaventura
cra12,Mary-pat,6.0,,U,0.0,4.0,U,crawley,817.0,1.0,,15306 pike park,,95118,Lexington
dac13,Catherin,39.0,,U,8.0,5.0,R,dacal,653.0,3.0,m,1540 crestmere north,,H2f 1v7,Hay River
HIV14,annissa,73.0,W,M,2.0,4.0,O,HIVELY,587.0,3.0,,10790 bonita crescent,,19217,Toronto
Pes15,Amour,26.0,,S,6.0,2.0,O,Peschke,472.0,0.0,,24679 AIRPORT CRESCENT,Apt. 290,21228,Denver
CHI16,jenica,54.0,,M,4.0,4.0,O,CHILDERHOSE,817.0,5.0,,7627 douglas road,,85097,St. Paul
Din17,KATTIE,87.0,,M,0.0,4.0,R,Dinnin,441.0,5.0,,6106 ashland east,,V6j 1q8,Bellevue
De 18,Roselle,85.0,M,M,6.0,3.0,O,De witte,848.0,2.0,,1111 norden street,,43207,Detroit
Mck19,arlyne,86.0,,U,8.0,3.0,R,Mckeegan,843.0,3.0,m,2798 1st east,,V6t 1q8,Omaha
WIN20,Rong-chin,59.0,P,U,,0.0,R,WINTERS,,2.0,M,11358 elle lee street,,94467,Costa Mesa
BIT21,Darlleen,94.0,,U,0.0,3.0,O,BITTMAN,300.0,5.0,,21074 MALLORY LOWER,,94321,Berkeley
luz22,Radoslav,,V,U,8.0,1.0,O,luzarraga,795.0,1.0,f,16124 weyland park,,C2a 4w7,St. Louis
don23,Aryn,5.0,S,,5.0,0.0,U,donovan,367.0,4.0,,23822 marvin crescent,,35808,Colorado Springs
