address,active,city_id,address_id,first_name,postal_code,phone,address2,customer_id,email,create_date,store_id,district,last_name
1913 Hanoi Way,1,463,5,MARY,35200,28303384290,,1,MARY.SMITH@sakilacustomer.org,2006-02-14 22:04:36,1,Nagasaki,SMITH
1121 Loja Avenue,1,449,6,PATRICIA,17886,838635286649,,2,PATRICIA.JOHNSON@sakilacustomer.org,2006-02-14 22:04:36,1,California,JOHNSON
692 Joliet Street,1,38,7,LINDA,83579,448477190408,,3,LINDA.WILLIAMS@sakilacustomer.org,2006-02-14 22:04:36,1,Attika,WILLIAMS
1566 Inegöl Manor,1,349,8,BARBARA,53561,705814003527,,4,BARBARA.JONES@sakilacustomer.org,2006-02-14 22:04:36,2,Mandalay,JONES
53 Idfu Parkway,1,361,9,ELIZABETH,42399,10655648674,,5,ELIZABETH.BROWN@sakilacustomer.org,2006-02-14 22:04:36,1,Nantou,BROWN
1795 Santiago de Compostela Way,1,295,10,JENNIFER,18743,860452626434,,6,JENNIFER.DAVIS@sakilacustomer.org,2006-02-14 22:04:36,2,Texas,DAVIS
900 Santiago de Compostela Parkway,1,280,11,MARIA,93896,716571220373,,7,MARIA.MILLER@sakilacustomer.org,2006-02-14 22:04:36,1,Central Serbia,MILLER
478 Joliet Way,1,200,12,SUSAN,77948,657282285970,,8,SUSAN.WILSON@sakilacustomer.org,2006-02-14 22:04:36,2,Hamilton,WILSON
613 Korolev Drive,1,329,13,MARGARET,45844,380657522649,,9,MARGARET.MOORE@sakilacustomer.org,2006-02-14 22:04:36,2,Masqat,MOORE
1531 Salé Drive,1,162,14,DOROTHY,53628,648856936185,,10,DOROTHY.TAYLOR@sakilacustomer.org,2006-02-14 22:04:36,1,Esfahan,TAYLOR
1542 Tarlac Parkway,1,440,15,LISA,1027,635297277345,,11,LISA.ANDERSON@sakilacustomer.org,2006-02-14 22:04:36,2,Kanagawa,ANDERSON
808 Bhopal Manor,1,582,16,NANCY,10672,465887807014,,12,NANCY.THOMAS@sakilacustomer.org,2006-02-14 22:04:36,1,Haryana,THOMAS
270 Amroha Parkway,1,384,17,KAREN,29610,695479687538,,13,KAREN.JACKSON@sakilacustomer.org,2006-02-14 22:04:36,2,Osmaniye,JACKSON
