AgID,Pho,C,LaNa,In,NumC,NWo,FirN,A,MarSt,NumChi,Sta,Coun,CreRat,OwOReF,Em,NuCrCar
Iok7501,1-637-119-9996,Baltimore,Iokwiqojocjanndatkdzgymym,94490.0,3.0,321776.0,wbwsqgtaa,7.0,U,,MO,United States of America,580.0,U,FM Global,
tia7502,1-560-405-0048,Kitchener,tiabxgseasiibxakctfzhfwotp,7037.0,4.0,2292324.0,QGJWCPAPZMWHYHZTNOYSSOQBI,48.0,S,4.0,TX,Canada,683.0,R,MGIC Investment,2.0
AOI7503,1-261-306-5079,Saint John,AOIWIWTIHIXOJ,419269.0,1.0,969707.0,BHGXDDPUMBESLQMNEPREPTZNNKM,14.0,M,5.0,CT,,411.0,O,Ross Stores,2.0
PJQ7504,1-642-299-6655,Berkeley,PJQSPMBUHYQKBOZ,76681.0,4.0,3899461.0,Xgnvppcxgfnmawlupgfa,29.0,W,5.0,UT,United States of America,818.0,U,,9.0
SDV7505,,Missoula,SDVLJWXENNGWCQMIW,209116.0,2.0,3749223.0,Tfiozpstcftslqtwkgngiiwo,69.0,U,4.0,RI,United States of America,370.0,R,Alliance One International,7.0
Hga7506,1-388-257-4273,Salinas,Hgakmykzeunwkiaxayulpwyxrcuev,212203.0,0.0,3658531.0,fbcahlrhhjoslfzqvvwwvhk,47.0,U,0.0,DE,,833.0,O,Sally Beauty Holdings,6.0
Beo7507,,San Jose,Beotomyndkiqryllkvpavllytov,42018.0,5.0,1738460.0,Dcgkohfcwyoaxckalqnkrzwq,0.0,M,5.0,NM,Canada,536.0,U,Wisconsin Energy,2.0
Qum7508,1-632-118-1891,Cleveland,Qumxrssnd,90446.0,0.0,3307296.0,Vmnmcsinflxxmmifydckncc,46.0,S,0.0,WV,United States of America,775.0,R,Carpenter Technology,0.0
Hud7509,1-853-806-4986,Huntington,Hudlpfwjagzbnznyhamjkhbf,16274.0,1.0,1816419.0,Vrkbkkxkddtximspigmlbwzt,6.0,M,1.0,NH,United States of America,765.0,R,Liberty Mutual Insurance Group,3.0
jba7510,1-220-687-2027,Paterson,jbabemsfwdyeihxq,22215.0,5.0,2599250.0,RMWCTFTLSVTMCBI,22.0,M,2.0,WY,Canada,555.0,O,Black & Decker,6.0
dgc7511,,Greensboro,dgcnbxfhc,210038.0,5.0,490443.0,Zaijioc,72.0,M,1.0,Saskatchewan,United States of America,,O,Interstate Bakeries,3.0
lql7512,1-268-630-3843,Concord,lqlslgqsvyfxqnzuwbfg,307402.0,4.0,3348923.0,Mdwdjpdfmbqjaygkfqzqx,40.0,M,5.0,NE,Canada,318.0,O,eBay,9.0
Wsk7513,1-915-548-9541,Colorado Springs,Wskjvrujdwku,,4.0,331799.0,Ccbccgvldfvoqtzestvkwunn,8.0,D,1.0,AR,United States of America,613.0,R,Boise,4.0
Ffs7514,1-536-880-0961,Mobile,Ffshsiomkzjonhxjhunfsao,432425.0,4.0,1167013.0,nyakrhdyxravdnhgbtol,10.0,U,1.0,IL,,786.0,R,MDU Resources Group,4.0
Kvv7515,1-494-335-6022,Thousand Oaks,Kvvverfkpazpzzkrqniixrhnw,122041.0,0.0,3960216.0,NDNBTVCLKSC,24.0,U,3.0,VA,United States of America,,O,Freescale Semiconductor,10.0
mpz7516,1-814-158-3550,Rochester,mpzqnwnrmaozfsstcqtrc,302205.0,1.0,242246.0,Zmstbluqkipzaojfsomtbdddguq,18.0,M,4.0,ID,United States of America,623.0,O,Superior Energy Services,5.0
Jhc7517,1-420-580-0795,Garden Grove,Jhcbaxyzijphmmvpampdgvgisnab,367555.0,1.0,1217660.0,dpqgvuaoijmkxsesvililpxcrwqe,79.0,S,1.0,TX,United States of America,845.0,O,Monsanto,1.0
dbq7518,1-924-305-1666,Tampa,dbqcukoddoiwg,106025.0,4.0,1229655.0,IHUGYGSRDWILVOFBAKUR,36.0,M,5.0,New Brunswick,United States of America,645.0,U,Newfield Exploration,7.0
Xch7519,1-450-082-2122,Fullerton,Xchoxlbkffuvox,106690.0,2.0,1157831.0,aefotdcronamhkzsfpvifmobgchmsp,21.0,W,2.0,Alberta,Canada,495.0,O,Loews,1.0
oir7520,1-573-009-1404,Washington,oirfujtvl,29373.0,2.0,,jdeyqkerjerjpht,4.0,M,2.0,PA,Canada,371.0,O,Apache,8.0
Fqb7521,1-603-897-9894,Norfolk,Fqbovz,168189.0,2.0,,Lwihnxoihqqrvjydsijd,72.0,S,3.0,Nova Scotia,United States of America,462.0,R,Robert Half International,1.0
qex7522,1-947-161-6502,Sydney,qextfjyytqwbmdrlykbfnhvqrmota,264756.0,,3467922.0,nmnervucuk,1.0,S,,RI,United States of America,375.0,U,Viacom,7.0
Hpi7523,1-586-826-9847,Winnipeg,Hpiedhvkedqqdxsoedt,44480.0,1.0,46859.0,hgjkxxbf,98.0,S,2.0,OR,Canada,516.0,U,Robert Half International,10.0
Fjd7524,1-217-243-2668,Wilmington,Fjdafgbcrml,87207.0,1.0,2937668.0,Zangtryzlhmxo,35.0,,5.0,CA,Canada,703.0,R,CSX,
Cgt7525,1-857-211-5728,El Monte,Cgtcmbl,238434.0,4.0,2388613.0,FFJGEQD,99.0,W,2.0,MO,United States of America,734.0,O,Country Financial Services,7.0
