prospect_AgID,prospect_Coun,prospect_Ag,prospect_Ge,prospect_Pho,prospect_Em,prospect_Sta,prospect_NumCrCar,prospect_MiInit,prospect_MarSt,prospect_NuCa,prospect_Ci,prospect_Inc,prospect_NumChi,prospect_CrRa,prospect_OORF,prospect_NWo
PEL0,United States of America,20.0,f,1-712-522-6088,Brink's,MA,,,W,,Fairbanks,368776.0,3.0,760.0,O,1058868.0
LED1,United States of America,3.0,F,1-626-426-4298,,PA,6.0,,U,5.0,Quebec,177967.0,1.0,555.0,U,1988185.0
lat2,United States of America,,,1-524-787-8784,,Alberta,6.0,,S,2.0,Henderson,321772.0,1.0,566.0,O,3673128.0
RUD3,Canada,77.0,,1-741-997-1688,Air Products & Chemicals,AR,3.0,,W,2.0,Salem,25449.0,1.0,,O,2005895.0
JAY4,Canada,21.0,f,1-002-194-1991,Oshkosh,OR,4.0,M,M,0.0,Toledo,166567.0,3.0,815.0,O,624736.0
tod5,United States of America,77.0,M,1-441-371-7651,,VA,10.0,Z,M,1.0,Corpus Christi,43631.0,4.0,333.0,R,3064615.0
Kan6,Canada,23.0,m,1-957-940-5980,VeraSun Energy,OH,1.0,R,,4.0,Salt Lake City,466230.0,0.0,528.0,O,3489129.0
Din7,United States of America,9.0,,1-768-633-4096,IDT,Prince Edward Island,7.0,Z,M,2.0,Brownsville,420243.0,2.0,680.0,U,3430744.0
Thi8,United States of America,63.0,,1-107-689-2155,Adams Resources & Energy,NV,10.0,,U,3.0,Escondido,141862.0,,761.0,O,1743614.0
May9,United States of America,32.0,,1-173-594-6096,MGIC Investment,Ontario,,,M,0.0,Los Angeles,402011.0,2.0,416.0,O,216299.0
mah10,Canada,96.0,,1-561-520-0611,Iasis Healthcare,TX,9.0,U,M,2.0,West Covina,79928.0,2.0,493.0,O,1528641.0
Siz11,United States of America,46.0,,1-730-406-9727,AMR,NE,0.0,,M,1.0,San Buenaventura,109496.0,0.0,564.0,R,3752907.0
cra12,United States of America,6.0,,,Embarq,AR,0.0,,U,1.0,Lexington,267901.0,4.0,817.0,U,582378.0
dac13,United States of America,39.0,m,1-207-867-4589,Advanced Micro Devices,MI,8.0,,U,3.0,Hay River,487273.0,5.0,653.0,R,3458824.0
