gncd,crdtrtng,ct,gndr,pstlcd,phn,nmbrchldrn,wnrrntflg,ncm,ddrssln1,lstnm,mddlntl,mplr,cntr,ntwrth,nmbrcrs,mrtlstts,g,nmbrcrdtcrds
Iok7501,580.0,Baltimore,,Guudshirvcu,1-637-119-9996,,U,94490.0,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,Iokwiqojocjanndatkdzgymym,n,FM Global,United States of America,321776.0,3.0,U,7.0,
tia7502,683.0,Kitchener,M,wyggjewbe,1-560-405-0048,4.0,R,7037.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,tiabxgseasiibxakctfzhfwotp,,MGIC Investment,Canada,2292324.0,4.0,S,48.0,2.0
AOI7503,411.0,Saint John,,YMZRQICUTHT,1-261-306-5079,5.0,O,419269.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,AOIWIWTIHIXOJ,u,Ross Stores,,969707.0,1.0,M,14.0,2.0
PJQ7504,818.0,Berkeley,m,Bcjuycmcen,1-642-299-6655,5.0,U,76681.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,PJQSPMBUHYQKBOZ,,,United States of America,3899461.0,4.0,W,29.0,9.0
SDV7505,370.0,Missoula,,Nujxguyehf,,4.0,R,209116.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,SDVLJWXENNGWCQMIW,,Alliance One International,United States of America,3749223.0,2.0,U,69.0,7.0
Hga7506,833.0,Salinas,F,Neigswk,1-388-257-4273,0.0,O,212203.0,Ajpkrmtlcbdzr,Hgakmykzeunwkiaxayulpwyxrcuev,F,Sally Beauty Holdings,,3658531.0,0.0,U,47.0,6.0
Beo7507,536.0,San Jose,M,WNCEOQPLW,,5.0,U,42018.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,Beotomyndkiqryllkvpavllytov,D,Wisconsin Energy,Canada,1738460.0,5.0,M,0.0,2.0
Qum7508,775.0,Cleveland,,Cskdwtkf,1-632-118-1891,0.0,R,90446.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,Qumxrssnd,,Carpenter Technology,United States of America,3307296.0,0.0,S,46.0,0.0
Hud7509,765.0,Huntington,,tcxswloetdt,1-853-806-4986,1.0,R,16274.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,Hudlpfwjagzbnznyhamjkhbf,v,Liberty Mutual Insurance Group,United States of America,1816419.0,1.0,M,6.0,3.0
jba7510,555.0,Paterson,m,Fkpemasoukih,1-220-687-2027,2.0,O,22215.0,Ycltsquohmuugxihqyluhkoy,jbabemsfwdyeihxq,,Black & Decker,Canada,2599250.0,5.0,M,22.0,6.0
dgc7511,,Greensboro,m,NCEVKLQEEWTA,,1.0,O,210038.0,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,dgcnbxfhc,,Interstate Bakeries,United States of America,490443.0,5.0,M,72.0,3.0
lql7512,318.0,Concord,,DODDIDDHXS,1-268-630-3843,5.0,O,307402.0,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,lqlslgqsvyfxqnzuwbfg,,eBay,Canada,3348923.0,4.0,M,40.0,9.0
Wsk7513,613.0,Colorado Springs,m,Oqnzttrldq,1-915-548-9541,1.0,R,,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,Wskjvrujdwku,,Boise,United States of America,331799.0,4.0,D,8.0,4.0
Ffs7514,786.0,Mobile,,Lwbawk,1-536-880-0961,1.0,R,432425.0,,Ffshsiomkzjonhxjhunfsao,v,MDU Resources Group,,1167013.0,4.0,U,10.0,4.0
Kvv7515,,Thousand Oaks,,Ppsrzjdtg,1-494-335-6022,3.0,O,122041.0,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,Kvvverfkpazpzzkrqniixrhnw,F,Freescale Semiconductor,United States of America,3960216.0,0.0,U,24.0,10.0
mpz7516,623.0,Rochester,f,,1-814-158-3550,4.0,O,302205.0,,mpzqnwnrmaozfsstcqtrc,G,Superior Energy Services,United States of America,242246.0,1.0,M,18.0,5.0
Jhc7517,845.0,Garden Grove,F,,1-420-580-0795,1.0,O,367555.0,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,Jhcbaxyzijphmmvpampdgvgisnab,s,Monsanto,United States of America,1217660.0,1.0,S,79.0,1.0
dbq7518,645.0,Tampa,M,Rxdsunq,1-924-305-1666,5.0,U,106025.0,rpikmvtgwsrsoehxgmxwypaueiaheabrf,dbqcukoddoiwg,l,Newfield Exploration,United States of America,1229655.0,4.0,M,36.0,7.0
Xch7519,495.0,Fullerton,m,JXHVEEOU,1-450-082-2122,2.0,O,106690.0,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,Xchoxlbkffuvox,,Loews,Canada,1157831.0,2.0,W,21.0,1.0
oir7520,371.0,Washington,m,XHJQCDPOO,1-573-009-1404,2.0,O,29373.0,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,oirfujtvl,Z,Apache,Canada,,2.0,M,4.0,8.0
Fqb7521,462.0,Norfolk,M,rapkjpmvp,1-603-897-9894,3.0,R,168189.0,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,Fqbovz,O,Robert Half International,United States of America,,2.0,S,72.0,1.0
qex7522,375.0,Sydney,,Slskxm,1-947-161-6502,,U,264756.0,Dmyivtczopuqajpnjqvvgbhxynvduub,qextfjyytqwbmdrlykbfnhvqrmota,,Viacom,United States of America,3467922.0,,S,1.0,7.0
Hpi7523,516.0,Winnipeg,,FXHXLG,1-586-826-9847,2.0,U,44480.0,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,Hpiedhvkedqqdxsoedt,,Robert Half International,Canada,46859.0,1.0,S,98.0,10.0
Fjd7524,703.0,Wilmington,,ovlziicdezok,1-217-243-2668,5.0,R,87207.0,Esuycdxsjfbrqbtluspxsehk,Fjdafgbcrml,,CSX,Canada,2937668.0,1.0,,35.0,
Cgt7525,734.0,El Monte,,jsxcpvao,1-857-211-5728,2.0,O,238434.0,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,Cgtcmbl,,Country Financial Services,United States of America,2388613.0,4.0,W,99.0,7.0
Lwx7526,469.0,Sterling Heights,M,Ykerbceq,1-089-966-6281,2.0,U,,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,Lwxudfgcqawccntqaucdaeym,,Procter & Gamble,United States of America,3116283.0,0.0,M,49.0,4.0
epy7527,595.0,Pembroke Pines,,VVMSNWEBT,,0.0,O,391354.0,vnyndcximwxhecv,epyxtfsrijhddstgaxkbgmlayjtk,,Ingles Markets,United States of America,2671950.0,3.0,S,72.0,2.0
Aff7528,410.0,Philadelphia,m,bibueqwbejem,1-231-342-6874,0.0,O,419165.0,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,Affcha,M,Forest Laboratories,United States of America,3899593.0,3.0,U,41.0,1.0
mfc7529,475.0,Glendale,,gehpynlk,,2.0,O,396509.0,,mfcestd,S,Dentsply International,Canada,2537332.0,3.0,W,54.0,10.0
Slf7530,,El Monte,,Piwlxtg,1-602-637-1838,2.0,R,145161.0,GVSBHGBDDVJFNNOZNNPJWCOI,Slfbmvc,S,RadioShack,United States of America,733236.0,0.0,,11.0,2.0
Cxu7531,519.0,Warwick,,Ujlshmosjkid,1-003-982-8627,5.0,O,263206.0,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,Cxuousxqyrfgjvpvuopyfguqva,,Century Aluminum,United States of America,,2.0,W,0.0,3.0
GZO7532,841.0,Milwaukee,,cwburwnupuj,1-136-358-6852,3.0,U,190371.0,BIQIOQOHLQSTBRUFOI,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,F,,United States of America,3397276.0,3.0,D,27.0,5.0
DRW7533,540.0,Phoenix,,CNEZMHTKIAEV,1-123-528-2965,1.0,O,203968.0,Llfaqkbemnoy,DRWTVTDSG,A,FPL Group,United States of America,2444257.0,3.0,U,95.0,6.0
set7534,540.0,Anchorage,f,kixvppuqtd,1-136-565-2501,3.0,R,428323.0,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,setksinlvlrjwnfu,N,Lockheed Martin,United States of America,71520.0,1.0,U,35.0,10.0
Pyo7535,,Madison,,jrhynxfi,1-317-986-1984,1.0,O,159980.0,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,Pyoixliri,,Sanmina-SCI,United States of America,1911091.0,4.0,M,96.0,6.0
FSH7536,424.0,Fontana,M,dnhtjyu,1-265-603-1262,0.0,O,266852.0,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,,Iron Mountain,Canada,988775.0,0.0,W,96.0,6.0
Tdx7537,623.0,Charlotte,,YKOVOTYB,,5.0,R,206973.0,,Tdxyljuxporjhdumcvfmv,,OfficeMax,United States of America,3919363.0,5.0,M,49.0,2.0
Sbn7538,792.0,Richmond,,WNNMWJ,1-156-668-6882,1.0,O,258221.0,atydogjpqphuwhegtbukkqiaeakrtrn,Sbnxcsrozzcufdoyvckpplofysx,O,AMR,Canada,428918.0,5.0,S,,4.0
Piq7539,718.0,Santa Clarita,f,Oktkljv,1-164-648-3203,4.0,O,428508.0,Hlotorcbtobuceb,Piqizouhxiw,C,Kohl's,United States of America,58134.0,4.0,S,27.0,6.0
IXD7540,401.0,Yellow Knife,M,,1-839-795-1027,0.0,O,,gsrdigbqfwrahybxrtm,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,,Cigna,,3703767.0,4.0,M,98.0,6.0
wsn7541,557.0,Oxnard,,GXFLSISZUY,1-958-412-4252,5.0,R,58953.0,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,wsnjomkxbtybfnmtcjhvmblfwamnwd,,West,United States of America,433859.0,4.0,M,,2.0
