LastName,AddressLine1,City,FirstName,Age,PostalCode,OwnOrRentFlag,Employer,AddressLine2,MiddleInitial,CreditRating,NumberCreditCards,State,Gender,AgencyID,NumberCars,Country,Income,NumberChildren,MaritalStatus,NetWorth,Phone
PELLAND,21847 olympia street,Fairbanks,Netti,20.0,T6b 1i1,O,Brink's,,,760.0,,MA,f,PEL0,,United States of America,368776.0,3.0,W,1058868.0,1-712-522-6088
LEDUC,245 congress court,Quebec,TRUDY,3.0,77281,U,,APT. 624,,555.0,6.0,PA,F,LED1,5.0,United States of America,177967.0,1.0,U,1988185.0,1-626-426-4298
latif,6517 frailing west,Henderson,ireland,,91355,O,,,,566.0,6.0,Alberta,,lat2,2.0,United States of America,321772.0,1.0,S,3673128.0,1-524-787-8784
RUDDICK,11449 blalock park,Salem,Misti,77.0,36615,O,Air Products & Chemicals,,,,3.0,AR,,RUD3,2.0,Canada,25449.0,1.0,W,2005895.0,1-741-997-1688
JAYAMANNE,18354 dodd court,Toledo,sarena,21.0,t6a 1i3,O,Oshkosh,Apt. 619,M,815.0,4.0,OR,f,JAY4,0.0,Canada,166567.0,3.0,M,624736.0,1-002-194-1991
todo,14117 roxboro street,Corpus Christi,Paulette,77.0,A2b 1v3,R,,,Z,333.0,10.0,VA,M,tod5,1.0,United States of America,43631.0,4.0,M,3064615.0,1-441-371-7651
Kanno,24697 FLORENCE WEST,Salt Lake City,AMALITA,23.0,49513,O,VeraSun Energy,,R,528.0,1.0,OH,m,Kan6,4.0,Canada,466230.0,0.0,,3489129.0,1-957-940-5980
Dinkel,6488 applewood drive,Brownsville,Ernesto,9.0,M5d 1v6,U,IDT,,Z,680.0,7.0,Prince Edward Island,,Din7,2.0,United States of America,420243.0,2.0,M,3430744.0,1-768-633-4096
Thibodeaux,17404 gale court,Escondido,Toby,63.0,V6c 1q1,O,Adams Resources & Energy,,,761.0,10.0,NV,,Thi8,3.0,United States of America,141862.0,,U,1743614.0,1-107-689-2155
Mayo,15913 alexis street,Los Angeles,evangelia,32.0,99716,O,MGIC Investment,,,416.0,,Ontario,,May9,0.0,United States of America,402011.0,2.0,M,216299.0,1-173-594-6096
mahendra,18313 5th lane,West Covina,umakanth,96.0,A2b 1w1,O,Iasis Healthcare,,U,493.0,9.0,TX,,mah10,2.0,Canada,79928.0,2.0,M,1528641.0,1-561-520-0611
Sizto,13653 collier avenue,San Buenaventura,terrie,46.0,M5F 1W1,R,AMR,,,564.0,0.0,NE,,Siz11,1.0,United States of America,109496.0,0.0,M,3752907.0,1-730-406-9727
crawley,15306 pike park,Lexington,Mary-pat,6.0,95118,U,Embarq,,,817.0,0.0,AR,,cra12,1.0,United States of America,267901.0,4.0,U,582378.0,
dacal,1540 crestmere north,Hay River,Catherin,39.0,H2f 1v7,R,Advanced Micro Devices,,,653.0,8.0,MI,m,dac13,3.0,United States of America,487273.0,5.0,U,3458824.0,1-207-867-4589
HIVELY,10790 bonita crescent,Toronto,annissa,73.0,19217,O,Cenveo,,W,587.0,2.0,MA,,HIV14,3.0,United States of America,34013.0,4.0,M,469408.0,1-478-629-9641
Peschke,24679 AIRPORT CRESCENT,Denver,Amour,26.0,21228,O,Kelly Services,Apt. 290,,472.0,6.0,TN,,Pes15,0.0,United States of America,473462.0,2.0,S,1504480.0,1-026-208-8595
CHILDERHOSE,7627 douglas road,St. Paul,jenica,54.0,85097,O,Viacom,,,817.0,4.0,TN,,CHI16,5.0,Canada,499493.0,4.0,M,2763009.0,1-432-681-4853
