AgencyID,Age,Country,Phone,NetWorth,MiddleInitial,OwnOrRentFlag,Employer,NumberChildren,NumberCreditCards,City,PostalCode,State,Income,NumberCars,MaritalStatus,CreditRating
Iok7501,7.0,United States of America,1-637-119-9996,321776.0,n,U,FM Global,,,Baltimore,Guudshirvcu,MO,94490.0,3.0,U,580.0
tia7502,48.0,Canada,1-560-405-0048,2292324.0,,R,MGIC Investment,4.0,2.0,Kitchener,wyggjewbe,TX,7037.0,4.0,S,683.0
AOI7503,14.0,,1-261-306-5079,969707.0,u,O,Ross Stores,5.0,2.0,Saint John,YMZRQICUTHT,CT,419269.0,1.0,M,411.0
PJQ7504,29.0,United States of America,1-642-299-6655,3899461.0,,U,,5.0,9.0,Berkeley,Bcjuycmcen,UT,76681.0,4.0,W,818.0
SDV7505,69.0,United States of America,,3749223.0,,R,Alliance One International,4.0,7.0,Missoula,Nujxguyehf,RI,209116.0,2.0,U,370.0
Hga7506,47.0,,1-388-257-4273,3658531.0,F,O,Sally Beauty Holdings,0.0,6.0,Salinas,Neigswk,DE,212203.0,0.0,U,833.0
Beo7507,0.0,Canada,,1738460.0,D,U,Wisconsin Energy,5.0,2.0,San Jose,WNCEOQPLW,NM,42018.0,5.0,M,536.0
Qum7508,46.0,United States of America,1-632-118-1891,3307296.0,,R,Carpenter Technology,0.0,0.0,Cleveland,Cskdwtkf,WV,90446.0,0.0,S,775.0
Hud7509,6.0,United States of America,1-853-806-4986,1816419.0,v,R,Liberty Mutual Insurance Group,1.0,3.0,Huntington,tcxswloetdt,NH,16274.0,1.0,M,765.0
jba7510,22.0,Canada,1-220-687-2027,2599250.0,,O,Black & Decker,2.0,6.0,Paterson,Fkpemasoukih,WY,22215.0,5.0,M,555.0
dgc7511,72.0,United States of America,,490443.0,,O,Interstate Bakeries,1.0,3.0,Greensboro,NCEVKLQEEWTA,Saskatchewan,210038.0,5.0,M,
lql7512,40.0,Canada,1-268-630-3843,3348923.0,,O,eBay,5.0,9.0,Concord,DODDIDDHXS,NE,307402.0,4.0,M,318.0
Wsk7513,8.0,United States of America,1-915-548-9541,331799.0,,R,Boise,1.0,4.0,Colorado Springs,Oqnzttrldq,AR,,4.0,D,613.0
Ffs7514,10.0,,1-536-880-0961,1167013.0,v,R,MDU Resources Group,1.0,4.0,Mobile,Lwbawk,IL,432425.0,4.0,U,786.0
Kvv7515,24.0,United States of America,1-494-335-6022,3960216.0,F,O,Freescale Semiconductor,3.0,10.0,Thousand Oaks,Ppsrzjdtg,VA,122041.0,0.0,U,
mpz7516,18.0,United States of America,1-814-158-3550,242246.0,G,O,Superior Energy Services,4.0,5.0,Rochester,,ID,302205.0,1.0,M,623.0
Jhc7517,79.0,United States of America,1-420-580-0795,1217660.0,s,O,Monsanto,1.0,1.0,Garden Grove,,TX,367555.0,1.0,S,845.0
dbq7518,36.0,United States of America,1-924-305-1666,1229655.0,l,U,Newfield Exploration,5.0,7.0,Tampa,Rxdsunq,New Brunswick,106025.0,4.0,M,645.0
Xch7519,21.0,Canada,1-450-082-2122,1157831.0,,O,Loews,2.0,1.0,Fullerton,JXHVEEOU,Alberta,106690.0,2.0,W,495.0
oir7520,4.0,Canada,1-573-009-1404,,Z,O,Apache,2.0,8.0,Washington,XHJQCDPOO,PA,29373.0,2.0,M,371.0
Fqb7521,72.0,United States of America,1-603-897-9894,,O,R,Robert Half International,3.0,1.0,Norfolk,rapkjpmvp,Nova Scotia,168189.0,2.0,S,462.0
qex7522,1.0,United States of America,1-947-161-6502,3467922.0,,U,Viacom,,7.0,Sydney,Slskxm,RI,264756.0,,S,375.0
Hpi7523,98.0,Canada,1-586-826-9847,46859.0,,U,Robert Half International,2.0,10.0,Winnipeg,FXHXLG,OR,44480.0,1.0,S,516.0
Fjd7524,35.0,Canada,1-217-243-2668,2937668.0,,R,CSX,5.0,,Wilmington,ovlziicdezok,CA,87207.0,1.0,,703.0
Cgt7525,99.0,United States of America,1-857-211-5728,2388613.0,,O,Country Financial Services,2.0,7.0,El Monte,jsxcpvao,MO,238434.0,4.0,W,734.0
Lwx7526,49.0,United States of America,1-089-966-6281,3116283.0,,U,Procter & Gamble,2.0,4.0,Sterling Heights,Ykerbceq,Prince Edward Island,,0.0,M,469.0
epy7527,72.0,United States of America,,2671950.0,,O,Ingles Markets,0.0,2.0,Pembroke Pines,VVMSNWEBT,Quebec,391354.0,3.0,S,595.0
Aff7528,41.0,United States of America,1-231-342-6874,3899593.0,M,O,Forest Laboratories,0.0,1.0,Philadelphia,bibueqwbejem,KS,419165.0,3.0,U,410.0
mfc7529,54.0,Canada,,2537332.0,S,O,Dentsply International,2.0,10.0,Glendale,gehpynlk,NV,396509.0,3.0,W,475.0
Slf7530,11.0,United States of America,1-602-637-1838,733236.0,S,R,RadioShack,2.0,2.0,El Monte,Piwlxtg,TN,145161.0,0.0,,
Cxu7531,0.0,United States of America,1-003-982-8627,,,O,Century Aluminum,5.0,3.0,Warwick,Ujlshmosjkid,WY,263206.0,2.0,W,519.0
GZO7532,27.0,United States of America,1-136-358-6852,3397276.0,F,U,,3.0,5.0,Milwaukee,cwburwnupuj,British Columbia,190371.0,3.0,D,841.0
DRW7533,95.0,United States of America,1-123-528-2965,2444257.0,A,O,FPL Group,1.0,6.0,Phoenix,CNEZMHTKIAEV,LA,203968.0,3.0,U,540.0
set7534,35.0,United States of America,1-136-565-2501,71520.0,N,R,Lockheed Martin,3.0,10.0,Anchorage,kixvppuqtd,HI,428323.0,1.0,U,540.0
Pyo7535,96.0,United States of America,1-317-986-1984,1911091.0,,O,Sanmina-SCI,1.0,6.0,Madison,jrhynxfi,NY,159980.0,4.0,M,
FSH7536,96.0,Canada,1-265-603-1262,988775.0,,O,Iron Mountain,0.0,6.0,Fontana,dnhtjyu,TX,266852.0,0.0,W,424.0
Tdx7537,49.0,United States of America,,3919363.0,,R,OfficeMax,5.0,2.0,Charlotte,YKOVOTYB,AZ,206973.0,5.0,M,623.0
Sbn7538,,Canada,1-156-668-6882,428918.0,O,O,AMR,1.0,4.0,Richmond,WNNMWJ,ME,258221.0,5.0,S,792.0
Piq7539,27.0,United States of America,1-164-648-3203,58134.0,C,O,Kohl's,4.0,6.0,Santa Clarita,Oktkljv,NH,428508.0,4.0,S,718.0
IXD7540,98.0,,1-839-795-1027,3703767.0,,O,Cigna,0.0,6.0,Yellow Knife,,KY,,4.0,M,401.0
wsn7541,,United States of America,1-958-412-4252,433859.0,,R,West,5.0,2.0,Oxnard,GXFLSISZUY,Prince Edward Island,58953.0,4.0,M,557.0
Jkp7542,56.0,United States of America,1-392-335-1020,3002044.0,A,O,Monsanto,5.0,7.0,Huntington Beach,gzexcrngivl,British Columbia,409682.0,5.0,W,393.0
CCF7543,94.0,United States of America,1-912-050-7605,1124168.0,,,Reliant Energy,4.0,10.0,Durham,yzoikhwrd,CT,340191.0,2.0,M,557.0
ylj7544,98.0,United States of America,1-075-551-9919,2081541.0,,O,Idearc,5.0,5.0,Naperville,Gdbktega,WA,238216.0,4.0,U,465.0
ZBB7545,8.0,Canada,1-013-611-2674,1897076.0,V,O,Neiman Marcus,1.0,6.0,Albuquerque,Kdcqzpvf,ND,113171.0,0.0,M,
fqe7546,90.0,United States of America,1-656-865-7544,235172.0,,,O'Reilly Automotive,,10.0,Newark,Tbwgwtmgcu,ID,234797.0,5.0,W,485.0
Wpw7547,34.0,United States of America,1-879-870-7379,639573.0,,,Cliffs Natural Resources,2.0,2.0,Miami,Mwmfs,Quebec,225322.0,4.0,M,303.0
vpz7548,25.0,Canada,1-366-625-9813,2667082.0,,O,Health Management Associates,2.0,4.0,London,goelqgcts,ID,192689.0,1.0,W,846.0
Yfz7549,50.0,Canada,1-359-462-7089,2598634.0,,O,Chevron,4.0,1.0,Worcester,ucwygjzs,AL,348685.0,5.0,,621.0
dou7550,85.0,United States of America,,1074671.0,,O,Exide Technologies,4.0,,Jacksonville,fjlfqftwg,UT,401229.0,3.0,D,331.0
FDJ7551,60.0,United States of America,1-153-396-8333,2272997.0,,R,Convergys,4.0,9.0,Nashua,Tocujgaiaq,MS,38597.0,5.0,M,401.0
ufu7552,95.0,United States of America,1-144-623-1308,702000.0,,R,Dominion Resources,2.0,0.0,Newport News,kurjmmgixxfd,AK,,2.0,S,644.0
