AgencyID,CreditRating,AddressLine1,MaritalStatus,NetWorth,LastName,MiddleInitial,Age,FirstName,PostalCode,OwnOrRentFlag,Gender,AddressLine2,City,State,Country
PEL0,760.0,21847 olympia street,W,1058868.0,PELLAND,,20.0,Netti,T6b 1i1,O,f,,Fairbanks,MA,United States of America
LED1,555.0,245 congress court,U,1988185.0,LEDUC,,3.0,TRUDY,77281,U,F,APT. 624,Quebec,PA,United States of America
lat2,566.0,6517 frailing west,S,3673128.0,latif,,,ireland,91355,O,,,Henderson,Alberta,United States of America
RUD3,,11449 blalock park,W,2005895.0,RUDDICK,,77.0,Misti,36615,O,,,Salem,AR,Canada
JAY4,815.0,18354 dodd court,M,624736.0,JAYAMANNE,M,21.0,sarena,t6a 1i3,O,f,Apt. 619,Toledo,OR,Canada
tod5,333.0,14117 roxboro street,M,3064615.0,todo,Z,77.0,Paulette,A2b 1v3,R,M,,Corpus Christi,VA,United States of America
Kan6,528.0,24697 FLORENCE WEST,,3489129.0,Kanno,R,23.0,AMALITA,49513,O,m,,Salt Lake City,OH,Canada
Din7,680.0,6488 applewood drive,M,3430744.0,Dinkel,Z,9.0,Ernesto,M5d 1v6,U,,,Brownsville,Prince Edward Island,United States of America
Thi8,761.0,17404 gale court,U,1743614.0,Thibodeaux,,63.0,Toby,V6c 1q1,O,,,Escondido,NV,United States of America
May9,416.0,15913 alexis street,M,216299.0,Mayo,,32.0,evangelia,99716,O,,,Los Angeles,Ontario,United States of America
mah10,493.0,18313 5th lane,M,1528641.0,mahendra,U,96.0,umakanth,A2b 1w1,O,,,West Covina,TX,Canada
Siz11,564.0,13653 collier avenue,M,3752907.0,Sizto,,46.0,terrie,M5F 1W1,R,,,San Buenaventura,NE,United States of America
cra12,817.0,15306 pike park,U,582378.0,crawley,,6.0,Mary-pat,95118,U,,,Lexington,AR,United States of America
dac13,653.0,1540 crestmere north,U,3458824.0,dacal,,39.0,Catherin,H2f 1v7,R,m,,Hay River,MI,United States of America
HIV14,587.0,10790 bonita crescent,M,469408.0,HIVELY,W,73.0,annissa,19217,O,,,Toronto,MA,United States of America
Pes15,472.0,24679 AIRPORT CRESCENT,S,1504480.0,Peschke,,26.0,Amour,21228,O,,Apt. 290,Denver,TN,United States of America
CHI16,817.0,7627 douglas road,M,2763009.0,CHILDERHOSE,,54.0,jenica,85097,O,,,St. Paul,TN,Canada
Din17,441.0,6106 ashland east,M,2787199.0,Dinnin,,87.0,KATTIE,V6j 1q8,R,,,Bellevue,OK,United States of America
De 18,848.0,1111 norden street,M,2789368.0,De witte,M,85.0,Roselle,43207,O,,,Detroit,Ontario,United States of America
Mck19,843.0,2798 1st east,U,2784776.0,Mckeegan,,86.0,arlyne,V6t 1q8,R,m,,Omaha,KY,United States of America
WIN20,,11358 elle lee street,U,288747.0,WINTERS,P,59.0,Rong-chin,94467,R,M,,Costa Mesa,PA,United States of America
BIT21,300.0,21074 MALLORY LOWER,U,876575.0,BITTMAN,,94.0,Darlleen,94321,O,,,Berkeley,MD,United States of America
luz22,795.0,16124 weyland park,U,2041224.0,luzarraga,V,,Radoslav,C2a 4w7,O,f,,St. Louis,TX,United States of America
don23,367.0,23822 marvin crescent,,2231509.0,donovan,S,5.0,Aryn,35808,U,,,Colorado Springs,IN,United States of America
Gia24,507.0,2203 valita boulevard,M,3206409.0,Giallo,T,23.0,Allisan,M5f 1v6,O,,,Fontana,MD,United States of America
SPR25,362.0,11538 COLLINWOOD AVENUE,M,3850037.0,SPRUELL,,61.0,Ammamaria,99539,O,M,,St. Catharines,KY,United States of America
SKA26,527.0,7818 EAST STREET,D,528440.0,SKALSKI,,,Mari,95055,O,F,,Hayward,CA,United States of America
