AgencyID,FirstName,Age,MiddleInitial,MaritalStatus,NumberCreditCards,NumberChildren,OwnOrRentFlag,LastName,CreditRating,NumberCars,State,Country,Phone,Income,Employer,NetWorth
PEL0,Netti,20.0,,W,,3.0,O,PELLAND,760.0,,MA,United States of America,1-712-522-6088,368776.0,Brink's,1058868.0
LED1,TRUDY,3.0,,U,6.0,1.0,U,LEDUC,555.0,5.0,PA,United States of America,1-626-426-4298,177967.0,,1988185.0
lat2,ireland,,,S,6.0,1.0,O,latif,566.0,2.0,Alberta,United States of America,1-524-787-8784,321772.0,,3673128.0
RUD3,Misti,77.0,,W,3.0,1.0,O,RUDDICK,,2.0,AR,Canada,1-741-997-1688,25449.0,Air Products & Chemicals,2005895.0
JAY4,sarena,21.0,M,M,4.0,3.0,O,JAYAMANNE,815.0,0.0,OR,Canada,1-002-194-1991,166567.0,Oshkosh,624736.0
tod5,Paulette,77.0,Z,M,10.0,4.0,R,todo,333.0,1.0,VA,United States of America,1-441-371-7651,43631.0,,3064615.0
Kan6,AMALITA,23.0,R,,1.0,0.0,O,Kanno,528.0,4.0,OH,Canada,1-957-940-5980,466230.0,VeraSun Energy,3489129.0
Din7,Ernesto,9.0,Z,M,7.0,2.0,U,Dinkel,680.0,2.0,Prince Edward Island,United States of America,1-768-633-4096,420243.0,IDT,3430744.0
Thi8,Toby,63.0,,U,10.0,,O,Thibodeaux,761.0,3.0,NV,United States of America,1-107-689-2155,141862.0,Adams Resources & Energy,1743614.0
May9,evangelia,32.0,,M,,2.0,O,Mayo,416.0,0.0,Ontario,United States of America,1-173-594-6096,402011.0,MGIC Investment,216299.0
mah10,umakanth,96.0,U,M,9.0,2.0,O,mahendra,493.0,2.0,TX,Canada,1-561-520-0611,79928.0,Iasis Healthcare,1528641.0
Siz11,terrie,46.0,,M,0.0,0.0,R,Sizto,564.0,1.0,NE,United States of America,1-730-406-9727,109496.0,AMR,3752907.0
cra12,Mary-pat,6.0,,U,0.0,4.0,U,crawley,817.0,1.0,AR,United States of America,,267901.0,Embarq,582378.0
dac13,Catherin,39.0,,U,8.0,5.0,R,dacal,653.0,3.0,MI,United States of America,1-207-867-4589,487273.0,Advanced Micro Devices,3458824.0
HIV14,annissa,73.0,W,M,2.0,4.0,O,HIVELY,587.0,3.0,MA,United States of America,1-478-629-9641,34013.0,Cenveo,469408.0
Pes15,Amour,26.0,,S,6.0,2.0,O,Peschke,472.0,0.0,TN,United States of America,1-026-208-8595,473462.0,Kelly Services,1504480.0
CHI16,jenica,54.0,,M,4.0,4.0,O,CHILDERHOSE,817.0,5.0,TN,Canada,1-432-681-4853,499493.0,Viacom,2763009.0
Din17,KATTIE,87.0,,M,0.0,4.0,R,Dinnin,441.0,5.0,OK,United States of America,,266928.0,Macy's,2787199.0
De 18,Roselle,85.0,M,M,6.0,3.0,O,De witte,848.0,2.0,Ontario,United States of America,1-357-207-6320,72444.0,Gardner Denver,2789368.0
Mck19,arlyne,86.0,,U,8.0,3.0,R,Mckeegan,843.0,3.0,KY,United States of America,1-462-774-1277,77290.0,Family Dollar Stores,2784776.0
WIN20,Rong-chin,59.0,P,U,,0.0,R,WINTERS,,2.0,PA,United States of America,1-702-382-2898,395066.0,,288747.0
BIT21,Darlleen,94.0,,U,0.0,3.0,O,BITTMAN,300.0,5.0,MD,United States of America,1-909-554-7120,119283.0,Sun Microsystems,876575.0
luz22,Radoslav,,V,U,8.0,1.0,O,luzarraga,795.0,1.0,TX,United States of America,1-752-296-7940,330991.0,Costco Wholesale,2041224.0
don23,Aryn,5.0,S,,5.0,0.0,U,donovan,367.0,4.0,IN,United States of America,1-995-554-5056,,Illinois Tool Works,2231509.0
Gia24,Allisan,23.0,T,M,1.0,5.0,O,Giallo,507.0,1.0,MD,United States of America,1-090-303-3807,252031.0,Southern Union,3206409.0
SPR25,Ammamaria,61.0,,M,9.0,1.0,O,SPRUELL,362.0,3.0,KY,United States of America,1-492-968-0932,101800.0,Moog,3850037.0
SKA26,Mari,,,D,7.0,1.0,O,SKALSKI,527.0,0.0,CA,United States of America,1-960-227-2020,436977.0,Old Republic International,528440.0
Gar27,Anica,51.0,,S,0.0,,O,Gargul,354.0,0.0,FL,United States of America,1-431-122-8597,495334.0,,597140.0
Dor28,Melba,97.0,,M,1.0,1.0,O,Dore,511.0,1.0,Newfoundland,United States of America,1-822-836-7200,274685.0,Great Plains Energy,146931.0
DIO29,Tracee,52.0,X,,7.0,2.0,,DIOGO,412.0,2.0,TX,United States of America,1-530-117-0497,320820.0,Broadcom,353495.0
Mer30,CANADIAN,98.0,,S,1.0,0.0,O,Merrick,583.0,4.0,WA,Canada,1-051-257-2719,195835.0,Discover Financial Services,295647.0
Atc31,Oue,47.0,R,U,5.0,3.0,O,Atchison,710.0,5.0,MN,United States of America,1-171-989-1363,108085.0,UAL,408941.0
Pla32,wallie,47.0,X,M,9.0,1.0,O,Plamondon,380.0,2.0,WY,United States of America,1-042-705-3246,260185.0,Charles Schwab,362523.0
SEL33,Andromache,9.0,E,M,2.0,0.0,R,SELCHOW,796.0,0.0,NY,United States of America,1-098-328-2026,258323.0,Coach,2102359.0
sha34,THOR,85.0,Z,M,2.0,3.0,U,shane,818.0,1.0,SC,United States of America,1-209-754-5635,79476.0,DaVita,3480265.0
MER35,SALAH,81.0,,M,3.0,3.0,U,MERWIN,766.0,5.0,MS,United States of America,1-498-781-3456,102156.0,Marshall & Ilsley Corp.,3648900.0
con36,HOR-LAM,0.0,,M,2.0,3.0,O,conrad,359.0,2.0,UT,United States of America,1-615-241-0440,221481.0,Cablevision Systems,1161790.0
ons37,Vania,28.0,,S,2.0,5.0,R,onsiteteam,401.0,1.0,PA,United States of America,1-995-449-5200,41836.0,Barnes & Noble,2050587.0
Sum38,Niel,65.0,,U,0.0,1.0,O,Summerlin,609.0,1.0,OK,Canada,1-295-673-4452,72389.0,EMC,3579198.0
gro39,ziad,20.0,F,S,2.0,0.0,O,grooms,630.0,3.0,WY,United States of America,1-914-675-2986,66486.0,Fluor,889494.0
dil40,Claude,55.0,I,M,9.0,1.0,O,dilkie,671.0,3.0,RI,United States of America,,200185.0,Dollar General,2205682.0
DOL41,AVTAR,76.0,,U,10.0,2.0,O,DOLSON,715.0,0.0,HI,United States of America,1-825-739-0336,289215.0,Lear,1140117.0
Pos42,Donny,1.0,,M,9.0,1.0,O,Posthumus,707.0,4.0,VA,United States of America,1-956-713-3802,322484.0,J.P. Morgan Chase & Co.,1421319.0
Mac43,Cocos,3.0,,M,0.0,2.0,O,Machika,329.0,4.0,OK,United States of America,1-814-932-1579,83458.0,Affinia Group Intermediate,3525204.0
che44,ruud,100.0,,D,8.0,3.0,R,chenoweth,601.0,0.0,Prince Edward Island,United States of America,1-135-443-7282,,,468976.0
hol45,Belvia,81.0,,W,2.0,1.0,O,holbrooks,623.0,5.0,SD,United States of America,1-720-975-0667,492407.0,Goldman Sachs Group,1685443.0
pfi46,ATHAR,76.0,,S,2.0,4.0,O,pfieffer,376.0,4.0,OH,United States of America,1-871-598-3505,346630.0,E*Trade Financial,337564.0
elk47,Cherey,51.0,Y,W,0.0,3.0,O,elkington,560.0,1.0,MA,Canada,1-607-222-4809,9572.0,Pfizer,84777.0
Lab48,RAZ,,,,4.0,5.0,O,Labenek,693.0,1.0,MD,United States of America,1-965-046-0642,265369.0,Safeway,3146477.0
laf49,kishore,58.0,Y,S,0.0,2.0,U,laferriere,346.0,1.0,Saskatchewan,United States of America,1-155-441-3579,104172.0,Simon Property Group,495277.0
Nor50,Nelleke,52.0,I,M,0.0,3.0,O,Norment,342.0,0.0,WA,United States of America,,65550.0,Trinity Industries,746904.0
hag51,sibby,91.0,,M,8.0,0.0,R,hagar,563.0,2.0,OH,Canada,1-544-132-7237,,Solutia,1219620.0
Bet52,ericha,17.0,,M,4.0,3.0,O,Betcher,391.0,2.0,WY,United States of America,1-821-089-2089,,,1718910.0
Van53,Janson,6.0,,S,8.0,4.0,O,Van der,381.0,4.0,NJ,United States of America,1-135-391-9787,66244.0,A.O. Smith,
O'L54,Dorotea,89.0,,S,9.0,3.0,U,O'LEARY,539.0,0.0,ND,United States of America,1-776-182-6215,426954.0,AptarGroup,2636424.0
and55,Denice,99.0,,M,0.0,4.0,O,anderson,497.0,5.0,NC,United States of America,1-079-780-7761,126891.0,Coca-Cola,1326305.0
sta56,Myron,77.0,,M,,2.0,O,starks,661.0,4.0,WV,Canada,1-504-346-4393,454196.0,Kimberly-Clark,2241997.0
CHA57,Barby,,,S,0.0,3.0,R,CHASSE,558.0,5.0,GA,United States of America,1-985-538-4351,163940.0,Visteon,1542891.0
ASI58,Ariella,90.0,,W,,1.0,O,ASING,534.0,,Ontario,Canada,1-254-097-9398,365213.0,TECO Energy,797918.0
ask59,ADEY,82.0,,M,6.0,0.0,U,askins,373.0,0.0,MA,United States of America,1-545-924-9552,428739.0,Bemis,347654.0
Kik60,GAYEL,,K,M,8.0,0.0,O,Kikuta,382.0,4.0,CA,United States of America,1-984-233-8818,142444.0,Wyeth,2456397.0
Cha61,Man,15.0,,S,10.0,3.0,O,Chane,475.0,3.0,SD,United States of America,1-528-691-1642,416168.0,United Technologies,1284229.0
KIL62,Klara,,U,D,3.0,0.0,O,KILLEN,539.0,2.0,Saskatchewan,United States of America,,291420.0,Clorox,618787.0
kin63,Abdalla,96.0,,M,6.0,5.0,O,kinley,711.0,4.0,RI,United States of America,1-171-807-8213,413501.0,Discovery Communications,1171606.0
MAL64,bal,38.0,,M,1.0,,O,MALAHER,606.0,4.0,NC,United States of America,1-056-241-7009,,Williams-Sonoma,3983261.0
Odu65,Romy,10.0,J,W,0.0,3.0,O,Odum,494.0,3.0,SD,United States of America,1-389-414-0570,419143.0,Manitowoc,2328568.0
DI 66,KORAL,72.0,,M,3.0,5.0,O,DI NINNO,309.0,1.0,IL,United States of America,1-583-542-1656,155057.0,Henry Schein,2078600.0
STU67,YUKIHIKO,97.0,K,M,3.0,5.0,O,STUBBLEFIELD,630.0,2.0,OR,United States of America,1-269-712-0672,313859.0,Trinity Industries,2986155.0
HAM68,Khanh,48.0,,S,10.0,1.0,O,HAMBALI,330.0,4.0,Ontario,United States of America,1-670-102-0463,265907.0,Pepsi Bottling,1864039.0
LIB69,Darnell,97.0,,S,9.0,0.0,O,LIBRARIAN,710.0,,FL,Canada,1-699-726-3895,283481.0,UGI,1293721.0
ohs70,feridoun,73.0,,M,7.0,0.0,R,ohsone,475.0,4.0,NM,United States of America,1-640-666-2876,200635.0,Greif,3850114.0
HUM71,Magdy,71.0,O,U,3.0,1.0,O,HUMMEL,596.0,0.0,NE,United States of America,1-540-639-1311,434519.0,Equifax,1618743.0
BRA72,jiri,93.0,,W,9.0,1.0,O,BRADD,670.0,5.0,MI,United States of America,1-285-874-8492,392315.0,,3383487.0
Boa73,AILA,53.0,X,U,,3.0,O,Boarder,722.0,5.0,New Brunswick,United States of America,1-121-904-0040,493829.0,Freescale Semiconductor,2981876.0
Mcn74,Vincenzo,32.0,,U,7.0,2.0,O,Mcnally,587.0,3.0,NJ,United States of America,1-017-842-3201,97489.0,Aleris International,2109339.0
MAR75,Minnnie,1.0,,S,4.0,3.0,O,MARKOVICH,609.0,4.0,ND,United States of America,1-215-859-3206,,,791803.0
Wil76,alfonzo,39.0,,S,7.0,1.0,O,Willekes,401.0,0.0,Saskatchewan,United States of America,1-764-520-7470,383046.0,World Fuel Services,3523678.0
