prospect_gncd,prospect_pstlcd,prospect_nmbrchldrn,prospect_ddrssln2,prospect_ddrssln1,prospect_gndr,prospect_nmbrcrdtcrds,prospect_ct,prospect_ntwrth,prospect_mddlntl,prospect_mplr,prospect_crdtrtng,prospect_phn,prospect_lstnm,prospect_nmbrcrs,prospect_ncm,prospect_mrtlstts,prospect_g,prospect_wnrrntflg
Iok7501,Guudshirvcu,,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,,,Baltimore,321776.0,n,FM Global,580.0,1-637-119-9996,Iokwiqojocjanndatkdzgymym,3.0,94490.0,U,7.0,U
tia7502,wyggjewbe,4.0,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,M,2.0,Kitchener,2292324.0,,MGIC Investment,683.0,1-560-405-0048,tiabxgseasiibxakctfzhfwotp,4.0,7037.0,S,48.0,R
AOI7503,YMZRQICUTHT,5.0,Cdrxeolwrrxmwmhgexvcstvzz,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,,2.0,Saint John,969707.0,u,Ross Stores,411.0,1-261-306-5079,AOIWIWTIHIXOJ,1.0,419269.0,M,14.0,O
PJQ7504,Bcjuycmcen,5.0,WKSBVOFGJHQGAEKUYRZHHPH,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,m,9.0,Berkeley,3899461.0,,,818.0,1-642-299-6655,PJQSPMBUHYQKBOZ,4.0,76681.0,W,29.0,U
SDV7505,Nujxguyehf,4.0,skxijfqpzshmts,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,,7.0,Missoula,3749223.0,,Alliance One International,370.0,,SDVLJWXENNGWCQMIW,2.0,209116.0,U,69.0,R
Hga7506,Neigswk,0.0,ZETOHHRKIBHCQCKZODIXJJSXCFY,Ajpkrmtlcbdzr,F,6.0,Salinas,3658531.0,F,Sally Beauty Holdings,833.0,1-388-257-4273,Hgakmykzeunwkiaxayulpwyxrcuev,0.0,212203.0,U,47.0,O
Beo7507,WNCEOQPLW,5.0,LJXAXKUJXQBGWBHJJAAM,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,M,2.0,San Jose,1738460.0,D,Wisconsin Energy,536.0,,Beotomyndkiqryllkvpavllytov,5.0,42018.0,M,0.0,U
Qum7508,Cskdwtkf,0.0,Jmlgjkjbqhrudrkqrm,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,,0.0,Cleveland,3307296.0,,Carpenter Technology,775.0,1-632-118-1891,Qumxrssnd,0.0,90446.0,S,46.0,R
Hud7509,tcxswloetdt,1.0,Qqcilgblxyikgr,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,,3.0,Huntington,1816419.0,v,Liberty Mutual Insurance Group,765.0,1-853-806-4986,Hudlpfwjagzbnznyhamjkhbf,1.0,16274.0,M,6.0,R
jba7510,Fkpemasoukih,2.0,Ahtohqjfzfarn,Ycltsquohmuugxihqyluhkoy,m,6.0,Paterson,2599250.0,,Black & Decker,555.0,1-220-687-2027,jbabemsfwdyeihxq,5.0,22215.0,M,22.0,O
