AgencyID,OwnOrRentFlag,LastName,City,CreditRating,Income,MiddleInitial,Employer,Phone,Age,Country,AddressLine1,NumberChildren,PostalCode,NumberCreditCards,FirstName,Gender,AddressLine2
PEL0,O,PELLAND,Fairbanks,760.0,368776.0,,Brink's,1-712-522-6088,20.0,United States of America,21847 olympia street,3.0,T6b 1i1,,Netti,f,
LED1,U,LEDUC,Quebec,555.0,177967.0,,,1-626-426-4298,3.0,United States of America,245 congress court,1.0,77281,6.0,TRUDY,F,APT. 624
lat2,O,latif,Henderson,566.0,321772.0,,,1-524-787-8784,,United States of America,6517 frailing west,1.0,91355,6.0,ireland,,
RUD3,O,RUDDICK,Salem,,25449.0,,Air Products & Chemicals,1-741-997-1688,77.0,Canada,11449 blalock park,1.0,36615,3.0,Misti,,
JAY4,O,JAYAMANNE,Toledo,815.0,166567.0,M,Oshkosh,1-002-194-1991,21.0,Canada,18354 dodd court,3.0,t6a 1i3,4.0,sarena,f,Apt. 619
tod5,R,todo,Corpus Christi,333.0,43631.0,Z,,1-441-371-7651,77.0,United States of America,14117 roxboro street,4.0,A2b 1v3,10.0,Paulette,M,
Kan6,O,Kanno,Salt Lake City,528.0,466230.0,R,VeraSun Energy,1-957-940-5980,23.0,Canada,24697 FLORENCE WEST,0.0,49513,1.0,AMALITA,m,
Din7,U,Dinkel,Brownsville,680.0,420243.0,Z,IDT,1-768-633-4096,9.0,United States of America,6488 applewood drive,2.0,M5d 1v6,7.0,Ernesto,,
Thi8,O,Thibodeaux,Escondido,761.0,141862.0,,Adams Resources & Energy,1-107-689-2155,63.0,United States of America,17404 gale court,,V6c 1q1,10.0,Toby,,
May9,O,Mayo,Los Angeles,416.0,402011.0,,MGIC Investment,1-173-594-6096,32.0,United States of America,15913 alexis street,2.0,99716,,evangelia,,
mah10,O,mahendra,West Covina,493.0,79928.0,U,Iasis Healthcare,1-561-520-0611,96.0,Canada,18313 5th lane,2.0,A2b 1w1,9.0,umakanth,,
Siz11,R,Sizto,San Buenaventura,564.0,109496.0,,AMR,1-730-406-9727,46.0,United States of America,13653 collier avenue,0.0,M5F 1W1,0.0,terrie,,
cra12,U,crawley,Lexington,817.0,267901.0,,Embarq,,6.0,United States of America,15306 pike park,4.0,95118,0.0,Mary-pat,,
dac13,R,dacal,Hay River,653.0,487273.0,,Advanced Micro Devices,1-207-867-4589,39.0,United States of America,1540 crestmere north,5.0,H2f 1v7,8.0,Catherin,m,
HIV14,O,HIVELY,Toronto,587.0,34013.0,W,Cenveo,1-478-629-9641,73.0,United States of America,10790 bonita crescent,4.0,19217,2.0,annissa,,
