AgencyID,Gender,MaritalStatus,State,Country,Age,NetWorth,FirstName,Income,AddressLine1,City,CreditRating,Employer,PostalCode,AddressLine2,LastName,MiddleInitial,Phone
PEL0,f,W,MA,United States of America,20.0,1058868.0,Netti,368776.0,21847 olympia street,Fairbanks,760.0,Brink's,T6b 1i1,,PELLAND,,1-712-522-6088
LED1,F,U,PA,United States of America,3.0,1988185.0,TRUDY,177967.0,245 congress court,Quebec,555.0,,77281,APT. 624,LEDUC,,1-626-426-4298
lat2,,S,Alberta,United States of America,,3673128.0,ireland,321772.0,6517 frailing west,Henderson,566.0,,91355,,latif,,1-524-787-8784
RUD3,,W,AR,Canada,77.0,2005895.0,Misti,25449.0,11449 blalock park,Salem,,Air Products & Chemicals,36615,,RUDDICK,,1-741-997-1688
JAY4,f,M,OR,Canada,21.0,624736.0,sarena,166567.0,18354 dodd court,Toledo,815.0,Oshkosh,t6a 1i3,Apt. 619,JAYAMANNE,M,1-002-194-1991
tod5,M,M,VA,United States of America,77.0,3064615.0,Paulette,43631.0,14117 roxboro street,Corpus Christi,333.0,,A2b 1v3,,todo,Z,1-441-371-7651
Kan6,m,,OH,Canada,23.0,3489129.0,AMALITA,466230.0,24697 FLORENCE WEST,Salt Lake City,528.0,VeraSun Energy,49513,,Kanno,R,1-957-940-5980
Din7,,M,Prince Edward Island,United States of America,9.0,3430744.0,Ernesto,420243.0,6488 applewood drive,Brownsville,680.0,IDT,M5d 1v6,,Dinkel,Z,1-768-633-4096
Thi8,,U,NV,United States of America,63.0,1743614.0,Toby,141862.0,17404 gale court,Escondido,761.0,Adams Resources & Energy,V6c 1q1,,Thibodeaux,,1-107-689-2155
May9,,M,Ontario,United States of America,32.0,216299.0,evangelia,402011.0,15913 alexis street,Los Angeles,416.0,MGIC Investment,99716,,Mayo,,1-173-594-6096
mah10,,M,TX,Canada,96.0,1528641.0,umakanth,79928.0,18313 5th lane,West Covina,493.0,Iasis Healthcare,A2b 1w1,,mahendra,U,1-561-520-0611
Siz11,,M,NE,United States of America,46.0,3752907.0,terrie,109496.0,13653 collier avenue,San Buenaventura,564.0,AMR,M5F 1W1,,Sizto,,1-730-406-9727
cra12,,U,AR,United States of America,6.0,582378.0,Mary-pat,267901.0,15306 pike park,Lexington,817.0,Embarq,95118,,crawley,,
dac13,m,U,MI,United States of America,39.0,3458824.0,Catherin,487273.0,1540 crestmere north,Hay River,653.0,Advanced Micro Devices,H2f 1v7,,dacal,,1-207-867-4589
HIV14,,M,MA,United States of America,73.0,469408.0,annissa,34013.0,10790 bonita crescent,Toronto,587.0,Cenveo,19217,,HIVELY,W,1-478-629-9641
Pes15,,S,TN,United States of America,26.0,1504480.0,Amour,473462.0,24679 AIRPORT CRESCENT,Denver,472.0,Kelly Services,21228,Apt. 290,Peschke,,1-026-208-8595
CHI16,,M,TN,Canada,54.0,2763009.0,jenica,499493.0,7627 douglas road,St. Paul,817.0,Viacom,85097,,CHILDERHOSE,,1-432-681-4853
Din17,,M,OK,United States of America,87.0,2787199.0,KATTIE,266928.0,6106 ashland east,Bellevue,441.0,Macy's,V6j 1q8,,Dinnin,,
De 18,,M,Ontario,United States of America,85.0,2789368.0,Roselle,72444.0,1111 norden street,Detroit,848.0,Gardner Denver,43207,,De witte,M,1-357-207-6320
Mck19,m,U,KY,United States of America,86.0,2784776.0,arlyne,77290.0,2798 1st east,Omaha,843.0,Family Dollar Stores,V6t 1q8,,Mckeegan,,1-462-774-1277
WIN20,M,U,PA,United States of America,59.0,288747.0,Rong-chin,395066.0,11358 elle lee street,Costa Mesa,,,94467,,WINTERS,P,1-702-382-2898
BIT21,,U,MD,United States of America,94.0,876575.0,Darlleen,119283.0,21074 MALLORY LOWER,Berkeley,300.0,Sun Microsystems,94321,,BITTMAN,,1-909-554-7120
luz22,f,U,TX,United States of America,,2041224.0,Radoslav,330991.0,16124 weyland park,St. Louis,795.0,Costco Wholesale,C2a 4w7,,luzarraga,V,1-752-296-7940
don23,,,IN,United States of America,5.0,2231509.0,Aryn,,23822 marvin crescent,Colorado Springs,367.0,Illinois Tool Works,35808,,donovan,S,1-995-554-5056
Gia24,,M,MD,United States of America,23.0,3206409.0,Allisan,252031.0,2203 valita boulevard,Fontana,507.0,Southern Union,M5f 1v6,,Giallo,T,1-090-303-3807
SPR25,M,M,KY,United States of America,61.0,3850037.0,Ammamaria,101800.0,11538 COLLINWOOD AVENUE,St. Catharines,362.0,Moog,99539,,SPRUELL,,1-492-968-0932
SKA26,F,D,CA,United States of America,,528440.0,Mari,436977.0,7818 EAST STREET,Hayward,527.0,Old Republic International,95055,,SKALSKI,,1-960-227-2020
Gar27,m,S,FL,United States of America,51.0,597140.0,Anica,495334.0,10013 shaw road,Palmdale,354.0,,93686,,Gargul,,1-431-122-8597
Dor28,,M,Newfoundland,United States of America,97.0,146931.0,Melba,274685.0,6802 AMES STREET,Phoenix,511.0,Great Plains Energy,75218,,Dore,,1-822-836-7200
DIO29,,,TX,United States of America,52.0,353495.0,Tracee,320820.0,22501 SUMMIT RUE,Gary,412.0,Broadcom,91174,,DIOGO,X,1-530-117-0497
Mer30,m,S,WA,Canada,98.0,295647.0,CANADIAN,195835.0,291 frances rue,Beaumont,583.0,Discover Financial Services,49515,,Merrick,,1-051-257-2719
Atc31,,U,MN,United States of America,47.0,408941.0,Oue,108085.0,16264 sanders east,Nashua,710.0,UAL,16506,,Atchison,R,1-171-989-1363
Pla32,m,M,WY,United States of America,47.0,362523.0,wallie,260185.0,16068 cantey way,San Jose,380.0,Charles Schwab,94383,,Plamondon,X,1-042-705-3246
SEL33,F,M,NY,United States of America,9.0,2102359.0,Andromache,258323.0,21170 EDLOE BOULEVARD,Nashua,796.0,Coach,T6d 1b3,,SELCHOW,E,1-098-328-2026
sha34,f,M,SC,United States of America,85.0,3480265.0,THOR,79476.0,885 CROSBY LANE,Fort Smith,818.0,DaVita,25339,,shane,Z,1-209-754-5635
MER35,,M,MS,United States of America,81.0,3648900.0,SALAH,102156.0,12235 jay street,Lancaster,766.0,Marshall & Ilsley Corp.,V6o 1v4,,MERWIN,,1-498-781-3456
con36,,M,UT,United States of America,0.0,1161790.0,HOR-LAM,221481.0,20340 LOMBARD CRESCENT,Colorado Springs,359.0,Cablevision Systems,01852,,conrad,,1-615-241-0440
ons37,M,S,PA,United States of America,28.0,2050587.0,Vania,41836.0,22074 dexter upper,Washington,401.0,Barnes & Noble,78230,,onsiteteam,,1-995-449-5200
Sum38,M,U,OK,Canada,65.0,3579198.0,Niel,72389.0,1540 MURIE RUE,Lowell,609.0,EMC,93770,,Summerlin,,1-295-673-4452
gro39,,S,WY,United States of America,20.0,889494.0,ziad,66486.0,7075 glen loch drive,Frederick,630.0,Fluor,m4l 1n4,,grooms,F,1-914-675-2986
dil40,,M,RI,United States of America,55.0,2205682.0,Claude,200185.0,11237 balmoral way,Mesa,671.0,Dollar General,22335,Apt. 382,dilkie,I,
DOL41,,U,HI,United States of America,76.0,1140117.0,AVTAR,289215.0,8316 GARDEN BROOK NORTH,Lakewood,715.0,Lear,V6C 1T4,,DOLSON,,1-825-739-0336
Pos42,,M,VA,United States of America,1.0,1421319.0,Donny,322484.0,2240 clifton lower,Cleveland,707.0,J.P. Morgan Chase & Co.,M6t 1h3,,Posthumus,,1-956-713-3802
Mac43,,M,OK,United States of America,3.0,3525204.0,Cocos,83458.0,20907 NOTINGHAM LOWER,Grand Rapids,329.0,Affinia Group Intermediate,95263,,Machika,,1-814-932-1579
che44,,D,Prince Edward Island,United States of America,100.0,468976.0,ruud,,601 carroll lower,Peoria,601.0,,v5b 1p5,,chenoweth,,1-135-443-7282
hol45,,W,SD,United States of America,81.0,1685443.0,Belvia,492407.0,18267 state drive,Inglewood,623.0,Goldman Sachs Group,32318,,holbrooks,,1-720-975-0667
pfi46,f,S,OH,United States of America,76.0,337564.0,ATHAR,346630.0,9270 LEAF SOUTH,Akron,376.0,E*Trade Financial,93872,,pfieffer,,1-871-598-3505
elk47,,W,MA,Canada,51.0,84777.0,Cherey,9572.0,18582 PERIMETER BOULEVARD,Charlottetown,560.0,Pfizer,92824,,elkington,Y,1-607-222-4809
Lab48,F,,MD,United States of America,,3146477.0,RAZ,265369.0,9612 park stream upper,Bellevue,693.0,Safeway,e4a 1r2,,Labenek,,1-965-046-0642
laf49,,S,Saskatchewan,United States of America,58.0,495277.0,kishore,104172.0,2803 clearwater north,Dover,346.0,Simon Property Group,H7G 1V4,,laferriere,Y,1-155-441-3579
Nor50,,M,WA,United States of America,52.0,746904.0,Nelleke,65550.0,11103 BISSONNET WEST,Fullerton,342.0,Trinity Industries,85039,,Norment,I,
hag51,,M,OH,Canada,91.0,1219620.0,sibby,,4652 outervale lane,Denver,563.0,Solutia,v6m 1q3,,hagar,,1-544-132-7237
Bet52,m,M,WY,United States of America,17.0,1718910.0,ericha,,341 dunbar west,Dallas,391.0,,X7j 1r1,,Betcher,,1-821-089-2089
Van53,m,S,NJ,United States of America,6.0,,Janson,66244.0,16176 vernon drive,San Jose,381.0,A.O. Smith,B8b 1z5,,Van der,,1-135-391-9787
