Age,MiddleInitial,Employer,AgencyID,AddressLine2,Phone,OwnOrRentFlag,NumberCars,NumberChildren,Income,NumberCreditCards,FirstName,NetWorth,State,CreditRating,Gender,AddressLine1,MaritalStatus,LastName,City,PostalCode,Country
20.0,,Brink's,PEL0,,1-712-522-6088,O,,3.0,368776.0,,Netti,1058868.0,MA,760.0,f,21847 olympia street,W,PELLAND,Fairbanks,T6b 1i1,United States of America
3.0,,,LED1,APT. 624,1-626-426-4298,U,5.0,1.0,177967.0,6.0,TRUDY,1988185.0,PA,555.0,F,245 congress court,U,LEDUC,Quebec,77281,United States of America
,,,lat2,,1-524-787-8784,O,2.0,1.0,321772.0,6.0,ireland,3673128.0,Alberta,566.0,,6517 frailing west,S,latif,Henderson,91355,United States of America
77.0,,Air Products & Chemicals,RUD3,,1-741-997-1688,O,2.0,1.0,25449.0,3.0,Misti,2005895.0,AR,,,11449 blalock park,W,RUDDICK,Salem,36615,Canada
21.0,M,Oshkosh,JAY4,Apt. 619,1-002-194-1991,O,0.0,3.0,166567.0,4.0,sarena,624736.0,OR,815.0,f,18354 dodd court,M,JAYAMANNE,Toledo,t6a 1i3,Canada
77.0,Z,,tod5,,1-441-371-7651,R,1.0,4.0,43631.0,10.0,Paulette,3064615.0,VA,333.0,M,14117 roxboro street,M,todo,Corpus Christi,A2b 1v3,United States of America
23.0,R,VeraSun Energy,Kan6,,1-957-940-5980,O,4.0,0.0,466230.0,1.0,AMALITA,3489129.0,OH,528.0,m,24697 FLORENCE WEST,,Kanno,Salt Lake City,49513,Canada
9.0,Z,IDT,Din7,,1-768-633-4096,U,2.0,2.0,420243.0,7.0,Ernesto,3430744.0,Prince Edward Island,680.0,,6488 applewood drive,M,Dinkel,Brownsville,M5d 1v6,United States of America
63.0,,Adams Resources & Energy,Thi8,,1-107-689-2155,O,3.0,,141862.0,10.0,Toby,1743614.0,NV,761.0,,17404 gale court,U,Thibodeaux,Escondido,V6c 1q1,United States of America
32.0,,MGIC Investment,May9,,1-173-594-6096,O,0.0,2.0,402011.0,,evangelia,216299.0,Ontario,416.0,,15913 alexis street,M,Mayo,Los Angeles,99716,United States of America
96.0,U,Iasis Healthcare,mah10,,1-561-520-0611,O,2.0,2.0,79928.0,9.0,umakanth,1528641.0,TX,493.0,,18313 5th lane,M,mahendra,West Covina,A2b 1w1,Canada
46.0,,AMR,Siz11,,1-730-406-9727,R,1.0,0.0,109496.0,0.0,terrie,3752907.0,NE,564.0,,13653 collier avenue,M,Sizto,San Buenaventura,M5F 1W1,United States of America
6.0,,Embarq,cra12,,,U,1.0,4.0,267901.0,0.0,Mary-pat,582378.0,AR,817.0,,15306 pike park,U,crawley,Lexington,95118,United States of America
39.0,,Advanced Micro Devices,dac13,,1-207-867-4589,R,3.0,5.0,487273.0,8.0,Catherin,3458824.0,MI,653.0,m,1540 crestmere north,U,dacal,Hay River,H2f 1v7,United States of America
73.0,W,Cenveo,HIV14,,1-478-629-9641,O,3.0,4.0,34013.0,2.0,annissa,469408.0,MA,587.0,,10790 bonita crescent,M,HIVELY,Toronto,19217,United States of America
26.0,,Kelly Services,Pes15,Apt. 290,1-026-208-8595,O,0.0,2.0,473462.0,6.0,Amour,1504480.0,TN,472.0,,24679 AIRPORT CRESCENT,S,Peschke,Denver,21228,United States of America
54.0,,Viacom,CHI16,,1-432-681-4853,O,5.0,4.0,499493.0,4.0,jenica,2763009.0,TN,817.0,,7627 douglas road,M,CHILDERHOSE,St. Paul,85097,Canada
87.0,,Macy's,Din17,,,R,5.0,4.0,266928.0,0.0,KATTIE,2787199.0,OK,441.0,,6106 ashland east,M,Dinnin,Bellevue,V6j 1q8,United States of America
85.0,M,Gardner Denver,De 18,,1-357-207-6320,O,2.0,3.0,72444.0,6.0,Roselle,2789368.0,Ontario,848.0,,1111 norden street,M,De witte,Detroit,43207,United States of America
86.0,,Family Dollar Stores,Mck19,,1-462-774-1277,R,3.0,3.0,77290.0,8.0,arlyne,2784776.0,KY,843.0,m,2798 1st east,U,Mckeegan,Omaha,V6t 1q8,United States of America
59.0,P,,WIN20,,1-702-382-2898,R,2.0,0.0,395066.0,,Rong-chin,288747.0,PA,,M,11358 elle lee street,U,WINTERS,Costa Mesa,94467,United States of America
94.0,,Sun Microsystems,BIT21,,1-909-554-7120,O,5.0,3.0,119283.0,0.0,Darlleen,876575.0,MD,300.0,,21074 MALLORY LOWER,U,BITTMAN,Berkeley,94321,United States of America
,V,Costco Wholesale,luz22,,1-752-296-7940,O,1.0,1.0,330991.0,8.0,Radoslav,2041224.0,TX,795.0,f,16124 weyland park,U,luzarraga,St. Louis,C2a 4w7,United States of America
5.0,S,Illinois Tool Works,don23,,1-995-554-5056,U,4.0,0.0,,5.0,Aryn,2231509.0,IN,367.0,,23822 marvin crescent,,donovan,Colorado Springs,35808,United States of America
23.0,T,Southern Union,Gia24,,1-090-303-3807,O,1.0,5.0,252031.0,1.0,Allisan,3206409.0,MD,507.0,,2203 valita boulevard,M,Giallo,Fontana,M5f 1v6,United States of America
61.0,,Moog,SPR25,,1-492-968-0932,O,3.0,1.0,101800.0,9.0,Ammamaria,3850037.0,KY,362.0,M,11538 COLLINWOOD AVENUE,M,SPRUELL,St. Catharines,99539,United States of America
,,Old Republic International,SKA26,,1-960-227-2020,O,0.0,1.0,436977.0,7.0,Mari,528440.0,CA,527.0,F,7818 EAST STREET,D,SKALSKI,Hayward,95055,United States of America
51.0,,,Gar27,,1-431-122-8597,O,0.0,,495334.0,0.0,Anica,597140.0,FL,354.0,m,10013 shaw road,S,Gargul,Palmdale,93686,United States of America
97.0,,Great Plains Energy,Dor28,,1-822-836-7200,O,1.0,1.0,274685.0,1.0,Melba,146931.0,Newfoundland,511.0,,6802 AMES STREET,M,Dore,Phoenix,75218,United States of America
52.0,X,Broadcom,DIO29,,1-530-117-0497,,2.0,2.0,320820.0,7.0,Tracee,353495.0,TX,412.0,,22501 SUMMIT RUE,,DIOGO,Gary,91174,United States of America
98.0,,Discover Financial Services,Mer30,,1-051-257-2719,O,4.0,0.0,195835.0,1.0,CANADIAN,295647.0,WA,583.0,m,291 frances rue,S,Merrick,Beaumont,49515,Canada
47.0,R,UAL,Atc31,,1-171-989-1363,O,5.0,3.0,108085.0,5.0,Oue,408941.0,MN,710.0,,16264 sanders east,U,Atchison,Nashua,16506,United States of America
47.0,X,Charles Schwab,Pla32,,1-042-705-3246,O,2.0,1.0,260185.0,9.0,wallie,362523.0,WY,380.0,m,16068 cantey way,M,Plamondon,San Jose,94383,United States of America
9.0,E,Coach,SEL33,,1-098-328-2026,R,0.0,0.0,258323.0,2.0,Andromache,2102359.0,NY,796.0,F,21170 EDLOE BOULEVARD,M,SELCHOW,Nashua,T6d 1b3,United States of America
85.0,Z,DaVita,sha34,,1-209-754-5635,U,1.0,3.0,79476.0,2.0,THOR,3480265.0,SC,818.0,f,885 CROSBY LANE,M,shane,Fort Smith,25339,United States of America
81.0,,Marshall & Ilsley Corp.,MER35,,1-498-781-3456,U,5.0,3.0,102156.0,3.0,SALAH,3648900.0,MS,766.0,,12235 jay street,M,MERWIN,Lancaster,V6o 1v4,United States of America
0.0,,Cablevision Systems,con36,,1-615-241-0440,O,2.0,3.0,221481.0,2.0,HOR-LAM,1161790.0,UT,359.0,,20340 LOMBARD CRESCENT,M,conrad,Colorado Springs,01852,United States of America
28.0,,Barnes & Noble,ons37,,1-995-449-5200,R,1.0,5.0,41836.0,2.0,Vania,2050587.0,PA,401.0,M,22074 dexter upper,S,onsiteteam,Washington,78230,United States of America
65.0,,EMC,Sum38,,1-295-673-4452,O,1.0,1.0,72389.0,0.0,Niel,3579198.0,OK,609.0,M,1540 MURIE RUE,U,Summerlin,Lowell,93770,Canada
20.0,F,Fluor,gro39,,1-914-675-2986,O,3.0,0.0,66486.0,2.0,ziad,889494.0,WY,630.0,,7075 glen loch drive,S,grooms,Frederick,m4l 1n4,United States of America
55.0,I,Dollar General,dil40,Apt. 382,,O,3.0,1.0,200185.0,9.0,Claude,2205682.0,RI,671.0,,11237 balmoral way,M,dilkie,Mesa,22335,United States of America
76.0,,Lear,DOL41,,1-825-739-0336,O,0.0,2.0,289215.0,10.0,AVTAR,1140117.0,HI,715.0,,8316 GARDEN BROOK NORTH,U,DOLSON,Lakewood,V6C 1T4,United States of America
1.0,,J.P. Morgan Chase & Co.,Pos42,,1-956-713-3802,O,4.0,1.0,322484.0,9.0,Donny,1421319.0,VA,707.0,,2240 clifton lower,M,Posthumus,Cleveland,M6t 1h3,United States of America
3.0,,Affinia Group Intermediate,Mac43,,1-814-932-1579,O,4.0,2.0,83458.0,0.0,Cocos,3525204.0,OK,329.0,,20907 NOTINGHAM LOWER,M,Machika,Grand Rapids,95263,United States of America
100.0,,,che44,,1-135-443-7282,R,0.0,3.0,,8.0,ruud,468976.0,Prince Edward Island,601.0,,601 carroll lower,D,chenoweth,Peoria,v5b 1p5,United States of America
81.0,,Goldman Sachs Group,hol45,,1-720-975-0667,O,5.0,1.0,492407.0,2.0,Belvia,1685443.0,SD,623.0,,18267 state drive,W,holbrooks,Inglewood,32318,United States of America
76.0,,E*Trade Financial,pfi46,,1-871-598-3505,O,4.0,4.0,346630.0,2.0,ATHAR,337564.0,OH,376.0,f,9270 LEAF SOUTH,S,pfieffer,Akron,93872,United States of America
51.0,Y,Pfizer,elk47,,1-607-222-4809,O,1.0,3.0,9572.0,0.0,Cherey,84777.0,MA,560.0,,18582 PERIMETER BOULEVARD,W,elkington,Charlottetown,92824,Canada
,,Safeway,Lab48,,1-965-046-0642,O,1.0,5.0,265369.0,4.0,RAZ,3146477.0,MD,693.0,F,9612 park stream upper,,Labenek,Bellevue,e4a 1r2,United States of America
58.0,Y,Simon Property Group,laf49,,1-155-441-3579,U,1.0,2.0,104172.0,0.0,kishore,495277.0,Saskatchewan,346.0,,2803 clearwater north,S,laferriere,Dover,H7G 1V4,United States of America
52.0,I,Trinity Industries,Nor50,,,O,0.0,3.0,65550.0,0.0,Nelleke,746904.0,WA,342.0,,11103 BISSONNET WEST,M,Norment,Fullerton,85039,United States of America
91.0,,Solutia,hag51,,1-544-132-7237,R,2.0,0.0,,8.0,sibby,1219620.0,OH,563.0,,4652 outervale lane,M,hagar,Denver,v6m 1q3,Canada
17.0,,,Bet52,,1-821-089-2089,O,2.0,3.0,,4.0,ericha,1718910.0,WY,391.0,m,341 dunbar west,M,Betcher,Dallas,X7j 1r1,United States of America
6.0,,A.O. Smith,Van53,,1-135-391-9787,O,4.0,4.0,66244.0,8.0,Janson,,NJ,381.0,m,16176 vernon drive,S,Van der,San Jose,B8b 1z5,United States of America
89.0,,AptarGroup,O'L54,,1-776-182-6215,U,0.0,3.0,426954.0,9.0,Dorotea,2636424.0,ND,539.0,F,23131 clint way,S,O'LEARY,Bellevue,t5d 1v4,United States of America
99.0,,Coca-Cola,and55,,1-079-780-7761,O,5.0,4.0,126891.0,0.0,Denice,1326305.0,NC,497.0,m,11640 baltic upper,M,anderson,San Buenaventura,V6t 1r2,United States of America
77.0,,Kimberly-Clark,sta56,,1-504-346-4393,O,4.0,2.0,454196.0,,Myron,2241997.0,WV,661.0,,20796 dolores drive,M,starks,St. Louis,91177,Canada
,,Visteon,CHA57,Apt. 275,1-985-538-4351,R,5.0,3.0,163940.0,0.0,Barby,1542891.0,GA,558.0,,14359 COMMERCE WEST,S,CHASSE,Pueblo,T5c 1t1,United States of America
