Age,Country,AgencyID,NetWorth,Income,FirstName,NumberChildren,LastName,AddressLine1,NumberCars,OwnOrRentFlag,City,Gender,MiddleInitial,CreditRating,AddressLine2,State,Employer,MaritalStatus,Phone,NumberCreditCards,PostalCode
20.0,United States of America,PEL0,1058868.0,368776.0,Netti,3.0,PELLAND,21847 olympia street,,O,Fairbanks,f,,760.0,,MA,Brink's,W,1-712-522-6088,,T6b 1i1
3.0,United States of America,LED1,1988185.0,177967.0,TRUDY,1.0,LEDUC,245 congress court,5.0,U,Quebec,F,,555.0,APT. 624,PA,,U,1-626-426-4298,6.0,77281
,United States of America,lat2,3673128.0,321772.0,ireland,1.0,latif,6517 frailing west,2.0,O,Henderson,,,566.0,,Alberta,,S,1-524-787-8784,6.0,91355
77.0,Canada,RUD3,2005895.0,25449.0,Misti,1.0,RUDDICK,11449 blalock park,2.0,O,Salem,,,,,AR,Air Products & Chemicals,W,1-741-997-1688,3.0,36615
21.0,Canada,JAY4,624736.0,166567.0,sarena,3.0,JAYAMANNE,18354 dodd court,0.0,O,Toledo,f,M,815.0,Apt. 619,OR,Oshkosh,M,1-002-194-1991,4.0,t6a 1i3
77.0,United States of America,tod5,3064615.0,43631.0,Paulette,4.0,todo,14117 roxboro street,1.0,R,Corpus Christi,M,Z,333.0,,VA,,M,1-441-371-7651,10.0,A2b 1v3
23.0,Canada,Kan6,3489129.0,466230.0,AMALITA,0.0,Kanno,24697 FLORENCE WEST,4.0,O,Salt Lake City,m,R,528.0,,OH,VeraSun Energy,,1-957-940-5980,1.0,49513
9.0,United States of America,Din7,3430744.0,420243.0,Ernesto,2.0,Dinkel,6488 applewood drive,2.0,U,Brownsville,,Z,680.0,,Prince Edward Island,IDT,M,1-768-633-4096,7.0,M5d 1v6
63.0,United States of America,Thi8,1743614.0,141862.0,Toby,,Thibodeaux,17404 gale court,3.0,O,Escondido,,,761.0,,NV,Adams Resources & Energy,U,1-107-689-2155,10.0,V6c 1q1
32.0,United States of America,May9,216299.0,402011.0,evangelia,2.0,Mayo,15913 alexis street,0.0,O,Los Angeles,,,416.0,,Ontario,MGIC Investment,M,1-173-594-6096,,99716
96.0,Canada,mah10,1528641.0,79928.0,umakanth,2.0,mahendra,18313 5th lane,2.0,O,West Covina,,U,493.0,,TX,Iasis Healthcare,M,1-561-520-0611,9.0,A2b 1w1
46.0,United States of America,Siz11,3752907.0,109496.0,terrie,0.0,Sizto,13653 collier avenue,1.0,R,San Buenaventura,,,564.0,,NE,AMR,M,1-730-406-9727,0.0,M5F 1W1
6.0,United States of America,cra12,582378.0,267901.0,Mary-pat,4.0,crawley,15306 pike park,1.0,U,Lexington,,,817.0,,AR,Embarq,U,,0.0,95118
39.0,United States of America,dac13,3458824.0,487273.0,Catherin,5.0,dacal,1540 crestmere north,3.0,R,Hay River,m,,653.0,,MI,Advanced Micro Devices,U,1-207-867-4589,8.0,H2f 1v7
73.0,United States of America,HIV14,469408.0,34013.0,annissa,4.0,HIVELY,10790 bonita crescent,3.0,O,Toronto,,W,587.0,,MA,Cenveo,M,1-478-629-9641,2.0,19217
