AgencyID,AddressLine2,NumberChildren,NumberCars,Gender,PostalCode,Income,MaritalStatus,Age,CreditRating,OwnOrRentFlag,Employer,NumberCreditCards,NetWorth
PEL0,,3.0,,f,T6b 1i1,368776.0,W,20.0,760.0,O,Brink's,,1058868.0
LED1,APT. 624,1.0,5.0,F,77281,177967.0,U,3.0,555.0,U,,6.0,1988185.0
lat2,,1.0,2.0,,91355,321772.0,S,,566.0,O,,6.0,3673128.0
RUD3,,1.0,2.0,,36615,25449.0,W,77.0,,O,Air Products & Chemicals,3.0,2005895.0
JAY4,Apt. 619,3.0,0.0,f,t6a 1i3,166567.0,M,21.0,815.0,O,Oshkosh,4.0,624736.0
tod5,,4.0,1.0,M,A2b 1v3,43631.0,M,77.0,333.0,R,,10.0,3064615.0
Kan6,,0.0,4.0,m,49513,466230.0,,23.0,528.0,O,VeraSun Energy,1.0,3489129.0
Din7,,2.0,2.0,,M5d 1v6,420243.0,M,9.0,680.0,U,IDT,7.0,3430744.0
Thi8,,,3.0,,V6c 1q1,141862.0,U,63.0,761.0,O,Adams Resources & Energy,10.0,1743614.0
May9,,2.0,0.0,,99716,402011.0,M,32.0,416.0,O,MGIC Investment,,216299.0
mah10,,2.0,2.0,,A2b 1w1,79928.0,M,96.0,493.0,O,Iasis Healthcare,9.0,1528641.0
Siz11,,0.0,1.0,,M5F 1W1,109496.0,M,46.0,564.0,R,AMR,0.0,3752907.0
cra12,,4.0,1.0,,95118,267901.0,U,6.0,817.0,U,Embarq,0.0,582378.0
dac13,,5.0,3.0,m,H2f 1v7,487273.0,U,39.0,653.0,R,Advanced Micro Devices,8.0,3458824.0
HIV14,,4.0,3.0,,19217,34013.0,M,73.0,587.0,O,Cenveo,2.0,469408.0
Pes15,Apt. 290,2.0,0.0,,21228,473462.0,S,26.0,472.0,O,Kelly Services,6.0,1504480.0
CHI16,,4.0,5.0,,85097,499493.0,M,54.0,817.0,O,Viacom,4.0,2763009.0
Din17,,4.0,5.0,,V6j 1q8,266928.0,M,87.0,441.0,R,Macy's,0.0,2787199.0
De 18,,3.0,2.0,,43207,72444.0,M,85.0,848.0,O,Gardner Denver,6.0,2789368.0
Mck19,,3.0,3.0,m,V6t 1q8,77290.0,U,86.0,843.0,R,Family Dollar Stores,8.0,2784776.0
WIN20,,0.0,2.0,M,94467,395066.0,U,59.0,,R,,,288747.0
BIT21,,3.0,5.0,,94321,119283.0,U,94.0,300.0,O,Sun Microsystems,0.0,876575.0
luz22,,1.0,1.0,f,C2a 4w7,330991.0,U,,795.0,O,Costco Wholesale,8.0,2041224.0
don23,,0.0,4.0,,35808,,,5.0,367.0,U,Illinois Tool Works,5.0,2231509.0
Gia24,,5.0,1.0,,M5f 1v6,252031.0,M,23.0,507.0,O,Southern Union,1.0,3206409.0
SPR25,,1.0,3.0,M,99539,101800.0,M,61.0,362.0,O,Moog,9.0,3850037.0
SKA26,,1.0,0.0,F,95055,436977.0,D,,527.0,O,Old Republic International,7.0,528440.0
Gar27,,,0.0,m,93686,495334.0,S,51.0,354.0,O,,0.0,597140.0
Dor28,,1.0,1.0,,75218,274685.0,M,97.0,511.0,O,Great Plains Energy,1.0,146931.0
DIO29,,2.0,2.0,,91174,320820.0,,52.0,412.0,,Broadcom,7.0,353495.0
Mer30,,0.0,4.0,m,49515,195835.0,S,98.0,583.0,O,Discover Financial Services,1.0,295647.0
Atc31,,3.0,5.0,,16506,108085.0,U,47.0,710.0,O,UAL,5.0,408941.0
Pla32,,1.0,2.0,m,94383,260185.0,M,47.0,380.0,O,Charles Schwab,9.0,362523.0
