AgencyID,NumberCreditCards,MiddleInitial,Phone,OwnOrRentFlag,NumberCars,AddressLine2,LastName,City,NetWorth,State,FirstName,Gender,AddressLine1,PostalCode,Country
PEL0,,,1-712-522-6088,O,,,PELLAND,Fairbanks,1058868.0,MA,Netti,f,21847 olympia street,T6b 1i1,United States of America
LED1,6.0,,1-626-426-4298,U,5.0,APT. 624,LEDUC,Quebec,1988185.0,PA,TRUDY,F,245 congress court,77281,United States of America
lat2,6.0,,1-524-787-8784,O,2.0,,latif,Henderson,3673128.0,Alberta,ireland,,6517 frailing west,91355,United States of America
RUD3,3.0,,1-741-997-1688,O,2.0,,RUDDICK,Salem,2005895.0,AR,Misti,,11449 blalock park,36615,Canada
JAY4,4.0,M,1-002-194-1991,O,0.0,Apt. 619,JAYAMANNE,Toledo,624736.0,OR,sarena,f,18354 dodd court,t6a 1i3,Canada
tod5,10.0,Z,1-441-371-7651,R,1.0,,todo,Corpus Christi,3064615.0,VA,Paulette,M,14117 roxboro street,A2b 1v3,United States of America
Kan6,1.0,R,1-957-940-5980,O,4.0,,Kanno,Salt Lake City,3489129.0,OH,AMALITA,m,24697 FLORENCE WEST,49513,Canada
Din7,7.0,Z,1-768-633-4096,U,2.0,,Dinkel,Brownsville,3430744.0,Prince Edward Island,Ernesto,,6488 applewood drive,M5d 1v6,United States of America
Thi8,10.0,,1-107-689-2155,O,3.0,,Thibodeaux,Escondido,1743614.0,NV,Toby,,17404 gale court,V6c 1q1,United States of America
May9,,,1-173-594-6096,O,0.0,,Mayo,Los Angeles,216299.0,Ontario,evangelia,,15913 alexis street,99716,United States of America
mah10,9.0,U,1-561-520-0611,O,2.0,,mahendra,West Covina,1528641.0,TX,umakanth,,18313 5th lane,A2b 1w1,Canada
Siz11,0.0,,1-730-406-9727,R,1.0,,Sizto,San Buenaventura,3752907.0,NE,terrie,,13653 collier avenue,M5F 1W1,United States of America
cra12,0.0,,,U,1.0,,crawley,Lexington,582378.0,AR,Mary-pat,,15306 pike park,95118,United States of America
dac13,8.0,,1-207-867-4589,R,3.0,,dacal,Hay River,3458824.0,MI,Catherin,m,1540 crestmere north,H2f 1v7,United States of America
HIV14,2.0,W,1-478-629-9641,O,3.0,,HIVELY,Toronto,469408.0,MA,annissa,,10790 bonita crescent,19217,United States of America
Pes15,6.0,,1-026-208-8595,O,0.0,Apt. 290,Peschke,Denver,1504480.0,TN,Amour,,24679 AIRPORT CRESCENT,21228,United States of America
CHI16,4.0,,1-432-681-4853,O,5.0,,CHILDERHOSE,St. Paul,2763009.0,TN,jenica,,7627 douglas road,85097,Canada
Din17,0.0,,,R,5.0,,Dinnin,Bellevue,2787199.0,OK,KATTIE,,6106 ashland east,V6j 1q8,United States of America
De 18,6.0,M,1-357-207-6320,O,2.0,,De witte,Detroit,2789368.0,Ontario,Roselle,,1111 norden street,43207,United States of America
Mck19,8.0,,1-462-774-1277,R,3.0,,Mckeegan,Omaha,2784776.0,KY,arlyne,m,2798 1st east,V6t 1q8,United States of America
WIN20,,P,1-702-382-2898,R,2.0,,WINTERS,Costa Mesa,288747.0,PA,Rong-chin,M,11358 elle lee street,94467,United States of America
