prospect_AgID,prospect_Ge,prospect_MidInit,prospect_Emp,prospect_St,prospect_A,prospect_AddL2,prospect_OORFl,prospect_In,prospect_Ci,prospect_NuCa,prospect_NumCreCar,prospect_NWor,prospect_MaSta,prospect_FirN,prospect_Coun,prospect_Ph,prospect_NumChil,prospect_CrRat
PEL0,f,,Brink's,MA,20.0,,O,368776.0,Fairbanks,,,1058868.0,W,Netti,United States of America,1-712-522-6088,3.0,760.0
LED1,F,,,PA,3.0,APT. 624,U,177967.0,Quebec,5.0,6.0,1988185.0,U,TRUDY,United States of America,1-626-426-4298,1.0,555.0
lat2,,,,Alberta,,,O,321772.0,Henderson,2.0,6.0,3673128.0,S,ireland,United States of America,1-524-787-8784,1.0,566.0
RUD3,,,Air Products & Chemicals,AR,77.0,,O,25449.0,Salem,2.0,3.0,2005895.0,W,Misti,Canada,1-741-997-1688,1.0,
JAY4,f,M,Oshkosh,OR,21.0,Apt. 619,O,166567.0,Toledo,0.0,4.0,624736.0,M,sarena,Canada,1-002-194-1991,3.0,815.0
tod5,M,Z,,VA,77.0,,R,43631.0,Corpus Christi,1.0,10.0,3064615.0,M,Paulette,United States of America,1-441-371-7651,4.0,333.0
Kan6,m,R,VeraSun Energy,OH,23.0,,O,466230.0,Salt Lake City,4.0,1.0,3489129.0,,AMALITA,Canada,1-957-940-5980,0.0,528.0
Din7,,Z,IDT,Prince Edward Island,9.0,,U,420243.0,Brownsville,2.0,7.0,3430744.0,M,Ernesto,United States of America,1-768-633-4096,2.0,680.0
Thi8,,,Adams Resources & Energy,NV,63.0,,O,141862.0,Escondido,3.0,10.0,1743614.0,U,Toby,United States of America,1-107-689-2155,,761.0
May9,,,MGIC Investment,Ontario,32.0,,O,402011.0,Los Angeles,0.0,,216299.0,M,evangelia,United States of America,1-173-594-6096,2.0,416.0
mah10,,U,Iasis Healthcare,TX,96.0,,O,79928.0,West Covina,2.0,9.0,1528641.0,M,umakanth,Canada,1-561-520-0611,2.0,493.0
Siz11,,,AMR,NE,46.0,,R,109496.0,San Buenaventura,1.0,0.0,3752907.0,M,terrie,United States of America,1-730-406-9727,0.0,564.0
cra12,,,Embarq,AR,6.0,,U,267901.0,Lexington,1.0,0.0,582378.0,U,Mary-pat,United States of America,,4.0,817.0
