prospect_mddlntl,prospect_frstnm,prospect_g,prospect_ct,prospect_ntwrth,prospect_pstlcd,prospect_gndr,prospect_lstnm,prospect_mrtlstts,prospect_ddrssln1,prospect_nmbrcrs,prospect_nmbrcrdtcrds,prospect_mplr,prospect_nmbrchldrn,prospect_ncm,prospect_crdtrtng,prospect_ddrssln2,prospect_gncd,prospect_phn,prospect_stt,prospect_wnrrntflg,prospect_cntr
n,wbwsqgtaa,7.0,Baltimore,321776.0,Guudshirvcu,,Iokwiqojocjanndatkdzgymym,U,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,3.0,,FM Global,,94490.0,580.0,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,Iok7501,1-637-119-9996,MO,U,United States of America
,QGJWCPAPZMWHYHZTNOYSSOQBI,48.0,Kitchener,2292324.0,wyggjewbe,M,tiabxgseasiibxakctfzhfwotp,S,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,4.0,2.0,MGIC Investment,4.0,7037.0,683.0,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,tia7502,1-560-405-0048,TX,R,Canada
u,BHGXDDPUMBESLQMNEPREPTZNNKM,14.0,Saint John,969707.0,YMZRQICUTHT,,AOIWIWTIHIXOJ,M,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,1.0,2.0,Ross Stores,5.0,419269.0,411.0,Cdrxeolwrrxmwmhgexvcstvzz,AOI7503,1-261-306-5079,CT,O,
,Xgnvppcxgfnmawlupgfa,29.0,Berkeley,3899461.0,Bcjuycmcen,m,PJQSPMBUHYQKBOZ,W,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,4.0,9.0,,5.0,76681.0,818.0,WKSBVOFGJHQGAEKUYRZHHPH,PJQ7504,1-642-299-6655,UT,U,United States of America
,Tfiozpstcftslqtwkgngiiwo,69.0,Missoula,3749223.0,Nujxguyehf,,SDVLJWXENNGWCQMIW,U,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,2.0,7.0,Alliance One International,4.0,209116.0,370.0,skxijfqpzshmts,SDV7505,,RI,R,United States of America
F,fbcahlrhhjoslfzqvvwwvhk,47.0,Salinas,3658531.0,Neigswk,F,Hgakmykzeunwkiaxayulpwyxrcuev,U,Ajpkrmtlcbdzr,0.0,6.0,Sally Beauty Holdings,0.0,212203.0,833.0,ZETOHHRKIBHCQCKZODIXJJSXCFY,Hga7506,1-388-257-4273,DE,O,
D,Dcgkohfcwyoaxckalqnkrzwq,0.0,San Jose,1738460.0,WNCEOQPLW,M,Beotomyndkiqryllkvpavllytov,M,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,5.0,2.0,Wisconsin Energy,5.0,42018.0,536.0,LJXAXKUJXQBGWBHJJAAM,Beo7507,,NM,U,Canada
,Vmnmcsinflxxmmifydckncc,46.0,Cleveland,3307296.0,Cskdwtkf,,Qumxrssnd,S,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,0.0,0.0,Carpenter Technology,0.0,90446.0,775.0,Jmlgjkjbqhrudrkqrm,Qum7508,1-632-118-1891,WV,R,United States of America
v,Vrkbkkxkddtximspigmlbwzt,6.0,Huntington,1816419.0,tcxswloetdt,,Hudlpfwjagzbnznyhamjkhbf,M,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,1.0,3.0,Liberty Mutual Insurance Group,1.0,16274.0,765.0,Qqcilgblxyikgr,Hud7509,1-853-806-4986,NH,R,United States of America
,RMWCTFTLSVTMCBI,22.0,Paterson,2599250.0,Fkpemasoukih,m,jbabemsfwdyeihxq,M,Ycltsquohmuugxihqyluhkoy,5.0,6.0,Black & Decker,2.0,22215.0,555.0,Ahtohqjfzfarn,jba7510,1-220-687-2027,WY,O,Canada
,Zaijioc,72.0,Greensboro,490443.0,NCEVKLQEEWTA,m,dgcnbxfhc,M,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,5.0,3.0,Interstate Bakeries,1.0,210038.0,,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,dgc7511,,Saskatchewan,O,United States of America
,Mdwdjpdfmbqjaygkfqzqx,40.0,Concord,3348923.0,DODDIDDHXS,,lqlslgqsvyfxqnzuwbfg,M,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,4.0,9.0,eBay,5.0,307402.0,318.0,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,lql7512,1-268-630-3843,NE,O,Canada
,Ccbccgvldfvoqtzestvkwunn,8.0,Colorado Springs,331799.0,Oqnzttrldq,m,Wskjvrujdwku,D,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,4.0,4.0,Boise,1.0,,613.0,ucxdpiwilpxxhv,Wsk7513,1-915-548-9541,AR,R,United States of America
v,nyakrhdyxravdnhgbtol,10.0,Mobile,1167013.0,Lwbawk,,Ffshsiomkzjonhxjhunfsao,U,,4.0,4.0,MDU Resources Group,1.0,432425.0,786.0,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,Ffs7514,1-536-880-0961,IL,R,
F,NDNBTVCLKSC,24.0,Thousand Oaks,3960216.0,Ppsrzjdtg,,Kvvverfkpazpzzkrqniixrhnw,U,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,0.0,10.0,Freescale Semiconductor,3.0,122041.0,,,Kvv7515,1-494-335-6022,VA,O,United States of America
G,Zmstbluqkipzaojfsomtbdddguq,18.0,Rochester,242246.0,,f,mpzqnwnrmaozfsstcqtrc,M,,1.0,5.0,Superior Energy Services,4.0,302205.0,623.0,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,mpz7516,1-814-158-3550,ID,O,United States of America
s,dpqgvuaoijmkxsesvililpxcrwqe,79.0,Garden Grove,1217660.0,,F,Jhcbaxyzijphmmvpampdgvgisnab,S,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,1.0,1.0,Monsanto,1.0,367555.0,845.0,Havgczldcpfmwfzj,Jhc7517,1-420-580-0795,TX,O,United States of America
l,IHUGYGSRDWILVOFBAKUR,36.0,Tampa,1229655.0,Rxdsunq,M,dbqcukoddoiwg,M,rpikmvtgwsrsoehxgmxwypaueiaheabrf,4.0,7.0,Newfield Exploration,5.0,106025.0,645.0,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,dbq7518,1-924-305-1666,New Brunswick,U,United States of America
,aefotdcronamhkzsfpvifmobgchmsp,21.0,Fullerton,1157831.0,JXHVEEOU,m,Xchoxlbkffuvox,W,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,2.0,1.0,Loews,2.0,106690.0,495.0,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,Xch7519,1-450-082-2122,Alberta,O,Canada
Z,jdeyqkerjerjpht,4.0,Washington,,XHJQCDPOO,m,oirfujtvl,M,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,2.0,8.0,Apache,2.0,29373.0,371.0,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,oir7520,1-573-009-1404,PA,O,Canada
