AgID,OwORFl,LaNa,Ci,CreRa,Inc,MiInit,Empl,Ph,A,Cou,AddLi1,NumChi,PosC,NumCreCar,Sta,NuC,MaSt,NeWor
PEL0,O,PELLAND,Fairbanks,760.0,368776.0,,Brink's,1-712-522-6088,20.0,United States of America,21847 olympia street,3.0,T6b 1i1,,MA,,W,1058868.0
LED1,U,LEDUC,Quebec,555.0,177967.0,,,1-626-426-4298,3.0,United States of America,245 congress court,1.0,77281,6.0,PA,5.0,U,1988185.0
lat2,O,latif,Henderson,566.0,321772.0,,,1-524-787-8784,,United States of America,6517 frailing west,1.0,91355,6.0,Alberta,2.0,S,3673128.0
RUD3,O,RUDDICK,Salem,,25449.0,,Air Products & Chemicals,1-741-997-1688,77.0,Canada,11449 blalock park,1.0,36615,3.0,AR,2.0,W,2005895.0
JAY4,O,JAYAMANNE,Toledo,815.0,166567.0,M,Oshkosh,1-002-194-1991,21.0,Canada,18354 dodd court,3.0,t6a 1i3,4.0,OR,0.0,M,624736.0
tod5,R,todo,Corpus Christi,333.0,43631.0,Z,,1-441-371-7651,77.0,United States of America,14117 roxboro street,4.0,A2b 1v3,10.0,VA,1.0,M,3064615.0
Kan6,O,Kanno,Salt Lake City,528.0,466230.0,R,VeraSun Energy,1-957-940-5980,23.0,Canada,24697 FLORENCE WEST,0.0,49513,1.0,OH,4.0,,3489129.0
Din7,U,Dinkel,Brownsville,680.0,420243.0,Z,IDT,1-768-633-4096,9.0,United States of America,6488 applewood drive,2.0,M5d 1v6,7.0,Prince Edward Island,2.0,M,3430744.0
Thi8,O,Thibodeaux,Escondido,761.0,141862.0,,Adams Resources & Energy,1-107-689-2155,63.0,United States of America,17404 gale court,,V6c 1q1,10.0,NV,3.0,U,1743614.0
May9,O,Mayo,Los Angeles,416.0,402011.0,,MGIC Investment,1-173-594-6096,32.0,United States of America,15913 alexis street,2.0,99716,,Ontario,0.0,M,216299.0
mah10,O,mahendra,West Covina,493.0,79928.0,U,Iasis Healthcare,1-561-520-0611,96.0,Canada,18313 5th lane,2.0,A2b 1w1,9.0,TX,2.0,M,1528641.0
Siz11,R,Sizto,San Buenaventura,564.0,109496.0,,AMR,1-730-406-9727,46.0,United States of America,13653 collier avenue,0.0,M5F 1W1,0.0,NE,1.0,M,3752907.0
cra12,U,crawley,Lexington,817.0,267901.0,,Embarq,,6.0,United States of America,15306 pike park,4.0,95118,0.0,AR,1.0,U,582378.0
dac13,R,dacal,Hay River,653.0,487273.0,,Advanced Micro Devices,1-207-867-4589,39.0,United States of America,1540 crestmere north,5.0,H2f 1v7,8.0,MI,3.0,U,3458824.0
HIV14,O,HIVELY,Toronto,587.0,34013.0,W,Cenveo,1-478-629-9641,73.0,United States of America,10790 bonita crescent,4.0,19217,2.0,MA,3.0,M,469408.0
Pes15,O,Peschke,Denver,472.0,473462.0,,Kelly Services,1-026-208-8595,26.0,United States of America,24679 AIRPORT CRESCENT,2.0,21228,6.0,TN,0.0,S,1504480.0
CHI16,O,CHILDERHOSE,St. Paul,817.0,499493.0,,Viacom,1-432-681-4853,54.0,Canada,7627 douglas road,4.0,85097,4.0,TN,5.0,M,2763009.0
Din17,R,Dinnin,Bellevue,441.0,266928.0,,Macy's,,87.0,United States of America,6106 ashland east,4.0,V6j 1q8,0.0,OK,5.0,M,2787199.0
De 18,O,De witte,Detroit,848.0,72444.0,M,Gardner Denver,1-357-207-6320,85.0,United States of America,1111 norden street,3.0,43207,6.0,Ontario,2.0,M,2789368.0
Mck19,R,Mckeegan,Omaha,843.0,77290.0,,Family Dollar Stores,1-462-774-1277,86.0,United States of America,2798 1st east,3.0,V6t 1q8,8.0,KY,3.0,U,2784776.0
WIN20,R,WINTERS,Costa Mesa,,395066.0,P,,1-702-382-2898,59.0,United States of America,11358 elle lee street,0.0,94467,,PA,2.0,U,288747.0
BIT21,O,BITTMAN,Berkeley,300.0,119283.0,,Sun Microsystems,1-909-554-7120,94.0,United States of America,21074 MALLORY LOWER,3.0,94321,0.0,MD,5.0,U,876575.0
luz22,O,luzarraga,St. Louis,795.0,330991.0,V,Costco Wholesale,1-752-296-7940,,United States of America,16124 weyland park,1.0,C2a 4w7,8.0,TX,1.0,U,2041224.0
don23,U,donovan,Colorado Springs,367.0,,S,Illinois Tool Works,1-995-554-5056,5.0,United States of America,23822 marvin crescent,0.0,35808,5.0,IN,4.0,,2231509.0
Gia24,O,Giallo,Fontana,507.0,252031.0,T,Southern Union,1-090-303-3807,23.0,United States of America,2203 valita boulevard,5.0,M5f 1v6,1.0,MD,1.0,M,3206409.0
SPR25,O,SPRUELL,St. Catharines,362.0,101800.0,,Moog,1-492-968-0932,61.0,United States of America,11538 COLLINWOOD AVENUE,1.0,99539,9.0,KY,3.0,M,3850037.0
SKA26,O,SKALSKI,Hayward,527.0,436977.0,,Old Republic International,1-960-227-2020,,United States of America,7818 EAST STREET,1.0,95055,7.0,CA,0.0,D,528440.0
Gar27,O,Gargul,Palmdale,354.0,495334.0,,,1-431-122-8597,51.0,United States of America,10013 shaw road,,93686,0.0,FL,0.0,S,597140.0
Dor28,O,Dore,Phoenix,511.0,274685.0,,Great Plains Energy,1-822-836-7200,97.0,United States of America,6802 AMES STREET,1.0,75218,1.0,Newfoundland,1.0,M,146931.0
DIO29,,DIOGO,Gary,412.0,320820.0,X,Broadcom,1-530-117-0497,52.0,United States of America,22501 SUMMIT RUE,2.0,91174,7.0,TX,2.0,,353495.0
Mer30,O,Merrick,Beaumont,583.0,195835.0,,Discover Financial Services,1-051-257-2719,98.0,Canada,291 frances rue,0.0,49515,1.0,WA,4.0,S,295647.0
Atc31,O,Atchison,Nashua,710.0,108085.0,R,UAL,1-171-989-1363,47.0,United States of America,16264 sanders east,3.0,16506,5.0,MN,5.0,U,408941.0
Pla32,O,Plamondon,San Jose,380.0,260185.0,X,Charles Schwab,1-042-705-3246,47.0,United States of America,16068 cantey way,1.0,94383,9.0,WY,2.0,M,362523.0
SEL33,R,SELCHOW,Nashua,796.0,258323.0,E,Coach,1-098-328-2026,9.0,United States of America,21170 EDLOE BOULEVARD,0.0,T6d 1b3,2.0,NY,0.0,M,2102359.0
