prospect_AgID,prospect_LaNa,prospect_AddrLi1,prospect_MiIni,prospect_OOReF,prospect_NuCreCa,prospect_Inc,prospect_NuCa,prospect_NumCh,prospect_MariSta,prospect_A,prospect_CreRa,prospect_Emp,prospect_NWo
Iok7501,Iokwiqojocjanndatkdzgymym,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,n,U,,94490.0,3.0,,U,7.0,580.0,FM Global,321776.0
tia7502,tiabxgseasiibxakctfzhfwotp,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,,R,2.0,7037.0,4.0,4.0,S,48.0,683.0,MGIC Investment,2292324.0
AOI7503,AOIWIWTIHIXOJ,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,u,O,2.0,419269.0,1.0,5.0,M,14.0,411.0,Ross Stores,969707.0
PJQ7504,PJQSPMBUHYQKBOZ,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,,U,9.0,76681.0,4.0,5.0,W,29.0,818.0,,3899461.0
SDV7505,SDVLJWXENNGWCQMIW,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,,R,7.0,209116.0,2.0,4.0,U,69.0,370.0,Alliance One International,3749223.0
Hga7506,Hgakmykzeunwkiaxayulpwyxrcuev,Ajpkrmtlcbdzr,F,O,6.0,212203.0,0.0,0.0,U,47.0,833.0,Sally Beauty Holdings,3658531.0
Beo7507,Beotomyndkiqryllkvpavllytov,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,D,U,2.0,42018.0,5.0,5.0,M,0.0,536.0,Wisconsin Energy,1738460.0
Qum7508,Qumxrssnd,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,,R,0.0,90446.0,0.0,0.0,S,46.0,775.0,Carpenter Technology,3307296.0
Hud7509,Hudlpfwjagzbnznyhamjkhbf,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,v,R,3.0,16274.0,1.0,1.0,M,6.0,765.0,Liberty Mutual Insurance Group,1816419.0
jba7510,jbabemsfwdyeihxq,Ycltsquohmuugxihqyluhkoy,,O,6.0,22215.0,5.0,2.0,M,22.0,555.0,Black & Decker,2599250.0
dgc7511,dgcnbxfhc,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,,O,3.0,210038.0,5.0,1.0,M,72.0,,Interstate Bakeries,490443.0
lql7512,lqlslgqsvyfxqnzuwbfg,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,,O,9.0,307402.0,4.0,5.0,M,40.0,318.0,eBay,3348923.0
Wsk7513,Wskjvrujdwku,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,,R,4.0,,4.0,1.0,D,8.0,613.0,Boise,331799.0
Ffs7514,Ffshsiomkzjonhxjhunfsao,,v,R,4.0,432425.0,4.0,1.0,U,10.0,786.0,MDU Resources Group,1167013.0
Kvv7515,Kvvverfkpazpzzkrqniixrhnw,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,F,O,10.0,122041.0,0.0,3.0,U,24.0,,Freescale Semiconductor,3960216.0
mpz7516,mpzqnwnrmaozfsstcqtrc,,G,O,5.0,302205.0,1.0,4.0,M,18.0,623.0,Superior Energy Services,242246.0
Jhc7517,Jhcbaxyzijphmmvpampdgvgisnab,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,s,O,1.0,367555.0,1.0,1.0,S,79.0,845.0,Monsanto,1217660.0
