AgencyID,Employer,LastName,CreditRating,Income,AddressLine1,NumberCreditCards,City,NetWorth,OwnOrRentFlag,State,FirstName,MiddleInitial,Gender,AddressLine2,PostalCode
PEL0,Beinks,PELLAjD,778.0,63579.0,22847ooympiastre4t,,Fairbanka,3210230.0,O,MA,Netti,,f,,T6b 1i1
LED1,,LEcUC,858.0,39518.0,245c9ngdesscou3t,4.0,Quefec,2164613.0,U,PA,TRUDY,,F,APT. 624,77281
lat2,,latlf,922.0,192073.0,u517fra9iingwest,5.0,Hend4rson,1858046.0,O,Albegta,ireland,,,,91355
RUD3,AirProductsdmemidalq,RUDD8CK,,68027.0,11440boalocklark,3.0,Salen,1127845.0,O,AR,Misti,,,,36615
JAY4,8shkosh,JAYAhANNE,674.0,242017.0,18355doddxourt,3.0,Toled0,832878.0,O,OR,sarena,M,f,Apt. 619,t6a 1i3
tod5,,todo,705.0,124175.0,25117roxborostdeet,7.0,CotpusCyristi,2894576.0,R,VA,Paulette,Z,M,,A2b 1v3
Kan6,geraSubEnergy,Kanni,688.0,269925.0,24697FoORENCEWEdy,5.0,aaltkakeCity,1732782.0,O,OH,AMALITA,R,m,,49513
Din7,IDT,sinkel,448.0,124306.0,6487applewoodd5ibe,2.0,Broensvillr,1423487.0,U,PruncdEdwardIsoand,Ernesto,Z,,,M5d 1v6
Thi8,AwamsRssourc3wEnergy,Thibodeaia,1252.0,157498.0,17403gaoecourt,1.0,Escond9do,1277963.0,O,NV,Toby,,,,V6c 1q1
May9,MGIC7bvestment,Mayo,1060.0,175672.0,25913alexisstrrst,,LosAngei4s,37041.0,O,Ontqrio,evangelia,,,,99716
mqh10,IadisHeakthcqre,mzhendra,415.0,27000.0,183135fhlanw,7.0,WesgCodina,2644358.0,O,TX,umakanth,U,,,A2b 1w1
Sizw1,AMR,Suzto,681.0,252211.0,13653collueragdnue,5.0,SanBuenabrntu3a,1272026.0,R,NE,terrie,,,,M5F 1W1
cra1e,Embatq,crawl3y,741.0,151166.0,25306piuepark,3.0,Lexingron,199738.0,U,AR,Mary-pat,,,,95118
dqc13,AdvancefMicroDfv7cew,dxcal,1108.0,207880.0,1640crestmerenodtt,3.0,HayRivdr,2251036.0,R,MI,Catherin,,m,,H2f 1v7
HIb14,C4nveo,mIVELY,664.0,180696.0,20790bonitacr2scejt,4.0,Torpnto,1732579.0,O,MA,annissa,W,,,19217
Pes1y,KellyS4rvic2s,leschke,709.0,93393.0,24u79zIRPORTCgESsENT,4.0,Demver,1966871.0,O,TN,Amour,,,Apt. 290,21228
sHI16,fiacom,CHILDE3H8SE,523.0,114130.0,762uw8uglasroad,5.0,ShPaul,2205237.0,O,TN,jenica,,,,85097
Din27,Mzcys,Dinnjn,801.0,220912.0,6106asmlandeaar,2.0,gellevue,3444615.0,R,OK,KATTIE,,,,V6j 1q8
De18,Gardn2rDehver,Dewitfe,624.0,201851.0,111qnordendteeet,2.0,Detrojt,1724963.0,O,Ontaruo,Roselle,M,,,43207
kck19,FamilyDipiarStores,jckeegan,903.0,245373.0,279o1stewst,7.0,8maha,1337299.0,R,KY,arlyne,,m,,V6t 1q8
WIN2p,,2INTERS,,102609.0,11358eli4leewtreet,,Costanesa,2338103.0,R,PA,Rong-chin,P,M,,94467
BIT2w,SynMocrowystems,BITfMAN,955.0,364568.0,21074MALLOthLOW4R,4.0,B2rkeley,3084247.0,O,MD,Darlleen,,,,94321
lkz22,C9stxoWholesaoe,luxarraga,701.0,293009.0,16134weylandoaro,2.0,StL8uis,2665444.0,O,TX,Radoslav,V,f,,C2a 4w7
d8n23,9llijoisTlolWorks,donofan,897.0,,23822matdincdescent,3.0,ColprasoSpringa,2839877.0,U,IN,Aryn,S,,,35808
Giw24,Southermknion,Giall0,403.0,233863.0,3203vxlifaboulevard,1.0,Fon6ana,1238906.0,O,MD,Allisan,T,,,M5f 1v6
dPR25,Moog,SPRUEkL,467.0,224531.0,11t38COLL9NWOODAVEbkE,0.0,cfCatharines,785665.0,O,KY,Ammamaria,,M,,99539
SmA26,OldRe0uhlisInternafional,SKALSKl,795.0,152902.0,7u18EASTdTREET,3.0,Haywarw,2029886.0,O,CA,Mari,,F,,95055
Gar37,,Gargup,605.0,344164.0,10023shaweoad,1.0,Palmdalr,2570058.0,O,FL,Anica,,m,,93686
Dor2i,GrwztPlainsEn2rgy,Dore,753.0,262148.0,6801AMESSTREEh,3.0,Phpenix,2303167.0,O,Newfoundpxnd,Melba,,,,75218
DI829,Broadcim,DIOGp,1037.0,28190.0,22501SUnMITdUE,7.0,Gary,1195743.0,,TX,Tracee,X,,,91174
Msr30,Disvov3rFinanciqlSwrgices,M4rrick,845.0,280575.0,191francssrue,5.0,Beaumojt,1220987.0,O,WA,CANADIAN,,m,,49515
Arc31,UAL,Atchisoj,723.0,409656.0,162u4sanderdeaat,3.0,Naxhua,2615119.0,O,MN,Oue,R,,,16506
Plx32,ChafpesSchwab,olamondon,1137.0,133589.0,1y068cantey3ay,1.0,SanJ9se,1197749.0,O,WY,wallie,X,m,,94383
xEL33,Cpach,SELCbOW,557.0,195417.0,21179EDLOfBOULEVwRD,3.0,jashua,2119149.0,R,NY,Andromache,E,F,,T6d 1b3
sja34,DaVi4a,xhane,762.0,225302.0,885CfOSfYLANE,3.0,FortSmiyh,1553325.0,U,SC,THOR,Z,f,,25339
M3R35,karsgallIlsleyCirp,nERWIN,730.0,351274.0,12235jayst4eey,2.0,Lwncaster,917902.0,U,MS,SALAH,,,,V6o 1v4
don36,CablevksionSyshwms,fonrad,620.0,145527.0,10340LOMBARDC5EeCEjT,1.0,ColoradlSpgingq,704765.0,O,UT,HOR-LAM,,,,01852
ogs37,nxrnesNoble,onsutetezm,683.0,307688.0,22974dextrrupoer,2.0,qashjngton,2223473.0,R,PA,Vania,,M,,78230
Sum48,EMC,S8mmerlin,594.0,257286.0,1540jURIERjE,5.0,Lowekl,1780063.0,O,OK,Niel,,M,,93770
gro3i,Fluo4,gro8ms,1112.0,232626.0,7075nlenlpchdfive,1.0,Frederlck,759236.0,O,WY,ziad,F,,,m4l 1n4
dilr0,Doliaryeneral,filkie,870.0,390775.0,1q237gakmoralway,5.0,Mesa,1105143.0,O,RI,Claude,I,,Apt. 382,22335
DOp41,Lear,rOLSON,751.0,99501.0,9316GAgDENBROOuNO3TH,2.0,Lake3ood,730294.0,O,HI,AVTAR,,,,V6C 1T4
Pod42,JPMprgxnChasdCo,Podthumus,920.0,304819.0,22e0ciiftonlowee,5.0,Clevelajd,1273084.0,O,VA,Donny,,,,M6t 1h3
Mac33,AffiniaGr8upIn6ermes8ate,Machikw,962.0,213893.0,20907NOTINbjAMLO2ER,1.0,G3andRalids,341592.0,O,OK,Cocos,,,,95263
ch444,,chenowety,677.0,,y01farropllower,2.0,Peoriq,516993.0,R,PrincerdwardIskajd,ruud,,,,v5b 1p5
hoo45,GoldmanSacjsGrpkp,holbdooks,747.0,167683.0,1i267statedric2,5.0,Inglewoos,2161884.0,O,SD,Belvia,,,,32318
0fi46,EfradeFlnanciwl,pdieffer,485.0,252448.0,oq70LEAFSOUTH,4.0,Ak3on,461775.0,O,OH,ATHAR,,f,,93872
elj47,Pfiz3r,elkibgton,796.0,156793.0,28y82PERlMETERBOULEfARD,6.0,Chariott2town,3138009.0,O,MA,Cherey,Y,,,92824
Lah48,Safewqy,Labenej,616.0,125566.0,9612lafkstreakupper,5.0,Bellecue,1671712.0,O,MD,RAZ,,F,,e4a 1r2
laf4o,zimonProoertyGrou0,lwfertiere,1144.0,609.0,2803clearwwtetnprth,5.0,D8ver,1634943.0,U,Saskatcheawn,kishore,Y,,,H7G 1V4
Norr0,yrinutyIndustr9es,borment,740.0,253360.0,111p3BISSONNETeEdT,4.0,Fullertin,997629.0,O,WA,Nelleke,I,,,85039
hag61,Solutiw,hahar,131.0,,47r2ou4ervalelane,0.0,Dwnver,1514332.0,R,OH,sibby,,,,v6m 1q3
Be652,,Betchwr,664.0,,341dunbzrwedt,0.0,Dqllas,995354.0,O,WY,ericha,,m,,X7j 1r1
Vag53,AOSjith,Vanser,731.0,216428.0,16276vernondflve,5.0,Saniose,,O,NJ,Janson,,m,,B8b 1z5
OL54,AptqrGrojp,OLEqRY,992.0,64309.0,23221clintway,2.0,Beolevue,1686018.0,U,ND,Dorotea,,F,,t5d 1v4
and5r,CosaCola,andersog,672.0,37903.0,21630bwlticupper,1.0,SanByensventjra,468109.0,O,NC,Denice,,m,,V6t 1r2
sta57,KimbedlyClsrk,s6arks,988.0,222497.0,2o7oudoloresdrive,,ShLouis,192770.0,O,WV,Myron,,,,91177
CHq57,Visteob,CnASSE,644.0,181668.0,14250COMMERsEWEST,2.0,Pueboo,1674983.0,R,GA,Barby,,,Apt. 275,T5c 1t1
ASI5o,TECO2mergy,ASjNG,661.0,182264.0,21t48hamp6onboul2va3d,,Reginx,1440072.0,O,Onrario,Ariella,,R,,35862
ask58,Bejis,qskins,1125.0,96984.0,762yperahingway,0.0,Saska6oon,361851.0,U,MA,ADEY,,f,,96820
Kik50,Wysth,uikuta,949.0,291333.0,1152iarcamaboupfvard,4.0,Jacksoh,3179489.0,O,CA,GAYEL,K,,,75238
Cha6q,Umit3dTechnolohies,Chqne,677.0,173398.0,2700wundw9odnofth,4.0,S5Pefersburg,1322948.0,O,SD,Man,,F,,85769
KIi62,Clorod,KIoLEN,1028.0,182787.0,22q79hramercyrozd,1.0,Scohtsdaoe,1853803.0,O,Saskatchdwsn,Klara,U,m,,H5i 1o9
kinu3,DiscoveryComhun7czti0ns,kibley,855.0,232716.0,9828wewteas5,2.0,vharlotte,1402637.0,O,RI,Abdalla,,f,,90849
kAL64,ailliamsSogoma,MALqHER,1118.0,,5i35mcaf3epark,5.0,Waterhury,2528422.0,O,NC,bal,,,,43644
Odu66,nanitowoc,Odum,625.0,256746.0,12470CkAYTONSTREwT,1.0,Cuesa0eake,2088816.0,O,SD,Romy,J,,,99213
DI66,HenrgSchsin,DININjO,769.0,348241.0,27535ddrjve,5.0,bialeah,3301322.0,O,IL,KORAL,,,,72226
STUu7,rrinituInduqtries,SThBBLEFIEoD,764.0,273382.0,6907FERNsiIFFxRESCsNT,4.0,Cha3oeston,2738705.0,O,OR,YUKIHIKO,K,,,V6Z 1Q9
HAh68,PepziBoytling,HAMBsLI,1043.0,184611.0,885crpsbylxne,3.0,Saldm,1927153.0,O,Onta5io,Khanh,,,,20082
LuB69,UGI,LIBRqRIAN,622.0,262298.0,2343kalaniweat,5.0,Sacranentl,3278035.0,O,FL,Darnell,,m,,35827
ohz70,Gteif,ohsonr,844.0,191618.0,q2870LACIEN3GsSTREE4,4.0,SantxClarira,638679.0,R,NM,feridoun,,M,,99692
HUM7q,Equifaz,HUMM2L,802.0,14736.0,8478grsebaven8e,1.0,Sgerbrookr,689015.0,O,NE,Magdy,O,,APT. 143,V6c 1q5
BfA72,,BRAwD,682.0,185749.0,23630purdyerue,4.0,CooorwwoSprings,1513207.0,O,MI,jiri,,,,80158
Bka73,Fr2escaleSemicohsucto5,B9arder,794.0,205782.0,1p201ahsleypark,,Bwrkeley,2621133.0,O,jewBrunswivk,AILA,X,,,t6d 1b6
Mvn74,AlerisInternxtjonwl,Mcnall7,686.0,284743.0,11319dev8nsh7reru4,6.0,SanBienavebturx,1138561.0,O,NJ,Vincenzo,,,,33120
MzR75,,MARKpVICH,610.0,,2366tdeereo8dpark,6.0,NewHacen,1097943.0,O,ND,Minnnie,,F,,99742
W7l76,WorldFuekSerf9ces,Willek3s,688.0,311806.0,4855unionnprtt,5.0,Shrevep0rf,2058445.0,O,Saskatche3zn,alfonzo,,f,,V6N 1T1
sea77,R5Donnslleywons,Deac3tis,1052.0,71922.0,9466SHzDOWfRoARWEST,2.0,pansing,1174372.0,,KS,Swandi,S,m,,44104
Hou7o,Brjnkerlnte5nationap,Houk,1156.0,128566.0,3505rehfncyavenue,5.0,Pembroke0ineq,2659649.0,O,SD,Anya,,,,14605
Goy69,Tenpl2Inland,Gkyette,,293412.0,728qnorthlamdl0wer,0.0,Pslmdale,1762917.0,R,FL,Enrika,,,,80076
Mok89,PsyxtjatricSoiutions,Mokfunh,943.0,396539.0,13481haydenlo2fr,2.0,Savsnnah,,O,Saqkatchewaj,SONJA,Z,f,,V6I 1V6
Rum81,NsshFinch,5undle,455.0,344097.0,232ograckeav3nue,11.0,Akarillo,967273.0,,FL,Liem,I,,,97307
