prospect_gncd,prospect_nmbrcrdtcrds,prospect_nmbrcrs,prospect_stt,prospect_frstnm,prospect_g,prospect_phn,prospect_ncm,prospect_nmbrchldrn,prospect_mrtlstts,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr,prospect_ntwrth
Iok7501,,3.0,MO,wbwsqgtaa,7.0,1-637-119-9996,94490.0,,U,580.0,U,FM Global,321776.0
tia7502,2.0,4.0,TX,QGJWCPAPZMWHYHZTNOYSSOQBI,48.0,1-560-405-0048,7037.0,4.0,S,683.0,R,MGIC Investment,2292324.0
AOI7503,2.0,1.0,CT,BHGXDDPUMBESLQMNEPREPTZNNKM,14.0,1-261-306-5079,419269.0,5.0,M,411.0,O,Ross Stores,969707.0
PJQ7504,9.0,4.0,UT,Xgnvppcxgfnmawlupgfa,29.0,1-642-299-6655,76681.0,5.0,W,818.0,U,,3899461.0
SDV7505,7.0,2.0,RI,Tfiozpstcftslqtwkgngiiwo,69.0,,209116.0,4.0,U,370.0,R,Alliance One International,3749223.0
Hga7506,6.0,0.0,DE,fbcahlrhhjoslfzqvvwwvhk,47.0,1-388-257-4273,212203.0,0.0,U,833.0,O,Sally Beauty Holdings,3658531.0
Beo7507,2.0,5.0,NM,Dcgkohfcwyoaxckalqnkrzwq,0.0,,42018.0,5.0,M,536.0,U,Wisconsin Energy,1738460.0
Qum7508,0.0,0.0,WV,Vmnmcsinflxxmmifydckncc,46.0,1-632-118-1891,90446.0,0.0,S,775.0,R,Carpenter Technology,3307296.0
Hud7509,3.0,1.0,NH,Vrkbkkxkddtximspigmlbwzt,6.0,1-853-806-4986,16274.0,1.0,M,765.0,R,Liberty Mutual Insurance Group,1816419.0
jba7510,6.0,5.0,WY,RMWCTFTLSVTMCBI,22.0,1-220-687-2027,22215.0,2.0,M,555.0,O,Black & Decker,2599250.0
dgc7511,3.0,5.0,Saskatchewan,Zaijioc,72.0,,210038.0,1.0,M,,O,Interstate Bakeries,490443.0
lql7512,9.0,4.0,NE,Mdwdjpdfmbqjaygkfqzqx,40.0,1-268-630-3843,307402.0,5.0,M,318.0,O,eBay,3348923.0
Wsk7513,4.0,4.0,AR,Ccbccgvldfvoqtzestvkwunn,8.0,1-915-548-9541,,1.0,D,613.0,R,Boise,331799.0
Ffs7514,4.0,4.0,IL,nyakrhdyxravdnhgbtol,10.0,1-536-880-0961,432425.0,1.0,U,786.0,R,MDU Resources Group,1167013.0
Kvv7515,10.0,0.0,VA,NDNBTVCLKSC,24.0,1-494-335-6022,122041.0,3.0,U,,O,Freescale Semiconductor,3960216.0
