gncd,nmbrcrs,crdtrtng,phn,nmbrcrdtcrds,mrtlstts,ddrssln1,wnrrntflg,ct,ntwrth,mddlntl,stt,cntr,ncm,nmbrchldrn,g,mplr
PEL0,,760.0,1-712-522-6088,,W,21847 olympia street,O,Fairbanks,1058868.0,,MA,United States of America,368776.0,3.0,20.0,Brink's
LED1,5.0,555.0,1-626-426-4298,6.0,U,245 congress court,U,Quebec,1988185.0,,PA,United States of America,177967.0,1.0,3.0,
lat2,2.0,566.0,1-524-787-8784,6.0,S,6517 frailing west,O,Henderson,3673128.0,,Alberta,United States of America,321772.0,1.0,,
RUD3,2.0,,1-741-997-1688,3.0,W,11449 blalock park,O,Salem,2005895.0,,AR,Canada,25449.0,1.0,77.0,Air Products & Chemicals
JAY4,0.0,815.0,1-002-194-1991,4.0,M,18354 dodd court,O,Toledo,624736.0,M,OR,Canada,166567.0,3.0,21.0,Oshkosh
tod5,1.0,333.0,1-441-371-7651,10.0,M,14117 roxboro street,R,Corpus Christi,3064615.0,Z,VA,United States of America,43631.0,4.0,77.0,
Kan6,4.0,528.0,1-957-940-5980,1.0,,24697 FLORENCE WEST,O,Salt Lake City,3489129.0,R,OH,Canada,466230.0,0.0,23.0,VeraSun Energy
Din7,2.0,680.0,1-768-633-4096,7.0,M,6488 applewood drive,U,Brownsville,3430744.0,Z,Prince Edward Island,United States of America,420243.0,2.0,9.0,IDT
Thi8,3.0,761.0,1-107-689-2155,10.0,U,17404 gale court,O,Escondido,1743614.0,,NV,United States of America,141862.0,,63.0,Adams Resources & Energy
May9,0.0,416.0,1-173-594-6096,,M,15913 alexis street,O,Los Angeles,216299.0,,Ontario,United States of America,402011.0,2.0,32.0,MGIC Investment
mah10,2.0,493.0,1-561-520-0611,9.0,M,18313 5th lane,O,West Covina,1528641.0,U,TX,Canada,79928.0,2.0,96.0,Iasis Healthcare
Siz11,1.0,564.0,1-730-406-9727,0.0,M,13653 collier avenue,R,San Buenaventura,3752907.0,,NE,United States of America,109496.0,0.0,46.0,AMR
cra12,1.0,817.0,,0.0,U,15306 pike park,U,Lexington,582378.0,,AR,United States of America,267901.0,4.0,6.0,Embarq
dac13,3.0,653.0,1-207-867-4589,8.0,U,1540 crestmere north,R,Hay River,3458824.0,,MI,United States of America,487273.0,5.0,39.0,Advanced Micro Devices
HIV14,3.0,587.0,1-478-629-9641,2.0,M,10790 bonita crescent,O,Toronto,469408.0,W,MA,United States of America,34013.0,4.0,73.0,Cenveo
Pes15,0.0,472.0,1-026-208-8595,6.0,S,24679 AIRPORT CRESCENT,O,Denver,1504480.0,,TN,United States of America,473462.0,2.0,26.0,Kelly Services
CHI16,5.0,817.0,1-432-681-4853,4.0,M,7627 douglas road,O,St. Paul,2763009.0,,TN,Canada,499493.0,4.0,54.0,Viacom
Din17,5.0,441.0,,0.0,M,6106 ashland east,R,Bellevue,2787199.0,,OK,United States of America,266928.0,4.0,87.0,Macy's
De 18,2.0,848.0,1-357-207-6320,6.0,M,1111 norden street,O,Detroit,2789368.0,M,Ontario,United States of America,72444.0,3.0,85.0,Gardner Denver
Mck19,3.0,843.0,1-462-774-1277,8.0,U,2798 1st east,R,Omaha,2784776.0,,KY,United States of America,77290.0,3.0,86.0,Family Dollar Stores
WIN20,2.0,,1-702-382-2898,,U,11358 elle lee street,R,Costa Mesa,288747.0,P,PA,United States of America,395066.0,0.0,59.0,
BIT21,5.0,300.0,1-909-554-7120,0.0,U,21074 MALLORY LOWER,O,Berkeley,876575.0,,MD,United States of America,119283.0,3.0,94.0,Sun Microsystems
luz22,1.0,795.0,1-752-296-7940,8.0,U,16124 weyland park,O,St. Louis,2041224.0,V,TX,United States of America,330991.0,1.0,,Costco Wholesale
don23,4.0,367.0,1-995-554-5056,5.0,,23822 marvin crescent,U,Colorado Springs,2231509.0,S,IN,United States of America,,0.0,5.0,Illinois Tool Works
Gia24,1.0,507.0,1-090-303-3807,1.0,M,2203 valita boulevard,O,Fontana,3206409.0,T,MD,United States of America,252031.0,5.0,23.0,Southern Union
SPR25,3.0,362.0,1-492-968-0932,9.0,M,11538 COLLINWOOD AVENUE,O,St. Catharines,3850037.0,,KY,United States of America,101800.0,1.0,61.0,Moog
SKA26,0.0,527.0,1-960-227-2020,7.0,D,7818 EAST STREET,O,Hayward,528440.0,,CA,United States of America,436977.0,1.0,,Old Republic International
Gar27,0.0,354.0,1-431-122-8597,0.0,S,10013 shaw road,O,Palmdale,597140.0,,FL,United States of America,495334.0,,51.0,
Dor28,1.0,511.0,1-822-836-7200,1.0,M,6802 AMES STREET,O,Phoenix,146931.0,,Newfoundland,United States of America,274685.0,1.0,97.0,Great Plains Energy
DIO29,2.0,412.0,1-530-117-0497,7.0,,22501 SUMMIT RUE,,Gary,353495.0,X,TX,United States of America,320820.0,2.0,52.0,Broadcom
Mer30,4.0,583.0,1-051-257-2719,1.0,S,291 frances rue,O,Beaumont,295647.0,,WA,Canada,195835.0,0.0,98.0,Discover Financial Services
Atc31,5.0,710.0,1-171-989-1363,5.0,U,16264 sanders east,O,Nashua,408941.0,R,MN,United States of America,108085.0,3.0,47.0,UAL
Pla32,2.0,380.0,1-042-705-3246,9.0,M,16068 cantey way,O,San Jose,362523.0,X,WY,United States of America,260185.0,1.0,47.0,Charles Schwab
SEL33,0.0,796.0,1-098-328-2026,2.0,M,21170 EDLOE BOULEVARD,R,Nashua,2102359.0,E,NY,United States of America,258323.0,0.0,9.0,Coach
sha34,1.0,818.0,1-209-754-5635,2.0,M,885 CROSBY LANE,U,Fort Smith,3480265.0,Z,SC,United States of America,79476.0,3.0,85.0,DaVita
MER35,5.0,766.0,1-498-781-3456,3.0,M,12235 jay street,U,Lancaster,3648900.0,,MS,United States of America,102156.0,3.0,81.0,Marshall & Ilsley Corp.
con36,2.0,359.0,1-615-241-0440,2.0,M,20340 LOMBARD CRESCENT,O,Colorado Springs,1161790.0,,UT,United States of America,221481.0,3.0,0.0,Cablevision Systems
ons37,1.0,401.0,1-995-449-5200,2.0,S,22074 dexter upper,R,Washington,2050587.0,,PA,United States of America,41836.0,5.0,28.0,Barnes & Noble
Sum38,1.0,609.0,1-295-673-4452,0.0,U,1540 MURIE RUE,O,Lowell,3579198.0,,OK,Canada,72389.0,1.0,65.0,EMC
gro39,3.0,630.0,1-914-675-2986,2.0,S,7075 glen loch drive,O,Frederick,889494.0,F,WY,United States of America,66486.0,0.0,20.0,Fluor
dil40,3.0,671.0,,9.0,M,11237 balmoral way,O,Mesa,2205682.0,I,RI,United States of America,200185.0,1.0,55.0,Dollar General
DOL41,0.0,715.0,1-825-739-0336,10.0,U,8316 GARDEN BROOK NORTH,O,Lakewood,1140117.0,,HI,United States of America,289215.0,2.0,76.0,Lear
