prospect_gncd,prospect_phn,prospect_ncm,prospect_nmbrcrs,prospect_nmbrchldrn,prospect_mrtlstts,prospect_g,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr,prospect_nmbrcrdtcrds,prospect_ntwrth
PEL0,1-712-522-6088,368776.0,,3.0,W,20.0,760.0,O,Brink's,,1058868.0
LED1,1-626-426-4298,177967.0,5.0,1.0,U,3.0,555.0,U,,6.0,1988185.0
lat2,1-524-787-8784,321772.0,2.0,1.0,S,,566.0,O,,6.0,3673128.0
RUD3,1-741-997-1688,25449.0,2.0,1.0,W,77.0,,O,Air Products & Chemicals,3.0,2005895.0
JAY4,1-002-194-1991,166567.0,0.0,3.0,M,21.0,815.0,O,Oshkosh,4.0,624736.0
tod5,1-441-371-7651,43631.0,1.0,4.0,M,77.0,333.0,R,,10.0,3064615.0
Kan6,1-957-940-5980,466230.0,4.0,0.0,,23.0,528.0,O,VeraSun Energy,1.0,3489129.0
Din7,1-768-633-4096,420243.0,2.0,2.0,M,9.0,680.0,U,IDT,7.0,3430744.0
Thi8,1-107-689-2155,141862.0,3.0,,U,63.0,761.0,O,Adams Resources & Energy,10.0,1743614.0
May9,1-173-594-6096,402011.0,0.0,2.0,M,32.0,416.0,O,MGIC Investment,,216299.0
mah10,1-561-520-0611,79928.0,2.0,2.0,M,96.0,493.0,O,Iasis Healthcare,9.0,1528641.0
Siz11,1-730-406-9727,109496.0,1.0,0.0,M,46.0,564.0,R,AMR,0.0,3752907.0
cra12,,267901.0,1.0,4.0,U,6.0,817.0,U,Embarq,0.0,582378.0
dac13,1-207-867-4589,487273.0,3.0,5.0,U,39.0,653.0,R,Advanced Micro Devices,8.0,3458824.0
HIV14,1-478-629-9641,34013.0,3.0,4.0,M,73.0,587.0,O,Cenveo,2.0,469408.0
Pes15,1-026-208-8595,473462.0,0.0,2.0,S,26.0,472.0,O,Kelly Services,6.0,1504480.0
CHI16,1-432-681-4853,499493.0,5.0,4.0,M,54.0,817.0,O,Viacom,4.0,2763009.0
Din17,,266928.0,5.0,4.0,M,87.0,441.0,R,Macy's,0.0,2787199.0
De 18,1-357-207-6320,72444.0,2.0,3.0,M,85.0,848.0,O,Gardner Denver,6.0,2789368.0
Mck19,1-462-774-1277,77290.0,3.0,3.0,U,86.0,843.0,R,Family Dollar Stores,8.0,2784776.0
WIN20,1-702-382-2898,395066.0,2.0,0.0,U,59.0,,R,,,288747.0
BIT21,1-909-554-7120,119283.0,5.0,3.0,U,94.0,300.0,O,Sun Microsystems,0.0,876575.0
luz22,1-752-296-7940,330991.0,1.0,1.0,U,,795.0,O,Costco Wholesale,8.0,2041224.0
don23,1-995-554-5056,,4.0,0.0,,5.0,367.0,U,Illinois Tool Works,5.0,2231509.0
Gia24,1-090-303-3807,252031.0,1.0,5.0,M,23.0,507.0,O,Southern Union,1.0,3206409.0
SPR25,1-492-968-0932,101800.0,3.0,1.0,M,61.0,362.0,O,Moog,9.0,3850037.0
SKA26,1-960-227-2020,436977.0,0.0,1.0,D,,527.0,O,Old Republic International,7.0,528440.0
Gar27,1-431-122-8597,495334.0,0.0,,S,51.0,354.0,O,,0.0,597140.0
Dor28,1-822-836-7200,274685.0,1.0,1.0,M,97.0,511.0,O,Great Plains Energy,1.0,146931.0
DIO29,1-530-117-0497,320820.0,2.0,2.0,,52.0,412.0,,Broadcom,7.0,353495.0
Mer30,1-051-257-2719,195835.0,4.0,0.0,S,98.0,583.0,O,Discover Financial Services,1.0,295647.0
Atc31,1-171-989-1363,108085.0,5.0,3.0,U,47.0,710.0,O,UAL,5.0,408941.0
Pla32,1-042-705-3246,260185.0,2.0,1.0,M,47.0,380.0,O,Charles Schwab,9.0,362523.0
SEL33,1-098-328-2026,258323.0,0.0,0.0,M,9.0,796.0,R,Coach,2.0,2102359.0
sha34,1-209-754-5635,79476.0,1.0,3.0,M,85.0,818.0,U,DaVita,2.0,3480265.0
MER35,1-498-781-3456,102156.0,5.0,3.0,M,81.0,766.0,U,Marshall & Ilsley Corp.,3.0,3648900.0
con36,1-615-241-0440,221481.0,2.0,3.0,M,0.0,359.0,O,Cablevision Systems,2.0,1161790.0
ons37,1-995-449-5200,41836.0,1.0,5.0,S,28.0,401.0,R,Barnes & Noble,2.0,2050587.0
Sum38,1-295-673-4452,72389.0,1.0,1.0,U,65.0,609.0,O,EMC,0.0,3579198.0
gro39,1-914-675-2986,66486.0,3.0,0.0,S,20.0,630.0,O,Fluor,2.0,889494.0
dil40,,200185.0,3.0,1.0,M,55.0,671.0,O,Dollar General,9.0,2205682.0
DOL41,1-825-739-0336,289215.0,0.0,2.0,U,76.0,715.0,O,Lear,10.0,1140117.0
Pos42,1-956-713-3802,322484.0,4.0,1.0,M,1.0,707.0,O,J.P. Morgan Chase & Co.,9.0,1421319.0
Mac43,1-814-932-1579,83458.0,4.0,2.0,M,3.0,329.0,O,Affinia Group Intermediate,0.0,3525204.0
che44,1-135-443-7282,,0.0,3.0,D,100.0,601.0,R,,8.0,468976.0
hol45,1-720-975-0667,492407.0,5.0,1.0,W,81.0,623.0,O,Goldman Sachs Group,2.0,1685443.0
pfi46,1-871-598-3505,346630.0,4.0,4.0,S,76.0,376.0,O,E*Trade Financial,2.0,337564.0
elk47,1-607-222-4809,9572.0,1.0,3.0,W,51.0,560.0,O,Pfizer,0.0,84777.0
Lab48,1-965-046-0642,265369.0,1.0,5.0,,,693.0,O,Safeway,4.0,3146477.0
laf49,1-155-441-3579,104172.0,1.0,2.0,S,58.0,346.0,U,Simon Property Group,0.0,495277.0
Nor50,,65550.0,0.0,3.0,M,52.0,342.0,O,Trinity Industries,0.0,746904.0
hag51,1-544-132-7237,,2.0,0.0,M,91.0,563.0,R,Solutia,8.0,1219620.0
Bet52,1-821-089-2089,,2.0,3.0,M,17.0,391.0,O,,4.0,1718910.0
Van53,1-135-391-9787,66244.0,4.0,4.0,S,6.0,381.0,O,A.O. Smith,8.0,
O'L54,1-776-182-6215,426954.0,0.0,3.0,S,89.0,539.0,U,AptarGroup,9.0,2636424.0
and55,1-079-780-7761,126891.0,5.0,4.0,M,99.0,497.0,O,Coca-Cola,0.0,1326305.0
sta56,1-504-346-4393,454196.0,4.0,2.0,M,77.0,661.0,O,Kimberly-Clark,,2241997.0
CHA57,1-985-538-4351,163940.0,5.0,3.0,S,,558.0,R,Visteon,0.0,1542891.0
ASI58,1-254-097-9398,365213.0,,1.0,W,90.0,534.0,O,TECO Energy,,797918.0
ask59,1-545-924-9552,428739.0,0.0,0.0,M,82.0,373.0,U,Bemis,6.0,347654.0
Kik60,1-984-233-8818,142444.0,4.0,0.0,M,,382.0,O,Wyeth,8.0,2456397.0
Cha61,1-528-691-1642,416168.0,3.0,3.0,S,15.0,475.0,O,United Technologies,10.0,1284229.0
KIL62,,291420.0,2.0,0.0,D,,539.0,O,Clorox,3.0,618787.0
kin63,1-171-807-8213,413501.0,4.0,5.0,M,96.0,711.0,O,Discovery Communications,6.0,1171606.0
MAL64,1-056-241-7009,,4.0,,M,38.0,606.0,O,Williams-Sonoma,1.0,3983261.0
Odu65,1-389-414-0570,419143.0,3.0,3.0,W,10.0,494.0,O,Manitowoc,0.0,2328568.0
DI 66,1-583-542-1656,155057.0,1.0,5.0,M,72.0,309.0,O,Henry Schein,3.0,2078600.0
STU67,1-269-712-0672,313859.0,2.0,5.0,M,97.0,630.0,O,Trinity Industries,3.0,2986155.0
HAM68,1-670-102-0463,265907.0,4.0,1.0,S,48.0,330.0,O,Pepsi Bottling,10.0,1864039.0
LIB69,1-699-726-3895,283481.0,,0.0,S,97.0,710.0,O,UGI,9.0,1293721.0
ohs70,1-640-666-2876,200635.0,4.0,0.0,M,73.0,475.0,R,Greif,7.0,3850114.0
HUM71,1-540-639-1311,434519.0,0.0,1.0,U,71.0,596.0,O,Equifax,3.0,1618743.0
BRA72,1-285-874-8492,392315.0,5.0,1.0,W,93.0,670.0,O,,9.0,3383487.0
Boa73,1-121-904-0040,493829.0,5.0,3.0,U,53.0,722.0,O,Freescale Semiconductor,,2981876.0
Mcn74,1-017-842-3201,97489.0,3.0,2.0,U,32.0,587.0,O,Aleris International,7.0,2109339.0
MAR75,1-215-859-3206,,4.0,3.0,S,1.0,609.0,O,,4.0,791803.0
Wil76,1-764-520-7470,383046.0,0.0,1.0,S,39.0,401.0,O,World Fuel Services,7.0,3523678.0
Dea77,1-414-130-0162,1190.0,4.0,0.0,M,77.0,335.0,,R.R. Donnelley & Sons,0.0,1681902.0
Hou78,1-970-240-9990,85733.0,5.0,5.0,U,18.0,569.0,O,Brinker International,7.0,3851455.0
