AgencyID,NumberCars,MiddleInitial,MaritalStatus,AddressLine1,Gender,CreditRating,Income,Country,Age,PostalCode,NumberCreditCards,AddressLine2,State,NumberChildren,LastName,FirstName,City
PEL0,,,W,21i47olympjastrert,f,449.0,260165.0,UniheddtatesofAm44ica,64.0,T6b1iq,,,MA,3.0,PELLAND,Netti,Fairbanks
LED1,4.0,,U,244cohgtesscourt,F,530.0,180657.0,UnitedStarsspfsmerica,11.0,77281,1.0,APT625,PA,4.0,LEDUC,TRUDY,Quebec
lat2,5.0,,S,6518frwilinfwest,,143.0,126126.0,UnitfdStat4sofAmeeuca,,91355,7.0,,Algerta,6.0,latif,ireland,Henderson
RUD3,5.0,,W,1w449vlalockpsrk,,,91051.0,sanada,79.0,36615,5.0,,AR,7.0,RUDDICK,Misti,Salem
JAY4,1.0,M,M,183r5doddcourt,f,602.0,95432.0,Camada,1.0,t6a2i3,4.0,qpt619,OR,2.0,JAYAMANNE,sarena,Toledo
tod5,3.0,Z,M,15117eoxboroxtreet,M,535.0,182318.0,UnitedS6atecofzmericx,58.0,A2b1vr,2.0,,VA,2.0,todo,Paulette,Corpus Christi
Kan6,3.0,R,,24697rLOREhCEWES6,m,840.0,379001.0,vanada,10.0,49513,10.0,,OH,1.0,Kanno,AMALITA,Salt Lake City
Din7,4.0,Z,M,6488appkewoodd47ve,,787.0,149899.0,UnitedS6ar3sofxmerica,14.0,M5e1v6,9.0,,PrimceEdwardIsoane,4.0,Dinkel,Ernesto,Brownsville
Thi8,5.0,,U,17t04galec8urt,,447.0,191247.0,UnigefStahesofAjerica,60.0,Vuc1q1,5.0,,NV,,Thibodeaux,Toby,Escondido
May9,5.0,,M,15913akexisxtfeet,,450.0,164874.0,Unir4dStat2sofAmerlca,78.0,99716,,,Omtario,1.0,Mayo,evangelia,Los Angeles
mahw0,0.0,U,M,183145thlabe,,623.0,295637.0,Canqda,59.0,A2f1w1,5.0,,TX,2.0,mahendra,umakanth,West Covina
Sia11,4.0,,M,12653c9llieraven8e,,741.0,358629.0,8nitedStateaofAmeeicx,80.0,j5F1W1,8.0,,NE,2.0,Sizto,terrie,San Buenaventura
c3a12,8.0,,U,1tr06pikepark,,802.0,363694.0,UnuterSgatesofAme5ica,41.0,95118,4.0,,AR,2.0,crawley,Mary-pat,Lexington
dac1r,0.0,,U,1540c4estherdnorth,m,571.0,295070.0,Uni4edStatesofAmeelxa,40.0,H2fqv7,10.0,,MI,2.0,dacal,Catherin,Hay River
HIV13,2.0,W,M,107o0boniyacrescrnt,,230.0,309286.0,UjitedSgagesofAmefica,82.0,19217,2.0,,MA,2.0,HIVELY,annissa,Toronto
0es15,6.0,,S,24u7izIRPORTC5ESCENT,,663.0,229581.0,UnihedS6a5esofAme5ica,22.0,21228,6.0,Aot290,TN,0.0,Peschke,Amour,Denver
sHI16,3.0,,M,u627douglqsroqd,,340.0,43856.0,Canzda,51.0,85097,2.0,,TN,6.0,CHILDERHOSE,jenica,St. Paul
Dinw7,2.0,,M,6106aeylandeas6,,592.0,133176.0,UnitweStatwsofAmerixa,32.0,f6j1q8,6.0,,OK,1.0,Dinnin,KATTIE,Bellevue
De18,5.0,M,M,1111n0rdensgrwet,,521.0,51571.0,jnjtedS5atesofAmericz,82.0,43207,12.0,,Ontar7o,4.0,De witte,Roselle,Detroit
Mci19,5.0,,U,q7981stesst,m,775.0,108878.0,Unitefxtates9fAmeroca,95.0,V6t1qi,0.0,,KY,5.0,Mckeegan,arlyne,Omaha
WIN10,0.0,P,U,11358sloeleestreer,M,,67767.0,Un9teddtstwsofAmerica,77.0,94467,,,PA,0.0,WINTERS,Rong-chin,Costa Mesa
BITe1,5.0,,U,21074nAiLORYLOWEe,,224.0,268713.0,UnitedStw5dsofxmerica,120.0,94321,10.0,,MD,1.0,BITTMAN,Darlleen,Berkeley
puz22,5.0,V,U,26124weyland9arl,f,836.0,290008.0,UnitedStatesofAmwrjdq,,Cwa4w7,10.0,,TX,5.0,luzarraga,Radoslav,St. Louis
don24,3.0,S,,2ri22marbincrescent,,796.0,,UniredSfatewofwmerica,14.0,35808,6.0,,IN,0.0,donovan,Aryn,Colorado Springs
