prospect_AgeID,prospect_MaSta,prospect_NumChil,prospect_Ph,prospect_Sta,prospect_In,prospect_NeWo,prospect_Ge,prospect_FiNa,prospect_CreRa,prospect_Emp,prospect_Ci,prospect_MiInit,prospect_PosCo,prospect_Ag,prospect_Co,prospect_NumC,prospect_OOReF,prospect_NumCrCa
Iok7501,U,,1-637-119-9996,MO,94490.0,321776.0,,wbwsqgtaa,580.0,FM Global,Baltimore,n,Guudshirvcu,7.0,United States of America,3.0,U,
tia7502,S,4.0,1-560-405-0048,TX,7037.0,2292324.0,M,QGJWCPAPZMWHYHZTNOYSSOQBI,683.0,MGIC Investment,Kitchener,,wyggjewbe,48.0,Canada,4.0,R,2.0
AOI7503,M,5.0,1-261-306-5079,CT,419269.0,969707.0,,BHGXDDPUMBESLQMNEPREPTZNNKM,411.0,Ross Stores,Saint John,u,YMZRQICUTHT,14.0,,1.0,O,2.0
PJQ7504,W,5.0,1-642-299-6655,UT,76681.0,3899461.0,m,Xgnvppcxgfnmawlupgfa,818.0,,Berkeley,,Bcjuycmcen,29.0,United States of America,4.0,U,9.0
SDV7505,U,4.0,,RI,209116.0,3749223.0,,Tfiozpstcftslqtwkgngiiwo,370.0,Alliance One International,Missoula,,Nujxguyehf,69.0,United States of America,2.0,R,7.0
Hga7506,U,0.0,1-388-257-4273,DE,212203.0,3658531.0,F,fbcahlrhhjoslfzqvvwwvhk,833.0,Sally Beauty Holdings,Salinas,F,Neigswk,47.0,,0.0,O,6.0
Beo7507,M,5.0,,NM,42018.0,1738460.0,M,Dcgkohfcwyoaxckalqnkrzwq,536.0,Wisconsin Energy,San Jose,D,WNCEOQPLW,0.0,Canada,5.0,U,2.0
Qum7508,S,0.0,1-632-118-1891,WV,90446.0,3307296.0,,Vmnmcsinflxxmmifydckncc,775.0,Carpenter Technology,Cleveland,,Cskdwtkf,46.0,United States of America,0.0,R,0.0
Hud7509,M,1.0,1-853-806-4986,NH,16274.0,1816419.0,,Vrkbkkxkddtximspigmlbwzt,765.0,Liberty Mutual Insurance Group,Huntington,v,tcxswloetdt,6.0,United States of America,1.0,R,3.0
jba7510,M,2.0,1-220-687-2027,WY,22215.0,2599250.0,m,RMWCTFTLSVTMCBI,555.0,Black & Decker,Paterson,,Fkpemasoukih,22.0,Canada,5.0,O,6.0
dgc7511,M,1.0,,Saskatchewan,210038.0,490443.0,m,Zaijioc,,Interstate Bakeries,Greensboro,,NCEVKLQEEWTA,72.0,United States of America,5.0,O,3.0
lql7512,M,5.0,1-268-630-3843,NE,307402.0,3348923.0,,Mdwdjpdfmbqjaygkfqzqx,318.0,eBay,Concord,,DODDIDDHXS,40.0,Canada,4.0,O,9.0
Wsk7513,D,1.0,1-915-548-9541,AR,,331799.0,m,Ccbccgvldfvoqtzestvkwunn,613.0,Boise,Colorado Springs,,Oqnzttrldq,8.0,United States of America,4.0,R,4.0
Ffs7514,U,1.0,1-536-880-0961,IL,432425.0,1167013.0,,nyakrhdyxravdnhgbtol,786.0,MDU Resources Group,Mobile,v,Lwbawk,10.0,,4.0,R,4.0
Kvv7515,U,3.0,1-494-335-6022,VA,122041.0,3960216.0,,NDNBTVCLKSC,,Freescale Semiconductor,Thousand Oaks,F,Ppsrzjdtg,24.0,United States of America,0.0,O,10.0
mpz7516,M,4.0,1-814-158-3550,ID,302205.0,242246.0,f,Zmstbluqkipzaojfsomtbdddguq,623.0,Superior Energy Services,Rochester,G,,18.0,United States of America,1.0,O,5.0
Jhc7517,S,1.0,1-420-580-0795,TX,367555.0,1217660.0,F,dpqgvuaoijmkxsesvililpxcrwqe,845.0,Monsanto,Garden Grove,s,,79.0,United States of America,1.0,O,1.0
dbq7518,M,5.0,1-924-305-1666,New Brunswick,106025.0,1229655.0,M,IHUGYGSRDWILVOFBAKUR,645.0,Newfield Exploration,Tampa,l,Rxdsunq,36.0,United States of America,4.0,U,7.0
Xch7519,W,2.0,1-450-082-2122,Alberta,106690.0,1157831.0,m,aefotdcronamhkzsfpvifmobgchmsp,495.0,Loews,Fullerton,,JXHVEEOU,21.0,Canada,2.0,O,1.0
oir7520,M,2.0,1-573-009-1404,PA,29373.0,,m,jdeyqkerjerjpht,371.0,Apache,Washington,Z,XHJQCDPOO,4.0,Canada,2.0,O,8.0
Fqb7521,S,3.0,1-603-897-9894,Nova Scotia,168189.0,,M,Lwihnxoihqqrvjydsijd,462.0,Robert Half International,Norfolk,O,rapkjpmvp,72.0,United States of America,2.0,R,1.0
qex7522,S,,1-947-161-6502,RI,264756.0,3467922.0,,nmnervucuk,375.0,Viacom,Sydney,,Slskxm,1.0,United States of America,,U,7.0
Hpi7523,S,2.0,1-586-826-9847,OR,44480.0,46859.0,,hgjkxxbf,516.0,Robert Half International,Winnipeg,,FXHXLG,98.0,Canada,1.0,U,10.0
Fjd7524,,5.0,1-217-243-2668,CA,87207.0,2937668.0,,Zangtryzlhmxo,703.0,CSX,Wilmington,,ovlziicdezok,35.0,Canada,1.0,R,
Cgt7525,W,2.0,1-857-211-5728,MO,238434.0,2388613.0,,FFJGEQD,734.0,Country Financial Services,El Monte,,jsxcpvao,99.0,United States of America,4.0,O,7.0
Lwx7526,M,2.0,1-089-966-6281,Prince Edward Island,,3116283.0,M,Pdcxrihnl,469.0,Procter & Gamble,Sterling Heights,,Ykerbceq,49.0,United States of America,0.0,U,4.0
epy7527,S,0.0,,Quebec,391354.0,2671950.0,,Zckhcacwaelzutaodqalxyjrkh,595.0,Ingles Markets,Pembroke Pines,,VVMSNWEBT,72.0,United States of America,3.0,O,2.0
Aff7528,U,0.0,1-231-342-6874,KS,419165.0,3899593.0,m,sqrosgqnpifxjx,410.0,Forest Laboratories,Philadelphia,M,bibueqwbejem,41.0,United States of America,3.0,O,1.0
mfc7529,W,2.0,,NV,396509.0,2537332.0,,Erqzkkllazeobgthnmgsbtj,475.0,Dentsply International,Glendale,S,gehpynlk,54.0,Canada,3.0,O,10.0
Slf7530,,2.0,1-602-637-1838,TN,145161.0,733236.0,,Lcziayaozecoqqluasolkmmcldm,,RadioShack,El Monte,S,Piwlxtg,11.0,United States of America,0.0,R,2.0
Cxu7531,W,5.0,1-003-982-8627,WY,263206.0,,,Gcnczmuxviqaxtsdzmzhtro,519.0,Century Aluminum,Warwick,,Ujlshmosjkid,0.0,United States of America,2.0,O,3.0
GZO7532,D,3.0,1-136-358-6852,British Columbia,190371.0,3397276.0,,Rsoobsqytvjycob,841.0,,Milwaukee,F,cwburwnupuj,27.0,United States of America,3.0,U,5.0
DRW7533,U,1.0,1-123-528-2965,LA,203968.0,2444257.0,,Pjvadgt,540.0,FPL Group,Phoenix,A,CNEZMHTKIAEV,95.0,United States of America,3.0,O,6.0
set7534,U,3.0,1-136-565-2501,HI,428323.0,71520.0,f,GUBKOKITTSKVYM,540.0,Lockheed Martin,Anchorage,N,kixvppuqtd,35.0,United States of America,1.0,R,10.0
Pyo7535,M,1.0,1-317-986-1984,NY,159980.0,1911091.0,,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,,Sanmina-SCI,Madison,,jrhynxfi,96.0,United States of America,4.0,O,6.0
FSH7536,W,0.0,1-265-603-1262,TX,266852.0,988775.0,M,Kuteauo,424.0,Iron Mountain,Fontana,,dnhtjyu,96.0,Canada,0.0,O,6.0
Tdx7537,M,5.0,,AZ,206973.0,3919363.0,,Hkfofpndygljbeo,623.0,OfficeMax,Charlotte,,YKOVOTYB,49.0,United States of America,5.0,R,2.0
Sbn7538,S,1.0,1-156-668-6882,ME,258221.0,428918.0,,Kengxgsu,792.0,AMR,Richmond,O,WNNMWJ,,Canada,5.0,O,4.0
Piq7539,S,4.0,1-164-648-3203,NH,428508.0,58134.0,f,Plywuoa,718.0,Kohl's,Santa Clarita,C,Oktkljv,27.0,United States of America,4.0,O,6.0
IXD7540,M,0.0,1-839-795-1027,KY,,3703767.0,M,zfcwsxpjzyqelkxg,401.0,Cigna,Yellow Knife,,,98.0,,4.0,O,6.0
wsn7541,M,5.0,1-958-412-4252,Prince Edward Island,58953.0,433859.0,,Yxvczhqjwgnhowiu,557.0,West,Oxnard,,GXFLSISZUY,,United States of America,4.0,R,2.0
Jkp7542,W,5.0,1-392-335-1020,British Columbia,409682.0,3002044.0,M,Grkknjyfgbhtyrhxzeaoeoyirwfa,393.0,Monsanto,Huntington Beach,A,gzexcrngivl,56.0,United States of America,5.0,O,7.0
CCF7543,M,4.0,1-912-050-7605,CT,340191.0,1124168.0,M,Vfrdst,557.0,Reliant Energy,Durham,,yzoikhwrd,94.0,United States of America,2.0,,10.0
ylj7544,U,5.0,1-075-551-9919,WA,238216.0,2081541.0,,Hqcswumjvwbemosmy,465.0,Idearc,Naperville,,Gdbktega,98.0,United States of America,4.0,O,5.0
ZBB7545,M,1.0,1-013-611-2674,ND,113171.0,1897076.0,F,Ectbhkmbvwkwdbn,,Neiman Marcus,Albuquerque,V,Kdcqzpvf,8.0,Canada,0.0,O,6.0
fqe7546,W,,1-656-865-7544,ID,234797.0,235172.0,m,Bdbgqpllbnrmiirpct,485.0,O'Reilly Automotive,Newark,,Tbwgwtmgcu,90.0,United States of America,5.0,,10.0
Wpw7547,M,2.0,1-879-870-7379,Quebec,225322.0,639573.0,,Ftszluaxcsoxdfbmdd,303.0,Cliffs Natural Resources,Miami,,Mwmfs,34.0,United States of America,4.0,,2.0
vpz7548,W,2.0,1-366-625-9813,ID,192689.0,2667082.0,,Qrdnpjquwnixfocqhsrlkcxmelwijl,846.0,Health Management Associates,London,,goelqgcts,25.0,Canada,1.0,O,4.0
Yfz7549,,4.0,1-359-462-7089,AL,348685.0,2598634.0,,Kkiolpmrgzmnjanqc,621.0,Chevron,Worcester,,ucwygjzs,50.0,Canada,5.0,O,1.0
dou7550,D,4.0,,UT,401229.0,1074671.0,,unzegilpp,331.0,Exide Technologies,Jacksonville,,fjlfqftwg,85.0,United States of America,3.0,O,
FDJ7551,M,4.0,1-153-396-8333,MS,38597.0,2272997.0,M,xetqkitwlh,401.0,Convergys,Nashua,,Tocujgaiaq,60.0,United States of America,5.0,R,9.0
ufu7552,S,2.0,1-144-623-1308,AK,,702000.0,,TWRRGULRYKYUWZYBQQFMIFFKVK,644.0,Dominion Resources,Newport News,,kurjmmgixxfd,95.0,United States of America,2.0,R,0.0
bbg7553,M,1.0,1-269-220-8046,VT,161204.0,1289800.0,m,Yqfljvgkfucafpjpamdtcppiipc,769.0,Sentry Insurance Group,Corona,H,cnsavindoi,8.0,United States of America,4.0,R,5.0
Znk7554,M,4.0,1-052-524-0130,LA,202650.0,1007390.0,f,mjeasoritwctufyojamzbeeoo,481.0,Cintas,Lincoln,v,MQBSAUVQRPYE,31.0,,3.0,O,2.0
CGQ7555,U,2.0,1-335-871-6660,CT,,124290.0,F,Udxaujgiratgthwkvdibgvwfo,732.0,Medtronic,Toronto,T,vadbnvz,51.0,Canada,1.0,O,7.0
add7556,M,4.0,1-637-394-8083,UT,492433.0,1820002.0,,GHFUKZPOKMXWZF,802.0,Pride International,Fayetteville,,Ljurvnigr,24.0,United States of America,4.0,O,2.0
Anw7557,M,4.0,1-706-795-4208,IN,344858.0,2200347.0,,ybtkiifyhbgchnuctnhnqspk,329.0,A. Schulman,Charlotte,J,BQDMQVFTNBRJ,78.0,Canada,2.0,O,5.0
Hvt7558,W,0.0,1-622-347-5699,WI,197290.0,3669569.0,m,Fhkymmgjsbmpduuffgavhfcxm,839.0,Oneok,Tulsa,,jkcul,56.0,United States of America,5.0,R,0.0
Yqj7559,U,,1-042-017-9368,WA,283654.0,2140537.0,,DEZDTMSMWKALBRPALCFIME,539.0,Danaher,Winston-Salem,d,Nelny,50.0,United States of America,2.0,,
Ztn7560,M,5.0,1-829-935-5979,LA,317423.0,3258909.0,F,phoxfeiqoldgmnojmzunmargkla,561.0,Del Monte Foods,Thousand Oaks,,Qsggz,52.0,United States of America,4.0,R,4.0
bni7561,W,5.0,1-076-726-5283,VT,399126.0,1825422.0,F,Upuabfflh,814.0,American Electric Power,Lubbock,,Drofa,14.0,United States of America,4.0,O,2.0
swx7562,M,0.0,,CT,398180.0,1845263.0,,owagfolbfwjzeg,305.0,TJX,Winnipeg,,Ssovhtmt,29.0,United States of America,5.0,R,7.0
DSA7563,S,4.0,1-284-129-5920,RI,,1463114.0,f,Qdmppehqxloc,457.0,Philip Morris International,Laredo,P,Tnprhljfrlj,50.0,United States of America,2.0,O,4.0
BXZ7564,U,1.0,1-128-308-8886,SC,485429.0,2354683.0,,jqbetxkci,349.0,Cincinnati Financial,Overland Park,,Bkxujhonjgjk,67.0,United States of America,4.0,O,8.0
pcz7565,M,0.0,1-145-469-5971,British Columbia,118018.0,436677.0,,Wsmywgbvwspgdwhmdxsqjwqb,590.0,Stryker,Calgary,,mrjrjhgnwcdu,22.0,United States of America,2.0,O,0.0
Zqa7566,U,4.0,1-727-684-7767,CO,309693.0,2383335.0,m,ocgwi,533.0,Kansas City Southern,Peoria,,Yusezkfgs,20.0,United States of America,5.0,O,0.0
Htl7567,W,0.0,1-776-201-2472,TN,90718.0,2574739.0,,Pcotdnngmurhkcd,686.0,IDT,Durham,z,RKXTQAO,75.0,Canada,4.0,O,9.0
afw7568,U,0.0,1-767-942-1278,CA,280645.0,1596838.0,F,bvcosqzcleknjzvkygbawlc,582.0,Vornado Realty Trust,Pueblo,L,UBQSATXZO,60.0,United States of America,2.0,O,10.0
Wna7569,S,4.0,1-723-062-7266,WY,231559.0,591965.0,,ECLENELTSXGTNWOP,807.0,Dollar General,Las Cruces,,BHRNWQLFVFA,,United States of America,,O,0.0
Mlh7570,S,5.0,,SD,36898.0,3071440.0,,Xdwexmrjat,819.0,Safeway,Chula Vista,,Ktmzav,48.0,United States of America,3.0,O,3.0
Gor7571,M,0.0,1-145-314-0862,British Columbia,396786.0,2683081.0,,xjwnvwdryqpcehelwzfhkkiuus,311.0,Apache,San Diego,,Nfpchgfj,91.0,United States of America,2.0,R,5.0
ENX7572,U,5.0,1-735-104-7772,NJ,344365.0,3850483.0,f,RNBABCYAFMQPBOHXNUXMXNU,734.0,Lowe's,Chicago,,Wuywecohosfi,98.0,United States of America,2.0,O,3.0
fgr7573,W,1.0,,AK,1205.0,1870617.0,,Eyrtrqkljywvbcice,432.0,Lithia Motors,Worcester,,tibxlojrqiha,51.0,United States of America,4.0,O,1.0
Ysh7574,S,0.0,1-518-116-1411,OH,276666.0,1249534.0,m,Opybrukftspofebjmspkjsgtobzsp,394.0,CH2M Hill,Honolulu,a,ogmes,22.0,United States of America,5.0,O,3.0
Mos7575,U,0.0,1-696-359-4829,New Brunswick,497953.0,3789880.0,,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,658.0,Tellabs,Albuquerque,I,JUBKXDKP,57.0,United States of America,0.0,O,1.0
czu7576,M,2.0,1-352-678-5471,IL,156048.0,3874445.0,,kpofwgtomgijnm,348.0,Phillips-Van Heusen,Oakland,,Xbgykqm,38.0,Canada,1.0,O,3.0
Ghr7577,M,5.0,1-906-600-9749,AZ,63617.0,437353.0,,Biflzgcqpqpbahquomftmjffohpwuy,598.0,Wells Fargo,Billings,Z,NNCXIBTCXZA,68.0,United States of America,1.0,O,8.0
Rwk7578,U,2.0,1-093-018-2851,NY,244849.0,2669917.0,,ybdlwlwxispyswbiegrbsqqtywxr,505.0,Vornado Realty Trust,Pueblo,,mfwuio,93.0,United States of America,2.0,O,9.0
Uwi7579,S,3.0,1-302-096-9321,WA,123585.0,1466537.0,,Capzcewdt,839.0,New York Times,Sherbrooke,,Utgwrun,48.0,United States of America,4.0,R,7.0
VXZ7580,S,1.0,1-915-044-3154,GA,391134.0,991860.0,,XKBLVBCCYKMIXABVTOTVPZCJRII,672.0,Adobe Systems,Sacramento,,Wgulrhctjlg,96.0,United States of America,1.0,U,2.0
Ayk7581,M,5.0,1-040-274-3474,AZ,426759.0,,f,wmknfemsztimaphftadowlmbnp,696.0,Valmont Industries,Charlotte,p,Srhxvxe,58.0,United States of America,5.0,O,3.0
lho7582,W,3.0,1-678-397-2739,NV,451737.0,1816368.0,M,DHLVITRFJDXLTPAGMPMJ,448.0,UAL,El Paso,,Dadkihaohc,63.0,United States of America,5.0,O,5.0
rzi7583,S,1.0,1-679-345-9939,TN,180822.0,565246.0,,Jdpqutldftwykfyhukveiaimoyyk,549.0,AFLAC,Mesa,,Fpoleiod,18.0,United States of America,2.0,O,9.0
Wds7584,W,2.0,1-093-616-0613,AL,205843.0,1899339.0,,Qiwemtdba,705.0,VeraSun Energy,Simi Valley,,Cuaieflmccqp,40.0,United States of America,4.0,O,0.0
Xsj7585,M,3.0,1-546-131-8988,TX,470985.0,3873239.0,M,JQKEDISZ,387.0,Magellan Health Services,St. Catharines,f,qiraymmapgf,29.0,United States of America,4.0,O,6.0
Lux7586,U,1.0,1-477-186-7432,WV,318225.0,767547.0,,Gfuwa,359.0,Emcor Group,Washington,v,Tsynomgib,21.0,United States of America,2.0,,7.0
wxw7587,M,2.0,1-965-848-6954,ND,326044.0,1027999.0,f,CTTUYHUUMMDTX,494.0,Peabody Energy,Chula Vista,,Amudllk,41.0,Canada,2.0,O,9.0
pfz7588,M,1.0,1-622-866-0937,Saskatchewan,,3428495.0,m,Wvtqm,345.0,State Farm Insurance Cos.,Montpelier,e,ELQKT,56.0,United States of America,1.0,,10.0
hlx7589,M,0.0,1-040-217-2014,VA,187282.0,1827180.0,M,xuwgpsvzcpxtoerndtr,402.0,Humana,Mesa,,Oiwac,33.0,United States of America,2.0,O,10.0
nyb7590,M,0.0,1-101-684-2373,ND,,2070007.0,,Hnnzpokbygacjjgybkskf,579.0,News Corp.,New Haven,,Dqgzinvuxxy,96.0,United States of America,2.0,O,3.0
Ltt7591,,0.0,1-386-426-5849,ND,,,,qsnivsknktiwjpqwnrlgftnmsrxkjc,569.0,Torchmark,Indianapolis,O,Nchaajfkjvx,35.0,United States of America,2.0,O,2.0
gsz7592,W,4.0,1-598-816-0126,MS,306946.0,3596263.0,,pygsfvfpeofkdcugfvxdsqgmcgebfp,745.0,Rock-Tenn,Stockton,,XEDMBUAMGXKH,40.0,United States of America,0.0,O,9.0
Kwp7593,D,,1-770-379-7700,WY,99663.0,3719999.0,,Zgxsuo,320.0,AGCO,Louisville,,crxbrlj,10.0,,0.0,U,1.0
AGM7594,M,4.0,,MA,482013.0,3058439.0,,ganifmdaqbltccwbqijtkypcetuq,591.0,,Atlanta,D,Eytubbwi,59.0,United States of America,2.0,R,4.0
Ocn7595,M,0.0,1-628-245-6238,AK,180476.0,2592932.0,m,IYCOMORWDFSEKN,,United Stationers,Milwaukee,u,Lwftldizl,70.0,United States of America,1.0,U,10.0
Cmw7596,M,5.0,1-813-787-2611,PA,285682.0,1471273.0,F,vdvdlfz,417.0,McCormick,Fort Smith,,GSSFZNBZL,69.0,United States of America,4.0,,5.0
Dit7597,M,5.0,1-362-897-1162,MA,455032.0,,,Sbwymtnwzhffkwjczlsnvrtcv,338.0,National Life Group,Knoxville,V,Nrnqtmjz,96.0,United States of America,0.0,R,8.0
Rmm7598,S,,1-952-919-4878,DC,356141.0,2410816.0,,qjjwbffbgxilxyarhjwdvo,340.0,Hasbro,Idaho Falls,S,Rzjxvum,9.0,United States of America,3.0,O,9.0
ekj7599,U,3.0,1-145-214-8009,RI,165667.0,1059543.0,,JIXUQX,738.0,Tupperware Brands,Jacksonville,,Accezkuzqrif,39.0,Canada,3.0,U,5.0
wcq7600,S,2.0,1-328-944-9786,MA,459767.0,379282.0,,Eqrxuc,597.0,Covance,Stockton,A,LNZZPGOTEG,31.0,United States of America,0.0,O,7.0
Klc7601,M,2.0,1-899-864-9421,Alberta,106459.0,3271265.0,f,PDAXUXBMPOVTKJUR,603.0,Interactive Brokers Group,Thousand Oaks,,YINOHET,64.0,United States of America,2.0,R,4.0
Jrd7602,D,1.0,1-877-997-8896,AR,51021.0,1530364.0,,Adftxl,662.0,SkyWest,Nashua,,ddgkyv,38.0,,,U,5.0
GDQ7603,W,4.0,1-750-900-0823,VA,494931.0,3731860.0,,Gaksvvggpbleteofow,838.0,Best Buy,Tallahassee,,Seiksuhglhj,47.0,United States of America,2.0,R,0.0
fnm7604,M,2.0,,OR,429859.0,2488858.0,,Ijstknxzfzsvqmy,791.0,Sears Holdings,Brownsville,,Ytgghhaxc,,United States of America,5.0,O,9.0
Ymu7605,S,4.0,1-347-704-7823,ID,,2301347.0,,jvhwyzbcwdrrqmlbvpjwbohhemm,692.0,Frontier Oil,Charlotte,e,Ajlcdadx,76.0,Canada,1.0,O,7.0
Pxj7606,W,3.0,1-228-976-2888,IA,464086.0,1736571.0,,nhhjbqktsr,673.0,Automatic Data Processing,Oakland,R,Daivf,60.0,,0.0,O,8.0
Rsd7607,U,,,TN,207651.0,2399483.0,,Lmhtjwddyqbzlxgv,331.0,,Fort Wayne,M,xrquzcptycg,73.0,Canada,3.0,O,7.0
Qqh7608,U,,1-760-429-1328,Nova Scotia,260418.0,2982744.0,,BXFLGQTJSJDQAUCXXJXWHTQU,744.0,Comerica,Chula Vista,,shigmwk,37.0,United States of America,4.0,O,2.0
udq7609,M,1.0,1-253-879-8833,Ontario,,1611011.0,,Tlaihggmhfiuezhjgps,446.0,Baldor Electric,Peoria,Q,enehob,50.0,United States of America,5.0,U,6.0
Ghl7610,M,4.0,1-401-256-3483,MD,316963.0,2999167.0,,DSRXJZKFJTIVXLBAX,,Commercial Metals,Lexington,M,RNLAKRXSPA,0.0,Canada,0.0,O,0.0
mtk7611,W,,1-175-910-8245,AR,84046.0,,f,Annsrbdzywmpqvigpn,,,Salem,,Hlezt,,Canada,5.0,O,
QIY7612,M,3.0,1-565-191-3419,Saskatchewan,368990.0,3307491.0,,Mrawpcvb,723.0,Molina Healthcare,San Jose,,Iyqmkpcjx,,United States of America,0.0,O,9.0
Ohz7613,S,0.0,1-921-688-5401,OH,124382.0,2057260.0,,yociu,348.0,Plains All American Pipeline,Kansas City,,klgnkcaedht,81.0,Canada,2.0,O,2.0
djg7614,M,0.0,1-925-155-0170,VA,9263.0,53179.0,,DQNVNWPYSMLDGXJVBUHUKDLRSLN,666.0,Agilent Technologies,Windsor,,Jsombikj,52.0,United States of America,2.0,O,
Iad7615,M,4.0,1-185-691-2951,ID,334181.0,690086.0,,wfnjfn,,AutoZone,Chicago,,Xtckbvng,68.0,United States of America,2.0,U,3.0
EMG7616,M,1.0,1-067-518-3854,WI,314001.0,2025465.0,,WWWEN,844.0,,Evansville,H,YPUWSVRD,,United States of America,0.0,R,8.0
Hjn7617,M,4.0,1-188-554-1671,MS,168309.0,695307.0,,Krjcfgq,766.0,Universal Health Services,Honolulu,,Ifxvsnt,36.0,Canada,1.0,O,8.0
CYP7618,M,4.0,1-168-215-2223,OK,322765.0,3238398.0,M,Fxmpengjsaf,521.0,Time Warner,Cleveland,D,EAOJPQVWBNZ,31.0,United States of America,2.0,O,10.0
KPN7619,W,5.0,1-228-022-3056,GA,311253.0,1213578.0,,Eobtk,306.0,Sealed Air,Livonia,h,fhirgl,55.0,United States of America,1.0,O,7.0
Vbi7620,W,5.0,1-926-766-1124,TN,140296.0,103708.0,,Abahrdfcbtscoblhaovnjkbx,411.0,Sprint Nextel,Little Rock,x,Lahfziy,66.0,United States of America,5.0,R,9.0
ehb7621,M,5.0,1-538-797-1948,SC,439984.0,1086081.0,F,bhephgijqbu,,,Halifax,,tofdjef,22.0,United States of America,1.0,O,3.0
TMQ7622,U,0.0,1-627-234-0841,AR,454011.0,1349626.0,F,KECNVVPGTOXHIGOUAWLHU,702.0,Quiksilver,Peoria,C,rckzx,51.0,United States of America,5.0,O,8.0
Lsb7623,S,5.0,1-876-492-0782,MT,191541.0,1083092.0,a,xppmtvztaifqynlbmofxonnus,842.0,Valspar,San Jose,y,MMLJKBGXD,26.0,United States of America,1.0,R,1.0
Dpz7624,U,1.0,1-436-946-7319,WY,,1662799.0,M,kzntoukktuqqfuyeo,528.0,Timken,Charlotte,u,banusio,100.0,United States of America,2.0,R,0.0
Zuj7625,W,3.0,1-281-780-2897,WY,,3548540.0,,TDRLAQZARCGRAMDDMCWP,300.0,,Hilo,,Safkd,13.0,United States of America,3.0,R,5.0
Jqk7626,S,1.0,1-421-286-4139,WV,269215.0,881414.0,,shbaeyxyrjfietruntrdeyqkc,752.0,Occidental Petroleum,Yonkers,,DHTLWJDXLRW,11.0,United States of America,2.0,O,7.0
ijb7627,M,4.0,1-908-354-2709,CA,193126.0,1712200.0,m,Zururxrihusergiba,303.0,,Modesto,,RORIUHK,62.0,Canada,0.0,O,0.0
NMO7628,M,5.0,1-466-560-2530,Alberta,462618.0,847446.0,F,QZLCPVRKZMTENMREVZT,418.0,Massey Energy,Louisville,U,bxgwhohh,13.0,United States of America,3.0,O,10.0
Tef7629,W,3.0,1-578-686-8082,New Brunswick,212026.0,344294.0,f,dvbflygvxrizbclmqwoajkvnzoufc,667.0,Weyerhaeuser,Eugene,,SRARKMXOD,23.0,United States of America,3.0,O,4.0
Sdj7630,D,4.0,1-166-077-1436,British Columbia,371024.0,1534879.0,,mtnubdnrdoivcuqmapqhtvzkixw,441.0,National Fuel Gas,Buffalo,Z,hwugfvlttol,51.0,United States of America,1.0,U,7.0
Pbr7631,U,2.0,1-535-320-1881,DE,235810.0,3897101.0,m,Nzljqsbgutsixlosfedpmlzl,471.0,Pep Boys,Santa Fe,,zgsllav,2.0,United States of America,3.0,O,0.0
Ice7632,W,,1-633-495-6478,CT,347270.0,3064442.0,m,Ealrdsynhtadihmsl,701.0,Neiman Marcus,Springfield,,Mszwfhpj,,United States of America,2.0,O,9.0
ZWG7633,D,2.0,1-398-680-0278,Quebec,399212.0,2016524.0,,xfjdwfentojva,323.0,BlackRock,Anchorage,,Yqfxb,82.0,United States of America,5.0,R,1.0
Evw7634,M,5.0,1-185-976-7770,NJ,439561.0,37745.0,m,Zvowaelneuhpxzphpvtgvfz,846.0,McGraw-Hill,Winnipeg,,ypmuep,94.0,United States of America,4.0,O,10.0
Lhl7635,M,4.0,1-490-238-8219,MN,29980.0,503752.0,m,fmdcjzjekrwrirumyvfuqnnkxzr,850.0,Family Dollar Stores,Waco,c,Xthtecuu,16.0,United States of America,3.0,O,8.0
LYB7636,M,5.0,1-891-741-2112,NE,28693.0,2115180.0,,Ohetzpmilrphnhnasiisaypdl,,Teleflex,Stockton,N,Xjzpdio,43.0,United States of America,2.0,U,
Ijb7637,M,2.0,1-849-918-0984,VA,106794.0,839222.0,M,VAUWGMVOILXNGKB,564.0,,Boston,x,Rgthehdvvlh,76.0,Canada,1.0,O,3.0
Zhf7638,S,5.0,1-426-168-3142,PA,340598.0,1851334.0,f,Tnwgmuvaaqmxskkyqnvrmnmul,558.0,Imation,Memphis,,ysexit,0.0,United States of America,3.0,O,4.0
PYU7639,U,,1-757-910-8931,WV,490597.0,1348251.0,m,mtovrkjvtfkennjujgpegknnck,417.0,PPL,Sydney,r,Wscgcsbwlzj,33.0,United States of America,1.0,O,0.0
Iku7640,U,2.0,1-468-325-0119,WY,499685.0,2722392.0,,Lwxdv,487.0,Smithfield Foods,Shreveport,F,AUQJTIMK,62.0,Canada,2.0,O,6.0
HBZ7641,M,0.0,1-383-310-7894,MN,62285.0,1785161.0,m,Ftvuzjdzocqmcoxvrbqcna,639.0,Macy's,Modesto,,Weqnwrwrbcgx,8.0,United States of America,2.0,O,9.0
Pco7642,U,5.0,1-353-727-2029,VT,320885.0,2823578.0,M,Hnbgeuii,625.0,Torchmark,Hull,,facqrtjqjmd,4.0,United States of America,5.0,O,3.0
