AgencyID,Country,City,Age,State,NetWorth,NumberCreditCards,Employer,Income,Phone,OwnOrRentFlag,LastName,FirstName,MiddleInitial,Gender,AddressLine1
PEL0,United States of America,Fairbanks,20.0,MA,1058868.0,,Brink's,368776.0,1-712-522-6088,O,PELLAND,Netti,,f,21847 olympia street
LED1,United States of America,Quebec,3.0,PA,1988185.0,6.0,,177967.0,1-626-426-4298,U,LEDUC,TRUDY,,F,245 congress court
lat2,United States of America,Henderson,,Alberta,3673128.0,6.0,,321772.0,1-524-787-8784,O,latif,ireland,,,6517 frailing west
RUD3,Canada,Salem,77.0,AR,2005895.0,3.0,Air Products & Chemicals,25449.0,1-741-997-1688,O,RUDDICK,Misti,,,11449 blalock park
JAY4,Canada,Toledo,21.0,OR,624736.0,4.0,Oshkosh,166567.0,1-002-194-1991,O,JAYAMANNE,sarena,M,f,18354 dodd court
tod5,United States of America,Corpus Christi,77.0,VA,3064615.0,10.0,,43631.0,1-441-371-7651,R,todo,Paulette,Z,M,14117 roxboro street
Kan6,Canada,Salt Lake City,23.0,OH,3489129.0,1.0,VeraSun Energy,466230.0,1-957-940-5980,O,Kanno,AMALITA,R,m,24697 FLORENCE WEST
Din7,United States of America,Brownsville,9.0,Prince Edward Island,3430744.0,7.0,IDT,420243.0,1-768-633-4096,U,Dinkel,Ernesto,Z,,6488 applewood drive
Thi8,United States of America,Escondido,63.0,NV,1743614.0,10.0,Adams Resources & Energy,141862.0,1-107-689-2155,O,Thibodeaux,Toby,,,17404 gale court
May9,United States of America,Los Angeles,32.0,Ontario,216299.0,,MGIC Investment,402011.0,1-173-594-6096,O,Mayo,evangelia,,,15913 alexis street
mah10,Canada,West Covina,96.0,TX,1528641.0,9.0,Iasis Healthcare,79928.0,1-561-520-0611,O,mahendra,umakanth,U,,18313 5th lane
Siz11,United States of America,San Buenaventura,46.0,NE,3752907.0,0.0,AMR,109496.0,1-730-406-9727,R,Sizto,terrie,,,13653 collier avenue
cra12,United States of America,Lexington,6.0,AR,582378.0,0.0,Embarq,267901.0,,U,crawley,Mary-pat,,,15306 pike park
