gndr,ddrssln1,cntr,mddlntl,ncm,lstnm,nmbrcrdtcrds,phn,stt,wnrrntflg,ct,g,frstnm,mplr,pstlcd,nmbrchldrn,ddrssln2,crdtrtng,ntwrth,gncd,nmbrcrs,mrtlstts
,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,United States of America,n,94490.0,Iokwiqojocjanndatkdzgymym,,1-637-119-9996,MO,U,Baltimore,7.0,wbwsqgtaa,FM Global,Guudshirvcu,,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,580.0,321776.0,Iok7501,3.0,U
M,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,Canada,,7037.0,tiabxgseasiibxakctfzhfwotp,2.0,1-560-405-0048,TX,R,Kitchener,48.0,QGJWCPAPZMWHYHZTNOYSSOQBI,MGIC Investment,wyggjewbe,4.0,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,683.0,2292324.0,tia7502,4.0,S
,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,,u,419269.0,AOIWIWTIHIXOJ,2.0,1-261-306-5079,CT,O,Saint John,14.0,BHGXDDPUMBESLQMNEPREPTZNNKM,Ross Stores,YMZRQICUTHT,5.0,Cdrxeolwrrxmwmhgexvcstvzz,411.0,969707.0,AOI7503,1.0,M
m,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,United States of America,,76681.0,PJQSPMBUHYQKBOZ,9.0,1-642-299-6655,UT,U,Berkeley,29.0,Xgnvppcxgfnmawlupgfa,,Bcjuycmcen,5.0,WKSBVOFGJHQGAEKUYRZHHPH,818.0,3899461.0,PJQ7504,4.0,W
,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,United States of America,,209116.0,SDVLJWXENNGWCQMIW,7.0,,RI,R,Missoula,69.0,Tfiozpstcftslqtwkgngiiwo,Alliance One International,Nujxguyehf,4.0,skxijfqpzshmts,370.0,3749223.0,SDV7505,2.0,U
F,Ajpkrmtlcbdzr,,F,212203.0,Hgakmykzeunwkiaxayulpwyxrcuev,6.0,1-388-257-4273,DE,O,Salinas,47.0,fbcahlrhhjoslfzqvvwwvhk,Sally Beauty Holdings,Neigswk,0.0,ZETOHHRKIBHCQCKZODIXJJSXCFY,833.0,3658531.0,Hga7506,0.0,U
M,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,Canada,D,42018.0,Beotomyndkiqryllkvpavllytov,2.0,,NM,U,San Jose,0.0,Dcgkohfcwyoaxckalqnkrzwq,Wisconsin Energy,WNCEOQPLW,5.0,LJXAXKUJXQBGWBHJJAAM,536.0,1738460.0,Beo7507,5.0,M
,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,United States of America,,90446.0,Qumxrssnd,0.0,1-632-118-1891,WV,R,Cleveland,46.0,Vmnmcsinflxxmmifydckncc,Carpenter Technology,Cskdwtkf,0.0,Jmlgjkjbqhrudrkqrm,775.0,3307296.0,Qum7508,0.0,S
,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,United States of America,v,16274.0,Hudlpfwjagzbnznyhamjkhbf,3.0,1-853-806-4986,NH,R,Huntington,6.0,Vrkbkkxkddtximspigmlbwzt,Liberty Mutual Insurance Group,tcxswloetdt,1.0,Qqcilgblxyikgr,765.0,1816419.0,Hud7509,1.0,M
m,Ycltsquohmuugxihqyluhkoy,Canada,,22215.0,jbabemsfwdyeihxq,6.0,1-220-687-2027,WY,O,Paterson,22.0,RMWCTFTLSVTMCBI,Black & Decker,Fkpemasoukih,2.0,Ahtohqjfzfarn,555.0,2599250.0,jba7510,5.0,M
m,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,United States of America,,210038.0,dgcnbxfhc,3.0,,Saskatchewan,O,Greensboro,72.0,Zaijioc,Interstate Bakeries,NCEVKLQEEWTA,1.0,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,,490443.0,dgc7511,5.0,M
