AgencyID,MaritalStatus,NumberChildren,Age,AddressLine2,NetWorth,LastName,FirstName,MiddleInitial,Gender,AddressLine1,PostalCode,City,State
PEL0,W,3.0,20.0,,1058868.0,PELLAND,Netti,,f,21847 olympia street,T6b 1i1,Fairbanks,MA
LED1,U,1.0,3.0,APT. 624,1988185.0,LEDUC,TRUDY,,F,245 congress court,77281,Quebec,PA
lat2,S,1.0,,,3673128.0,latif,ireland,,,6517 frailing west,91355,Henderson,Alberta
RUD3,W,1.0,77.0,,2005895.0,RUDDICK,Misti,,,11449 blalock park,36615,Salem,AR
JAY4,M,3.0,21.0,Apt. 619,624736.0,JAYAMANNE,sarena,M,f,18354 dodd court,t6a 1i3,Toledo,OR
tod5,M,4.0,77.0,,3064615.0,todo,Paulette,Z,M,14117 roxboro street,A2b 1v3,Corpus Christi,VA
Kan6,,0.0,23.0,,3489129.0,Kanno,AMALITA,R,m,24697 FLORENCE WEST,49513,Salt Lake City,OH
Din7,M,2.0,9.0,,3430744.0,Dinkel,Ernesto,Z,,6488 applewood drive,M5d 1v6,Brownsville,Prince Edward Island
Thi8,U,,63.0,,1743614.0,Thibodeaux,Toby,,,17404 gale court,V6c 1q1,Escondido,NV
May9,M,2.0,32.0,,216299.0,Mayo,evangelia,,,15913 alexis street,99716,Los Angeles,Ontario
mah10,M,2.0,96.0,,1528641.0,mahendra,umakanth,U,,18313 5th lane,A2b 1w1,West Covina,TX
Siz11,M,0.0,46.0,,3752907.0,Sizto,terrie,,,13653 collier avenue,M5F 1W1,San Buenaventura,NE
cra12,U,4.0,6.0,,582378.0,crawley,Mary-pat,,,15306 pike park,95118,Lexington,AR
dac13,U,5.0,39.0,,3458824.0,dacal,Catherin,,m,1540 crestmere north,H2f 1v7,Hay River,MI
HIV14,M,4.0,73.0,,469408.0,HIVELY,annissa,W,,10790 bonita crescent,19217,Toronto,MA
Pes15,S,2.0,26.0,Apt. 290,1504480.0,Peschke,Amour,,,24679 AIRPORT CRESCENT,21228,Denver,TN
CHI16,M,4.0,54.0,,2763009.0,CHILDERHOSE,jenica,,,7627 douglas road,85097,St. Paul,TN
Din17,M,4.0,87.0,,2787199.0,Dinnin,KATTIE,,,6106 ashland east,V6j 1q8,Bellevue,OK
De 18,M,3.0,85.0,,2789368.0,De witte,Roselle,M,,1111 norden street,43207,Detroit,Ontario
Mck19,U,3.0,86.0,,2784776.0,Mckeegan,arlyne,,m,2798 1st east,V6t 1q8,Omaha,KY
