last_name,email,address,phone,address_id,customer_id,city_id,first_name,address2,district,postal_code,create_date,store_id,active
SMITH,MARY.SMITH@sakilacustomer.org,1913 Hanoi Way,28303384290,5,1,463,MARY,,Nagasaki,35200,2006-02-14 22:04:36,1,1
JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1121 Loja Avenue,838635286649,6,2,449,PATRICIA,,California,17886,2006-02-14 22:04:36,1,1
WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,692 Joliet Street,448477190408,7,3,38,LINDA,,Attika,83579,2006-02-14 22:04:36,1,1
JONES,BARBARA.JONES@sakilacustomer.org,1566 Inegl Manor,705814003527,8,4,349,BARBARA,,Mandalay,53561,2006-02-14 22:04:36,2,1
BROWN,ELIZABETH.BROWN@sakilacustomer.org,53 Idfu Parkway,10655648674,9,5,361,ELIZABETH,,Nantou,42399,2006-02-14 22:04:36,1,1
DAVIS,JENNIFER.DAVIS@sakilacustomer.org,1795 Santiago de Compostela Way,860452626434,10,6,295,JENNIFER,,Texas,18743,2006-02-14 22:04:36,2,1
MILLER,MARIA.MILLER@sakilacustomer.org,900 Santiago de Compostela Parkway,716571220373,11,7,280,MARIA,,Central Serbia,93896,2006-02-14 22:04:36,1,1
WILSON,SUSAN.WILSON@sakilacustomer.org,478 Joliet Way,657282285970,12,8,200,SUSAN,,Hamilton,77948,2006-02-14 22:04:36,2,1
MOORE,MARGARET.MOORE@sakilacustomer.org,613 Korolev Drive,380657522649,13,9,329,MARGARET,,Masqat,45844,2006-02-14 22:04:36,2,1
TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,1531 Sal Drive,648856936185,14,10,162,DOROTHY,,Esfahan,53628,2006-02-14 22:04:36,1,1
ANDERSON,LISA.ANDERSON@sakilacustomer.org,1542 Tarlac Parkway,635297277345,15,11,440,LISA,,Kanagawa,1027,2006-02-14 22:04:36,2,1
THOMAS,NANCY.THOMAS@sakilacustomer.org,808 Bhopal Manor,465887807014,16,12,582,NANCY,,Haryana,10672,2006-02-14 22:04:36,1,1
JACKSON,KAREN.JACKSON@sakilacustomer.org,270 Amroha Parkway,695479687538,17,13,384,KAREN,,Osmaniye,29610,2006-02-14 22:04:36,2,1
WHITE,BETTY.WHITE@sakilacustomer.org,770 Bydgoszcz Avenue,517338314235,18,14,120,BETTY,,California,16266,2006-02-14 22:04:36,2,1
HARRIS,HELEN.HARRIS@sakilacustomer.org,419 Iligan Lane,990911107354,19,15,76,HELEN,,Madhya Pradesh,72878,2006-02-14 22:04:36,1,1
MARTIN,SANDRA.MARTIN@sakilacustomer.org,360 Toulouse Parkway,949312333307,20,16,495,SANDRA,,England,54308,2006-02-14 22:04:36,2,0
THOMPSON,DONNA.THOMPSON@sakilacustomer.org,270 Toulon Boulevard,407752414682,21,17,156,DONNA,,Kalmykia,81766,2006-02-14 22:04:36,1,1
GARCIA,CAROL.GARCIA@sakilacustomer.org,320 Brest Avenue,747791594069,22,18,252,CAROL,,Kaduna,43331,2006-02-14 22:04:36,2,1
MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,1417 Lancaster Avenue,272572357893,23,19,267,RUTH,,Northern Cape,72192,2006-02-14 22:04:36,1,1
ROBINSON,SHARON.ROBINSON@sakilacustomer.org,1688 Okara Way,144453869132,24,20,327,SHARON,,Nothwest Border Prov,21954,2006-02-14 22:04:36,2,1
CLARK,MICHELLE.CLARK@sakilacustomer.org,262 A Corua (La Corua) Parkway,892775750063,25,21,525,MICHELLE,,Dhaka,34418,2006-02-14 22:04:36,1,1
RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,28 Charlotte Amalie Street,161968374323,26,22,443,LAURA,,Rabat-Sal-Zammour-Z,37551,2006-02-14 22:04:36,1,1
LEWIS,SARAH.LEWIS@sakilacustomer.org,1780 Hino Boulevard,902731229323,27,23,303,SARAH,,Liepaja,7716,2006-02-14 22:04:36,2,1
LEE,KIMBERLY.LEE@sakilacustomer.org,96 Tafuna Way,934730187245,28,24,128,KIMBERLY,,Crdoba,99865,2006-02-14 22:04:36,2,1
WALKER,DEBORAH.WALKER@sakilacustomer.org,934 San Felipe de Puerto Plata Street,196495945706,29,25,472,DEBORAH,,Sind,99780,2006-02-14 22:04:36,1,1
HALL,JESSICA.HALL@sakilacustomer.org,18 Duisburg Boulevard,998009777982,30,26,121,JESSICA,,,58327,2006-02-14 22:04:36,2,1
ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,217 Botshabelo Place,665356572025,31,27,138,SHIRLEY,,Southern Mindanao,49521,2006-02-14 22:04:36,2,1
YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,1425 Shikarpur Manor,678220867005,32,28,346,CYNTHIA,,Bihar,65599,2006-02-14 22:04:36,1,1
HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,786 Aurora Avenue,18461860151,33,29,474,ANGELA,,Yamaguchi,65750,2006-02-14 22:04:36,2,1
KING,MELISSA.KING@sakilacustomer.org,1668 Anpolis Street,525255540978,34,30,316,MELISSA,,Taipei,50199,2006-02-14 22:04:36,1,1
WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,33 Gorontalo Way,745994947458,35,31,257,BRENDA,,West Bengali,30348,2006-02-14 22:04:36,2,1
LOPEZ,AMY.LOPEZ@sakilacustomer.org,176 Mandaluyong Place,627705991774,36,32,239,AMY,,Uttar Pradesh,65213,2006-02-14 22:04:36,1,1
HILL,ANNA.HILL@sakilacustomer.org,127 Purnea (Purnia) Manor,911872220378,37,33,17,ANNA,,Piemonte,79388,2006-02-14 22:04:36,2,1
SCOTT,REBECCA.SCOTT@sakilacustomer.org,61 Tama Street,708403338270,38,34,284,REBECCA,,Okayama,94065,2006-02-14 22:04:36,2,1
GREEN,VIRGINIA.GREEN@sakilacustomer.org,391 Callao Drive,440512153169,39,35,544,VIRGINIA,,Midi-Pyrnes,34021,2006-02-14 22:04:36,2,1
ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,334 Munger (Monghyr) Lane,481183273622,40,36,31,KATHLEEN,,Markazi,38145,2006-02-14 22:04:36,2,1
BAKER,PAMELA.BAKER@sakilacustomer.org,1440 Fukuyama Loop,912257250465,41,37,362,PAMELA,,Henan,47929,2006-02-14 22:04:36,1,1
GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,269 Cam Ranh Parkway,489783829737,42,38,115,MARTHA,,Chisinau,34689,2006-02-14 22:04:36,1,1
NELSON,DEBRA.NELSON@sakilacustomer.org,306 Antofagasta Place,378318851631,43,39,569,DEBRA,,Esprito Santo,3989,2006-02-14 22:04:36,1,1
CARTER,AMANDA.CARTER@sakilacustomer.org,671 Graz Street,680768868518,44,40,353,AMANDA,,Oriental,94399,2006-02-14 22:04:36,2,1
MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,42 Brindisi Place,42384721397,45,41,586,STEPHANIE,,Yerevan,16744,2006-02-14 22:04:36,1,1
PEREZ,CAROLYN.PEREZ@sakilacustomer.org,1632 Bislig Avenue,471675840679,46,42,394,CAROLYN,,Nonthaburi,61117,2006-02-14 22:04:36,2,1
ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,1447 Imus Way,539758313890,47,43,167,CHRISTINE,,Tahiti,48942,2006-02-14 22:04:36,2,1
TURNER,MARIE.TURNER@sakilacustomer.org,1998 Halifax Drive,177727722820,48,44,308,MARIE,,Lipetsk,76022,2006-02-14 22:04:36,1,1
PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,1718 Valencia Street,675292816413,49,45,27,JANET,,Antofagasta,37359,2006-02-14 22:04:36,1,1
CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,46 Pjatigorsk Lane,262076994845,50,46,343,CATHERINE,,Moscow (City),23616,2006-02-14 22:04:36,2,1
PARKER,FRANCES.PARKER@sakilacustomer.org,686 Garland Manor,69493378813,51,47,247,FRANCES,,Cear,52535,2006-02-14 22:04:36,1,1
EVANS,ANN.EVANS@sakilacustomer.org,909 Garland Manor,705800322606,52,48,367,ANN,,Tatarstan,69367,2006-02-14 22:04:36,1,1
EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,725 Isesaki Place,876295323994,53,49,237,JOYCE,,Mekka,74428,2006-02-14 22:04:36,2,1
COLLINS,DIANE.COLLINS@sakilacustomer.org,115 Hidalgo Parkway,307703950263,54,50,379,DIANE,,Khartum,80168,2006-02-14 22:04:36,1,1
STEWART,ALICE.STEWART@sakilacustomer.org,1135 Izumisano Parkway,171822533480,55,51,171,ALICE,,California,48150,2006-02-14 22:04:36,1,1
SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,939 Probolinggo Loop,680428310138,56,52,1,JULIE,,Galicia,4166,2006-02-14 22:04:36,1,1
MORRIS,HEATHER.MORRIS@sakilacustomer.org,17 Kabul Boulevard,697760867968,57,53,355,HEATHER,,Chiba,38594,2006-02-14 22:04:36,1,1
ROGERS,TERESA.ROGERS@sakilacustomer.org,1964 Allappuzha (Alleppey) Street,920811325222,58,54,227,TERESA,,Yamaguchi,48980,2006-02-14 22:04:36,1,1
REED,DORIS.REED@sakilacustomer.org,1697 Kowloon and New Kowloon Loop,499352017190,59,55,49,DORIS,,Moskova,57807,2006-02-14 22:04:36,2,1
COOK,GLORIA.COOK@sakilacustomer.org,1668 Saint Louis Place,347487831378,60,56,397,GLORIA,,Tahiti,39072,2006-02-14 22:04:36,1,1
MORGAN,EVELYN.MORGAN@sakilacustomer.org,943 Tokat Street,889318963672,61,57,560,EVELYN,,Vaduz,45428,2006-02-14 22:04:36,2,1
BELL,JEAN.BELL@sakilacustomer.org,1114 Liepaja Street,212869228936,62,58,282,JEAN,,Sarawak,69226,2006-02-14 22:04:36,1,1
MURPHY,CHERYL.MURPHY@sakilacustomer.org,1213 Ranchi Parkway,800024380485,63,59,350,CHERYL,,Karnataka,94352,2006-02-14 22:04:36,1,1
BAILEY,MILDRED.BAILEY@sakilacustomer.org,81 Hodeida Way,250767749542,64,60,231,MILDRED,,Rajasthan,55561,2006-02-14 22:04:36,1,1
RIVERA,KATHERINE.RIVERA@sakilacustomer.org,915 Ponce Place,1395251317,65,61,56,KATHERINE,,Basel-Stadt,83980,2006-02-14 22:04:36,2,1
COOPER,JOAN.COOPER@sakilacustomer.org,1717 Guadalajara Lane,914090181665,66,62,441,JOAN,,Missouri,85505,2006-02-14 22:04:36,1,1
RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,1214 Hanoi Way,491001136577,67,63,306,ASHLEY,,Nebraska,67055,2006-02-14 22:04:36,1,1
COX,JUDITH.COX@sakilacustomer.org,1966 Amroha Avenue,333489324603,68,64,139,JUDITH,,Sichuan,70385,2006-02-14 22:04:36,2,0
HOWARD,ROSE.HOWARD@sakilacustomer.org,698 Otsu Street,409983924481,69,65,105,ROSE,,Cayenne,71110,2006-02-14 22:04:36,2,1
WARD,JANICE.WARD@sakilacustomer.org,1150 Kimchon Manor,663449333709,70,66,321,JANICE,,Skne ln,96109,2006-02-14 22:04:36,2,1
TORRES,KELLY.TORRES@sakilacustomer.org,1586 Guaruj Place,947233365992,71,67,579,KELLY,,Hunan,5135,2006-02-14 22:04:36,1,1
PETERSON,NICOLE.PETERSON@sakilacustomer.org,57 Arlington Manor,990214419142,72,68,475,NICOLE,,Madhya Pradesh,48960,2006-02-14 22:04:36,1,1
GRAY,JUDY.GRAY@sakilacustomer.org,1031 Daugavpils Parkway,107137400143,73,69,63,JUDY,,Bchar,59025,2006-02-14 22:04:36,2,1
RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,1124 Buenaventura Drive,407733804223,74,70,13,CHRISTINA,,Mekka,6856,2006-02-14 22:04:36,2,1
JAMES,KATHY.JAMES@sakilacustomer.org,492 Cam Ranh Street,565018274456,75,71,61,KATHY,,Eastern Visayas,50805,2006-02-14 22:04:36,1,1
WATSON,THERESA.WATSON@sakilacustomer.org,89 Allappuzha (Alleppey) Manor,255800440636,76,72,517,THERESA,,National Capital Reg,75444,2006-02-14 22:04:36,2,1
BROOKS,BEVERLY.BROOKS@sakilacustomer.org,1947 Poos de Caldas Boulevard,427454485876,77,73,114,BEVERLY,,Chiayi,60951,2006-02-14 22:04:36,2,1
KELLY,DENISE.KELLY@sakilacustomer.org,1206 Dos Quebradas Place,241832790687,78,74,431,DENISE,,So Paulo,20207,2006-02-14 22:04:36,1,1
SANDERS,TAMMY.SANDERS@sakilacustomer.org,1551 Rampur Lane,251164340471,79,75,108,TAMMY,,Changhwa,72394,2006-02-14 22:04:36,2,1
PRICE,IRENE.PRICE@sakilacustomer.org,602 Paarl Street,896314772871,80,76,402,IRENE,,Pavlodar,98889,2006-02-14 22:04:36,2,1
BENNETT,JANE.BENNETT@sakilacustomer.org,1692 Ede Loop,918711376618,81,77,30,JANE,,So Paulo,9223,2006-02-14 22:04:36,2,1
WOOD,LORI.WOOD@sakilacustomer.org,936 Salzburg Lane,875756771675,82,78,425,LORI,,Uttar Pradesh,96709,2006-02-14 22:04:36,1,1
BARNES,RACHEL.BARNES@sakilacustomer.org,586 Tete Way,18581624103,83,79,256,RACHEL,,Kanagawa,1079,2006-02-14 22:04:36,1,1
ROSS,MARILYN.ROSS@sakilacustomer.org,1888 Kabul Drive,701457319790,84,80,217,MARILYN,,Oyo & Osun,20936,2006-02-14 22:04:36,1,1
HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,320 Baiyin Parkway,223664661973,85,81,319,ANDREA,,Mahajanga,37307,2006-02-14 22:04:36,1,1
COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,927 Baha Blanca Parkway,821972242086,86,82,479,KATHRYN,,Krim,9495,2006-02-14 22:04:36,1,1
JENKINS,LOUISE.JENKINS@sakilacustomer.org,929 Tallahassee Loop,800716535041,87,83,497,LOUISE,,Gauteng,74671,2006-02-14 22:04:36,1,1
PERRY,SARA.PERRY@sakilacustomer.org,125 Citt del Vaticano Boulevard,48417642933,88,84,40,SARA,,Puebla,67912,2006-02-14 22:04:36,2,1
POWELL,ANNE.POWELL@sakilacustomer.org,1557 Ktahya Boulevard,720998247660,89,85,88,ANNE,,England,88002,2006-02-14 22:04:36,2,1
LONG,JACQUELINE.LONG@sakilacustomer.org,870 Ashqelon Loop,135117278909,90,86,489,JACQUELINE,,Songkhla,84931,2006-02-14 22:04:36,2,1
PATTERSON,WANDA.PATTERSON@sakilacustomer.org,1740 Portoviejo Avenue,198123170793,91,87,480,WANDA,,Sucre,29932,2006-02-14 22:04:36,1,1
HUGHES,BONNIE.HUGHES@sakilacustomer.org,1942 Ciparay Parkway,978987363654,92,88,113,BONNIE,,Cheju,82624,2006-02-14 22:04:36,2,1
FLORES,JULIA.FLORES@sakilacustomer.org,1926 El Alto Avenue,846225459260,93,89,289,JULIA,,Buenos Aires,75543,2006-02-14 22:04:36,1,1
WASHINGTON,RUBY.WASHINGTON@sakilacustomer.org,1952 Chatsworth Drive,991562402283,94,90,332,RUBY,,Guangdong,25958,2006-02-14 22:04:36,2,1
BUTLER,LOIS.BUTLER@sakilacustomer.org,1370 Le Mans Avenue,345679835036,95,91,53,LOIS,,Brunei and Muara,52163,2006-02-14 22:04:36,2,1
SIMMONS,TINA.SIMMONS@sakilacustomer.org,984 Effon-Alaiye Avenue,132986892228,96,92,183,TINA,,Gois,17119,2006-02-14 22:04:36,2,1
FOSTER,PHYLLIS.FOSTER@sakilacustomer.org,832 Nakhon Sawan Manor,275595571388,97,93,592,PHYLLIS,,Inner Mongolia,49021,2006-02-14 22:04:36,1,1
GONZALES,NORMA.GONZALES@sakilacustomer.org,152 Kitwe Parkway,835433605312,98,94,82,NORMA,,Caraga,53182,2006-02-14 22:04:36,1,1
BRYANT,PAULA.BRYANT@sakilacustomer.org,1697 Tanauan Lane,4764773857,99,95,399,PAULA,,Punjab,22870,2006-02-14 22:04:36,2,1
ALEXANDER,DIANA.ALEXANDER@sakilacustomer.org,1308 Arecibo Way,6171054059,100,96,41,DIANA,,Georgia,30695,2006-02-14 22:04:36,1,1
RUSSELL,ANNIE.RUSSELL@sakilacustomer.org,1599 Plock Drive,817248913162,101,97,534,ANNIE,,Tete,71986,2006-02-14 22:04:36,2,1
GRIFFIN,LILLIAN.GRIFFIN@sakilacustomer.org,669 Firozabad Loop,412903167998,102,98,12,LILLIAN,,Abu Dhabi,92265,2006-02-14 22:04:36,1,1
DIAZ,EMILY.DIAZ@sakilacustomer.org,588 Vila Velha Manor,333339908719,103,99,268,EMILY,,Kyongsangbuk,51540,2006-02-14 22:04:36,2,1
HAYES,ROBIN.HAYES@sakilacustomer.org,1913 Kamakura Place,942570536750,104,100,238,ROBIN,,Lipetsk,97287,2006-02-14 22:04:36,1,1
MYERS,PEGGY.MYERS@sakilacustomer.org,733 Mandaluyong Place,196568435814,105,101,2,PEGGY,,Asir,77459,2006-02-14 22:04:36,1,1
FORD,CRYSTAL.FORD@sakilacustomer.org,659 Vaduz Drive,709935135487,106,102,34,CRYSTAL,,Ha Darom,49708,2006-02-14 22:04:36,1,1
HAMILTON,GLADYS.HAMILTON@sakilacustomer.org,1177 Jelets Way,484292626944,107,103,220,GLADYS,,Kwara & Kogi,3305,2006-02-14 22:04:36,1,1
GRAHAM,RITA.GRAHAM@sakilacustomer.org,1386 Yangor Avenue,449216226468,108,104,543,RITA,,Provence-Alpes-Cte,80720,2006-02-14 22:04:36,1,1
SULLIVAN,DAWN.SULLIVAN@sakilacustomer.org,454 Nakhon Sawan Boulevard,963887147572,109,105,173,DAWN,,Funafuti,76383,2006-02-14 22:04:36,1,1
WALLACE,CONNIE.WALLACE@sakilacustomer.org,1867 San Juan Bautista Tuxtepec Avenue,547003310357,110,106,225,CONNIE,,Ivanovo,78311,2006-02-14 22:04:36,1,1
