Phone,City,MaritalStatus,NumberCreditCards,State,Employer,CreditRating,Gender,MiddleInitial,LastName,AgencyID,OwnOrRentFlag,AddressLine1,FirstName,Country,NumberChildren,AddressLine2,NumberCars,Age,NetWorth,Income,PostalCode
1-712-522-6088,Fairbanks,W,,MA,Brink's,760.0,f,,PELLAND,PEL0,O,21847 olympia street,Netti,United States of America,3.0,,,20.0,1058868.0,368776.0,T6b 1i1
1-626-426-4298,Quebec,U,6.0,PA,,555.0,F,,LEDUC,LED1,U,245 congress court,TRUDY,United States of America,1.0,APT. 624,5.0,3.0,1988185.0,177967.0,77281
1-524-787-8784,Henderson,S,6.0,Alberta,,566.0,,,latif,lat2,O,6517 frailing west,ireland,United States of America,1.0,,2.0,,3673128.0,321772.0,91355
1-741-997-1688,Salem,W,3.0,AR,Air Products & Chemicals,,,,RUDDICK,RUD3,O,11449 blalock park,Misti,Canada,1.0,,2.0,77.0,2005895.0,25449.0,36615
1-002-194-1991,Toledo,M,4.0,OR,Oshkosh,815.0,f,M,JAYAMANNE,JAY4,O,18354 dodd court,sarena,Canada,3.0,Apt. 619,0.0,21.0,624736.0,166567.0,t6a 1i3
1-441-371-7651,Corpus Christi,M,10.0,VA,,333.0,M,Z,todo,tod5,R,14117 roxboro street,Paulette,United States of America,4.0,,1.0,77.0,3064615.0,43631.0,A2b 1v3
1-957-940-5980,Salt Lake City,,1.0,OH,VeraSun Energy,528.0,m,R,Kanno,Kan6,O,24697 FLORENCE WEST,AMALITA,Canada,0.0,,4.0,23.0,3489129.0,466230.0,49513
1-768-633-4096,Brownsville,M,7.0,Prince Edward Island,IDT,680.0,,Z,Dinkel,Din7,U,6488 applewood drive,Ernesto,United States of America,2.0,,2.0,9.0,3430744.0,420243.0,M5d 1v6
1-107-689-2155,Escondido,U,10.0,NV,Adams Resources & Energy,761.0,,,Thibodeaux,Thi8,O,17404 gale court,Toby,United States of America,,,3.0,63.0,1743614.0,141862.0,V6c 1q1
1-173-594-6096,Los Angeles,M,,Ontario,MGIC Investment,416.0,,,Mayo,May9,O,15913 alexis street,evangelia,United States of America,2.0,,0.0,32.0,216299.0,402011.0,99716
1-561-520-0611,West Covina,M,9.0,TX,Iasis Healthcare,493.0,,U,mahendra,mah10,O,18313 5th lane,umakanth,Canada,2.0,,2.0,96.0,1528641.0,79928.0,A2b 1w1
1-730-406-9727,San Buenaventura,M,0.0,NE,AMR,564.0,,,Sizto,Siz11,R,13653 collier avenue,terrie,United States of America,0.0,,1.0,46.0,3752907.0,109496.0,M5F 1W1
,Lexington,U,0.0,AR,Embarq,817.0,,,crawley,cra12,U,15306 pike park,Mary-pat,United States of America,4.0,,1.0,6.0,582378.0,267901.0,95118
1-207-867-4589,Hay River,U,8.0,MI,Advanced Micro Devices,653.0,m,,dacal,dac13,R,1540 crestmere north,Catherin,United States of America,5.0,,3.0,39.0,3458824.0,487273.0,H2f 1v7
1-478-629-9641,Toronto,M,2.0,MA,Cenveo,587.0,,W,HIVELY,HIV14,O,10790 bonita crescent,annissa,United States of America,4.0,,3.0,73.0,469408.0,34013.0,19217
1-026-208-8595,Denver,S,6.0,TN,Kelly Services,472.0,,,Peschke,Pes15,O,24679 AIRPORT CRESCENT,Amour,United States of America,2.0,Apt. 290,0.0,26.0,1504480.0,473462.0,21228
1-432-681-4853,St. Paul,M,4.0,TN,Viacom,817.0,,,CHILDERHOSE,CHI16,O,7627 douglas road,jenica,Canada,4.0,,5.0,54.0,2763009.0,499493.0,85097
,Bellevue,M,0.0,OK,Macy's,441.0,,,Dinnin,Din17,R,6106 ashland east,KATTIE,United States of America,4.0,,5.0,87.0,2787199.0,266928.0,V6j 1q8
1-357-207-6320,Detroit,M,6.0,Ontario,Gardner Denver,848.0,,M,De witte,De 18,O,1111 norden street,Roselle,United States of America,3.0,,2.0,85.0,2789368.0,72444.0,43207
