prospect_gncd,prospect_frstnm,prospect_ntwrth,prospect_mplr,prospect_nmbrcrdtcrds,prospect_lstnm,prospect_ddrssln2,prospect_mrtlstts,prospect_gndr,prospect_phn,prospect_nmbrchldrn,prospect_g,prospect_ct,prospect_cntr,prospect_nmbrcrs,prospect_stt,prospect_ncm,prospect_crdtrtng,prospect_wnrrntflg
Iok7501,wbwsqgtaa,321776.0,FM Global,,Iokwiqojocjanndatkdzgymym,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,U,,1-637-119-9996,,7.0,Baltimore,United States of America,3.0,MO,94490.0,580.0,U
tia7502,QGJWCPAPZMWHYHZTNOYSSOQBI,2292324.0,MGIC Investment,2.0,tiabxgseasiibxakctfzhfwotp,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,S,M,1-560-405-0048,4.0,48.0,Kitchener,Canada,4.0,TX,7037.0,683.0,R
AOI7503,BHGXDDPUMBESLQMNEPREPTZNNKM,969707.0,Ross Stores,2.0,AOIWIWTIHIXOJ,Cdrxeolwrrxmwmhgexvcstvzz,M,,1-261-306-5079,5.0,14.0,Saint John,,1.0,CT,419269.0,411.0,O
PJQ7504,Xgnvppcxgfnmawlupgfa,3899461.0,,9.0,PJQSPMBUHYQKBOZ,WKSBVOFGJHQGAEKUYRZHHPH,W,m,1-642-299-6655,5.0,29.0,Berkeley,United States of America,4.0,UT,76681.0,818.0,U
SDV7505,Tfiozpstcftslqtwkgngiiwo,3749223.0,Alliance One International,7.0,SDVLJWXENNGWCQMIW,skxijfqpzshmts,U,,,4.0,69.0,Missoula,United States of America,2.0,RI,209116.0,370.0,R
Hga7506,fbcahlrhhjoslfzqvvwwvhk,3658531.0,Sally Beauty Holdings,6.0,Hgakmykzeunwkiaxayulpwyxrcuev,ZETOHHRKIBHCQCKZODIXJJSXCFY,U,F,1-388-257-4273,0.0,47.0,Salinas,,0.0,DE,212203.0,833.0,O
Beo7507,Dcgkohfcwyoaxckalqnkrzwq,1738460.0,Wisconsin Energy,2.0,Beotomyndkiqryllkvpavllytov,LJXAXKUJXQBGWBHJJAAM,M,M,,5.0,0.0,San Jose,Canada,5.0,NM,42018.0,536.0,U
Qum7508,Vmnmcsinflxxmmifydckncc,3307296.0,Carpenter Technology,0.0,Qumxrssnd,Jmlgjkjbqhrudrkqrm,S,,1-632-118-1891,0.0,46.0,Cleveland,United States of America,0.0,WV,90446.0,775.0,R
Hud7509,Vrkbkkxkddtximspigmlbwzt,1816419.0,Liberty Mutual Insurance Group,3.0,Hudlpfwjagzbnznyhamjkhbf,Qqcilgblxyikgr,M,,1-853-806-4986,1.0,6.0,Huntington,United States of America,1.0,NH,16274.0,765.0,R
jba7510,RMWCTFTLSVTMCBI,2599250.0,Black & Decker,6.0,jbabemsfwdyeihxq,Ahtohqjfzfarn,M,m,1-220-687-2027,2.0,22.0,Paterson,Canada,5.0,WY,22215.0,555.0,O
