City,LastName,Income,State,Phone,NumberCreditCards,Country,MaritalStatus,AddressLine1,Age,AddressLine2,Gender,OwnOrRentFlag,NumberCars,NetWorth,Employer,PostalCode,NumberChildren,CreditRating,AgencyID,FirstName,MiddleInitial
Baltimore,Iokwiqojocjanndatkdzgymym,94490.0,MO,1-637-119-9996,,United States of America,U,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,7.0,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,,U,3.0,321776.0,FM Global,Guudshirvcu,,580.0,Iok7501,wbwsqgtaa,n
Kitchener,tiabxgseasiibxakctfzhfwotp,7037.0,TX,1-560-405-0048,2.0,Canada,S,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,48.0,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,M,R,4.0,2292324.0,MGIC Investment,wyggjewbe,4.0,683.0,tia7502,QGJWCPAPZMWHYHZTNOYSSOQBI,
Saint John,AOIWIWTIHIXOJ,419269.0,CT,1-261-306-5079,2.0,,M,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,14.0,Cdrxeolwrrxmwmhgexvcstvzz,,O,1.0,969707.0,Ross Stores,YMZRQICUTHT,5.0,411.0,AOI7503,BHGXDDPUMBESLQMNEPREPTZNNKM,u
Berkeley,PJQSPMBUHYQKBOZ,76681.0,UT,1-642-299-6655,9.0,United States of America,W,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,29.0,WKSBVOFGJHQGAEKUYRZHHPH,m,U,4.0,3899461.0,,Bcjuycmcen,5.0,818.0,PJQ7504,Xgnvppcxgfnmawlupgfa,
Missoula,SDVLJWXENNGWCQMIW,209116.0,RI,,7.0,United States of America,U,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,69.0,skxijfqpzshmts,,R,2.0,3749223.0,Alliance One International,Nujxguyehf,4.0,370.0,SDV7505,Tfiozpstcftslqtwkgngiiwo,
Salinas,Hgakmykzeunwkiaxayulpwyxrcuev,212203.0,DE,1-388-257-4273,6.0,,U,Ajpkrmtlcbdzr,47.0,ZETOHHRKIBHCQCKZODIXJJSXCFY,F,O,0.0,3658531.0,Sally Beauty Holdings,Neigswk,0.0,833.0,Hga7506,fbcahlrhhjoslfzqvvwwvhk,F
San Jose,Beotomyndkiqryllkvpavllytov,42018.0,NM,,2.0,Canada,M,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,0.0,LJXAXKUJXQBGWBHJJAAM,M,U,5.0,1738460.0,Wisconsin Energy,WNCEOQPLW,5.0,536.0,Beo7507,Dcgkohfcwyoaxckalqnkrzwq,D
Cleveland,Qumxrssnd,90446.0,WV,1-632-118-1891,0.0,United States of America,S,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,46.0,Jmlgjkjbqhrudrkqrm,,R,0.0,3307296.0,Carpenter Technology,Cskdwtkf,0.0,775.0,Qum7508,Vmnmcsinflxxmmifydckncc,
Huntington,Hudlpfwjagzbnznyhamjkhbf,16274.0,NH,1-853-806-4986,3.0,United States of America,M,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,6.0,Qqcilgblxyikgr,,R,1.0,1816419.0,Liberty Mutual Insurance Group,tcxswloetdt,1.0,765.0,Hud7509,Vrkbkkxkddtximspigmlbwzt,v
Paterson,jbabemsfwdyeihxq,22215.0,WY,1-220-687-2027,6.0,Canada,M,Ycltsquohmuugxihqyluhkoy,22.0,Ahtohqjfzfarn,m,O,5.0,2599250.0,Black & Decker,Fkpemasoukih,2.0,555.0,jba7510,RMWCTFTLSVTMCBI,
